Date,Close
2020-01-01,
2020-01-02,108.03
2020-01-03,108.03
2020-01-04,
2020-01-05,
2020-01-06,107.41
2020-01-07,110.85
2020-01-08,110.85
2020-01-09,114.16
2020-01-10,115.21
2020-01-11,
2020-01-12,
2020-01-13,115.83
2020-01-14,120.27
2020-01-15,124.55
2020-01-16,123.91
2020-01-17,123.91
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,130.38
2020-01-22,129.45
2020-01-23,128.85
2020-01-24,130.42
2020-01-25,
2020-01-26,
2020-01-27,123.95
2020-01-28,125.28
2020-01-29,124.18
2020-01-30,120.29
2020-01-31,117.51
2020-02-01,
2020-02-02,
2020-02-03,117.51
2020-02-04,117.51
2020-02-05,117.51
2020-02-06,117.51
2020-02-07,117.51
2020-02-08,
2020-02-09,
2020-02-10,117.51
2020-02-11,126.82
2020-02-12,127.55
2020-02-13,129.91
2020-02-14,129.91
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,119.07
2020-02-19,119.07
2020-02-20,119.07
2020-02-21,120.35
2020-02-22,
2020-02-23,
2020-02-24,120.35
2020-02-25,120.35
2020-02-26,122.64
2020-02-27,114.9
2020-02-28,114.9
2020-02-29,
2020-03-01,
2020-03-02,111.81
2020-03-03,111.81
2020-03-04,117.21
2020-03-05,116.27
2020-03-06,114.36
2020-03-07,
2020-03-08,
2020-03-09,102.8
2020-03-10,107.46
2020-03-11,99.88
2020-03-12,83.39
2020-03-13,89.11
2020-03-14,
2020-03-15,
2020-03-16,77.64
2020-03-17,76.86
2020-03-18,67.25
2020-03-19,67.25
2020-03-20,78.93
2020-03-21,
2020-03-22,
2020-03-23,78.21
2020-03-24,82.43
2020-03-25,82.43
2020-03-26,91.93
2020-03-27,91.93
2020-03-28,
2020-03-29,
2020-03-30,93.83
2020-03-31,94.57
2020-04-01,87.52
2020-04-02,87.52
2020-04-03,87.52
2020-04-04,
2020-04-05,
2020-04-06,94.4
2020-04-07,101.55
2020-04-08,100.88
2020-04-09,100.88
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,100.88
2020-04-14,100.88
2020-04-15,100.88
2020-04-16,100.88
2020-04-17,100.88
2020-04-18,
2020-04-19,
2020-04-20,100.88
2020-04-21,103.76
2020-04-22,108.72
2020-04-23,107.19
2020-04-24,107.19
2020-04-25,
2020-04-26,
2020-04-27,107.19
2020-04-28,107.19
2020-04-29,107.19
