Date,Close
2020-01-01,
2020-01-02,15.31
2020-01-03,15.39
2020-01-04,
2020-01-05,
2020-01-06,15.41
2020-01-07,15.45
2020-01-08,15.64
2020-01-09,15.66
2020-01-10,15.6
2020-01-11,
2020-01-12,
2020-01-13,15.93
2020-01-14,15.96
2020-01-15,15.89
2020-01-16,16.01
2020-01-17,15.98
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,16.07
2020-01-22,16.23
2020-01-23,16.18
2020-01-24,16.04
2020-01-25,
2020-01-26,
2020-01-27,15.89
2020-01-28,16.07
2020-01-29,16.24
2020-01-30,16.64
2020-01-31,16.51
2020-02-01,
2020-02-02,
2020-02-03,17.31
2020-02-04,18.21
2020-02-05,17.47
2020-02-06,17.56
2020-02-07,17.48
2020-02-08,
2020-02-09,
2020-02-10,17.8
2020-02-11,17.91
2020-02-12,18.15
2020-02-13,18.36
2020-02-14,18.32
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,18.65
2020-02-19,19.01
2020-02-20,18.92
2020-02-21,18.84
2020-02-22,
2020-02-23,
2020-02-24,18.06
2020-02-25,17.35
2020-02-26,17.02
2020-02-27,16.16
2020-02-28,15.99
2020-02-29,
2020-03-01,
2020-03-02,16.63
2020-03-03,16.28
2020-03-04,16.66
2020-03-05,15.97
2020-03-06,15.77
2020-03-07,
2020-03-08,
2020-03-09,14.47
2020-03-10,14.96
2020-03-11,14.09
2020-03-12,12.83
2020-03-13,13.45
2020-03-14,
2020-03-15,
2020-03-16,11.73
2020-03-17,11.88
2020-03-18,10.72
2020-03-19,11.31
2020-03-20,11.24
2020-03-21,
2020-03-22,
2020-03-23,11.05
2020-03-24,11.98
2020-03-25,12.5
2020-03-26,12.89
2020-03-27,12.64
2020-03-28,
2020-03-29,
2020-03-30,12.67
2020-03-31,12.56
2020-04-01,11.77
2020-04-02,11.55
2020-04-03,11.4
2020-04-04,
2020-04-05,
2020-04-06,12.4
2020-04-07,12.73
2020-04-08,13.17
2020-04-09,13.6
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,13.75
2020-04-14,14.34
2020-04-15,14.24
2020-04-16,14.22
2020-04-17,14.61
2020-04-18,
2020-04-19,
2020-04-20,14.25
2020-04-21,13.61
2020-04-22,13.99
2020-04-23,13.9
2020-04-24,13.98
2020-04-25,
2020-04-26,
2020-04-27,14.82
2020-04-28,14.53
2020-04-29,15.16
2020-04-30,14.87
2020-05-01,14.01
2020-05-02,
2020-05-03,
2020-05-04,14.35
2020-05-05,14.47
2020-05-06,14.48
