Date,Close
2020-01-01,
2020-01-02,26.36
2020-01-03,26.18
2020-01-04,
2020-01-05,
2020-01-06,26.27
2020-01-07,26.2
2020-01-08,26.33
2020-01-09,26.51
2020-01-10,26.44
2020-01-11,
2020-01-12,
2020-01-13,26.62
2020-01-14,26.58
2020-01-15,26.63
2020-01-16,26.86
2020-01-17,26.96
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,26.89
2020-01-22,26.9
2020-01-23,26.93
2020-01-24,26.69
2020-01-25,
2020-01-26,
2020-01-27,26.27
2020-01-28,26.53
2020-01-29,26.51
2020-01-30,26.59
2020-01-31,26.13
2020-02-01,
2020-02-02,
2020-02-03,26.31
2020-02-04,26.71
2020-02-05,27.01
2020-02-06,27.1
2020-02-07,26.96
2020-02-08,
2020-02-09,
2020-02-10,27.16
2020-02-11,27.21
2020-02-12,27.39
2020-02-13,27.35
2020-02-14,27.41
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,27.33
2020-02-19,27.46
2020-02-20,27.36
2020-02-21,27.07
2020-02-22,
2020-02-23,
2020-02-24,26.16
2020-02-25,25.37
2020-02-26,25.28
2020-02-27,24.16
2020-02-28,23.97
2020-02-29,
2020-03-01,
2020-03-02,25.07
2020-03-03,24.37
2020-03-04,25.4
2020-03-05,24.54
2020-03-06,24.12
2020-03-07,
2020-03-08,
2020-03-09,22.3
2020-03-10,23.4
2020-03-11,22.26
2020-03-12,20.14
2020-03-13,22.02
2020-03-14,
2020-03-15,
2020-03-16,19.39
2020-03-17,20.53
2020-03-18,19.48
2020-03-19,19.57
2020-03-20,18.72
2020-03-21,
2020-03-22,
2020-03-23,18.18
2020-03-24,19.89
2020-03-25,20.11
2020-03-26,21.37
2020-03-27,20.65
2020-03-28,
2020-03-29,
2020-03-30,21.35
2020-03-31,21.0
2020-04-01,20.08
2020-04-02,20.54
2020-04-03,20.23
2020-04-04,
2020-04-05,
2020-04-06,21.65
2020-04-07,21.62
2020-04-08,22.36
2020-04-09,22.69
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,22.46
2020-04-14,23.15
2020-04-15,22.64
2020-04-16,22.77
2020-04-17,23.38
2020-04-18,
2020-04-19,
2020-04-20,22.97
2020-04-21,22.26
2020-04-22,22.77
2020-04-23,22.76
2020-04-24,23.08
2020-04-25,
2020-04-26,
2020-04-27,23.41
2020-04-28,23.29
2020-04-29,23.91
2020-04-30,23.69
2020-05-01,23.03
2020-05-02,
2020-05-03,
2020-05-04,23.12
2020-05-05,23.34
2020-05-06,23.18
2020-05-07,23.45
2020-05-08,23.85
2020-05-09,
2020-05-10,
2020-05-11,23.85
2020-05-12,23.37
2020-05-13,22.96
2020-05-14,23.23
2020-05-15,23.32
2020-05-16,
2020-05-17,
2020-05-18,24.06
2020-05-19,23.81
2020-05-20,24.21
2020-05-21,24.02
2020-05-22,24.09
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,24.38
2020-05-27,24.74
2020-05-28,24.69
2020-05-29,24.82
2020-05-30,
2020-05-31,
2020-06-01,24.91
2020-06-02,25.11
2020-06-03,25.46
2020-06-04,25.38
2020-06-05,26.04
2020-06-06,
2020-06-07,
2020-06-08,26.36
2020-06-09,26.15
2020-06-10,26.01
2020-06-11,24.48
2020-06-12,24.81
2020-06-13,
2020-06-14,
2020-06-15,25.02
2020-06-16,25.49
2020-06-17,25.4
2020-06-18,25.42
2020-06-19,25.27
2020-06-20,
2020-06-21,
2020-06-22,25.44
2020-06-23,25.54
2020-06-24,24.89
2020-06-25,25.16
2020-06-26,24.55
2020-06-27,
2020-06-28,
2020-06-29,24.91
2020-06-30,25.3
2020-07-01,25.43
2020-07-02,25.55
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,25.96
2020-07-07,25.67
2020-07-08,25.88
2020-07-09,25.74
2020-07-10,26.0
2020-07-11,
2020-07-12,
2020-07-13,25.76
2020-07-14,26.11
2020-07-15,26.35
2020-07-16,26.26
2020-07-17,26.34
2020-07-18,
2020-07-19,
2020-07-20,26.55
2020-07-21,26.6
2020-07-22,26.75
2020-07-23,26.43
2020-07-24,26.26
2020-07-25,
2020-07-26,
2020-07-27,26.46
2020-07-28,26.29
2020-07-29,26.61
2020-07-30,26.52
2020-07-31,26.72
2020-08-01,
2020-08-02,
2020-08-03,26.91
2020-08-04,27.01
2020-08-05,27.18
2020-08-06,27.36
2020-08-07,27.38
2020-08-08,
2020-08-09,
2020-08-10,27.46
2020-08-11,27.24
2020-08-12,27.63
2020-08-13,27.57
2020-08-14,27.57
2020-08-15,
2020-08-16,
2020-08-17,27.65
2020-08-18,27.71
2020-08-19,27.6
2020-08-20,27.69
2020-08-21,27.78
2020-08-22,
2020-08-23,
2020-08-24,28.07
2020-08-25,28.17
2020-08-26,28.46
2020-08-27,28.5
2020-08-28,28.7
2020-08-29,
2020-08-30,
2020-08-31,28.64
2020-09-01,28.85
2020-09-02,29.3
2020-09-03,28.27
2020-09-04,28.04
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,27.26
2020-09-09,27.82
2020-09-10,27.33
2020-09-11,27.35
2020-09-12,
2020-09-13,
2020-09-14,27.7
2020-09-15,27.85
2020-09-16,27.72
2020-09-17,27.48
2020-09-18,27.18
2020-09-19,
2020-09-20,
2020-09-21,26.86
2020-09-22,27.14
2020-09-23,26.5
2020-09-24,26.58
2020-09-25,27.01
2020-09-26,
2020-09-27,
2020-09-28,27.44
2020-09-29,27.31
2020-09-30,27.54
2020-10-01,27.69
2020-10-02,27.43
2020-10-03,
2020-10-04,
2020-10-05,27.92
2020-10-06,27.53
2020-10-07,28.01
2020-10-08,28.24
2020-10-09,28.49
2020-10-10,
2020-10-11,
2020-10-12,28.96
2020-10-13,28.78
2020-10-14,28.59
2020-10-15,28.55
2020-10-16,28.55
2020-10-17,
2020-10-18,
2020-10-19,28.08
2020-10-20,28.22
2020-10-21,28.15
2020-10-22,28.3
2020-10-23,28.4
2020-10-24,
2020-10-25,
2020-10-26,27.87
2020-10-27,27.79
2020-10-28,26.81
2020-10-29,27.13
2020-10-30,26.81
2020-10-31,
2020-11-01,
2020-11-02,27.13
2020-11-03,27.62
2020-11-04,28.23
2020-11-05,28.78
2020-11-06,28.78
2020-11-07,
2020-11-08,
2020-11-09,29.11
2020-11-10,29.08
2020-11-11,29.3
2020-11-12,29.01
2020-11-13,29.41
2020-11-14,
2020-11-15,
2020-11-16,29.75
2020-11-17,29.62
2020-11-18,29.28
2020-11-19,29.4
2020-11-20,29.19
2020-11-21,
2020-11-22,
2020-11-23,29.36
2020-11-24,29.84
2020-11-25,29.79
2020-11-26,
2020-11-27,29.87
2020-11-28,
2020-11-29,
2020-11-30,29.73
2020-12-01,30.07
2020-12-02,30.12
2020-12-03,30.11
2020-12-04,30.38
2020-12-05,
2020-12-06,
2020-12-07,30.32
2020-12-08,30.41
2020-12-09,30.17
2020-12-10,30.13
2020-12-11,30.09
2020-12-12,
2020-12-13,
2020-12-14,29.96
2020-12-15,30.35
2020-12-16,30.41
2020-12-17,30.58
2020-12-18,30.48
2020-12-19,
2020-12-20,
2020-12-21,30.36
2020-12-22,30.29
2020-12-23,30.32
2020-12-24,30.43
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,30.69
2020-12-29,30.62
2020-12-30,30.67
2020-12-31,30.87
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,30.41
2021-01-05,30.63
2021-01-06,30.81
2021-01-07,31.27
2021-01-08,31.45
2021-01-09,
2021-01-10,
2021-01-11,31.24
2021-01-12,31.26
2021-01-13,31.32
2021-01-14,31.21
2021-01-15,30.99
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,31.24
2021-01-20,31.67
2021-01-21,31.69
2021-01-22,31.59
2021-01-23,
2021-01-24,
2021-01-25,31.71
2021-01-26,31.66
2021-01-27,30.85
2021-01-28,31.15
2021-01-29,30.55
2021-01-30,
2021-01-31,
2021-02-01,31.04
2021-02-02,31.47
2021-02-03,31.51
2021-02-04,31.85
2021-02-05,31.98
2021-02-06,
2021-02-07,
2021-02-08,32.22
2021-02-09,32.19
2021-02-10,32.17
2021-02-11,32.24
2021-02-12,32.39
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,32.37
2021-02-17,32.37
2021-02-18,32.22
2021-02-19,32.17
2021-02-20,
2021-02-21,
2021-02-22,31.92
2021-02-23,31.96
2021-02-24,32.32
2021-02-25,31.53
2021-02-26,31.39
2021-02-27,
2021-02-28,
2021-03-01,32.14
2021-03-02,31.88
2021-03-03,31.46
2021-03-04,31.05
2021-03-05,31.65
2021-03-06,
2021-03-07,
2021-03-08,31.48
2021-03-09,31.93
2021-03-10,32.12
2021-03-11,32.46
2021-03-12,32.5
2021-03-13,
2021-03-14,
2021-03-15,32.71
2021-03-16,32.66
2021-03-17,32.76
2021-03-18,32.27
2021-03-19,32.26
2021-03-20,
2021-03-21,
2021-03-22,32.49
2021-03-23,32.24
2021-03-24,32.06
2021-03-25,32.24
2021-03-26,32.77
2021-03-27,
2021-03-28,
2021-03-29,32.74
2021-03-30,32.64
2021-03-31,32.76
2021-04-01,33.15
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,33.63
2021-04-06,33.6
2021-04-07,33.65
2021-04-08,33.8
2021-04-09,34.06
2021-04-10,
2021-04-11,
2021-04-12,34.05
2021-04-13,34.16
2021-04-14,34.03
2021-04-15,34.41
2021-04-16,34.53
2021-04-17,
2021-04-18,
