Date,Close
2020-01-01,
2020-01-02,75.06
2020-01-03,73.81
2020-01-04,
2020-01-05,
2020-01-06,72.51
2020-01-07,71.7
2020-01-08,72.48
2020-01-09,73.41
2020-01-10,72.75
2020-01-11,
2020-01-12,
2020-01-13,72.93
2020-01-14,73.07
2020-01-15,73.31
2020-01-16,73.6
2020-01-17,74.3
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,73.63
2020-01-22,75.09
2020-01-23,75.54
2020-01-24,67.13
2020-01-25,
2020-01-26,
2020-01-27,65.03
2020-01-28,66.2
2020-01-29,66.7
2020-01-30,67.2
2020-01-31,66.11
2020-02-01,
2020-02-02,
2020-02-03,66.07
2020-02-04,66.7
2020-02-05,68.09
2020-02-06,67.18
2020-02-07,66.25
2020-02-08,
2020-02-09,
2020-02-10,66.72
2020-02-11,66.65
2020-02-12,66.91
2020-02-13,67.05
2020-02-14,67.24
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,66.3
2020-02-19,66.88
2020-02-20,67.08
2020-02-21,66.66
2020-02-22,
2020-02-23,
2020-02-24,64.74
2020-02-25,61.5
2020-02-26,61.07
2020-02-27,58.58
2020-02-28,58.04
2020-02-29,
2020-03-01,
2020-03-02,60.08
2020-03-03,56.92
2020-03-04,59.03
2020-03-05,57.15
2020-03-06,55.39
2020-03-07,
2020-03-08,
2020-03-09,48.47
2020-03-10,51.06
2020-03-11,47.09
2020-03-12,39.72
2020-03-13,45.81
2020-03-14,
2020-03-15,
2020-03-16,33.52
2020-03-17,32.63
2020-03-18,23.9
2020-03-19,25.07
2020-03-20,22.35
2020-03-21,
2020-03-22,
2020-03-23,23.59
2020-03-24,29.9
2020-03-25,33.15
2020-03-26,36.92
2020-03-27,34.0
2020-03-28,
2020-03-29,
2020-03-30,33.27
2020-03-31,31.57
2020-04-01,27.91
2020-04-02,27.43
2020-04-03,25.25
2020-04-04,
2020-04-05,
2020-04-06,29.62
2020-04-07,30.98
2020-04-08,32.94
2020-04-09,34.7
2020-04-10,
2020-04-11,
