Date,Close
2020-01-01,
2020-01-02,11.65
2020-01-03,11.56
2020-01-04,
2020-01-05,
2020-01-06,11.59
2020-01-07,11.55
2020-01-08,11.61
2020-01-09,11.68
2020-01-10,11.66
2020-01-11,
2020-01-12,
2020-01-13,11.73
2020-01-14,11.72
2020-01-15,11.73
2020-01-16,11.83
2020-01-17,11.88
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,11.84
2020-01-22,11.84
2020-01-23,11.84
2020-01-24,11.72
2020-01-25,
2020-01-26,
2020-01-27,11.54
2020-01-28,11.65
2020-01-29,11.62
2020-01-30,11.65
2020-01-31,11.43
2020-02-01,
2020-02-02,
2020-02-03,11.51
2020-02-04,11.69
2020-02-05,11.83
2020-02-06,11.87
2020-02-07,11.81
2020-02-08,
2020-02-09,
2020-02-10,11.9
2020-02-11,11.93
2020-02-12,12.02
2020-02-13,11.99
2020-02-14,12.0
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,11.96
2020-02-19,12.02
2020-02-20,11.97
2020-02-21,11.86
2020-02-22,
2020-02-23,
2020-02-24,11.47
2020-02-25,11.13
2020-02-26,11.07
2020-02-27,10.59
2020-02-28,10.48
2020-02-29,
2020-03-01,
2020-03-02,10.98
2020-03-03,10.67
2020-03-04,11.11
2020-03-05,10.77
2020-03-06,10.6
2020-03-07,
2020-03-08,
2020-03-09,9.83
2020-03-10,10.31
2020-03-11,9.8
2020-03-12,8.89
2020-03-13,9.71
2020-03-14,
2020-03-15,
2020-03-16,8.55
2020-03-17,9.05
2020-03-18,8.62
2020-03-19,8.66
2020-03-20,8.3
2020-03-21,
2020-03-22,
2020-03-23,8.05
2020-03-24,8.79
2020-03-25,8.86
2020-03-26,9.42
2020-03-27,9.11
2020-03-28,
2020-03-29,
2020-03-30,9.42
2020-03-31,9.26
2020-04-01,8.87
2020-04-02,9.07
2020-04-03,8.94
2020-04-04,
2020-04-05,
2020-04-06,9.54
2020-04-07,9.53
2020-04-08,9.85
2020-04-09,9.99
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,9.9
2020-04-14,10.22
2020-04-15,9.98
2020-04-16,10.05
2020-04-17,10.32
2020-04-18,
2020-04-19,
2020-04-20,10.14
2020-04-21,9.82
2020-04-22,10.05
2020-04-23,10.05
2020-04-24,10.2
2020-04-25,
2020-04-26,
2020-04-27,10.34
2020-04-28,10.29
2020-04-29,10.57
2020-04-30,10.47
2020-05-01,10.17
2020-05-02,
2020-05-03,
2020-05-04,10.21
2020-05-05,10.29
2020-05-06,10.23
2020-05-07,10.34
2020-05-08,10.53
2020-05-09,
2020-05-10,
2020-05-11,10.54
2020-05-12,10.33
2020-05-13,10.14
2020-05-14,10.27
2020-05-15,10.3
2020-05-16,
2020-05-17,
2020-05-18,10.62
2020-05-19,10.51
2020-05-20,10.68
2020-05-21,10.6
2020-05-22,10.62
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,10.75
2020-05-27,10.92
2020-05-28,10.87
2020-05-29,10.94
2020-05-30,
2020-05-31,
2020-06-01,10.96
2020-06-02,11.06
2020-06-03,11.18
2020-06-04,11.16
2020-06-05,11.44
2020-06-06,
2020-06-07,
2020-06-08,11.59
2020-06-09,11.5
2020-06-10,11.44
2020-06-11,10.75
2020-06-12,10.91
2020-06-13,
2020-06-14,
2020-06-15,10.99
2020-06-16,11.21
2020-06-17,11.16
2020-06-18,11.16
2020-06-19,11.11
2020-06-20,
2020-06-21,
2020-06-22,11.2
2020-06-23,11.23
2020-06-24,10.95
2020-06-25,11.07
2020-06-26,10.8
2020-06-27,
2020-06-28,
2020-06-29,10.96
2020-06-30,11.13
2020-07-01,11.16
2020-07-02,11.21
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,11.39
2020-07-07,11.25
2020-07-08,11.34
2020-07-09,11.26
2020-07-10,11.39
2020-07-11,
2020-07-12,
2020-07-13,11.3
2020-07-14,11.44
2020-07-15,11.53
2020-07-16,11.49
2020-07-17,11.51
2020-07-18,
2020-07-19,
2020-07-20,11.6
2020-07-21,11.63
2020-07-22,11.69
2020-07-23,11.55
2020-07-24,11.47
2020-07-25,
2020-07-26,
2020-07-27,11.56
2020-07-28,11.49
2020-07-29,11.63
2020-07-30,11.6
2020-07-31,11.69
2020-08-01,
2020-08-02,
2020-08-03,11.79
2020-08-04,11.83
2020-08-05,11.89
2020-08-06,11.97
2020-08-07,11.98
2020-08-08,
2020-08-09,
2020-08-10,12.03
2020-08-11,11.94
2020-08-12,12.11
2020-08-13,12.08
2020-08-14,12.08
2020-08-15,
2020-08-16,
2020-08-17,12.12
2020-08-18,12.16
2020-08-19,12.12
2020-08-20,12.15
2020-08-21,12.19
2020-08-22,
2020-08-23,
2020-08-24,12.32
2020-08-25,12.36
2020-08-26,12.46
2020-08-27,12.49
2020-08-28,12.57
2020-08-29,
2020-08-30,
2020-08-31,12.54
2020-09-01,12.64
2020-09-02,12.83
2020-09-03,12.37
2020-09-04,12.27
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,11.93
2020-09-09,12.17
2020-09-10,11.96
2020-09-11,11.98
2020-09-12,
2020-09-13,
2020-09-14,12.13
2020-09-15,12.18
2020-09-16,12.12
2020-09-17,12.03
2020-09-18,11.91
2020-09-19,
2020-09-20,
2020-09-21,11.76
2020-09-22,11.88
2020-09-23,11.61
2020-09-24,11.63
2020-09-25,11.81
2020-09-26,
2020-09-27,
2020-09-28,12.0
2020-09-29,11.94
2020-09-30,12.03
2020-10-01,12.1
2020-10-02,11.98
2020-10-03,
2020-10-04,
2020-10-05,12.2
2020-10-06,12.03
2020-10-07,12.25
2020-10-08,12.35
2020-10-09,12.45
2020-10-10,
2020-10-11,
2020-10-12,12.66
2020-10-13,12.58
2020-10-14,12.51
2020-10-15,12.51
2020-10-16,12.51
2020-10-17,
2020-10-18,
2020-10-19,12.31
2020-10-20,12.36
2020-10-21,12.34
2020-10-22,12.37
2020-10-23,12.41
2020-10-24,
2020-10-25,
2020-10-26,12.18
2020-10-27,12.13
2020-10-28,11.71
2020-10-29,11.86
2020-10-30,11.73
2020-10-31,
2020-11-01,
2020-11-02,11.88
2020-11-03,12.07
2020-11-04,12.36
2020-11-05,12.61
2020-11-06,12.6
2020-11-07,
2020-11-08,
2020-11-09,12.7
2020-11-10,12.7
2020-11-11,12.81
2020-11-12,12.69
2020-11-13,12.87
2020-11-14,
2020-11-15,
2020-11-16,13.0
2020-11-17,12.94
2020-11-18,12.82
2020-11-19,12.86
2020-11-20,12.76
2020-11-21,
2020-11-22,
2020-11-23,12.85
2020-11-24,13.05
2020-11-25,13.03
2020-11-26,
2020-11-27,13.07
2020-11-28,
2020-11-29,
2020-11-30,12.99
2020-12-01,13.14
2020-12-02,13.16
2020-12-03,13.15
2020-12-04,13.26
2020-12-05,
2020-12-06,
2020-12-07,13.24
2020-12-08,13.28
2020-12-09,13.17
2020-12-10,13.15
2020-12-11,13.12
2020-12-12,
2020-12-13,
2020-12-14,13.06
2020-12-15,13.21
2020-12-16,13.24
2020-12-17,13.31
2020-12-18,13.26
2020-12-19,
2020-12-20,
2020-12-21,13.24
2020-12-22,13.23
2020-12-23,13.24
2020-12-24,13.29
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,13.4
2020-12-29,13.36
2020-12-30,13.38
2020-12-31,13.45
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,13.26
2021-01-05,13.36
2021-01-06,13.44
2021-01-07,13.65
2021-01-08,13.71
2021-01-09,
2021-01-10,
2021-01-11,13.65
2021-01-12,13.67
2021-01-13,13.71
2021-01-14,13.68
2021-01-15,13.58
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,13.71
2021-01-20,13.9
2021-01-21,13.91
2021-01-22,13.89
2021-01-23,
2021-01-24,
2021-01-25,13.93
2021-01-26,13.9
2021-01-27,13.53
2021-01-28,13.65
2021-01-29,13.39
2021-01-30,
2021-01-31,
2021-02-01,13.61
2021-02-02,13.79
2021-02-03,13.82
2021-02-04,13.97
2021-02-05,14.02
2021-02-06,
2021-02-07,
2021-02-08,14.13
2021-02-09,14.13
2021-02-10,14.12
2021-02-11,14.16
2021-02-12,14.22
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,14.2
2021-02-17,14.2
2021-02-18,14.12
2021-02-19,14.11
2021-02-20,
2021-02-21,
2021-02-22,14.0
2021-02-23,14.02
2021-02-24,14.2
2021-02-25,13.85
2021-02-26,13.78
2021-02-27,
2021-02-28,
2021-03-01,14.13
2021-03-02,14.01
2021-03-03,13.84
2021-03-04,13.68
2021-03-05,13.96
2021-03-06,
2021-03-07,
2021-03-08,13.89
2021-03-09,14.08
2021-03-10,14.17
2021-03-11,14.33
2021-03-12,14.34
2021-03-13,
2021-03-14,
2021-03-15,14.45
2021-03-16,14.43
2021-03-17,14.46
2021-03-18,14.28
2021-03-19,14.28
2021-03-20,
2021-03-21,
2021-03-22,14.37
2021-03-23,14.23
2021-03-24,14.16
2021-03-25,14.25
2021-03-26,14.51
2021-03-27,
2021-03-28,
2021-03-29,14.49
2021-03-30,14.47
2021-03-31,14.52
2021-04-01,14.71
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,14.92
2021-04-06,14.89
2021-04-07,14.93
2021-04-08,14.98
2021-04-09,15.11
2021-04-10,
2021-04-11,
2021-04-12,15.11
2021-04-13,15.16
2021-04-14,15.09
2021-04-15,15.25
2021-04-16,15.3
2021-04-17,
2021-04-18,
2021-04-19,15.23
2021-04-20,15.11
2021-04-21,15.24
2021-04-22,15.09
2021-04-23,15.26
2021-04-24,
2021-04-25,
2021-04-26,15.28
2021-04-27,15.29
2021-04-28,15.28
2021-04-29,15.38
2021-04-30,15.27
2021-05-01,
2021-05-02,
2021-05-03,15.33
2021-05-04,15.23
2021-05-05,15.25
2021-05-06,15.39
2021-05-07,15.51
2021-05-08,
2021-05-09,
2021-05-10,15.34
2021-05-11,15.19
2021-05-12,14.85
2021-05-13,15.04
2021-05-14,15.26
2021-05-15,
2021-05-16,
2021-05-17,15.24
2021-05-18,15.09
2021-05-19,15.06
2021-05-20,15.2
2021-05-21,15.18
2021-05-22,
2021-05-23,
2021-05-24,15.34
2021-05-25,15.29
2021-05-26,15.32
2021-05-27,15.34
2021-05-28,15.36
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,15.36
2021-06-02,15.36
2021-06-03,15.32
2021-06-04,15.45
2021-06-05,
2021-06-06,
2021-06-07,15.43
2021-06-08,15.45
2021-06-09,15.41
2021-06-10,15.47
2021-06-11,15.5
2021-06-12,
2021-06-13,
2021-06-14,15.52
2021-06-15,15.48
2021-06-16,15.4
2021-06-17,15.38
2021-06-18,15.17
2021-06-19,
2021-06-20,
2021-06-21,15.38
2021-06-22,15.47
2021-06-23,15.46
2021-06-24,15.56
2021-06-25,15.61
2021-06-26,
2021-06-27,
2021-06-28,15.66
2021-06-29,15.67
2021-06-30,15.7
2021-07-01,15.78
2021-07-02,15.89
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,15.85
2021-07-07,15.9
2021-07-08,15.76
2021-07-09,15.95
2021-07-10,
2021-07-11,
2021-07-12,16.02
2021-07-13,15.96
2021-07-14,15.96
2021-07-15,15.91
2021-07-16,15.79
2021-07-17,
2021-07-18,
2021-07-19,15.54
2021-07-20,15.77
2021-07-21,15.91
2021-07-22,15.94
2021-07-23,16.1
2021-07-24,
2021-07-25,
2021-07-26,16.14
2021-07-27,16.05
2021-07-28,16.04
2021-07-29,16.12
2021-07-30,16.03
2021-07-31,
2021-08-01,
2021-08-02,16.0
2021-08-03,16.15
2021-08-04,16.06
2021-08-05,16.15
2021-08-06,16.19
2021-08-07,
2021-08-08,
2021-08-09,16.17
2021-08-10,16.2
2021-08-11,16.26
2021-08-12,16.32
2021-08-13,16.34
2021-08-14,
2021-08-15,
2021-08-16,16.39
2021-08-17,16.25
2021-08-18,16.08
2021-08-19,16.1
2021-08-20,16.23
2021-08-21,
2021-08-22,
2021-08-23,16.38
2021-08-24,16.41
2021-08-25,16.45
2021-08-26,16.36
2021-08-27,16.52
2021-08-28,
2021-08-29,
2021-08-30,16.59
2021-08-31,16.57
2021-09-01,16.57
2021-09-02,16.62
2021-09-03,16.62
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,16.55
2021-09-08,16.51
2021-09-09,16.43
2021-09-10,16.32
2021-09-11,
2021-09-12,
2021-09-13,16.37
2021-09-14,16.27
2021-09-15,16.42
2021-09-16,16.39
2021-09-17,16.24
2021-09-18,
2021-09-19,
2021-09-20,15.94
2021-09-21,15.92
2021-09-22,16.06
2021-09-23,16.25
2021-09-24,16.26
2021-09-25,
2021-09-26,
2021-09-27,16.25
2021-09-28,15.93
2021-09-29,15.96
2021-09-30,15.76
2021-10-01,15.94
2021-10-02,
2021-10-03,
2021-10-04,15.74
2021-10-05,15.9
2021-10-06,15.96
2021-10-07,16.1
2021-10-08,16.08
2021-10-09,
2021-10-10,
2021-10-11,15.98
2021-10-12,15.94
2021-10-13,15.99
2021-10-14,16.26
2021-10-15,16.37
2021-10-16,
2021-10-17,
2021-10-18,16.44
2021-10-19,16.57
2021-10-20,16.65
2021-10-21,16.68
2021-10-22,16.68
2021-10-23,
2021-10-24,
2021-10-25,16.77
2021-10-26,16.79
2021-10-27,16.7
2021-10-28,16.88
2021-10-29,16.9
2021-10-30,
2021-10-31,
2021-11-01,16.95
2021-11-02,17.03
2021-11-03,17.14
2021-11-04,17.22
2021-11-05,17.28
2021-11-06,
2021-11-07,
2021-11-08,17.29
2021-11-09,17.23
2021-11-10,17.08
2021-11-11,17.13
2021-11-12,17.27
2021-11-13,
2021-11-14,
2021-11-15,17.27
2021-11-16,17.33
2021-11-17,17.28
2021-11-18,17.34
2021-11-19,17.31
2021-11-20,
2021-11-21,
2021-11-22,17.28
2021-11-23,17.32
2021-11-24,17.35
2021-11-25,
2021-11-26,16.95
2021-11-27,
2021-11-28,
2021-11-29,17.17
2021-11-30,16.83
2021-12-01,16.66
2021-12-02,16.88
2021-12-03,16.74
2021-12-04,
2021-12-05,
2021-12-06,16.92
2021-12-07,17.28
2021-12-08,17.34
2021-12-09,17.23
2021-12-10,17.41
2021-12-11,
2021-12-12,
2021-12-13,17.23
2021-12-14,17.12
2021-12-15,17.4
2021-12-16,17.23
2021-12-17,17.04
2021-12-18,
2021-12-19,
2021-12-20,16.84
2021-12-21,17.15
2021-12-22,17.32
2021-12-23,17.43
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,17.69
2021-12-28,17.66
2021-12-29,17.7
2021-12-30,17.64
2021-12-31,17.6
2022-01-01,
2022-01-02,
2022-01-03,17.72
2022-01-04,17.73
2022-01-05,17.38
2022-01-06,17.37
2022-01-07,17.32
2022-01-08,
2022-01-09,
2022-01-10,17.3
2022-01-11,17.46
2022-01-12,17.52
2022-01-13,17.3
2022-01-14,17.33
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,17.03
2022-01-19,16.84
2022-01-20,16.63
2022-01-21,16.3
2022-01-22,
2022-01-23,
2022-01-24,16.36
2022-01-25,16.18
2022-01-26,16.18
2022-01-27,16.1
2022-01-28,16.49
2022-01-29,
2022-01-30,
2022-01-31,16.78
2022-02-01,16.91
2022-02-02,17.09
2022-02-03,16.67
2022-02-04,16.75
2022-02-05,
2022-02-06,
2022-02-07,16.69
2022-02-08,16.84
2022-02-09,17.08
2022-02-10,16.77
2022-02-11,16.46
2022-02-12,
2022-02-13,
2022-02-14,16.4
2022-02-15,16.67
2022-02-16,16.7
2022-02-17,16.35
2022-02-18,16.24
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,16.07
2022-02-23,15.79
2022-02-24,16.0
2022-02-25,16.37
2022-02-26,
2022-02-27,
2022-02-28,16.34
2022-03-01,16.1
2022-03-02,16.42
2022-03-03,16.36
2022-03-04,16.22
2022-03-05,
2022-03-06,
2022-03-07,15.74
2022-03-08,15.65
2022-03-09,16.04
2022-03-10,16.01
2022-03-11,15.81
2022-03-12,
2022-03-13,
2022-03-14,15.68
2022-03-15,16.0
2022-03-16,16.34
2022-03-17,16.53
2022-03-18,16.71
2022-03-19,
2022-03-20,
2022-03-21,16.71
2022-03-22,16.88
2022-03-23,16.67
2022-03-24,16.91
2022-03-25,17.02
2022-03-26,
2022-03-27,
2022-03-28,17.11
2022-03-29,17.3
2022-03-30,17.19
2022-03-31,16.93
2022-04-01,16.97
2022-04-02,
2022-04-03,
2022-04-04,17.09
2022-04-05,16.87
2022-04-06,16.7
2022-04-07,16.79
2022-04-08,16.76
2022-04-09,
2022-04-10,
2022-04-11,16.49
2022-04-12,16.45
2022-04-13,16.64
2022-04-14,16.46
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,16.48
2022-04-19,16.73
2022-04-20,16.76
2022-04-21,16.51
2022-04-22,16.06
2022-04-23,
2022-04-24,
2022-04-25,16.14
2022-04-26,15.71
2022-04-27,15.74
2022-04-28,16.13
2022-04-29,15.56
2022-04-30,
2022-05-01,
2022-05-02,15.67
2022-05-03,15.77
2022-05-04,16.25
2022-05-05,15.68
2022-05-06,15.6
2022-05-07,
2022-05-08,
2022-05-09,15.14
2022-05-10,15.17
2022-05-11,14.91
2022-05-12,14.88
2022-05-13,15.21
2022-05-14,
2022-05-15,
2022-05-16,15.18
2022-05-17,15.49
2022-05-18,14.85
2022-05-19,14.72
2022-05-20,14.72
2022-05-21,
2022-05-22,
2022-05-23,15.0
2022-05-24,14.88
2022-05-25,15.05
2022-05-26,15.35
2022-05-27,15.71
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,15.62
2022-06-01,15.51
2022-06-02,15.77
2022-06-03,15.53
2022-06-04,
2022-06-05,
2022-06-06,15.59
2022-06-07,15.74
2022-06-08,15.55
2022-06-09,15.2
2022-06-10,14.75
2022-06-11,
2022-06-12,
2022-06-13,14.15
2022-06-14,14.13
2022-06-15,14.33
2022-06-16,13.83
2022-06-17,13.84
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,14.19
2022-06-22,14.14
2022-06-23,14.25
2022-06-24,14.7
2022-06-25,
2022-06-26,
