Date,Close
2020-01-01,
2020-01-02,225.43
2020-01-03,232.17
2020-01-04,
2020-01-05,
2020-01-06,233.49
2020-01-07,235.66
2020-01-08,236.98
2020-01-09,243.19
2020-01-10,238.72
2020-01-11,
2020-01-12,
2020-01-13,242.14
2020-01-14,239.12
2020-01-15,241.51
2020-01-16,243.68
2020-01-17,244.78
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,245.45
2020-01-22,242.95
2020-01-23,244.15
2020-01-24,243.6
2020-01-25,
2020-01-26,
2020-01-27,241.52
2020-01-28,241.68
2020-01-29,232.91
2020-01-30,234.2
2020-01-31,229.96
2020-02-01,
2020-02-02,
2020-02-03,230.27
2020-02-04,233.54
2020-02-05,237.51
2020-02-06,236.29
2020-02-07,237.14
2020-02-08,
2020-02-09,
2020-02-10,236.94
2020-02-11,236.19
2020-02-12,237.97
2020-02-13,220.59
2020-02-14,216.93
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,209.26
2020-02-19,207.67
2020-02-20,209.19
2020-02-21,207.96
2020-02-22,
2020-02-23,
2020-02-24,206.92
2020-02-25,196.33
2020-02-26,193.63
2020-02-27,190.55
2020-02-28,181.94
2020-02-29,
2020-03-01,
2020-03-02,185.58
2020-03-03,183.78
2020-03-04,194.35
2020-03-05,185.63
2020-03-06,180.85
2020-03-07,
2020-03-08,
2020-03-09,172.49
2020-03-10,185.37
2020-03-11,175.21
2020-03-12,156.39
2020-03-13,158.12
2020-03-14,
2020-03-15,
2020-03-16,138.69
2020-03-17,142.61
2020-03-18,152.58
2020-03-19,150.02
2020-03-20,141.04
2020-03-21,
2020-03-22,
2020-03-23,136.3
2020-03-24,146.4
2020-03-25,157.08
2020-03-26,172.88
2020-03-27,164.29
2020-03-28,
2020-03-29,
2020-03-30,167.79
2020-03-31,161.3
2020-04-01,153.27
2020-04-02,159.91
2020-04-03,160.26
2020-04-04,
2020-04-05,
2020-04-06,171.48
2020-04-07,169.74
2020-04-08,173.01
2020-04-09,170.31
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,172.26
2020-04-14,174.41
2020-04-15,169.06
2020-04-16,170.39
2020-04-17,173.47
2020-04-18,
2020-04-19,
2020-04-20,170.2
2020-04-21,163.28
2020-04-22,164.86
2020-04-23,165.34
2020-04-24,163.33
2020-04-25,
2020-04-26,
2020-04-27,166.66
2020-04-28,169.32
2020-04-29,173.11
2020-04-30,169.44
2020-05-01,164.36
2020-05-02,
2020-05-03,
2020-05-04,159.33
2020-05-05,161.71
2020-05-06,158.15
2020-05-07,153.42
2020-05-08,159.86
2020-05-09,
2020-05-10,
2020-05-11,157.67
2020-05-12,153.61
2020-05-13,150.72
2020-05-14,152.46
2020-05-15,150.97
2020-05-16,
2020-05-17,
2020-05-18,159.71
2020-05-19,153.59
2020-05-20,155.01
2020-05-21,160.67
2020-05-22,161.8
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,171.22
