Date,Close
2020-01-01,
2020-01-02,127.02
2020-01-03,128.16
2020-01-04,
2020-01-05,
2020-01-06,127.55
2020-01-07,127.8
2020-01-08,128.85
2020-01-09,129.32
2020-01-10,130.7
2020-01-11,
2020-01-12,
2020-01-13,132.07
2020-01-14,131.31
2020-01-15,131.03
2020-01-16,131.44
2020-01-17,133.1
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,134.84
2020-01-22,134.5
2020-01-23,135.72
2020-01-24,136.47
2020-01-25,
2020-01-26,
2020-01-27,134.86
2020-01-28,134.28
2020-01-29,133.36
2020-01-30,139.53
2020-01-31,136.91
2020-02-01,
2020-02-02,
2020-02-03,136.45
2020-02-04,134.5
2020-02-05,134.89
2020-02-06,136.17
2020-02-07,137.68
2020-02-08,
2020-02-09,
2020-02-10,138.51
2020-02-11,139.1
2020-02-12,139.28
2020-02-13,140.58
2020-02-14,141.47
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,141.22
2020-02-19,141.6
2020-02-20,141.95
2020-02-21,142.14
2020-02-22,
2020-02-23,
2020-02-24,140.91
2020-02-25,139.48
2020-02-26,140.42
2020-02-27,134.72
2020-02-28,127.66
2020-02-29,
2020-03-01,
2020-03-02,135.08
2020-03-03,136.08
2020-03-04,142.69
2020-03-05,140.97
2020-03-06,138.56
2020-03-07,
2020-03-08,
2020-03-09,133.87
2020-03-10,137.02
2020-03-11,131.9
2020-03-12,117.8
2020-03-13,123.98
2020-03-14,
2020-03-15,
2020-03-16,111.65
2020-03-17,123.32
2020-03-18,102.94
2020-03-19,107.98
2020-03-20,104.38
2020-03-21,
2020-03-22,
2020-03-23,98.79
2020-03-24,108.09
2020-03-25,111.83
2020-03-26,117.43
2020-03-27,116.0
2020-03-28,
2020-03-29,
2020-03-30,122.15
2020-03-31,117.47
2020-04-01,116.73
2020-04-02,120.33
2020-04-03,123.92
2020-04-04,
2020-04-05,
2020-04-06,125.77
2020-04-07,125.1
2020-04-08,126.52
2020-04-09,127.59
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,126.47
2020-04-14,129.55
2020-04-15,126.43
2020-04-16,128.95
2020-04-17,129.85
2020-04-18,
2020-04-19,
2020-04-20,128.18
2020-04-21,125.56
2020-04-22,127.03
2020-04-23,121.38
2020-04-24,120.34
2020-04-25,
2020-04-26,
2020-04-27,119.78
2020-04-28,119.02
2020-04-29,119.16
2020-04-30,117.41
2020-05-01,117.51
2020-05-02,
2020-05-03,
2020-05-04,116.36
2020-05-05,116.46
2020-05-06,116.79
2020-05-07,115.72
2020-05-08,118.08
2020-05-09,
2020-05-10,
2020-05-11,117.87
2020-05-12,117.44
2020-05-13,116.91
2020-05-14,116.17
2020-05-15,115.59
2020-05-16,
2020-05-17,
2020-05-18,117.27
2020-05-19,116.06
2020-05-20,116.34
2020-05-21,114.18
2020-05-22,116.17
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,114.39
2020-05-27,118.66
2020-05-28,121.27
2020-05-29,121.0
2020-05-30,
2020-05-31,
2020-06-01,121.67
2020-06-02,122.34
2020-06-03,119.7
2020-06-04,119.0
2020-06-05,120.79
2020-06-06,
2020-06-07,
2020-06-08,120.99
2020-06-09,118.92
2020-06-10,120.68
2020-06-11,115.13
2020-06-12,115.14
2020-06-13,
2020-06-14,
2020-06-15,116.05
2020-06-16,118.24
2020-06-17,117.97
2020-06-18,118.2
2020-06-19,115.45
2020-06-20,
2020-06-21,
2020-06-22,116.44
2020-06-23,116.16
2020-06-24,114.14
2020-06-25,114.75
2020-06-26,112.24
2020-06-27,
2020-06-28,
2020-06-29,113.81
2020-06-30,115.6
2020-07-01,116.04
2020-07-02,115.81
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,115.45
2020-07-07,115.27
2020-07-08,114.62
2020-07-09,113.04
2020-07-10,113.93
2020-07-11,
2020-07-12,
2020-07-13,114.05
2020-07-14,117.54
2020-07-15,117.72
2020-07-16,119.91
2020-07-17,121.65
2020-07-18,
2020-07-19,
2020-07-20,120.85
2020-07-21,122.46
2020-07-22,123.48
2020-07-23,130.5
2020-07-24,129.92
2020-07-25,
2020-07-26,
2020-07-27,130.47
2020-07-28,129.97
2020-07-29,130.04
2020-07-30,129.57
2020-07-31,129.68
2020-08-01,
2020-08-02,
2020-08-03,129.26
2020-08-04,128.69
2020-08-05,126.88
2020-08-06,128.13
2020-08-07,128.35
2020-08-08,
2020-08-09,
2020-08-10,128.35
2020-08-11,127.09
2020-08-12,130.22
2020-08-13,130.72
2020-08-14,130.27
2020-08-15,
2020-08-16,
2020-08-17,132.28
2020-08-18,133.41
2020-08-19,131.78
2020-08-20,132.48
2020-08-21,132.2
2020-08-22,
2020-08-23,
2020-08-24,133.47
2020-08-25,133.31
2020-08-26,133.74
2020-08-27,133.34
2020-08-28,133.79
2020-08-29,
2020-08-30,
2020-08-31,133.29
2020-09-01,133.09
2020-09-02,133.99
2020-09-03,133.04
2020-09-04,133.43
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,130.49
2020-09-09,132.46
2020-09-10,130.16
2020-09-11,130.47
2020-09-12,
2020-09-13,
2020-09-14,129.57
2020-09-15,129.43
2020-09-16,128.4
2020-09-17,125.99
2020-09-18,124.57
2020-09-19,
2020-09-20,
2020-09-21,122.85
2020-09-22,123.23
2020-09-23,120.46
2020-09-24,123.44
2020-09-25,125.11
2020-09-26,
2020-09-27,
2020-09-28,125.91
2020-09-29,126.61
2020-09-30,128.53
2020-10-01,129.06
2020-10-02,128.16
2020-10-03,
2020-10-04,
2020-10-05,128.92
2020-10-06,126.94
2020-10-07,128.6
2020-10-08,128.69
2020-10-09,130.59
2020-10-10,
2020-10-11,
2020-10-12,132.78
2020-10-13,133.47
2020-10-14,134.03
2020-10-15,134.88
2020-10-16,134.43
2020-10-17,
2020-10-18,
2020-10-19,132.26
2020-10-20,131.71
2020-10-21,130.54
2020-10-22,130.42
2020-10-23,131.22
2020-10-24,
2020-10-25,
2020-10-26,129.31
2020-10-27,127.78
2020-10-28,123.92
2020-10-29,123.59
2020-10-30,123.26
2020-10-31,
2020-11-01,
2020-11-02,126.24
2020-11-03,127.98
2020-11-04,129.07
2020-11-05,129.66
2020-11-06,133.97
2020-11-07,
2020-11-08,
2020-11-09,134.25
2020-11-10,136.53
2020-11-11,137.79
2020-11-12,137.7
2020-11-13,138.09
2020-11-14,
2020-11-15,
2020-11-16,139.1
2020-11-17,137.13
2020-11-18,135.08
2020-11-19,134.69
2020-11-20,133.23
2020-11-21,
2020-11-22,
2020-11-23,132.37
2020-11-24,133.61
2020-11-25,133.56
2020-11-26,
2020-11-27,133.47
2020-11-28,
2020-11-29,
2020-11-30,133.33
2020-12-01,135.26
2020-12-02,134.55
