Date,Close
2020-01-01,
2020-01-02,25.24
2020-01-03,25.58
2020-01-04,
2020-01-05,
2020-01-06,25.67
2020-01-07,25.92
2020-01-08,25.91
2020-01-09,25.84
2020-01-10,25.86
2020-01-11,
2020-01-12,
2020-01-13,25.74
2020-01-14,25.95
2020-01-15,25.96
2020-01-16,25.93
2020-01-17,26.02
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,25.97
2020-01-22,25.73
2020-01-23,25.46
2020-01-24,25.41
2020-01-25,
2020-01-26,
2020-01-27,25.25
2020-01-28,25.44
2020-01-29,25.52
2020-01-30,25.48
2020-01-31,25.65
2020-02-01,
2020-02-02,
2020-02-03,25.52
2020-02-04,25.85
2020-02-05,26.3
2020-02-06,26.38
2020-02-07,26.36
2020-02-08,
2020-02-09,
2020-02-10,26.18
2020-02-11,26.39
2020-02-12,26.56
2020-02-13,26.37
2020-02-14,26.41
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,26.47
2020-02-19,26.52
2020-02-20,26.42
2020-02-21,26.3
2020-02-22,
2020-02-23,
2020-02-24,25.89
2020-02-25,25.19
2020-02-26,25.02
2020-02-27,24.54
2020-02-28,24.53
2020-02-29,
2020-03-01,
2020-03-02,24.72
2020-03-03,24.47
2020-03-04,24.58
2020-03-05,24.44
2020-03-06,24.1
2020-03-07,
2020-03-08,
2020-03-09,21.79
2020-03-10,22.55
2020-03-11,21.49
2020-03-12,20.15
2020-03-13,20.57
2020-03-14,
2020-03-15,
2020-03-16,19.67
2020-03-17,19.41
2020-03-18,18.37
2020-03-19,19.0
2020-03-20,18.86
2020-03-21,
2020-03-22,
2020-03-23,18.23
2020-03-24,19.59
2020-03-25,19.63
2020-03-26,19.8
2020-03-27,19.74
2020-03-28,
2020-03-29,
2020-03-30,19.93
2020-03-31,19.83
2020-04-01,19.43
2020-04-02,20.27
2020-04-03,20.6
2020-04-04,
2020-04-05,
2020-04-06,21.2
2020-04-07,20.94
2020-04-08,21.27
2020-04-09,21.82
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,21.62
2020-04-14,21.95
2020-04-15,21.6
2020-04-16,21.6
2020-04-17,21.78
2020-04-18,
2020-04-19,
2020-04-20,21.47
2020-04-21,20.94
2020-04-22,21.52
2020-04-23,21.63
2020-04-24,21.71
2020-04-25,
2020-04-26,
2020-04-27,22.07
2020-04-28,22.06
2020-04-29,22.88
2020-04-30,22.96
2020-05-01,22.1
2020-05-02,
2020-05-03,
2020-05-04,22.43
2020-05-05,22.36
2020-05-06,22.14
2020-05-07,22.52
2020-05-08,22.77
2020-05-09,
2020-05-10,
2020-05-11,22.49
2020-05-12,22.51
2020-05-13,22.37
2020-05-14,22.66
2020-05-15,22.59
2020-05-16,
2020-05-17,
2020-05-18,23.07
2020-05-19,23.04
2020-05-20,23.43
2020-05-21,23.22
2020-05-22,23.24
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,23.4
2020-05-27,23.47
2020-05-28,23.69
2020-05-29,23.48
2020-05-30,
2020-05-31,
2020-06-01,23.66
2020-06-02,23.87
2020-06-03,24.01
2020-06-04,24.15
2020-06-05,24.57
2020-06-06,
2020-06-07,
2020-06-08,25.22
2020-06-09,24.68
2020-06-10,24.61
2020-06-11,23.21
2020-06-12,23.9
2020-06-13,
2020-06-14,
2020-06-15,23.89
2020-06-16,24.13
2020-06-17,23.88
2020-06-18,23.7
2020-06-19,23.77
2020-06-20,
2020-06-21,
2020-06-22,23.71
2020-06-23,23.65
2020-06-24,23.02
2020-06-25,23.23
2020-06-26,22.91
2020-06-27,
2020-06-28,
2020-06-29,22.86
2020-06-30,23.24
2020-07-01,23.11
2020-07-02,23.06
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,23.13
2020-07-07,22.85
2020-07-08,23.11
2020-07-09,22.72
2020-07-10,22.77
2020-07-11,
2020-07-12,
2020-07-13,22.63
2020-07-14,23.2
2020-07-15,23.44
2020-07-16,23.11
2020-07-17,23.26
2020-07-18,
2020-07-19,
2020-07-20,23.15
2020-07-21,23.38
2020-07-22,23.35
2020-07-23,23.34
2020-07-24,23.26
2020-07-25,
2020-07-26,
2020-07-27,23.58
2020-07-28,23.52
2020-07-29,23.69
2020-07-30,23.52
2020-07-31,23.41
2020-08-01,
2020-08-02,
2020-08-03,23.58
2020-08-04,23.91
2020-08-05,24.5
2020-08-06,24.31
2020-08-07,24.13
2020-08-08,
2020-08-09,
2020-08-10,24.44
2020-08-11,24.07
2020-08-12,24.21
2020-08-13,24.21
2020-08-14,24.43
2020-08-15,
2020-08-16,
2020-08-17,24.75
2020-08-18,24.55
2020-08-19,24.21
2020-08-20,24.2
2020-08-21,24.01
2020-08-22,
2020-08-23,
2020-08-24,23.97
2020-08-25,23.86
2020-08-26,23.98
2020-08-27,23.82
2020-08-28,23.88
2020-08-29,
2020-08-30,
2020-08-31,23.87
2020-09-01,24.05
2020-09-02,23.94
2020-09-03,23.49
2020-09-04,23.19
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,22.74
2020-09-09,23.07
2020-09-10,22.66
2020-09-11,22.59
2020-09-12,
2020-09-13,
2020-09-14,22.84
2020-09-15,22.66
2020-09-16,22.64
2020-09-17,22.61
2020-09-18,22.49
2020-09-19,
2020-09-20,
2020-09-21,22.27
2020-09-22,22.3
2020-09-23,21.85
2020-09-24,22.15
2020-09-25,22.18
2020-09-26,
2020-09-27,
2020-09-28,22.35
2020-09-29,22.13
2020-09-30,22.14
2020-10-01,22.16
2020-10-02,22.09
2020-10-03,
2020-10-04,
2020-10-05,22.28
2020-10-06,22.11
2020-10-07,22.37
2020-10-08,22.74
2020-10-09,22.56
2020-10-10,
2020-10-11,
2020-10-12,22.81
2020-10-13,22.58
2020-10-14,22.61
2020-10-15,22.81
2020-10-16,22.67
2020-10-17,
2020-10-18,
2020-10-19,22.71
2020-10-20,22.78
2020-10-21,22.92
2020-10-22,23.15
2020-10-23,23.09
2020-10-24,
2020-10-25,
2020-10-26,22.91
2020-10-27,23.03
2020-10-28,22.54
2020-10-29,22.78
2020-10-30,22.61
2020-10-31,
2020-11-01,
2020-11-02,22.86
2020-11-03,23.11
2020-11-04,23.16
2020-11-05,23.93
2020-11-06,23.9
2020-11-07,
2020-11-08,
2020-11-09,24.85
2020-11-10,24.48
2020-11-11,24.56
2020-11-12,24.57
2020-11-13,24.7
2020-11-14,
2020-11-15,
2020-11-16,25.31
2020-11-17,25.68
2020-11-18,25.45
2020-11-19,25.55
2020-11-20,25.8
2020-11-21,
2020-11-22,
2020-11-23,26.33
2020-11-24,26.77
2020-11-25,26.28
2020-11-26,
