Date,Close
2020-01-01,
2020-01-02,5.97
2020-01-03,5.88
2020-01-04,
2020-01-05,
2020-01-06,5.9
2020-01-07,5.97
2020-01-08,5.98
2020-01-09,6.05
2020-01-10,6.08
2020-01-11,
2020-01-12,
2020-01-13,6.27
2020-01-14,6.16
2020-01-15,6.11
2020-01-16,6.2
2020-01-17,6.2
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,6.17
2020-01-22,6.23
2020-01-23,6.29
2020-01-24,6.23
2020-01-25,
2020-01-26,
2020-01-27,5.98
2020-01-28,6.17
2020-01-29,6.11
2020-01-30,6.12
2020-01-31,5.89
2020-02-01,
2020-02-02,
2020-02-03,5.98
2020-02-04,6.15
2020-02-05,6.24
2020-02-06,6.33
2020-02-07,6.26
2020-02-08,
2020-02-09,
2020-02-10,6.55
2020-02-11,6.67
2020-02-12,6.78
2020-02-13,6.74
2020-02-14,7.21
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,7.38
2020-02-19,7.83
2020-02-20,7.68
2020-02-21,7.32
2020-02-22,
2020-02-23,
2020-02-24,6.8
2020-02-25,6.52
2020-02-26,6.66
2020-02-27,6.29
2020-02-28,6.73
2020-02-29,
2020-03-01,
2020-03-02,6.88
2020-03-03,6.62
2020-03-04,7.09
2020-03-05,6.81
2020-03-06,6.63
2020-03-07,
2020-03-08,
2020-03-09,6.11
2020-03-10,6.5
2020-03-11,6.14
2020-03-12,5.39
2020-03-13,6.0
2020-03-14,
2020-03-15,
2020-03-16,4.89
2020-03-17,5.41
2020-03-18,5.05
2020-03-19,5.3
2020-03-20,5.12
2020-03-21,
2020-03-22,
2020-03-23,5.3
2020-03-24,6.21
2020-03-25,6.12
2020-03-26,6.41
2020-03-27,6.29
2020-03-28,
2020-03-29,
2020-03-30,6.61
2020-03-31,6.57
2020-04-01,6.05
2020-04-02,6.36
2020-04-03,6.07
2020-04-04,
2020-04-05,
2020-04-06,6.68
2020-04-07,6.45
2020-04-08,6.65
2020-04-09,6.55
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,6.72
2020-04-14,7.07
2020-04-15,6.99
2020-04-16,7.34
2020-04-17,7.28
2020-04-18,
2020-04-19,
2020-04-20,7.15
2020-04-21,6.71
2020-04-22,7.13
2020-04-23,7.07
2020-04-24,7.21
2020-04-25,
2020-04-26,
2020-04-27,7.4
2020-04-28,7.26
2020-04-29,7.43
2020-04-30,7.28
2020-05-01,7.04
2020-05-02,
2020-05-03,
2020-05-04,7.26
2020-05-05,7.32
2020-05-06,7.42
2020-05-07,7.59
2020-05-08,7.78
2020-05-09,
2020-05-10,
2020-05-11,8.04
2020-05-12,7.77
2020-05-13,7.75
2020-05-14,8.0
2020-05-15,8.46
2020-05-16,
2020-05-17,
2020-05-18,8.72
2020-05-19,8.77
2020-05-20,8.94
2020-05-21,8.74
2020-05-22,8.99
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,8.69
2020-05-27,8.49
2020-05-28,8.46
2020-05-29,8.84
2020-05-30,
2020-05-31,
2020-06-01,8.77
2020-06-02,8.79
2020-06-03,8.74
2020-06-04,8.74
2020-06-05,8.89
2020-06-06,
2020-06-07,
2020-06-08,8.78
2020-06-09,9.02
2020-06-10,9.34
2020-06-11,8.77
2020-06-12,8.9
2020-06-13,
2020-06-14,
2020-06-15,9.14
2020-06-16,9.04
2020-06-17,9.21
2020-06-18,9.19
2020-06-19,9.23
2020-06-20,
2020-06-21,
2020-06-22,9.5
2020-06-23,9.42
2020-06-24,9.21
2020-06-25,9.46
2020-06-26,9.12
2020-06-27,
2020-06-28,
2020-06-29,9.17
2020-06-30,9.47
2020-07-01,9.5
2020-07-02,9.58
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,9.81
2020-07-07,9.84
2020-07-08,10.18
2020-07-09,10.47
2020-07-10,10.44
2020-07-11,
2020-07-12,
2020-07-13,10.02
2020-07-14,10.34
2020-07-15,10.19
2020-07-16,10.1
2020-07-17,10.17
2020-07-18,
2020-07-19,
2020-07-20,10.48
2020-07-21,10.29
2020-07-22,10.4
2020-07-23,10.1
2020-07-24,10.16
2020-07-25,
2020-07-26,
2020-07-27,10.39
2020-07-28,10.18
2020-07-29,10.43
2020-07-30,10.58
2020-07-31,10.58
2020-08-01,
2020-08-02,
2020-08-03,10.97
2020-08-04,11.19
2020-08-05,11.25
2020-08-06,11.3
2020-08-07,11.16
2020-08-08,
2020-08-09,
2020-08-10,11.13
2020-08-11,10.81
2020-08-12,11.4
2020-08-13,11.41
2020-08-14,11.53
2020-08-15,
2020-08-16,
2020-08-17,12.3
2020-08-18,12.22
2020-08-19,12.1
2020-08-20,12.1
2020-08-21,12.64
2020-08-22,
2020-08-23,
2020-08-24,12.68
2020-08-25,12.71
2020-08-26,12.73
2020-08-27,12.59
2020-08-28,13.1
2020-08-29,
2020-08-30,
2020-08-31,13.33
2020-09-01,13.78
2020-09-02,14.3
2020-09-03,12.98
2020-09-04,12.58
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,11.88
2020-09-09,12.68
2020-09-10,12.27
2020-09-11,12.13
2020-09-12,
2020-09-13,
2020-09-14,12.83
2020-09-15,12.95
2020-09-16,12.48
2020-09-17,12.43
2020-09-18,12.15
2020-09-19,
2020-09-20,
2020-09-21,12.48
2020-09-22,12.6
2020-09-23,12.09
2020-09-24,12.31
