Date,Close
2020-01-01,
2020-01-02,78.89
2020-01-03,78.34
2020-01-04,
2020-01-05,
2020-01-06,78.61
2020-01-07,78.4
2020-01-08,78.78
2020-01-09,79.33
2020-01-10,79.1
2020-01-11,
2020-01-12,
2020-01-13,79.66
2020-01-14,79.54
2020-01-15,79.7
2020-01-16,80.36
2020-01-17,80.68
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,80.46
2020-01-22,80.49
2020-01-23,80.59
2020-01-24,79.86
2020-01-25,
2020-01-26,
2020-01-27,78.6
2020-01-28,79.4
2020-01-29,79.33
2020-01-30,79.59
2020-01-31,78.18
2020-02-01,
2020-02-02,
2020-02-03,78.76
2020-02-04,79.93
2020-02-05,80.84
2020-02-06,81.12
2020-02-07,80.7
2020-02-08,
2020-02-09,
2020-02-10,81.3
2020-02-11,81.44
2020-02-12,81.97
2020-02-13,81.86
2020-02-14,82.02
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,81.78
2020-02-19,82.18
2020-02-20,81.87
2020-02-21,81.02
2020-02-22,
2020-02-23,
2020-02-24,78.31
2020-02-25,75.94
2020-02-26,75.66
2020-02-27,72.32
2020-02-28,71.74
2020-02-29,
2020-03-01,
2020-03-02,75.05
2020-03-03,72.94
2020-03-04,76.02
2020-03-05,73.46
2020-03-06,72.21
2020-03-07,
2020-03-08,
2020-03-09,66.74
2020-03-10,70.03
2020-03-11,66.62
2020-03-12,60.3
2020-03-13,65.91
2020-03-14,
2020-03-15,
2020-03-16,58.02
2020-03-17,61.5
2020-03-18,58.31
2020-03-19,58.58
2020-03-20,56.05
2020-03-21,
2020-03-22,
2020-03-23,54.41
2020-03-24,59.53
2020-03-25,60.21
2020-03-26,63.98
2020-03-27,61.81
2020-03-28,
2020-03-29,
2020-03-30,63.89
2020-03-31,62.88
2020-04-01,60.1
2020-04-02,61.48
2020-04-03,60.56
2020-04-04,
2020-04-05,
2020-04-06,64.81
2020-04-07,64.71
2020-04-08,66.94
2020-04-09,67.91
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,67.23
2020-04-14,69.29
2020-04-15,67.77
2020-04-16,68.16
2020-04-17,69.99
2020-04-18,
2020-04-19,
2020-04-20,68.74
2020-04-21,66.63
2020-04-22,68.16
2020-04-23,68.13
2020-04-24,69.08
2020-04-25,
2020-04-26,
2020-04-27,70.09
2020-04-28,69.73
2020-04-29,71.59
2020-04-30,70.93
2020-05-01,68.94
2020-05-02,
2020-05-03,
2020-05-04,69.23
2020-05-05,69.87
2020-05-06,69.38
2020-05-07,70.2
2020-05-08,71.4
2020-05-09,
2020-05-10,
2020-05-11,71.41
2020-05-12,69.96
2020-05-13,68.74
2020-05-14,69.55
2020-05-15,69.83
2020-05-16,
2020-05-17,
2020-05-18,72.04
2020-05-19,71.29
2020-05-20,72.49
2020-05-21,71.93
2020-05-22,72.11
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,73.0
2020-05-27,74.09
2020-05-28,73.94
2020-05-29,74.3
2020-05-30,
2020-05-31,
2020-06-01,74.58
2020-06-02,75.2
2020-06-03,76.23
2020-06-04,75.99
2020-06-05,77.99
2020-06-06,
2020-06-07,
2020-06-08,78.92
2020-06-09,78.32
2020-06-10,77.9
2020-06-11,73.32
2020-06-12,74.3
2020-06-13,
2020-06-14,
2020-06-15,74.92
2020-06-16,76.34
2020-06-17,76.07
2020-06-18,76.11
2020-06-19,75.69
2020-06-20,
2020-06-21,
2020-06-22,76.18
2020-06-23,76.51
2020-06-24,74.54
2020-06-25,75.36
2020-06-26,73.52
2020-06-27,
2020-06-28,
2020-06-29,74.61
2020-06-30,75.77
2020-07-01,76.14
2020-07-02,76.51
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,77.73
2020-07-07,76.89
2020-07-08,77.49
2020-07-09,77.07
2020-07-10,77.88
2020-07-11,
2020-07-12,
2020-07-13,77.16
2020-07-14,78.2
2020-07-15,78.9
2020-07-16,78.64
2020-07-17,78.87
2020-07-18,
2020-07-19,
2020-07-20,79.53
2020-07-21,79.67
2020-07-22,80.13
2020-07-23,79.14
2020-07-24,78.66
2020-07-25,
2020-07-26,
2020-07-27,79.24
2020-07-28,78.73
2020-07-29,79.7
2020-07-30,79.42
2020-07-31,80.04
2020-08-01,
2020-08-02,
2020-08-03,80.62
2020-08-04,80.91
2020-08-05,81.43
2020-08-06,81.96
2020-08-07,82.02
2020-08-08,
2020-08-09,
2020-08-10,82.25
2020-08-11,81.6
2020-08-12,82.75
2020-08-13,82.6
2020-08-14,82.59
2020-08-15,
2020-08-16,
2020-08-17,82.82
2020-08-18,83.03
2020-08-19,82.68
2020-08-20,82.93
2020-08-21,83.23
2020-08-22,
2020-08-23,
2020-08-24,84.08
2020-08-25,84.38
2020-08-26,85.24
2020-08-27,85.38
2020-08-28,85.97
2020-08-29,
2020-08-30,
2020-08-31,85.79
2020-09-01,86.43
2020-09-02,87.78
2020-09-03,84.7
2020-09-04,84.01
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,81.68
2020-09-09,83.34
2020-09-10,81.88
2020-09-11,81.92
2020-09-12,
2020-09-13,
2020-09-14,82.99
2020-09-15,83.42
2020-09-16,83.04
2020-09-17,82.35
2020-09-18,81.43
2020-09-19,
2020-09-20,
2020-09-21,80.49
2020-09-22,81.33
2020-09-23,79.41
2020-09-24,79.65
2020-09-25,80.93
2020-09-26,
2020-09-27,
2020-09-28,82.23
2020-09-29,81.85
2020-09-30,82.53
2020-10-01,82.97
2020-10-02,82.18
2020-10-03,
2020-10-04,
2020-10-05,83.66
2020-10-06,82.5
2020-10-07,83.93
2020-10-08,84.64
2020-10-09,85.38
2020-10-10,
2020-10-11,
2020-10-12,86.78
2020-10-13,86.23
2020-10-14,85.67
2020-10-15,85.54
2020-10-16,85.56
2020-10-17,
2020-10-18,
2020-10-19,84.15
2020-10-20,84.56
2020-10-21,84.38
2020-10-22,84.82
2020-10-23,85.12
2020-10-24,
2020-10-25,
2020-10-26,83.54
2020-10-27,83.29
2020-10-28,80.35
2020-10-29,81.31
2020-10-30,80.33
2020-10-31,
2020-11-01,
2020-11-02,81.32
2020-11-03,82.77
2020-11-04,84.6
2020-11-05,86.25
2020-11-06,86.22
2020-11-07,
2020-11-08,
2020-11-09,87.26
2020-11-10,87.15
2020-11-11,87.82
2020-11-12,86.97
2020-11-13,88.15
2020-11-14,
2020-11-15,
2020-11-16,89.18
2020-11-17,88.77
2020-11-18,87.76
2020-11-19,88.11
2020-11-20,87.51
2020-11-21,
2020-11-22,
2020-11-23,88.02
2020-11-24,89.44
2020-11-25,89.3
2020-11-26,
2020-11-27,89.53
2020-11-28,
2020-11-29,
2020-11-30,89.13
2020-12-01,90.13
2020-12-02,90.3
2020-12-03,90.27
2020-12-04,91.06
2020-12-05,
2020-12-06,
2020-12-07,90.88
2020-12-08,91.14
2020-12-09,90.42
2020-12-10,90.31
2020-12-11,90.2
2020-12-12,
2020-12-13,
2020-12-14,89.83
2020-12-15,90.98
2020-12-16,91.14
2020-12-17,91.67
2020-12-18,91.36
2020-12-19,
2020-12-20,
2020-12-21,91.0
2020-12-22,90.83
2020-12-23,90.89
2020-12-24,91.23
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,92.02
2020-12-29,91.81
2020-12-30,91.94
2020-12-31,92.54
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,91.18
2021-01-05,91.84
2021-01-06,92.36
2021-01-07,93.76
2021-01-08,94.29
2021-01-09,
2021-01-10,
2021-01-11,93.66
2021-01-12,93.7
2021-01-13,93.91
2021-01-14,93.58
2021-01-15,92.91
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,93.66
2021-01-20,94.97
2021-01-21,95.01
2021-01-22,94.72
2021-01-23,
2021-01-24,
2021-01-25,95.06
2021-01-26,94.92
2021-01-27,94.92
2021-01-28,93.4
2021-01-29,91.61
2021-01-30,
2021-01-31,
2021-02-01,93.07
2021-02-02,94.37
2021-02-03,94.46
2021-02-04,95.5
2021-02-05,95.88
2021-02-06,
2021-02-07,
2021-02-08,96.59
2021-02-09,96.5
2021-02-10,96.47
2021-02-11,96.65
2021-02-12,97.11
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,97.07
2021-02-17,97.05
2021-02-18,96.62
2021-02-19,96.45
2021-02-20,
2021-02-21,
2021-02-22,95.72
2021-02-23,95.84
2021-02-24,96.92
2021-02-25,94.57
2021-02-26,94.13
2021-02-27,
2021-02-28,
2021-03-01,96.37
2021-03-02,95.58
2021-03-03,94.34
2021-03-04,93.09
2021-03-05,94.91
2021-03-06,
2021-03-07,
2021-03-08,94.41
2021-03-09,95.75
2021-03-10,96.33
2021-03-11,97.34
2021-03-12,97.46
2021-03-13,
2021-03-14,
2021-03-15,98.1
2021-03-16,97.95
2021-03-17,98.24
2021-03-18,96.79
2021-03-19,96.74
2021-03-20,
2021-03-21,
2021-03-22,97.41
2021-03-23,96.68
2021-03-24,96.15
2021-03-25,96.66
2021-03-26,98.26
2021-03-27,
2021-03-28,
2021-03-29,98.18
2021-03-30,97.88
2021-03-31,98.24
2021-04-01,99.41
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,100.86
2021-04-06,100.76
2021-04-07,100.91
2021-04-08,101.36
2021-04-09,102.14
2021-04-10,
2021-04-11,
2021-04-12,102.12
2021-04-13,102.46
2021-04-14,102.05
2021-04-15,103.19
2021-04-16,103.56
2021-04-17,
2021-04-18,
2021-04-19,103.01
2021-04-20,102.32
2021-04-21,103.26
2021-04-22,102.33
2021-04-23,103.44
2021-04-24,
2021-04-25,
2021-04-26,103.63
2021-04-27,103.61
2021-04-28,103.52
2021-04-29,104.23
2021-04-30,103.48
2021-05-01,
2021-05-02,
2021-05-03,103.77
2021-05-04,103.08
2021-05-05,103.15
2021-05-06,104.0
2021-05-07,104.79
2021-05-08,
2021-05-09,
2021-05-10,103.69
2021-05-11,102.79
2021-05-12,100.6
2021-05-13,101.85
2021-05-14,103.37
2021-05-15,
2021-05-16,
2021-05-17,103.11
2021-05-18,102.25
2021-05-19,101.96
2021-05-20,103.05
2021-05-21,102.97
2021-05-22,
2021-05-23,
2021-05-24,104.0
2021-05-25,103.78
2021-05-26,103.97
2021-05-27,104.11
2021-05-28,104.2
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,104.15
2021-06-02,104.31
2021-06-03,103.96
2021-06-04,104.87
2021-06-05,
2021-06-06,
2021-06-07,104.79
2021-06-08,104.81
2021-06-09,104.62
2021-06-10,105.12
2021-06-11,105.32
2021-06-12,
2021-06-13,
2021-06-14,105.54
2021-06-15,105.33
2021-06-16,104.76
2021-06-17,104.72
2021-06-18,103.35
2021-06-19,
2021-06-20,
2021-06-21,104.8
2021-06-22,105.34
2021-06-23,105.22
2021-06-24,105.85
2021-06-25,106.19
2021-06-26,
2021-06-27,
2021-06-28,106.45
2021-06-29,106.48
2021-06-30,106.62
2021-07-01,107.19
2021-07-02,108.01
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,107.79
2021-07-07,108.16
2021-07-08,107.25
2021-07-09,108.47
2021-07-10,
2021-07-11,
2021-07-12,108.83
2021-07-13,108.46
2021-07-14,108.59
2021-07-15,108.24
2021-07-16,107.42
2021-07-17,
2021-07-18,
2021-07-19,105.72
2021-07-20,107.33
2021-07-21,108.2
2021-07-22,108.44
2021-07-23,109.54
2021-07-24,
2021-07-25,
2021-07-26,109.8
2021-07-27,109.28
2021-07-28,109.26
2021-07-29,109.73
2021-07-30,109.15
2021-07-31,
2021-08-01,
2021-08-02,108.95
2021-08-03,109.85
2021-08-04,109.33
2021-08-05,110.0
2021-08-06,110.19
2021-08-07,
2021-08-08,
2021-08-09,110.1
2021-08-10,110.21
2021-08-11,110.49
2021-08-12,110.84
2021-08-13,111.02
2021-08-14,
2021-08-15,
2021-08-16,111.32
2021-08-17,110.54
2021-08-18,109.37
2021-08-19,109.52
2021-08-20,110.41
2021-08-21,
2021-08-22,
2021-08-23,111.36
2021-08-24,111.53
2021-08-25,111.78
2021-08-26,111.13
2021-08-27,112.11
2021-08-28,
2021-08-29,
2021-08-30,112.6
2021-08-31,112.47
2021-09-01,112.51
2021-09-02,112.84
2021-09-03,112.81
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,112.43
2021-09-08,112.29
2021-09-09,111.78
2021-09-10,110.92
2021-09-11,
2021-09-12,
2021-09-13,111.17
2021-09-14,110.56
2021-09-15,111.5
2021-09-16,111.33
2021-09-17,110.32
2021-09-18,
2021-09-19,
2021-09-20,108.45
2021-09-21,108.36
2021-09-22,109.4
2021-09-23,110.72
2021-09-24,110.89
2021-09-25,
2021-09-26,
2021-09-27,110.58
2021-09-28,108.33
2021-09-29,108.51
2021-09-30,107.22
2021-10-01,108.45
2021-10-02,
2021-10-03,
2021-10-04,107.05
2021-10-05,108.2
2021-10-06,108.64
2021-10-07,109.56
2021-10-08,109.35
2021-10-09,
2021-10-10,
2021-10-11,108.6
2021-10-12,108.34
2021-10-13,108.67
2021-10-14,110.53
2021-10-15,111.36
2021-10-16,
2021-10-17,
2021-10-18,111.74
2021-10-19,112.56
2021-10-20,112.97
2021-10-21,113.32
2021-10-22,113.2
2021-10-23,
2021-10-24,
2021-10-25,113.74
