Date,Close
2020-01-01,
2020-01-02,7.46
2020-01-03,7.41
2020-01-04,
2020-01-05,
2020-01-06,7.42
2020-01-07,7.4
2020-01-08,7.44
2020-01-09,7.49
2020-01-10,7.47
2020-01-11,
2020-01-12,
2020-01-13,7.53
2020-01-14,7.53
2020-01-15,7.54
2020-01-16,7.61
2020-01-17,7.63
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,7.59
2020-01-22,7.61
2020-01-23,7.62
2020-01-24,7.54
2020-01-25,
2020-01-26,
2020-01-27,7.44
2020-01-28,7.51
2020-01-29,7.48
2020-01-30,7.51
2020-01-31,7.35
2020-02-01,
2020-02-02,
2020-02-03,7.41
2020-02-04,7.52
2020-02-05,7.61
2020-02-06,7.66
2020-02-07,7.6
2020-02-08,
2020-02-09,
2020-02-10,7.65
2020-02-11,7.66
2020-02-12,7.7
2020-02-13,7.69
2020-02-14,7.7
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,7.67
2020-02-19,7.7
2020-02-20,7.68
2020-02-21,7.61
2020-02-22,
2020-02-23,
2020-02-24,7.37
2020-02-25,7.16
2020-02-26,7.11
2020-02-27,6.81
2020-02-28,6.73
2020-02-29,
2020-03-01,
2020-03-02,7.02
2020-03-03,6.84
2020-03-04,7.11
2020-03-05,6.88
2020-03-06,6.77
2020-03-07,
2020-03-08,
2020-03-09,6.27
2020-03-10,6.55
2020-03-11,6.21
2020-03-12,5.6
2020-03-13,6.12
2020-03-14,
2020-03-15,
2020-03-16,5.39
2020-03-17,5.7
2020-03-18,5.4
2020-03-19,5.41
2020-03-20,5.18
2020-03-21,
2020-03-22,
2020-03-23,5.01
2020-03-24,5.01
2020-03-25,5.55
2020-03-26,5.91
2020-03-27,5.72
2020-03-28,
2020-03-29,
2020-03-30,5.9
2020-03-31,5.8
2020-04-01,5.54
2020-04-02,5.65
2020-04-03,5.56
2020-04-04,
2020-04-05,
2020-04-06,5.95
2020-04-07,5.94
2020-04-08,6.15
2020-04-09,6.25
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,6.17
2020-04-14,6.34
2020-04-15,6.17
2020-04-16,6.2
2020-04-17,6.39
2020-04-18,
2020-04-19,
2020-04-20,6.28
2020-04-21,6.08
2020-04-22,6.21
2020-04-23,6.2
2020-04-24,6.3
2020-04-25,
2020-04-26,
2020-04-27,6.42
2020-04-28,6.42
2020-04-29,6.61
2020-04-30,6.5
2020-05-01,6.31
2020-05-02,
2020-05-03,
2020-05-04,6.33
2020-05-05,6.39
2020-05-06,6.34
2020-05-07,6.42
2020-05-08,6.54
2020-05-09,
2020-05-10,
2020-05-11,6.54
2020-05-12,6.39
2020-05-13,6.24
2020-05-14,6.33
2020-05-15,6.36
2020-05-16,
2020-05-17,
2020-05-18,6.59
2020-05-19,6.51
2020-05-20,6.61
2020-05-21,6.58
2020-05-22,6.59
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,6.7
2020-05-27,6.83
2020-05-28,6.79
2020-05-29,6.81
2020-05-30,
2020-05-31,
2020-06-01,6.84
2020-06-02,6.9
2020-06-03,7.02
2020-06-04,7.0
2020-06-05,7.18
2020-06-06,
2020-06-07,
2020-06-08,7.27
2020-06-09,7.18
2020-06-10,7.12
2020-06-11,6.7
2020-06-12,6.79
2020-06-13,
2020-06-14,
2020-06-15,6.85
2020-06-16,6.99
2020-06-17,6.95
2020-06-18,6.93
2020-06-19,6.92
2020-06-20,
2020-06-21,
2020-06-22,6.95
2020-06-23,6.98
2020-06-24,6.8
2020-06-25,6.88
2020-06-26,6.74
2020-06-27,
2020-06-28,
2020-06-29,6.85
2020-06-30,6.96
2020-07-01,6.96
2020-07-02,6.99
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,7.09
2020-07-07,7.0
2020-07-08,7.04
2020-07-09,6.98
2020-07-10,7.07
2020-07-11,
2020-07-12,
2020-07-13,7.02
2020-07-14,7.11
2020-07-15,7.2
2020-07-16,7.18
2020-07-17,7.2
2020-07-18,
2020-07-19,
2020-07-20,7.22
2020-07-21,7.25
2020-07-22,7.3
2020-07-23,7.24
2020-07-24,7.18
2020-07-25,
