Date,Close
2020-01-01,
2020-01-02,18.27
2020-01-03,18.23
2020-01-04,
2020-01-05,
2020-01-06,18.2
2020-01-07,18.27
2020-01-08,18.19
2020-01-09,18.33
2020-01-10,18.36
2020-01-11,
2020-01-12,
2020-01-13,18.5
2020-01-14,18.54
2020-01-15,18.56
2020-01-16,18.6
2020-01-17,18.7
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,18.54
2020-01-22,18.62
2020-01-23,18.48
2020-01-24,18.54
2020-01-25,
2020-01-26,
2020-01-27,18.21
2020-01-28,18.24
2020-01-29,18.15
2020-01-30,17.99
2020-01-31,17.9
2020-02-01,
2020-02-02,
2020-02-03,17.82
2020-02-04,18.05
2020-02-05,18.14
2020-02-06,18.21
2020-02-07,18.14
2020-02-08,
2020-02-09,
2020-02-10,18.08
2020-02-11,18.29
2020-02-12,18.37
2020-02-13,18.29
2020-02-14,18.3
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,18.21
2020-02-19,18.32
2020-02-20,18.24
2020-02-21,18.24
2020-02-22,
2020-02-23,
2020-02-24,17.72
2020-02-25,17.28
2020-02-26,17.35
2020-02-27,16.95
2020-02-28,16.86
2020-02-29,
2020-03-01,
2020-03-02,17.13
2020-03-03,17.01
2020-03-04,17.41
2020-03-05,17.09
2020-03-06,16.77
2020-03-07,
2020-03-08,
2020-03-09,15.56
2020-03-10,15.94
2020-03-11,15.31
2020-03-12,13.71
2020-03-13,14.55
2020-03-14,
2020-03-15,
2020-03-16,13.05
2020-03-17,13.67
2020-03-18,12.98
2020-03-19,13.02
2020-03-20,13.12
2020-03-21,
2020-03-22,
2020-03-23,12.87
2020-03-24,13.83
2020-03-25,14.38
2020-03-26,15.05
2020-03-27,14.57
2020-03-28,
2020-03-29,
2020-03-30,14.55
2020-03-31,14.55
2020-04-01,14.1
2020-04-02,14.32
2020-04-03,14.1
2020-04-04,
2020-04-05,
2020-04-06,14.75
2020-04-07,14.79
2020-04-08,15.02
2020-04-09,15.16
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,15.12
2020-04-14,15.37
2020-04-15,14.96
2020-04-16,14.93
2020-04-17,15.36
2020-04-18,
2020-04-19,
2020-04-20,15.24
2020-04-21,14.9
2020-04-22,15.06
2020-04-23,14.98
2020-04-24,15.08
2020-04-25,
2020-04-26,
2020-04-27,15.21
2020-04-28,15.36
2020-04-29,15.63
2020-04-30,15.51
2020-05-01,15.46
2020-05-02,
2020-05-03,
2020-05-04,15.05
2020-05-05,15.19
2020-05-06,15.15
2020-05-07,15.36
2020-05-08,15.54
2020-05-09,
2020-05-10,
2020-05-11,15.45
2020-05-12,15.38
2020-05-13,15.38
2020-05-14,15.31
2020-05-15,15.28
2020-05-16,
2020-05-17,
2020-05-18,15.79
2020-05-19,15.76
2020-05-20,16.04
2020-05-21,15.94
2020-05-22,15.72
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,16.31
2020-05-27,16.37
2020-05-28,16.46
2020-05-29,16.53
2020-05-30,
2020-05-31,
2020-06-01,16.68
2020-06-02,16.9
2020-06-03,17.32
2020-06-04,17.35
2020-06-05,17.56
2020-06-06,
2020-06-07,
2020-06-08,17.54
2020-06-09,17.49
2020-06-10,17.51
2020-06-11,16.65
2020-06-12,16.89
2020-06-13,
2020-06-14,
2020-06-15,16.96
2020-06-16,17.23
2020-06-17,17.32
2020-06-18,17.3
2020-06-19,17.27
2020-06-20,
2020-06-21,
2020-06-22,17.35
2020-06-23,17.56
2020-06-24,17.23
2020-06-25,17.33
2020-06-26,17.17
2020-06-27,
2020-06-28,
2020-06-29,17.18
2020-06-30,17.26
2020-07-01,17.35
2020-07-02,17.64
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,18.1
2020-07-07,17.95
2020-07-08,18.16
2020-07-09,18.12
2020-07-10,18.18
2020-07-11,
2020-07-12,
2020-07-13,18.15
2020-07-14,18.24
2020-07-15,18.53
2020-07-16,18.17
2020-07-17,18.37
2020-07-18,
2020-07-19,
2020-07-20,18.54
2020-07-21,18.83
2020-07-22,18.75
2020-07-23,18.64
2020-07-24,18.48
2020-07-25,
2020-07-26,
2020-07-27,18.6
2020-07-28,18.64
2020-07-29,18.79
2020-07-30,18.62
2020-07-31,18.45
2020-08-01,
2020-08-02,
2020-08-03,18.76
2020-08-04,18.88
2020-08-05,19.07
2020-08-06,19.07
2020-08-07,18.96
2020-08-08,
2020-08-09,
2020-08-10,18.94
2020-08-11,19.01
2020-08-12,19.28
2020-08-13,19.27
2020-08-14,19.22
2020-08-15,
2020-08-16,
2020-08-17,19.39
2020-08-18,19.45
2020-08-19,19.38
2020-08-20,19.2
2020-08-21,19.22
2020-08-22,
2020-08-23,
2020-08-24,19.56
2020-08-25,19.64
2020-08-26,19.82
2020-08-27,19.77
2020-08-28,19.85
2020-08-29,
2020-08-30,
2020-08-31,19.71
2020-09-01,19.78
2020-09-02,20.09
2020-09-03,19.74
2020-09-04,19.59
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,19.34
2020-09-09,19.51
2020-09-10,19.33
2020-09-11,19.52
2020-09-12,
2020-09-13,
2020-09-14,19.7
2020-09-15,19.77
2020-09-16,19.77
2020-09-17,19.77
2020-09-18,19.77
2020-09-19,
2020-09-20,
2020-09-21,19.31
2020-09-22,19.25
2020-09-23,19.05
2020-09-24,18.97
2020-09-25,18.93
2020-09-26,
2020-09-27,
2020-09-28,19.25
2020-09-29,19.31
2020-09-30,19.29
2020-10-01,19.41
2020-10-02,19.31
2020-10-03,
2020-10-04,
2020-10-05,19.5
2020-10-06,19.4
2020-10-07,19.61
2020-10-08,19.72
2020-10-09,19.91
2020-10-10,
2020-10-11,
2020-10-12,20.14
2020-10-13,20.04
2020-10-14,20.08
2020-10-15,19.82
2020-10-16,20.0
2020-10-17,
2020-10-18,
2020-10-19,19.87
2020-10-20,20.08
2020-10-21,20.07
2020-10-22,19.96
2020-10-23,20.01
2020-10-24,
2020-10-25,
2020-10-26,19.54
2020-10-27,19.57
2020-10-28,19.13
2020-10-29,19.19
2020-10-30,19.03
2020-10-31,
2020-11-01,
2020-11-02,19.25
2020-11-03,19.61
2020-11-04,19.92
2020-11-05,20.44
2020-11-06,20.47
2020-11-07,
2020-11-08,
2020-11-09,20.95
2020-11-10,20.7
2020-11-11,20.69
2020-11-12,20.67
2020-11-13,20.74
2020-11-14,
2020-11-15,
2020-11-16,21.02
2020-11-17,20.99
2020-11-18,20.93
2020-11-19,21.06
2020-11-20,21.13
2020-11-21,
2020-11-22,
2020-11-23,21.2
2020-11-24,21.4
2020-11-25,21.34
2020-11-26,
2020-11-27,21.59
2020-11-28,
2020-11-29,
2020-11-30,21.31
2020-12-01,21.49
2020-12-02,21.49
2020-12-03,21.5
2020-12-04,21.63
2020-12-05,
2020-12-06,
2020-12-07,21.57
2020-12-08,21.63
2020-12-09,21.59
2020-12-10,21.62
2020-12-11,21.58
2020-12-12,
2020-12-13,
2020-12-14,21.6
2020-12-15,21.64
2020-12-16,21.73
2020-12-17,22.02
2020-12-18,21.88
2020-12-19,
2020-12-20,
2020-12-21,21.7
2020-12-22,21.64
2020-12-23,21.8
