Date,Close
2020-01-01,
2020-01-02,31.95
2020-01-03,31.86
2020-01-04,
2020-01-05,
2020-01-06,31.93
2020-01-07,31.87
2020-01-08,31.94
2020-01-09,32.07
2020-01-10,32.04
2020-01-11,
2020-01-12,
2020-01-13,32.18
2020-01-14,32.18
2020-01-15,32.24
2020-01-16,32.4
2020-01-17,32.45
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,32.43
2020-01-22,32.45
2020-01-23,32.5
2020-01-24,32.34
2020-01-25,
2020-01-26,
2020-01-27,32.09
2020-01-28,32.26
2020-01-29,32.27
2020-01-30,32.33
2020-01-31,32.03
2020-02-01,
2020-02-02,
2020-02-03,32.19
2020-02-04,32.43
2020-02-05,32.6
2020-02-06,32.67
2020-02-07,32.6
2020-02-08,
2020-02-09,
2020-02-10,32.77
2020-02-11,32.79
2020-02-12,32.9
2020-02-13,32.9
2020-02-14,32.95
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,32.94
2020-02-19,33.03
2020-02-20,33.0
2020-02-21,32.82
2020-02-22,
2020-02-23,
2020-02-24,32.23
2020-02-25,31.67
2020-02-26,31.54
2020-02-27,30.77
2020-02-28,30.69
2020-02-29,
2020-03-01,
2020-03-02,31.47
2020-03-03,31.04
2020-03-04,31.78
2020-03-05,31.2
2020-03-06,30.96
2020-03-07,
2020-03-08,
2020-03-09,29.5
2020-03-10,30.18
2020-03-11,29.16
2020-03-12,27.38
2020-03-13,28.75
2020-03-14,
2020-03-15,
2020-03-16,26.69
2020-03-17,27.42
2020-03-18,26.27
2020-03-19,26.38
2020-03-20,25.84
2020-03-21,
2020-03-22,
2020-03-23,25.51
2020-03-24,26.93
2020-03-25,27.19
2020-03-26,28.28
2020-03-27,27.8
2020-03-28,
2020-03-29,
2020-03-30,28.33
2020-03-31,28.09
2020-04-01,27.32
2020-04-02,27.67
2020-04-03,27.39
2020-04-04,
2020-04-05,
2020-04-06,28.55
2020-04-07,28.54
2020-04-08,29.15
2020-04-09,29.53
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,29.35
2020-04-14,29.89
2020-04-15,29.53
2020-04-16,29.63
2020-04-17,30.12
2020-04-18,
2020-04-19,
2020-04-20,29.82
2020-04-21,29.28
2020-04-22,29.66
2020-04-23,29.69
2020-04-24,29.95
2020-04-25,
2020-04-26,
2020-04-27,30.23
2020-04-28,30.2
2020-04-29,30.73
2020-04-30,30.49
2020-05-01,29.97
2020-05-02,
2020-05-03,
2020-05-04,30.04
2020-05-05,30.2
2020-05-06,30.05
2020-05-07,30.33
2020-05-08,30.64
2020-05-09,
2020-05-10,
2020-05-11,30.6
2020-05-12,30.22
2020-05-13,29.89
2020-05-14,30.11
2020-05-15,30.21
2020-05-16,
2020-05-17,
2020-05-18,30.79
2020-05-19,30.63
2020-05-20,30.98
2020-05-21,30.87
2020-05-22,30.95
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,31.19
2020-05-27,31.49
2020-05-28,31.43
2020-05-29,31.54
2020-05-30,
2020-05-31,
2020-06-01,31.65
2020-06-02,31.8
2020-06-03,32.07
2020-06-04,31.98
2020-06-05,32.49
2020-06-06,
2020-06-07,
2020-06-08,32.78
2020-06-09,32.61
2020-06-10,32.53
2020-06-11,31.37
2020-06-12,31.61
2020-06-13,
2020-06-14,
2020-06-15,31.8
2020-06-16,32.16
2020-06-17,32.09
2020-06-18,32.12
2020-06-19,32.02
2020-06-20,
2020-06-21,
2020-06-22,32.15
2020-06-23,32.22
2020-06-24,31.72
