Date,Close
2020-01-01,
2020-01-02,2.4351
2020-01-03,2.4238
2020-01-04,
2020-01-05,
2020-01-06,2.4238
2020-01-07,2.4181
2020-01-08,2.4238
2020-01-09,2.4181
2020-01-10,2.4238
2020-01-11,
2020-01-12,
2020-01-13,2.4351
2020-01-14,2.4373
2020-01-15,2.4373
2020-01-16,2.443
2020-01-17,2.4373
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,2.4373
2020-01-22,2.4658
2020-01-23,2.4658
2020-01-24,2.4714
2020-01-25,
2020-01-26,
2020-01-27,2.4373
2020-01-28,2.4544
2020-01-29,2.4487
2020-01-30,2.4487
2020-01-31,2.426
2020-02-01,
2020-02-02,
2020-02-03,2.4373
2020-02-04,2.4373
2020-02-05,2.4373
2020-02-06,2.443
2020-02-07,2.4544
2020-02-08,
2020-02-09,
2020-02-10,2.443
2020-02-11,2.4601
2020-02-12,2.4601
2020-02-13,2.4566
2020-02-14,2.4681
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,2.4624
2020-02-19,2.4795
2020-02-20,2.4681
2020-02-21,2.4624
2020-02-22,
2020-02-23,
2020-02-24,2.4281
2020-02-25,2.4052
2020-02-26,2.4224
2020-02-27,2.3767
2020-02-28,2.3024
2020-02-29,
2020-03-01,
2020-03-02,2.3195
2020-03-03,2.3252
2020-03-04,2.3881
2020-03-05,2.3424
2020-03-06,2.3252
2020-03-07,
2020-03-08,
2020-03-09,2.1767
2020-03-10,2.211
2020-03-11,2.131
2020-03-12,1.9367
2020-03-13,2.0282
2020-03-14,
2020-03-15,
2020-03-16,1.8234
2020-03-17,1.8521
2020-03-18,1.0929
2020-03-19,1.5243
2020-03-20,1.6221
2020-03-21,
2020-03-22,
2020-03-23,1.4898
2020-03-24,1.6221
2020-03-25,1.7544
2020-03-26,1.8406
2020-03-27,1.8349
2020-03-28,
2020-03-29,
2020-03-30,1.8291
2020-03-31,1.8521
2020-04-01,1.8291
2020-04-02,1.8637
2020-04-03,1.8349
2020-04-04,
2020-04-05,
2020-04-06,1.8924
2020-04-07,1.9269
2020-04-08,1.9672
2020-04-09,2.0247
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,1.9902
2020-04-14,2.0099
2020-04-15,1.9809
2020-04-16,1.9578
2020-04-17,1.9751
2020-04-18,
2020-04-19,
2020-04-20,1.9462
2020-04-21,1.9288
2020-04-22,1.952
2020-04-23,1.8998
2020-04-24,1.9172
2020-04-25,
2020-04-26,
2020-04-27,1.9114
