Symbol,n_change,n_gain,gain_ratio,relative_change,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
WBX,380,140,0.37,2.65,60,19,0.32,14.869565217391303,16.6829,1
DTC,380,152,0.4,-0.94,60,30,0.5,2.0,3.75,2
QUBT,380,164,0.43,20.55,60,30,0.5,1.7452229299363058,3.2986,3
AMPX,380,166,0.44,0.6200000000000001,60,33,0.55,1.7000000000000002,3.2334,4
OWLT,380,184,0.48,0.54,60,37,0.62,1.6551724137931036,3.1686,5
YSG,380,195,0.51,1.4900000000000002,60,36,0.6,1.5408163265306123,2.9552,6
BW,380,171,0.45,-0.29000000000000004,60,27,0.45,1.5357142857142851,2.9061,7
CRDO,380,205,0.54,4.29,60,37,0.62,1.483568075117371,2.8528,8
OKLO,380,188,0.49,4.23,60,31,0.52,1.455399061032864,2.7803,9
ZEPP,380,166,0.44,0.06000000000000005,60,31,0.52,1.4090909090909092,2.6957,10
SMR,380,186,0.49,10.47,60,34,0.57,1.360082304526749,2.6155,11
RAIL,380,194,0.51,3.4699999999999998,60,32,0.53,1.3526315789473684,2.5955,12
SLDP,380,168,0.44,0.95,60,34,0.57,1.3214285714285716,2.544,13
COMM,380,189,0.5,1.75,60,36,0.6,1.291666666666667,2.4939,14
QBTS,380,163,0.43,18.52,60,27,0.45,1.2803738317757007,2.4448,15
SANA,380,166,0.44,-0.030000000000000027,60,28,0.47,1.255813953488372,2.4038,16
HOOD,380,216,0.57,6.98,60,36,0.6,1.2352941176470589,2.3886,17
FL,380,183,0.48,-0.18000000000000005,60,32,0.53,1.2162162162162162,2.3434,18
COIN,380,181,0.48,1.48,60,31,0.52,1.194690265486726,2.3007,19
ELF,380,187,0.49,-0.17000000000000004,60,37,0.62,1.1842105263157894,2.295,20
DK,380,195,0.51,0.09000000000000008,60,39,0.65,1.1372549019607843,2.2101,21
ANVS,380,168,0.44,-0.85,60,32,0.53,1.1428571428571428,2.2069,22
BYON,380,155,0.41,-0.7,60,31,0.52,1.1428571428571428,2.2044,23
WULF,380,182,0.48,1.23,60,31,0.52,1.08411214953271,2.095,24
SQNS,380,163,0.43,-0.43999999999999995,60,27,0.45,1.074074074074074,2.066,25
JOBY,380,180,0.47,1.0,60,34,0.57,1.061855670103093,2.0594,26
RKLB,380,197,0.52,6.36,60,34,0.57,1.0444444444444443,2.0266,27
CMP,380,180,0.47,-0.08999999999999997,60,36,0.6,1.0222222222222221,1.988,28
APYX,380,159,0.42,-0.18999999999999995,60,28,0.47,1.025,1.9776,29
STX,380,203,0.53,0.8200000000000001,60,39,0.65,1.0,1.95,30
UPST,380,186,0.49,1.04,60,37,0.62,0.9805825242718447,1.9105,31
CLS,380,217,0.57,4.62,60,37,0.62,0.9650349650349652,1.881,32
INDI,380,169,0.44,-0.49,60,31,0.52,0.9615384615384615,1.8652,33
MCHP,380,194,0.51,-0.09999999999999998,60,36,0.6,0.9565217391304348,1.8635,34
SOFI,380,197,0.52,1.17,60,38,0.63,0.9374999999999998,1.8299,35
AXTI,380,172,0.45,-0.08999999999999997,60,32,0.53,0.9361702127659577,1.8191,36
RCKY,380,184,0.48,-0.13,60,35,0.58,0.9333333333333333,1.8182,37
DHX,380,168,0.44,0.1399999999999999,60,31,0.52,0.9322033898305084,1.81,38
ASTS,380,189,0.5,8.07,60,34,0.57,0.9216101694915255,1.7946,39
AMLX,380,189,0.5,-0.51,60,33,0.55,0.8846153846153846,1.723,40
UP,380,173,0.46,-0.61,60,32,0.53,0.8571428571428572,1.6696,41
ATEYY,380,209,0.55,1.35,60,40,0.67,0.8503937007874016,1.6654,42
DHC,380,180,0.47,0.08000000000000007,60,38,0.63,0.8305084745762714,1.6255,43
WDC,380,200,0.53,0.7,60,44,0.73,0.8279569892473118,1.6253,44
FOSL,380,156,0.41,0.1499999999999999,60,30,0.5,0.8253968253968254,1.6066,45
RIOT,380,174,0.46,-0.18000000000000005,60,30,0.5,0.822222222222222,1.6006,46
IONQ,380,192,0.51,2.78,60,29,0.48,0.8173076923076921,1.5898,47
VHC,380,174,0.46,1.5099999999999998,60,30,0.5,0.8057553956834531,1.5694,48
AAP,380,190,0.5,-0.010000000000000009,60,30,0.5,0.7999999999999998,1.5584,49
CLMT,380,185,0.49,-0.050000000000000044,60,34,0.57,0.7924528301886791,1.5488,50
RCL,380,212,0.56,1.87,60,41,0.68,0.7826086956521738,1.5359,51
ALLT,380,194,0.51,5.32,60,36,0.6,0.7802816901408451,1.5275,52
HIMS,380,200,0.53,4.21,60,33,0.55,0.772108843537415,1.5089,53
AEHR,380,169,0.44,-0.42000000000000004,60,34,0.57,0.7575757575757573,1.4821,54
VST,380,221,0.58,4.21,60,39,0.65,0.7424749163879598,1.4572,55
ORCL,380,210,0.55,1.2999999999999998,60,39,0.65,0.7424242424242422,1.4571,56
APLD,380,185,0.49,0.3400000000000001,60,29,0.48,0.7402597402597404,1.4437,57
GHM,380,196,0.52,1.67,60,32,0.53,0.7337662337662336,1.4346,58
MU,380,201,0.53,0.5,60,38,0.63,0.7241379310344829,1.4212,59
ABCL,380,170,0.45,-0.26,60,33,0.55,0.7209302325581395,1.411,60
ADTTF,380,47,0.12,1.2999999999999998,60,6,0.1,0.7829457364341084,1.3851,61
ETHE,380,190,0.5,0.3500000000000001,60,28,0.47,0.7088607594936709,1.3827,62
XYF,380,193,0.51,4.72,60,34,0.57,0.7023809523809523,1.3763,63
FLEX,380,202,0.53,1.27,60,38,0.63,0.6940298507462686,1.3632,64
OPRT,380,186,0.49,0.81,60,32,0.53,0.6915887850467288,1.3539,65
VRT,380,216,0.57,1.65,60,35,0.58,0.6878980891719744,1.3493,66
AIIXY,380,37,0.1,-0.48,60,8,0.13,0.7333333333333334,1.3435,67
EWCZ,380,174,0.46,-0.5800000000000001,60,29,0.48,0.6799999999999999,1.3288,68
HUMA,380,171,0.45,-0.13,60,26,0.43,0.6730769230769229,1.3122,69
EL,380,180,0.47,-0.35,60,38,0.63,0.6666666666666667,1.3103,70
BTDR,380,193,0.51,0.48,60,33,0.55,0.6629213483146068,1.2997,71
