Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
AEHR,2020-01-02,2025-08-15,1412,661,0.47,7.85,2025-06-20,40,20,0.5,0.6419294990723563,1.2439,1
ACLS,2020-01-02,2025-08-15,1412,720,0.51,2.28,2025-06-20,40,21,0.52,0.2193308550185873,0.4341,2
AAL,2020-01-02,2025-08-15,1412,682,0.48,-0.55,2025-06-20,40,24,0.6,0.21621621621621623,0.4286,3
ADTTF,2020-01-02,2025-08-15,1412,119,0.08,9.83,2025-06-20,40,4,0.1,0.2141255605381167,0.4065,4
ACCO,2020-01-02,2025-08-15,1412,682,0.48,-0.43999999999999995,2025-06-20,40,22,0.55,0.16666666666666674,0.3308,5
AAPL,2020-01-02,2025-08-15,1412,750,0.53,2.19,2025-06-20,40,24,0.6,0.15162454873646203,0.3013,6
AAP,2020-01-02,2025-08-15,1412,702,0.5,-0.6,2025-06-20,40,21,0.52,0.14285714285714302,0.2838,7
ABBV,2020-01-02,2025-08-15,1412,769,0.54,1.94,2025-06-20,40,22,0.55,0.12643678160919536,0.2514,8
AA,2020-01-02,2025-08-15,1412,691,0.49,0.52,2025-06-20,40,21,0.52,0.12592592592592577,0.2504,9
ACFGX,2020-01-02,2025-08-15,1412,775,0.55,1.6099999999999999,2025-06-20,40,24,0.6,0.12017167381974247,0.2391,10
ABM,2020-01-02,2025-08-15,1412,720,0.51,0.3999999999999999,2025-06-20,40,22,0.55,0.11999999999999988,0.2387,11
ACFOX,2020-01-02,2025-08-15,1412,775,0.55,1.4900000000000002,2025-06-20,40,24,0.6,0.11659192825112119,0.2321,12
ACFSX,2020-01-02,2025-08-15,1412,774,0.55,1.5099999999999998,2025-06-20,40,24,0.6,0.11555555555555541,0.23,13
ACFCX,2020-01-02,2025-08-15,1412,773,0.55,1.42,2025-06-20,40,24,0.6,0.11520737327188946,0.2293,14
ADTN,2020-01-02,2025-08-15,1412,706,0.5,-0.030000000000000027,2025-06-20,40,21,0.52,0.11494252873563227,0.2286,15
ACFNX,2020-01-02,2025-08-15,1412,776,0.55,1.5299999999999998,2025-06-20,40,24,0.6,0.1145374449339207,0.228,16
ACFDX,2020-01-02,2025-08-15,1412,776,0.55,1.4500000000000002,2025-06-20,40,24,0.6,0.11363636363636354,0.2262,17
ADM,2020-01-02,2025-08-15,1412,743,0.53,0.51,2025-06-20,40,20,0.5,0.11029411764705865,0.2194,18
ACSLX,2020-01-02,2025-08-15,1412,781,0.55,1.1400000000000001,2025-06-20,40,26,0.65,0.10309278350515472,0.2054,19
