Date,Close
2024-01-01,
2024-01-02,43.01
2024-01-03,42.12
2024-01-04,42.02
2024-01-05,41.2
2024-01-06,
2024-01-07,
2024-01-08,41.28
2024-01-09,40.88
2024-01-10,41.52
2024-01-11,41.23
2024-01-12,40.83
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,40.14
2024-01-17,40.24
2024-01-18,40.67
2024-01-19,40.51
2024-01-20,
2024-01-21,
2024-01-22,41.16
2024-01-23,41.09
2024-01-24,40.79
2024-01-25,40.69
2024-01-26,40.84
2024-01-27,
2024-01-28,
2024-01-29,40.61
2024-01-30,40.68
2024-01-31,39.58
2024-02-01,40.45
2024-02-02,40.08
2024-02-03,
2024-02-04,
2024-02-05,39.42
2024-02-06,39.48
2024-02-07,39.06
2024-02-08,39.19
2024-02-09,39.02
2024-02-10,
2024-02-11,
2024-02-12,39.85
2024-02-13,38.65
2024-02-14,39.24
2024-02-15,40.32
2024-02-16,39.38
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,39.24
2024-02-21,38.81
2024-02-22,39.03
2024-02-23,39.42
2024-02-24,
2024-02-25,
2024-02-26,39.62
2024-02-27,39.85
2024-02-28,40.37
2024-02-29,40.09
2024-03-01,39.99
2024-03-02,
2024-03-03,
2024-03-04,40.04
2024-03-05,39.55
2024-03-06,39.58
2024-03-07,42.07
2024-03-08,40.68
2024-03-09,
2024-03-10,
2024-03-11,40.77
2024-03-12,40.55
2024-03-13,40.95
2024-03-14,40.46
2024-03-15,41.06
2024-03-16,
2024-03-17,
2024-03-18,41.54
2024-03-19,42.09
2024-03-20,42.51
2024-03-21,43.33
2024-03-22,42.39
2024-03-23,
2024-03-24,
2024-03-25,42.49
2024-03-26,42.45
2024-03-27,43.1
2024-03-28,43.3
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,43.28
2024-04-02,43.27
2024-04-03,43.53
2024-04-04,43.38
2024-04-05,43.06
2024-04-06,
2024-04-07,
2024-04-08,43.12
2024-04-09,42.69
2024-04-10,42.04
2024-04-11,42.63
2024-04-12,42.5
2024-04-13,
2024-04-14,
2024-04-15,43.36
2024-04-16,43.19
2024-04-17,42.56
2024-04-18,42.72
2024-04-19,43.23
2024-04-20,
2024-04-21,
2024-04-22,43.36
2024-04-23,43.55
2024-04-24,43.43
2024-04-25,43.24
2024-04-26,42.96
2024-04-27,
2024-04-28,
2024-04-29,43.18
2024-04-30,42.62
2024-05-01,43.7
2024-05-02,43.74
2024-05-03,43.67
2024-05-04,
2024-05-05,
2024-05-06,43.49
2024-05-07,43.16
2024-05-08,43.82
2024-05-09,44.25
2024-05-10,44.78
2024-05-11,
2024-05-12,
2024-05-13,44.69
2024-05-14,44.82
2024-05-15,44.89
2024-05-16,45.51
2024-05-17,45.94
2024-05-18,
2024-05-19,
2024-05-20,46.11
2024-05-21,47.19
2024-05-22,46.5
2024-05-23,46.06
2024-05-24,45.72
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,45.4
2024-05-29,45.11
2024-05-30,45.51
2024-05-31,46.11
2024-06-01,
2024-06-02,
2024-06-03,46.38
2024-06-04,46.39
2024-06-05,46.58
2024-06-06,47.21
2024-06-07,49.69
2024-06-08,
2024-06-09,
2024-06-10,48.86
2024-06-11,49.36
2024-06-12,50.0
2024-06-13,49.25
2024-06-14,47.96
2024-06-15,
2024-06-16,
2024-06-17,49.31
2024-06-18,49.45
2024-06-19,
2024-06-20,50.1
2024-06-21,51.34
2024-06-22,
2024-06-23,
2024-06-24,50.01
2024-06-25,49.52
2024-06-26,49.37
2024-06-27,48.86
2024-06-28,49.32
2024-06-29,
2024-06-30,
2024-07-01,48.92
2024-07-02,49.01
2024-07-03,49.19
2024-07-04,
2024-07-05,48.45
2024-07-06,
2024-07-07,
2024-07-08,48.6
2024-07-09,47.98
2024-07-10,48.03
2024-07-11,49.53
2024-07-12,50.24
2024-07-13,
2024-07-14,
2024-07-15,50.29
2024-07-16,51.86
2024-07-17,52.67
2024-07-18,52.67
2024-07-19,52.5
2024-07-20,
2024-07-21,
2024-07-22,53.32
2024-07-23,53.23
2024-07-24,53.43
2024-07-25,53.5
2024-07-26,53.96
2024-07-27,
2024-07-28,
2024-07-29,54.0
2024-07-30,54.54
2024-07-31,54.43
2024-08-01,54.18
2024-08-02,53.64
2024-08-03,
2024-08-04,
2024-08-05,51.69
2024-08-06,51.1
2024-08-07,50.93
2024-08-08,51.35
2024-08-09,51.73
2024-08-10,
2024-08-11,
2024-08-12,51.41
2024-08-13,51.97
2024-08-14,52.22
2024-08-15,53.35
2024-08-16,53.01
2024-08-17,
2024-08-18,
2024-08-19,53.5
2024-08-20,53.15
2024-08-21,53.52
2024-08-22,53.4
2024-08-23,54.31
2024-08-24,
2024-08-25,
2024-08-26,54.66
2024-08-27,54.81
2024-08-28,54.87
2024-08-29,55.08
2024-08-30,55.99
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,55.66
2024-09-04,54.87
2024-09-05,54.96
2024-09-06,50.25
2024-09-07,
2024-09-08,
2024-09-09,48.93
2024-09-10,48.91
2024-09-11,48.06
2024-09-12,48.35
2024-09-13,50.56
2024-09-14,
2024-09-15,
2024-09-16,50.94
2024-09-17,49.93
2024-09-18,49.91
2024-09-19,50.78
2024-09-20,51.02
2024-09-21,
2024-09-22,
2024-09-23,50.06
2024-09-24,49.25
2024-09-25,49.72
2024-09-26,50.68
2024-09-27,50.32
2024-09-28,
2024-09-29,
2024-09-30,51.69
2024-10-01,50.6
2024-10-02,50.51
2024-10-03,50.36
2024-10-04,50.48
2024-10-05,
2024-10-06,
2024-10-07,51.46
2024-10-08,51.47
2024-10-09,51.7
2024-10-10,51.17
2024-10-11,52.54
2024-10-12,
2024-10-13,
2024-10-14,53.12
2024-10-15,52.36
2024-10-16,53.01
2024-10-17,53.46
2024-10-18,54.13
2024-10-19,
2024-10-20,
2024-10-21,53.42
2024-10-22,52.58
2024-10-23,52.5
2024-10-24,52.31
2024-10-25,51.91
2024-10-26,
2024-10-27,
2024-10-28,52.85
2024-10-29,52.79
2024-10-30,52.82
2024-10-31,52.21
2024-11-01,52.24
2024-11-02,
2024-11-03,
2024-11-04,53.31
2024-11-05,53.63
2024-11-06,56.28
2024-11-07,56.05
2024-11-08,56.81
2024-11-09,
2024-11-10,
2024-11-11,57.67
2024-11-12,56.47
2024-11-13,56.01
2024-11-14,54.69
2024-11-15,54.13
2024-11-16,
2024-11-17,
2024-11-18,53.99
