Date,Close
2020-01-01,
2020-01-02,6.964
2020-01-03,6.8723
2020-01-04,
2020-01-05,
2020-01-06,6.9411
2020-01-07,6.7805
2020-01-08,6.7576
2020-01-09,6.6429
2020-01-10,6.75
2020-01-11,
2020-01-12,
2020-01-13,6.8876
2020-01-14,6.9487
2020-01-15,7.0328
2020-01-16,7.1016
2020-01-17,6.9946
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,6.9564
2020-01-22,6.9564
2020-01-23,6.9564
2020-01-24,6.9487
2020-01-25,
2020-01-26,
2020-01-27,6.9564
2020-01-28,6.8952
2020-01-29,6.7576
2020-01-30,6.9028
2020-01-31,6.6047
2020-02-01,
2020-02-02,
2020-02-03,6.62
2020-02-04,6.6964
2020-02-05,7.0099
2020-02-06,7.0404
2020-02-07,7.0328
2020-02-08,
2020-02-09,
2020-02-10,6.964
2020-02-11,7.0022
2020-02-12,7.8813
2020-02-13,7.7514
2020-02-14,7.4609
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,7.3615
2020-02-19,7.2621
2020-02-20,7.2239
2020-02-21,7.1092
2020-02-22,
2020-02-23,
2020-02-24,6.6124
2020-02-25,6.4289
2020-02-26,6.2378
2020-02-27,6.2149
2020-02-28,6.1231
2020-02-29,
2020-03-01,
2020-03-02,6.3219
2020-03-03,6.1766
2020-03-04,6.4289
2020-03-05,6.169
2020-03-06,6.1384
2020-03-07,
2020-03-08,
2020-03-09,5.588
2020-03-10,5.5498
2020-03-11,5.4734
2020-03-12,4.686
2020-03-13,4.1662
2020-03-14,
2020-03-15,
2020-03-16,3.7075
2020-03-17,3.7269
2020-03-18,3.138
2020-03-19,3.2
2020-03-20,3.076
2020-03-21,
2020-03-22,
2020-03-23,3.014
2020-03-24,3.2387
2020-03-25,3.4944
2020-03-26,3.9593
2020-03-27,3.9903
2020-03-28,
2020-03-29,
2020-03-30,3.8741
2020-03-31,3.9128
2020-04-01,3.6339
2020-04-02,3.7191
2020-04-03,3.5874
2020-04-04,
2020-04-05,
2020-04-06,3.7811
2020-04-07,4.0678
2020-04-08,4.5017
2020-04-09,4.7341
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,4.7109
2020-04-14,4.6412
2020-04-15,4.184
2020-04-16,4.2228
2020-04-17,4.4242
2020-04-18,
2020-04-19,
2020-04-20,4.3235
2020-04-21,4.246
2020-04-22,4.2305
2020-04-23,4.4165
2020-04-24,4.5559
2020-04-25,
2020-04-26,
2020-04-27,5.0596
2020-04-28,5.4935
2020-04-29,5.7724
2020-04-30,5.7337
2020-05-01,5.509
2020-05-02,
2020-05-03,
2020-05-04,5.168
2020-05-05,4.8814
2020-05-06,4.5792
2020-05-07,4.6644
2020-05-08,4.9433
2020-05-09,
2020-05-10,
2020-05-11,4.6799
2020-05-12,4.463
2020-05-13,4.2305
2020-05-14,4.308
2020-05-15,4.339
2020-05-16,
2020-05-17,
2020-05-18,4.7884
2020-05-19,4.5792
2020-05-20,4.6877
2020-05-21,4.6257
2020-05-22,4.7341
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,4.7694
2020-05-27,5.1923
2020-05-28,4.9652
2020-05-29,4.8477
2020-05-30,
2020-05-31,
2020-06-01,4.8477
2020-06-02,5.0435
2020-06-03,5.3959
