Date,Close
2020-01-01,
2020-01-02,30.7
2020-01-03,30.6
2020-01-04,
2020-01-05,
2020-01-06,30.98
2020-01-07,31.06
2020-01-08,31.39
2020-01-09,31.55
2020-01-10,31.48
2020-01-11,
2020-01-12,
2020-01-13,31.82
2020-01-14,31.67
2020-01-15,31.79
2020-01-16,32.0
2020-01-17,32.06
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,32.19
2020-01-22,32.2
2020-01-23,32.24
2020-01-24,31.9
2020-01-25,
2020-01-26,
2020-01-27,31.4
2020-01-28,31.86
2020-01-29,32.0
2020-01-30,32.22
2020-01-31,31.87
2020-02-01,
2020-02-02,
2020-02-03,32.75
2020-02-04,33.65
2020-02-05,33.16
2020-02-06,33.22
2020-02-07,33.27
2020-02-08,
2020-02-09,
2020-02-10,33.97
2020-02-11,34.12
2020-02-12,34.43
2020-02-13,34.63
2020-02-14,34.86
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,35.17
2020-02-19,35.54
2020-02-20,35.3
2020-02-21,34.82
2020-02-22,
2020-02-23,
2020-02-24,33.61
2020-02-25,32.66
2020-02-26,32.62
2020-02-27,31.28
2020-02-28,31.46
2020-02-29,
2020-03-01,
2020-03-02,32.47
2020-03-03,31.73
2020-03-04,32.79
2020-03-05,31.89
2020-03-06,31.12
2020-03-07,
2020-03-08,
2020-03-09,28.68
2020-03-10,30.01
2020-03-11,28.47
2020-03-12,25.92
2020-03-13,27.5
2020-03-14,
2020-03-15,
2020-03-16,24.14
2020-03-17,25.47
2020-03-18,24.3
2020-03-19,25.33
2020-03-20,24.84
2020-03-21,
2020-03-22,
2020-03-23,24.91
2020-03-24,27.02
2020-03-25,27.06
2020-03-26,28.5
2020-03-27,27.85
2020-03-28,
2020-03-29,
2020-03-30,28.53
2020-03-31,28.16
2020-04-01,27.04
2020-04-02,27.09
2020-04-03,26.78
2020-04-04,
2020-04-05,
2020-04-06,28.68
2020-04-07,28.48
2020-04-08,29.53
2020-04-09,29.87
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,29.96
2020-04-14,31.12
2020-04-15,30.96
2020-04-16,31.17
2020-04-17,31.75
2020-04-18,
2020-04-19,
2020-04-20,31.73
2020-04-21,30.61
2020-04-22,31.54
2020-04-23,31.55
2020-04-24,31.91
2020-04-25,
2020-04-26,
2020-04-27,32.49
2020-04-28,32.07
2020-04-29,33.02
2020-04-30,32.87
2020-05-01,31.96
2020-05-02,
2020-05-03,
2020-05-04,32.57
2020-05-05,33.23
2020-05-06,33.45
2020-05-07,34.11
2020-05-08,34.66
2020-05-09,
2020-05-10,
2020-05-11,34.89
2020-05-12,34.36
2020-05-13,33.99
2020-05-14,34.39
2020-05-15,34.84
2020-05-16,
2020-05-17,
2020-05-18,35.17
2020-05-19,35.24
2020-05-20,36.0
2020-05-21,35.8
2020-05-22,35.97
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,36.05
2020-05-27,36.08
2020-05-28,36.2
2020-05-29,36.66
2020-05-30,
2020-05-31,
2020-06-01,37.23
2020-06-02,37.54
2020-06-03,37.67
2020-06-04,36.79
2020-06-05,37.11
2020-06-06,
2020-06-07,
2020-06-08,37.61
2020-06-09,37.48
2020-06-10,37.88
2020-06-11,36.12
2020-06-12,36.29
2020-06-13,
2020-06-14,
2020-06-15,37.1
2020-06-16,37.64
2020-06-17,37.88
2020-06-18,38.1
2020-06-19,38.18
2020-06-20,
2020-06-21,
2020-06-22,38.85
2020-06-23,38.89
2020-06-24,37.96
2020-06-25,38.58
2020-06-26,37.85
2020-06-27,
2020-06-28,
2020-06-29,37.87
2020-06-30,38.51
2020-07-01,39.43
2020-07-02,39.77
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,40.83
2020-07-07,40.82
2020-07-08,41.63
2020-07-09,41.76
2020-07-10,42.17
2020-07-11,
2020-07-12,
2020-07-13,40.8
2020-07-14,41.25
2020-07-15,41.6
2020-07-16,41.19
2020-07-17,41.57
2020-07-18,
2020-07-19,
2020-07-20,42.86
2020-07-21,42.51
2020-07-22,42.58
2020-07-23,41.8
2020-07-24,41.73
2020-07-25,
2020-07-26,
2020-07-27,42.41
2020-07-28,41.87
2020-07-29,42.49
2020-07-30,42.42
2020-07-31,42.66
2020-08-01,
2020-08-02,
2020-08-03,43.25
2020-08-04,43.25
2020-08-05,43.74
2020-08-06,43.89
2020-08-07,43.37
2020-08-08,
2020-08-09,
2020-08-10,42.7
2020-08-11,42.23
2020-08-12,42.89
2020-08-13,43.45
2020-08-14,43.3
2020-08-15,
2020-08-16,
2020-08-17,44.16
2020-08-18,44.55
2020-08-19,44.38
2020-08-20,44.99
2020-08-21,44.94
2020-08-22,
2020-08-23,
2020-08-24,44.87
2020-08-25,45.32
2020-08-26,46.86
2020-08-27,46.88
2020-08-28,47.04
2020-08-29,
2020-08-30,
2020-08-31,47.67
2020-09-01,48.59
2020-09-02,48.73
2020-09-03,46.23
2020-09-04,45.13
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,43.35
2020-09-09,44.27
2020-09-10,43.74
2020-09-11,43.45
2020-09-12,
2020-09-13,
2020-09-14,44.47
2020-09-15,45.09
