Date,Close
2024-01-01,
2024-01-02,226.07
2024-01-03,225.18
2024-01-04,226.3
2024-01-05,227.8
2024-01-06,
2024-01-07,
2024-01-08,229.3
2024-01-09,227.81
2024-01-10,227.88
2024-01-11,227.92
2024-01-12,228.52
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,227.87
2024-01-17,227.97
2024-01-18,228.64
2024-01-19,230.73
2024-01-20,
2024-01-21,
2024-01-22,231.86
2024-01-23,232.79
2024-01-24,230.93
2024-01-25,229.26
2024-01-26,228.66
2024-01-27,
2024-01-28,
2024-01-29,230.22
2024-01-30,231.07
2024-01-31,238.04
2024-02-01,239.29
2024-02-02,240.97
2024-02-03,
2024-02-04,
2024-02-05,240.46
2024-02-06,242.91
2024-02-07,242.38
2024-02-08,243.17
2024-02-09,242.11
2024-02-10,
2024-02-11,
2024-02-12,242.19
2024-02-13,241.73
2024-02-14,242.99
2024-02-15,244.11
2024-02-16,245.0
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,244.97
2024-02-21,245.92
2024-02-22,246.73
2024-02-23,247.81
2024-02-24,
2024-02-25,
2024-02-26,245.56
2024-02-27,243.39
2024-02-28,243.63
2024-02-29,243.22
2024-03-01,241.82
2024-03-02,
2024-03-03,
2024-03-04,238.44
2024-03-05,236.31
2024-03-06,236.08
2024-03-07,237.92
2024-03-08,236.12
2024-03-09,
2024-03-10,
2024-03-11,237.76
2024-03-12,238.33
2024-03-13,237.88
2024-03-14,236.95
2024-03-15,235.82
2024-03-16,
2024-03-17,
2024-03-18,235.58
2024-03-19,237.8
2024-03-20,241.3
2024-03-21,242.5
2024-03-22,241.19
2024-03-23,
2024-03-24,
2024-03-25,237.87
2024-03-26,238.72
2024-03-27,241.89
2024-03-28,243.27
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,238.95
2024-04-02,241.24
2024-04-03,238.78
2024-04-04,235.23
2024-04-05,238.5
2024-04-06,
2024-04-07,
2024-04-08,240.25
2024-04-09,243.53
2024-04-10,239.42
2024-04-11,238.09
2024-04-12,237.53
2024-04-13,
2024-04-14,
2024-04-15,237.75
2024-04-16,237.88
2024-04-17,236.61
2024-04-18,235.72
2024-04-19,237.0
2024-04-20,
2024-04-21,
2024-04-22,239.93
2024-04-23,240.44
2024-04-24,240.22
2024-04-25,239.96
2024-04-26,236.77
2024-04-27,
2024-04-28,
2024-04-29,237.63
2024-04-30,235.62
2024-05-01,240.92
2024-05-02,235.76
2024-05-03,235.62
2024-05-04,
2024-05-05,
2024-05-06,236.45
2024-05-07,238.77
2024-05-08,236.64
2024-05-09,238.8
2024-05-10,240.46
2024-05-11,
2024-05-12,
2024-05-13,241.38
2024-05-14,239.14
2024-05-15,240.23
2024-05-16,243.58
2024-05-17,245.79
2024-05-18,
2024-05-19,
2024-05-20,245.26
2024-05-21,245.61
2024-05-22,247.44
2024-05-23,244.97
2024-05-24,242.45
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,237.0
2024-05-29,233.87
2024-05-30,234.67
2024-05-31,238.57
2024-06-01,
2024-06-02,
2024-06-03,237.7
2024-06-04,239.3
2024-06-05,239.41
2024-06-06,241.54
2024-06-07,245.78
2024-06-08,
2024-06-09,
2024-06-10,240.47
2024-06-11,240.19
2024-06-12,239.75
2024-06-13,237.94
2024-06-14,237.7
2024-06-15,
2024-06-16,
2024-06-17,239.99
2024-06-18,239.45
2024-06-19,
2024-06-20,241.07
2024-06-21,242.94
2024-06-22,
2024-06-23,
2024-06-24,244.14
2024-06-25,243.36
2024-06-26,233.19
2024-06-27,232.48
2024-06-28,233.84
2024-06-29,
2024-06-30,
2024-07-01,230.89
2024-07-02,231.83
2024-07-03,232.1
2024-07-04,
2024-07-05,230.78
2024-07-06,
2024-07-07,
2024-07-08,228.7
