Date,Close
2024-01-01,
2024-01-02,32.38
2024-01-03,32.36
2024-01-04,32.36
2024-01-05,32.36
2024-01-06,
2024-01-07,
2024-01-08,33.65
2024-01-09,33.65
2024-01-10,33.65
2024-01-11,33.65
2024-01-12,33.65
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,35.38
2024-01-17,35.38
2024-01-18,36.81
2024-01-19,39.79
2024-01-20,
2024-01-21,
2024-01-22,39.79
2024-01-23,39.79
2024-01-24,41.31
2024-01-25,41.31
2024-01-26,41.31
2024-01-27,
2024-01-28,
2024-01-29,41.31
2024-01-30,41.31
2024-01-31,41.31
2024-02-01,40.3
2024-02-02,40.3
2024-02-03,
2024-02-04,
2024-02-05,40.3
2024-02-06,40.45
2024-02-07,40.45
2024-02-08,44.41
2024-02-09,44.41
2024-02-10,
2024-02-11,
2024-02-12,45.22
2024-02-13,45.22
2024-02-14,45.22
2024-02-15,45.22
2024-02-16,45.22
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,42.93
2024-02-21,42.93
2024-02-22,42.93
2024-02-23,47.71
2024-02-24,
2024-02-25,
2024-02-26,47.71
2024-02-27,47.71
2024-02-28,47.71
2024-02-29,45.73
2024-03-01,45.73
2024-03-02,
2024-03-03,
2024-03-04,45.73
2024-03-05,46.43
2024-03-06,46.43
2024-03-07,47.9
2024-03-08,45.71
2024-03-09,
2024-03-10,
2024-03-11,43.65
2024-03-12,45.44
2024-03-13,45.44
2024-03-14,42.73
2024-03-15,44.4
2024-03-16,
2024-03-17,
2024-03-18,44.4
2024-03-19,42.89
2024-03-20,42.89
2024-03-21,42.89
2024-03-22,42.89
2024-03-23,
2024-03-24,
2024-03-25,42.89
2024-03-26,42.89
2024-03-27,42.89
2024-03-28,43.0
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,43.0
2024-04-02,43.0
2024-04-03,42.21
2024-04-04,42.21
2024-04-05,42.21
2024-04-06,
2024-04-07,
2024-04-08,42.21
2024-04-09,40.63
2024-04-10,40.63
2024-04-11,40.63
2024-04-12,38.1
2024-04-13,
2024-04-14,
2024-04-15,38.1
2024-04-16,38.1
2024-04-17,38.1
2024-04-18,38.1
2024-04-19,34.52
2024-04-20,
2024-04-21,
2024-04-22,34.52
2024-04-23,33.0
2024-04-24,34.09
2024-04-25,34.09
2024-04-26,32.57
2024-04-27,
2024-04-28,
2024-04-29,31.98
2024-04-30,31.49
2024-05-01,31.49
2024-05-02,31.49
2024-05-03,31.49
2024-05-04,
2024-05-05,
2024-05-06,33.97
2024-05-07,33.46
2024-05-08,33.46
2024-05-09,33.46
2024-05-10,33.46
2024-05-11,
2024-05-12,
2024-05-13,33.46
2024-05-14,34.32
2024-05-15,34.78
2024-05-16,34.78
2024-05-17,34.78
2024-05-18,
2024-05-19,
2024-05-20,35.46
2024-05-21,35.46
2024-05-22,35.46
2024-05-23,37.17
2024-05-24,37.17
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,37.17
2024-05-29,37.17
2024-05-30,37.17
2024-05-31,32.83
2024-06-01,
2024-06-02,
2024-06-03,32.83
2024-06-04,32.83
2024-06-05,34.57
2024-06-06,35.81
2024-06-07,33.67
2024-06-08,
2024-06-09,
2024-06-10,33.67
2024-06-11,33.18
2024-06-12,35.51
2024-06-13,35.07
2024-06-14,35.07
2024-06-15,
2024-06-16,
2024-06-17,34.39
2024-06-18,34.39
2024-06-19,
2024-06-20,35.73
2024-06-21,35.73
2024-06-22,
2024-06-23,
2024-06-24,35.73
2024-06-25,37.02
2024-06-26,37.02
2024-06-27,37.02
2024-06-28,40.33
2024-06-29,
2024-06-30,
2024-07-01,40.33
2024-07-02,40.33
2024-07-03,40.33
2024-07-04,
2024-07-05,40.33
2024-07-06,
2024-07-07,
2024-07-08,40.33
2024-07-09,40.33
2024-07-10,43.81
2024-07-11,43.81
2024-07-12,43.81
2024-07-13,
2024-07-14,
2024-07-15,43.81
2024-07-16,43.81
2024-07-17,43.81
2024-07-18,43.81
2024-07-19,43.81
2024-07-20,
2024-07-21,
2024-07-22,43.81
2024-07-23,40.78
2024-07-24,40.78
2024-07-25,40.78
2024-07-26,40.78
2024-07-27,
2024-07-28,
2024-07-29,40.78
2024-07-30,40.78
2024-07-31,44.17
2024-08-01,41.57
2024-08-02,41.57
2024-08-03,
2024-08-04,
2024-08-05,40.29
2024-08-06,40.29
2024-08-07,40.29
2024-08-08,44.42
2024-08-09,44.42
2024-08-10,
2024-08-11,
2024-08-12,42.16
2024-08-13,42.16
2024-08-14,42.16
2024-08-15,42.16
2024-08-16,42.16
2024-08-17,
2024-08-18,
2024-08-19,42.16
2024-08-20,42.16
2024-08-21,42.16
2024-08-22,42.16
2024-08-23,42.16
2024-08-24,
2024-08-25,
2024-08-26,42.16
2024-08-27,42.16
2024-08-28,42.16
2024-08-29,42.16
2024-08-30,42.16
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,42.58
2024-09-04,42.58
2024-09-05,42.58
2024-09-06,42.58
2024-09-07,
2024-09-08,
2024-09-09,42.58
2024-09-10,43.24
2024-09-11,43.24
2024-09-12,43.24
2024-09-13,43.24
2024-09-14,
2024-09-15,
2024-09-16,43.24
2024-09-17,43.24
2024-09-18,43.24
2024-09-19,43.24
2024-09-20,43.24
2024-09-21,
2024-09-22,
2024-09-23,43.24
