Date,Close
2020-01-01,
2020-01-02,64.95
2020-01-03,64.98
2020-01-04,
2020-01-05,
2020-01-06,65.04
2020-01-07,65.28
2020-01-08,65.17
2020-01-09,65.41
2020-01-10,65.77
2020-01-11,
2020-01-12,
2020-01-13,66.3
2020-01-14,66.28
2020-01-15,66.79
2020-01-16,67.65
2020-01-17,68.11
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,68.35
2020-01-22,68.25
2020-01-23,68.58
2020-01-24,68.66
2020-01-25,
2020-01-26,
2020-01-27,68.42
2020-01-28,68.6
2020-01-29,69.2
2020-01-30,69.95
2020-01-31,70.08
2020-02-01,
2020-02-02,
2020-02-03,70.57
2020-02-04,70.26
2020-02-05,70.61
2020-02-06,71.03
2020-02-07,71.4
2020-02-08,
2020-02-09,
2020-02-10,71.72
2020-02-11,71.97
2020-02-12,72.23
2020-02-13,73.24
2020-02-14,74.12
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,74.09
2020-02-19,73.35
2020-02-20,73.16
2020-02-21,72.89
2020-02-22,
2020-02-23,
2020-02-24,72.44
2020-02-25,71.37
2020-02-26,72.77
2020-02-27,69.67
2020-02-28,67.47
2020-02-29,
2020-03-01,
2020-03-02,72.1
2020-03-03,71.02
2020-03-04,74.36
2020-03-05,73.49
2020-03-06,72.89
2020-03-07,
2020-03-08,
2020-03-09,69.69
2020-03-10,70.97
2020-03-11,69.49
2020-03-12,62.21
2020-03-13,65.43
2020-03-14,
2020-03-15,
2020-03-16,56.67
2020-03-17,66.76
2020-03-18,65.43
2020-03-19,61.76
2020-03-20,54.07
2020-03-21,
2020-03-22,
2020-03-23,52.73
2020-03-24,56.1
2020-03-25,58.04
2020-03-26,62.55
2020-03-27,63.79
2020-03-28,
2020-03-29,
2020-03-30,67.17
2020-03-31,62.58
2020-04-01,58.2
2020-04-02,61.58
2020-04-03,59.08
2020-04-04,
2020-04-05,
2020-04-06,63.84
2020-04-07,61.46
2020-04-08,65.31
2020-04-09,67.88
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,65.15
2020-04-14,66.31
2020-04-15,64.88
2020-04-16,66.39
2020-04-17,66.88
2020-04-18,
2020-04-19,
