Date,Close
2020-01-01,
2020-01-02,29.37
2020-01-03,29.14
2020-01-04,
2020-01-05,
2020-01-06,29.23
2020-01-07,29.12
2020-01-08,29.28
2020-01-09,29.49
2020-01-10,29.42
2020-01-11,
2020-01-12,
2020-01-13,29.68
2020-01-14,29.64
2020-01-15,29.73
2020-01-16,29.97
2020-01-17,30.1
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,30.01
2020-01-22,30.02
2020-01-23,30.0
2020-01-24,29.72
2020-01-25,
2020-01-26,
2020-01-27,29.22
2020-01-28,29.55
2020-01-29,29.59
2020-01-30,29.69
2020-01-31,29.1
2020-02-01,
2020-02-02,
2020-02-03,29.31
2020-02-04,29.78
2020-02-05,30.1
2020-02-06,30.24
2020-02-07,30.11
2020-02-08,
2020-02-09,
2020-02-10,30.38
2020-02-11,30.42
2020-02-12,30.62
2020-02-13,30.56
2020-02-14,30.66
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,30.56
2020-02-19,30.73
2020-02-20,30.61
2020-02-21,30.24
2020-02-22,
2020-02-23,
2020-02-24,29.17
2020-02-25,28.28
2020-02-26,28.16
2020-02-27,26.84
2020-02-28,26.84
2020-02-29,
2020-03-01,
2020-03-02,27.93
2020-03-03,27.16
2020-03-04,28.34
2020-03-05,27.37
2020-03-06,26.83
2020-03-07,
2020-03-08,
2020-03-09,24.69
2020-03-10,25.88
2020-03-11,24.62
2020-03-12,22.22
2020-03-13,24.44
2020-03-14,
2020-03-15,
2020-03-16,21.46
2020-03-17,22.66
2020-03-18,21.55
2020-03-19,21.73
2020-03-20,20.74
2020-03-21,
2020-03-22,
2020-03-23,20.17
2020-03-24,22.2
2020-03-25,22.46
2020-03-26,23.92
2020-03-27,23.13
2020-03-28,
2020-03-29,
2020-03-30,23.97
2020-03-31,23.56
2020-04-01,22.48
2020-04-02,23.07
2020-04-03,22.69
2020-04-04,
2020-04-05,
2020-04-06,24.25
2020-04-07,24.18
2020-04-08,24.97
2020-04-09,25.34
2020-04-10,
2020-04-11,
2020-04-12,
