Date,Close
2024-01-01,
2024-01-02,44.07
2024-01-03,43.67
2024-01-04,43.57
2024-01-05,43.64
2024-01-06,
2024-01-07,
2024-01-08,44.25
2024-01-09,44.19
2024-01-10,44.48
2024-01-11,44.44
2024-01-12,44.47
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,44.36
2024-01-17,44.14
2024-01-18,44.53
2024-01-19,45.07
2024-01-20,
2024-01-21,
2024-01-22,45.19
2024-01-23,45.32
2024-01-24,45.37
2024-01-25,45.64
2024-01-26,45.69
2024-01-27,
2024-01-28,
2024-01-29,46.06
2024-01-30,46.02
2024-01-31,45.15
2024-02-01,45.8
2024-02-02,46.35
2024-02-03,
2024-02-04,
2024-02-05,46.07
2024-02-06,46.22
2024-02-07,46.62
2024-02-08,46.71
2024-02-09,47.0
2024-02-10,
2024-02-11,
2024-02-12,46.91
2024-02-13,46.23
2024-02-14,46.72
2024-02-15,46.95
2024-02-16,46.79
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,46.46
2024-02-21,46.48
2024-02-22,47.55
2024-02-23,47.55
2024-02-24,
2024-02-25,
2024-02-26,47.37
2024-02-27,47.44
2024-02-28,47.4
2024-02-29,47.68
2024-03-01,48.08
2024-03-02,
2024-03-03,
2024-03-04,48.05
2024-03-05,47.62
2024-03-06,47.87
2024-03-07,48.33
2024-03-08,48.05
2024-03-09,
2024-03-10,
2024-03-11,47.9
2024-03-12,48.48
2024-03-13,48.45
2024-03-14,48.32
2024-03-15,48.0
2024-03-16,
2024-03-17,
2024-03-18,48.29
2024-03-19,48.56
2024-03-20,48.98
2024-03-21,49.17
2024-03-22,49.11
2024-03-23,
2024-03-24,
2024-03-25,48.93
2024-03-26,48.77
2024-03-27,49.15
2024-03-28,49.2
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,49.09
2024-04-02,48.76
2024-04-03,48.78
2024-04-04,48.14
2024-04-05,48.71
2024-04-06,
2024-04-07,
2024-04-08,48.68
2024-04-09,48.79
2024-04-10,48.29
2024-04-11,48.58
2024-04-12,47.84
2024-04-13,
2024-04-14,
2024-04-15,47.25
2024-04-16,47.22
2024-04-17,46.87
2024-04-18,46.79
2024-04-19,46.36
2024-04-20,
2024-04-21,
2024-04-22,46.72
2024-04-23,47.26
2024-04-24,47.22
