Date,Close
2024-01-01,
2024-01-02,80.62
2024-01-03,80.54
2024-01-04,79.68
2024-01-05,80.08
2024-01-06,
2024-01-07,
2024-01-08,80.23
2024-01-09,77.98
2024-01-10,80.0
2024-01-11,80.05
2024-01-12,80.1
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,79.9
2024-01-17,80.19
2024-01-18,80.94
2024-01-19,81.68
2024-01-20,
2024-01-21,
2024-01-22,81.8
2024-01-23,81.94
2024-01-24,82.29
2024-01-25,82.18
2024-01-26,82.59
2024-01-27,
2024-01-28,
2024-01-29,81.89
2024-01-30,83.0
2024-01-31,81.65
2024-02-01,73.77
2024-02-02,74.37
2024-02-03,
2024-02-04,
2024-02-05,73.9
2024-02-06,74.47
2024-02-07,76.32
2024-02-08,75.62
2024-02-09,75.73
2024-02-10,
2024-02-11,
2024-02-12,76.01
2024-02-13,75.57
2024-02-14,76.4
2024-02-15,77.61
2024-02-16,76.85
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,76.75
2024-02-21,77.22
2024-02-22,77.6
2024-02-23,78.34
2024-02-24,
2024-02-25,
2024-02-26,77.65
2024-02-27,78.14
2024-02-28,78.48
2024-02-29,78.66
2024-03-01,78.36
2024-03-02,
2024-03-03,
2024-03-04,77.69
2024-03-05,78.75
2024-03-06,80.04
2024-03-07,80.17
2024-03-08,80.0
2024-03-09,
2024-03-10,
2024-03-11,81.03
2024-03-12,80.8
2024-03-13,81.64
2024-03-14,81.42
2024-03-15,82.2
2024-03-16,
2024-03-17,
2024-03-18,82.31
2024-03-19,82.17
2024-03-20,82.79
2024-03-21,82.83
2024-03-22,81.99
2024-03-23,
2024-03-24,
2024-03-25,82.63
2024-03-26,82.76
2024-03-27,83.41
2024-03-28,83.65
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,83.0
2024-04-02,82.74
2024-04-03,82.99
2024-04-04,82.19
2024-04-05,83.22
2024-04-06,
2024-04-07,
2024-04-08,82.95
2024-04-09,81.03
2024-04-10,80.78
2024-04-11,77.59
2024-04-12,78.21
2024-04-13,
2024-04-14,
2024-04-15,78.2
2024-04-16,78.36
2024-04-17,78.19
2024-04-18,78.89
2024-04-19,81.09
2024-04-20,
2024-04-21,
2024-04-22,81.37
2024-04-23,81.59
2024-04-24,82.11
2024-04-25,81.57
2024-04-26,81.46
2024-04-27,
2024-04-28,
2024-04-29,82.36
2024-04-30,81.5
2024-05-01,82.39
2024-05-02,81.88
2024-05-03,81.07
2024-05-04,
2024-05-05,
2024-05-06,82.55
2024-05-07,82.5
2024-05-08,82.64
2024-05-09,83.18
2024-05-10,83.86
2024-05-11,
2024-05-12,
2024-05-13,83.66
2024-05-14,84.08
2024-05-15,85.23
2024-05-16,84.9
2024-05-17,86.09
2024-05-18,
2024-05-19,
2024-05-20,85.43
2024-05-21,85.82
2024-05-22,85.89
2024-05-23,85.03
2024-05-24,85.92
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,85.5
2024-05-29,85.42
2024-05-30,86.21
2024-05-31,88.06
2024-06-01,
2024-06-02,
2024-06-03,87.12
2024-06-04,86.26
2024-06-05,86.6
2024-06-06,86.57
2024-06-07,87.0
2024-06-08,
2024-06-09,
2024-06-10,86.62
2024-06-11,85.8
2024-06-12,86.41
2024-06-13,85.55
2024-06-14,85.28
2024-06-15,
2024-06-16,
2024-06-17,86.19
2024-06-18,87.19
2024-06-19,
2024-06-20,87.95
2024-06-21,87.86
2024-06-22,
2024-06-23,
2024-06-24,88.61
2024-06-25,88.19
2024-06-26,87.42
2024-06-27,87.36
2024-06-28,87.51
2024-06-29,
2024-06-30,
2024-07-01,87.26
2024-07-02,87.63
2024-07-03,87.29
2024-07-04,
2024-07-05,87.25
2024-07-06,
2024-07-07,
2024-07-08,86.73
2024-07-09,87.14
2024-07-10,88.39
2024-07-11,90.56
2024-07-12,90.77
2024-07-13,
2024-07-14,
2024-07-15,91.49
2024-07-16,91.66
2024-07-17,92.16
2024-07-18,92.39
2024-07-19,91.04
2024-07-20,
2024-07-21,
2024-07-22,92.59
2024-07-23,92.42
2024-07-24,92.24
2024-07-25,92.22
2024-07-26,92.91
2024-07-27,
2024-07-28,
2024-07-29,92.63
2024-07-30,93.44
2024-07-31,93.46
2024-08-01,99.6
2024-08-02,97.24
2024-08-03,
2024-08-04,
2024-08-05,95.21
2024-08-06,96.61
2024-08-07,97.29
2024-08-08,98.83
2024-08-09,99.17
2024-08-10,
2024-08-11,
2024-08-12,99.15
2024-08-13,99.68
2024-08-14,100.31
2024-08-15,100.47
2024-08-16,102.65
2024-08-17,
2024-08-18,
2024-08-19,103.09
2024-08-20,102.69
2024-08-21,103.71
2024-08-22,104.96
2024-08-23,105.68
2024-08-24,
2024-08-25,
2024-08-26,105.85
2024-08-27,106.04
2024-08-28,107.15
2024-08-29,107.93
2024-08-30,108.65
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,107.38
2024-09-04,108.78
2024-09-05,107.99
2024-09-06,107.21
2024-09-07,
2024-09-08,
2024-09-09,107.71
2024-09-10,106.76
2024-09-11,105.7
2024-09-12,106.3
2024-09-13,106.91
2024-09-14,
2024-09-15,
2024-09-16,108.47
2024-09-17,107.86
2024-09-18,107.27
2024-09-19,106.2
2024-09-20,106.25
2024-09-21,
2024-09-22,
2024-09-23,108.32
2024-09-24,107.41
2024-09-25,107.99
2024-09-26,108.37
2024-09-27,108.88
