Date,Close
2024-01-01,
2024-01-02,146.48
2024-01-03,144.25
2024-01-04,143.9
2024-01-05,143.71
2024-01-06,
2024-01-07,
2024-01-08,145.8
2024-01-09,145.24
2024-01-10,146.16
2024-01-11,146.31
2024-01-12,146.49
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,145.38
2024-01-17,144.24
2024-01-18,145.67
2024-01-19,147.02
2024-01-20,
2024-01-21,
2024-01-22,147.76
2024-01-23,147.84
2024-01-24,147.74
2024-01-25,148.25
2024-01-26,148.06
2024-01-27,
2024-01-28,
2024-01-29,149.3
2024-01-30,149.21
2024-01-31,147.25
2024-02-01,149.41
2024-02-02,149.02
2024-02-03,
2024-02-04,
2024-02-05,148.65
2024-02-06,149.13
2024-02-07,150.25
2024-02-08,150.95
2024-02-09,152.23
2024-02-10,
2024-02-11,
2024-02-12,152.38
2024-02-13,149.94
2024-02-14,152.31
2024-02-15,153.0
2024-02-16,152.5
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,151.63
2024-02-21,150.62
2024-02-22,153.56
2024-02-23,153.97
2024-02-24,
2024-02-25,
2024-02-26,154.14
2024-02-27,154.48
2024-02-28,153.84
2024-02-29,154.1
2024-03-01,155.44
2024-03-02,
2024-03-03,
2024-03-04,155.75
2024-03-05,154.51
2024-03-06,155.83
2024-03-07,157.88
2024-03-08,156.68
2024-03-09,
2024-03-10,
2024-03-11,156.01
2024-03-12,157.74
2024-03-13,157.19
2024-03-14,155.8
2024-03-15,154.01
2024-03-16,
2024-03-17,
2024-03-18,154.35
2024-03-19,155.05
2024-03-20,156.07
2024-03-21,156.85
2024-03-22,156.28
2024-03-23,
2024-03-24,
2024-03-25,155.63
2024-03-26,155.26
2024-03-27,156.26
2024-03-28,156.28
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,155.47
2024-04-02,153.79
2024-04-03,153.64
2024-04-04,152.16
2024-04-05,153.65
2024-04-06,
2024-04-07,
2024-04-08,153.59
2024-04-09,154.47
2024-04-10,152.0
2024-04-11,152.64
2024-04-12,149.77
2024-04-13,
2024-04-14,
2024-04-15,148.39
2024-04-16,147.91
2024-04-17,147.24
2024-04-18,146.35
2024-04-19,145.15
2024-04-20,
2024-04-21,
2024-04-22,146.71
2024-04-23,148.57
2024-04-24,148.74
2024-04-25,148.54
2024-04-26,149.33
2024-04-27,
2024-04-28,
2024-04-29,149.85
2024-04-30,147.56
2024-05-01,147.2
2024-05-02,149.03
2024-05-03,150.85
2024-05-04,
2024-05-05,
2024-05-06,152.87
2024-05-07,153.32
2024-05-08,153.32
2024-05-09,154.17
2024-05-10,155.04
2024-05-11,
2024-05-12,
2024-05-13,154.26
2024-05-14,155.54
2024-05-15,158.06
2024-05-16,157.2
2024-05-17,157.46
2024-05-18,
2024-05-19,
2024-05-20,157.9
2024-05-21,156.86
2024-05-22,157.12
2024-05-23,156.39
2024-05-24,157.49
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,156.9
2024-05-29,154.57
2024-05-30,154.1
2024-05-31,154.7
2024-06-01,
2024-06-02,
2024-06-03,154.49
2024-06-04,154.56
2024-06-05,156.7
2024-06-06,156.43
2024-06-07,155.55
2024-06-08,
2024-06-09,
2024-06-10,156.06
2024-06-11,155.39
2024-06-12,157.19
2024-06-13,157.0
2024-06-14,156.56
2024-06-15,
2024-06-16,
2024-06-17,157.32
2024-06-18,158.07
2024-06-19,
2024-06-20,157.86
2024-06-21,158.15
2024-06-22,
2024-06-23,
