Date,Close
2020-01-01,
2020-01-02,15.53
2020-01-03,15.68
2020-01-04,
2020-01-05,
2020-01-06,15.85
2020-01-07,15.82
2020-01-08,15.82
2020-01-09,15.78
2020-01-10,15.78
2020-01-11,
2020-01-12,
2020-01-13,15.82
2020-01-14,15.81
2020-01-15,15.78
2020-01-16,15.86
2020-01-17,15.85
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,15.83
2020-01-22,15.83
2020-01-23,15.84
2020-01-24,15.84
2020-01-25,
2020-01-26,
2020-01-27,15.78
2020-01-28,15.78
2020-01-29,15.81
2020-01-30,15.78
2020-01-31,15.72
2020-02-01,
2020-02-02,
2020-02-03,15.77
2020-02-04,15.73
2020-02-05,15.74
2020-02-06,15.75
2020-02-07,15.72
2020-02-08,
2020-02-09,
2020-02-10,15.73
2020-02-11,15.88
2020-02-12,15.85
2020-02-13,15.91
2020-02-14,15.91
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,15.93
2020-02-19,15.74
2020-02-20,15.81
2020-02-21,15.81
2020-02-22,
2020-02-23,
2020-02-24,15.6
2020-02-25,15.01
2020-02-26,14.99
2020-02-27,14.84
2020-02-28,14.86
2020-02-29,
2020-03-01,
2020-03-02,14.67
2020-03-03,14.38
2020-03-04,14.61
2020-03-05,14.4
2020-03-06,13.56
2020-03-07,
2020-03-08,
2020-03-09,12.05
2020-03-10,11.01
2020-03-11,9.49
2020-03-12,6.85
2020-03-13,6.24
2020-03-14,
2020-03-15,
2020-03-16,5.51
2020-03-17,4.94
2020-03-18,3.09
2020-03-19,3.9
2020-03-20,4.31
2020-03-21,
2020-03-22,
2020-03-23,4.15
2020-03-24,4.5
2020-03-25,6.32
2020-03-26,7.7
2020-03-27,7.64
2020-03-28,
2020-03-29,
2020-03-30,7.72
2020-03-31,7.47
2020-04-01,6.45
2020-04-02,5.79
2020-04-03,5.79
2020-04-04,
2020-04-05,
2020-04-06,6.12
2020-04-07,6.39
2020-04-08,5.83
2020-04-09,5.8
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,6.88
2020-04-14,8.43
2020-04-15,8.4
2020-04-16,6.7
2020-04-17,6.99
2020-04-18,
2020-04-19,
2020-04-20,5.95
2020-04-21,5.97
2020-04-22,4.63
2020-04-23,4.79
2020-04-24,4.62
2020-04-25,
2020-04-26,
2020-04-27,4.53
2020-04-28,4.53
2020-04-29,4.83
2020-04-30,5.03
2020-05-01,4.57
2020-05-02,
2020-05-03,
2020-05-04,4.63
2020-05-05,4.62
2020-05-06,4.18
2020-05-07,4.5
2020-05-08,4.64
2020-05-09,
2020-05-10,
2020-05-11,4.44
2020-05-12,3.78
2020-05-13,3.63
2020-05-14,3.61
2020-05-15,3.65
2020-05-16,
2020-05-17,
2020-05-18,4.18
2020-05-19,4.14
2020-05-20,4.55
2020-05-21,4.67
2020-05-22,4.58
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,5.15
2020-05-27,5.78
2020-05-28,7.01
2020-05-29,6.3
2020-05-30,
2020-05-31,
2020-06-01,6.42
2020-06-02,6.37
2020-06-03,6.84
2020-06-04,7.44
2020-06-05,10.01
2020-06-06,
2020-06-07,
2020-06-08,11.14
2020-06-09,10.81
2020-06-10,11.02
2020-06-11,9.97
2020-06-12,10.3
2020-06-13,
2020-06-14,
2020-06-15,9.72
2020-06-16,9.4
2020-06-17,9.44
2020-06-18,9.65
2020-06-19,8.08
2020-06-20,
2020-06-21,
2020-06-22,8.11
2020-06-23,8.08
2020-06-24,7.31
2020-06-25,7.4
2020-06-26,6.84
2020-06-27,
2020-06-28,
2020-06-29,6.69
2020-06-30,6.46
2020-07-01,6.75
2020-07-02,6.46
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,6.43
2020-07-07,6.44
2020-07-08,6.13
2020-07-09,5.33
2020-07-10,4.86
2020-07-11,
2020-07-12,
2020-07-13,3.86
2020-07-14,3.95
2020-07-15,4.18
2020-07-16,4.67
2020-07-17,4.54
2020-07-18,
2020-07-19,
2020-07-20,4.24
2020-07-21,4.96
2020-07-22,5.07
2020-07-23,4.47
2020-07-24,4.4
2020-07-25,
2020-07-26,
2020-07-27,3.99
2020-07-28,4.11
2020-07-29,4.15
2020-07-30,3.72
2020-07-31,3.43
2020-08-01,
2020-08-02,
2020-08-03,2.9
2020-08-04,3.58
2020-08-05,3.69
2020-08-06,3.73
2020-08-07,3.6
2020-08-08,
2020-08-09,
2020-08-10,3.6
2020-08-11,3.67
2020-08-12,3.58
2020-08-13,3.44
2020-08-14,3.52
2020-08-15,
2020-08-16,
2020-08-17,3.57
2020-08-18,3.58
2020-08-19,3.72
2020-08-20,3.77
2020-08-21,3.44
2020-08-22,
2020-08-23,
2020-08-24,3.59
2020-08-25,3.22
2020-08-26,3.22
2020-08-27,3.12
2020-08-28,3.37
2020-08-29,
2020-08-30,
2020-08-31,3.2
2020-09-01,3.31
2020-09-02,3.25
2020-09-03,3.19
2020-09-04,3.22
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,3.28
2020-09-09,3.41
2020-09-10,3.59
2020-09-11,3.32
2020-09-12,
2020-09-13,
2020-09-14,3.29
2020-09-15,3.15
2020-09-16,3.12
2020-09-17,3.16
2020-09-18,3.28
2020-09-19,
2020-09-20,
2020-09-21,2.72
2020-09-22,2.35
2020-09-23,2.4
2020-09-24,2.06
2020-09-25,2.24
2020-09-26,
2020-09-27,
2020-09-28,2.61
2020-09-29,2.46
