Date,Close
2024-01-01,
2024-01-02,268.92
2024-01-03,256.22
2024-01-04,261.36
2024-01-05,264.68
2024-01-06,
2024-01-07,
2024-01-08,273.94
2024-01-09,277.52
2024-01-10,276.79
2024-01-11,276.36
2024-01-12,271.64
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,267.46
2024-01-17,259.56
2024-01-18,264.51
2024-01-19,266.34
2024-01-20,
2024-01-21,
2024-01-22,271.61
2024-01-23,266.43
2024-01-24,257.07
2024-01-25,262.11
2024-01-26,264.28
2024-01-27,
2024-01-28,
2024-01-29,270.39
2024-01-30,264.74
2024-01-31,267.32
2024-02-01,273.38
2024-02-02,273.9
2024-02-03,
2024-02-04,
2024-02-05,275.58
2024-02-06,288.44
2024-02-07,284.73
2024-02-08,295.0
2024-02-09,296.37
2024-02-10,
2024-02-11,
2024-02-12,302.44
2024-02-13,292.32
2024-02-14,302.75
2024-02-15,309.77
2024-02-16,308.77
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,313.53
2024-02-21,304.65
2024-02-22,316.56
2024-02-23,316.88
2024-02-24,
2024-02-25,
2024-02-26,310.84
2024-02-27,313.06
2024-02-28,302.39
2024-02-29,302.42
2024-03-01,300.01
2024-03-02,
2024-03-03,
2024-03-04,308.04
2024-03-05,299.49
2024-03-06,303.79
2024-03-07,310.8
2024-03-08,312.49
2024-03-09,
2024-03-10,
2024-03-11,308.09
2024-03-12,310.68
2024-03-13,320.69
2024-03-14,316.92
2024-03-15,314.35
2024-03-16,
2024-03-17,
2024-03-18,316.14
2024-03-19,317.2
2024-03-20,329.14
2024-03-21,321.27
2024-03-22,319.42
2024-03-23,
2024-03-24,
2024-03-25,319.28
2024-03-26,319.94
2024-03-27,327.9
2024-03-28,327.92
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,319.65
2024-04-02,312.07
2024-04-03,310.11
2024-04-04,314.95
2024-04-05,317.58
2024-04-06,
2024-04-07,
2024-04-08,320.06
2024-04-09,330.25
2024-04-10,327.82
2024-04-11,324.9
2024-04-12,314.97
2024-04-13,
2024-04-14,
2024-04-15,304.74
2024-04-16,305.1
2024-04-17,300.14
2024-04-18,301.34
2024-04-19,298.98
2024-04-20,
2024-04-21,
2024-04-22,300.82
2024-04-23,311.88
2024-04-24,313.78
2024-04-25,310.5
2024-04-26,309.02
2024-04-27,
2024-04-28,
2024-04-29,304.82
2024-04-30,282.38
2024-05-01,284.52
2024-05-02,286.54
2024-05-03,287.87
2024-05-04,
2024-05-05,
2024-05-06,287.37
2024-05-07,286.52
2024-05-08,273.65
2024-05-09,280.39
2024-05-10,271.7
2024-05-11,
2024-05-12,
2024-05-13,272.74
2024-05-14,278.08
2024-05-15,280.32
2024-05-16,273.56
2024-05-17,271.5
2024-05-18,
2024-05-19,
2024-05-20,267.44
2024-05-21,264.02
2024-05-22,261.12
2024-05-23,252.39
2024-05-24,255.62
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,253.77
2024-05-29,252.76
2024-05-30,256.5
2024-05-31,257.21
2024-06-01,
2024-06-02,
2024-06-03,254.53
2024-06-04,248.91
2024-06-05,256.01
2024-06-06,257.46
2024-06-07,255.54
2024-06-08,
2024-06-09,
2024-06-10,255.7
2024-06-11,253.28
2024-06-12,266.13
2024-06-13,271.28
2024-06-14,256.01
2024-06-15,
2024-06-16,
2024-06-17,245.52
2024-06-18,242.2
2024-06-19,
2024-06-20,242.61
2024-06-21,242.19
2024-06-22,
2024-06-23,
2024-06-24,237.08
2024-06-25,235.23
2024-06-26,243.61
2024-06-27,243.0
2024-06-28,241.43
2024-06-29,
2024-06-30,
2024-07-01,238.64
2024-07-02,239.74
2024-07-03,243.37
2024-07-04,
2024-07-05,243.6
2024-07-06,
2024-07-07,
2024-07-08,248.94
2024-07-09,247.48
2024-07-10,249.13
2024-07-11,256.3
2024-07-12,242.65
2024-07-13,
2024-07-14,
2024-07-15,240.27
2024-07-16,247.54
2024-07-17,250.58
2024-07-18,250.66
2024-07-19,251.6
2024-07-20,
2024-07-21,
2024-07-22,249.31
2024-07-23,250.65
2024-07-24,244.8
2024-07-25,226.05
2024-07-26,220.45
2024-07-27,
2024-07-28,
2024-07-29,223.96
2024-07-30,231.16
2024-07-31,231.88
2024-08-01,228.33
2024-08-02,213.49
2024-08-03,
2024-08-04,
2024-08-05,207.94
2024-08-06,206.36
2024-08-07,204.03
2024-08-08,214.15
2024-08-09,214.92
2024-08-10,
2024-08-11,
2024-08-12,213.57
2024-08-13,219.83
2024-08-14,220.03
2024-08-15,235.33
2024-08-16,240.35
2024-08-17,
2024-08-18,
2024-08-19,240.01
2024-08-20,233.23
2024-08-21,235.13
2024-08-22,228.69
2024-08-23,233.97
2024-08-24,
2024-08-25,
2024-08-26,231.65
2024-08-27,236.28
2024-08-28,230.93
2024-08-29,235.15
2024-08-30,237.22
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,226.5
2024-09-04,222.34
2024-09-05,226.52
2024-09-06,221.15
2024-09-07,
2024-09-08,
2024-09-09,221.38
2024-09-10,227.15
2024-09-11,225.15
2024-09-12,228.86
2024-09-13,243.73
2024-09-14,
2024-09-15,
2024-09-16,249.56
2024-09-17,253.16
2024-09-18,253.01
2024-09-19,257.17
2024-09-20,252.85
2024-09-21,
2024-09-22,
2024-09-23,253.16
2024-09-24,249.01
2024-09-25,242.45
2024-09-26,249.46
2024-09-27,254.81
2024-09-28,
2024-09-29,
2024-09-30,254.32
2024-10-01,245.35
2024-10-02,238.06
2024-10-03,236.97
2024-10-04,241.35
2024-10-05,
2024-10-06,
2024-10-07,234.85
2024-10-08,234.06
2024-10-09,233.79
2024-10-10,229.65
2024-10-11,222.04
2024-10-12,
2024-10-13,
2024-10-14,221.27
2024-10-15,219.15
2024-10-16,216.05
2024-10-17,216.02
2024-10-18,219.7
2024-10-19,
2024-10-20,
2024-10-21,216.56
2024-10-22,210.81
2024-10-23,207.66
2024-10-24,216.42
2024-10-25,219.3
2024-10-26,
2024-10-27,
2024-10-28,215.8
2024-10-29,212.78
2024-10-30,210.86
2024-10-31,205.03
2024-11-01,208.58
2024-11-02,
2024-11-03,
2024-11-04,210.78
2024-11-05,212.15
2024-11-06,224.85
2024-11-07,222.18
2024-11-08,220.51
2024-11-09,
2024-11-10,
2024-11-11,225.24
2024-11-12,219.09
2024-11-13,215.03
2024-11-14,221.64
2024-11-15,223.69
2024-11-16,
2024-11-17,
2024-11-18,229.9
2024-11-19,222.58
2024-11-20,223.87
2024-11-21,228.21
2024-11-22,225.89
2024-11-23,
2024-11-24,
2024-11-25,240.52
2024-11-26,227.93
2024-11-27,229.66
2024-11-28,
2024-11-29,232.77
2024-11-30,
2024-12-01,
2024-12-02,234.14
2024-12-03,234.01
2024-12-04,235.29
2024-12-05,227.81
2024-12-06,232.35
2024-12-07,
2024-12-08,
2024-12-09,237.57
2024-12-10,237.16
2024-12-11,239.52
2024-12-12,235.72
2024-12-13,235.39
2024-12-14,
2024-12-15,
2024-12-16,230.09
2024-12-17,228.81
2024-12-18,212.69
2024-12-19,213.58
2024-12-20,211.06
2024-12-21,
2024-12-22,
2024-12-23,207.57
2024-12-24,213.5
2024-12-25,
2024-12-26,215.5
2024-12-27,211.43
2024-12-28,
2024-12-29,
2024-12-30,206.58
2024-12-31,208.51
2025-01-01,
2025-01-02,208.49
2025-01-03,208.26
2025-01-04,
2025-01-05,
2025-01-06,218.88
2025-01-07,217.56
2025-01-08,215.37
2025-01-09,
2025-01-10,212.12
2025-01-11,
2025-01-12,
2025-01-13,213.68
2025-01-14,210.46
2025-01-15,215.78
2025-01-16,218.91
2025-01-17,224.23
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,228.0
2025-01-22,232.14
2025-01-23,234.89
2025-01-24,233.3
2025-01-25,
2025-01-26,
2025-01-27,229.82
2025-01-28,226.17
2025-01-29,224.45
2025-01-30,225.36
2025-01-31,219.11
2025-02-01,
2025-02-02,
2025-02-03,215.82
2025-02-04,214.75
2025-02-05,216.36
2025-02-06,218.38
2025-02-07,210.55
2025-02-08,
2025-02-09,
2025-02-10,212.03
2025-02-11,210.52
2025-02-12,205.34
2025-02-13,204.89
2025-02-14,206.77
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,202.24
2025-02-19,201.79
2025-02-20,198.06
2025-02-21,190.43
2025-02-22,
2025-02-23,
2025-02-24,190.72
2025-02-25,186.62
2025-02-26,191.21
2025-02-27,185.77
2025-02-28,187.03
2025-03-01,
2025-03-02,
2025-03-03,175.09
2025-03-04,169.88
2025-03-05,174.19
2025-03-06,172.0
2025-03-07,173.75
2025-03-08,
2025-03-09,
2025-03-10,163.39
2025-03-11,165.14
2025-03-12,164.57
2025-03-13,160.51
2025-03-14,166.2
2025-03-15,
2025-03-16,
2025-03-17,169.59
2025-03-18,164.53
2025-03-19,166.14
2025-03-20,168.81
2025-03-21,168.61
2025-03-22,
2025-03-23,
2025-03-24,170.37
2025-03-25,170.0
2025-03-26,166.46
2025-03-27,164.29
2025-03-28,159.21
2025-03-29,
2025-03-30,
2025-03-31,158.86
2025-04-01,158.08
2025-04-02,163.98
2025-04-03,154.24
2025-04-04,153.51
2025-04-05,
2025-04-06,
2025-04-07,153.35
2025-04-08,144.32
2025-04-09,165.03
2025-04-10,160.14
2025-04-11,164.14
2025-04-12,
2025-04-13,
2025-04-14,165.62
2025-04-15,164.15
2025-04-16,167.18
2025-04-17,171.41
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,172.22
2025-04-22,173.87
2025-04-23,177.23
2025-04-24,184.27
2025-04-25,183.35
2025-04-26,
2025-04-27,
2025-04-28,181.09
2025-04-29,177.75
2025-04-30,173.3
2025-05-01,176.74
2025-05-02,179.82
2025-05-03,
2025-05-04,
2025-05-05,177.61
2025-05-06,173.07
2025-05-07,172.22
2025-05-08,180.93
2025-05-09,181.88
2025-05-10,
2025-05-11,
2025-05-12,189.0
2025-05-13,190.42
2025-05-14,187.65
2025-05-15,186.72
2025-05-16,188.29
2025-05-17,
2025-05-18,
2025-05-19,184.84
2025-05-20,182.58
2025-05-21,171.91
2025-05-22,172.61
2025-05-23,170.8
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,178.55
2025-05-28,180.11
2025-05-29,183.05
2025-05-30,180.94
2025-05-31,
2025-06-01,
2025-06-02,178.51
2025-06-03,179.16
2025-06-04,179.99
2025-06-05,180.26
2025-06-06,180.62
2025-06-07,
2025-06-08,
2025-06-09,180.93
2025-06-10,188.07
2025-06-11,185.48
2025-06-12,181.69
2025-06-13,177.85
2025-06-14,
2025-06-15,
2025-06-16,182.52
2025-06-17,175.16
2025-06-18,180.01
2025-06-19,
2025-06-20,181.79
2025-06-21,
2025-06-22,
2025-06-23,183.42
2025-06-24,186.58
2025-06-25,187.14
2025-06-26,187.74
2025-06-27,188.52
2025-06-28,
2025-06-29,
2025-06-30,189.33
2025-07-01,194.28
2025-07-02,196.98
2025-07-03,196.82
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,193.83
2025-07-08,195.47
2025-07-09,200.48
2025-07-10,204.48
2025-07-11,202.28
2025-07-12,
2025-07-13,
2025-07-14,199.31
2025-07-15,192.81
2025-07-16,190.24
2025-07-17,192.27
2025-07-18,190.77
2025-07-19,
2025-07-20,
2025-07-21,189.02
2025-07-22,194.06
2025-07-23,204.13
2025-07-24,202.18
2025-07-25,205.56
2025-07-26,
2025-07-27,
2025-07-28,207.19
2025-07-29,205.81
2025-07-30,203.57
2025-07-31,129.01
2025-08-01,136.52
2025-08-02,
2025-08-03,
2025-08-04,137.77
2025-08-05,139.65
2025-08-06,136.9
2025-08-07,138.77
2025-08-08,139.88
2025-08-09,
2025-08-10,
2025-08-11,134.82
2025-08-12,140.49
2025-08-13,145.74
2025-08-14,142.88
2025-08-15,142.43
2025-08-16,
2025-08-17,
