Date,Close
2020-01-01,
2020-01-02,98.59
2020-01-03,98.59
2020-01-04,
2020-01-05,
2020-01-06,98.88
2020-01-07,98.04
2020-01-08,98.31
2020-01-09,99.42
2020-01-10,99.14
2020-01-11,
2020-01-12,
2020-01-13,100.04
2020-01-14,99.44
2020-01-15,99.84
2020-01-16,101.5
2020-01-17,102.72
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,102.94
2020-01-22,102.81
2020-01-23,103.24
2020-01-24,103.36
2020-01-25,
2020-01-26,
2020-01-27,101.87
2020-01-28,102.71
2020-01-29,103.43
2020-01-30,104.76
2020-01-31,103.58
2020-02-01,
2020-02-02,
2020-02-03,104.03
2020-02-04,104.82
2020-02-05,108.94
2020-02-06,108.26
2020-02-07,108.73
2020-02-08,
2020-02-09,
2020-02-10,108.31
2020-02-11,109.32
2020-02-12,108.16
2020-02-13,109.13
2020-02-14,109.73
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,108.62
2020-02-19,108.58
2020-02-20,107.88
2020-02-21,108.02
2020-02-22,
2020-02-23,
2020-02-24,105.33
2020-02-25,102.51
2020-02-26,101.13
2020-02-27,96.05
2020-02-28,92.43
2020-02-29,
2020-03-01,
2020-03-02,98.94
2020-03-03,95.89
2020-03-04,100.56
2020-03-05,95.24
2020-03-06,94.08
2020-03-07,
2020-03-08,
2020-03-09,83.96
2020-03-10,87.16
2020-03-11,81.47
2020-03-12,73.59
2020-03-13,81.47
2020-03-14,
2020-03-15,
2020-03-16,74.62
2020-03-17,77.22
2020-03-18,66.34
2020-03-19,65.59
2020-03-20,64.87
2020-03-21,
2020-03-22,
2020-03-23,64.31
2020-03-24,68.43
2020-03-25,72.89
2020-03-26,78.59
2020-03-27,77.68
2020-03-28,
2020-03-29,
2020-03-30,83.11
2020-03-31,80.55
2020-04-01,75.87
2020-04-02,75.34
2020-04-03,75.49
2020-04-04,
2020-04-05,
2020-04-06,82.12
2020-04-07,81.25
2020-04-08,85.4
2020-04-09,88.11
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,86.06
2020-04-14,89.96
2020-04-15,86.01
2020-04-16,87.75
2020-04-17,92.14
2020-04-18,
2020-04-19,
2020-04-20,90.2
2020-04-21,87.89
2020-04-22,89.56
2020-04-23,87.33
2020-04-24,89.08
2020-04-25,
2020-04-26,
2020-04-27,90.53
2020-04-28,89.43
2020-04-29,92.93
2020-04-30,89.33
2020-05-01,87.59
2020-05-02,
2020-05-03,
2020-05-04,88.11
2020-05-05,89.7
2020-05-06,89.11
2020-05-07,88.56
2020-05-08,88.51
2020-05-09,
2020-05-10,
2020-05-11,89.43
2020-05-12,85.66
2020-05-13,80.86
2020-05-14,82.48
2020-05-15,83.76
2020-05-16,
2020-05-17,
2020-05-18,86.97
2020-05-19,85.42
2020-05-20,85.17
2020-05-21,82.66
2020-05-22,83.27
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,82.59
2020-05-27,85.82
2020-05-28,86.77
2020-05-29,86.37
2020-05-30,
2020-05-31,
2020-06-01,87.48
2020-06-02,87.42
2020-06-03,88.66
2020-06-04,89.95
2020-06-05,93.13
2020-06-06,
2020-06-07,
2020-06-08,94.47
2020-06-09,91.14
2020-06-10,90.05
2020-06-11,83.7
2020-06-12,84.51
2020-06-13,
2020-06-14,
2020-06-15,86.39
2020-06-16,87.53
2020-06-17,86.49
2020-06-18,87.2
2020-06-19,87.18
2020-06-20,
2020-06-21,
2020-06-22,85.79
2020-06-23,85.35
2020-06-24,82.08
2020-06-25,84.62
2020-06-26,83.52
2020-06-27,
2020-06-28,
2020-06-29,84.28
2020-06-30,85.64
2020-07-01,84.36
2020-07-02,83.08
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,84.45
2020-07-07,81.81
2020-07-08,77.9
2020-07-09,75.78
2020-07-10,76.8
2020-07-11,
2020-07-12,
2020-07-13,78.15
2020-07-14,79.23
2020-07-15,79.59
2020-07-16,80.89
2020-07-17,80.95
2020-07-18,
2020-07-19,
2020-07-20,80.29
2020-07-21,81.11
2020-07-22,82.58
2020-07-23,83.6
2020-07-24,83.32
2020-07-25,
2020-07-26,
2020-07-27,81.86
2020-07-28,81.48
2020-07-29,83.0
2020-07-30,81.31
2020-07-31,83.35
2020-08-01,
2020-08-02,
2020-08-03,84.94
2020-08-04,84.98
2020-08-05,83.68
2020-08-06,83.43
2020-08-07,85.57
2020-08-08,
2020-08-09,
2020-08-10,85.87
2020-08-11,85.5
2020-08-12,84.97
2020-08-13,85.0
2020-08-14,84.88
2020-08-15,
2020-08-16,
2020-08-17,84.09
2020-08-18,83.6
2020-08-19,83.25
2020-08-20,84.21
2020-08-21,83.44
2020-08-22,
2020-08-23,
2020-08-24,83.89
2020-08-25,82.8
2020-08-26,82.13
2020-08-27,83.6
2020-08-28,83.76
2020-08-29,
2020-08-30,
2020-08-31,82.6
2020-09-01,82.57
2020-09-02,84.01
2020-09-03,82.9
2020-09-04,83.32
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,81.05
2020-09-09,82.19
2020-09-10,82.26
2020-09-11,83.33
2020-09-12,
2020-09-13,
2020-09-14,84.33
2020-09-15,84.24
2020-09-16,85.19
2020-09-17,82.42
2020-09-18,81.07
2020-09-19,
2020-09-20,
2020-09-21,81.74
2020-09-22,82.01
2020-09-23,79.6
2020-09-24,79.92
2020-09-25,81.07
2020-09-26,
2020-09-27,
2020-09-28,82.8
2020-09-29,82.99
2020-09-30,83.61
2020-10-01,81.94
2020-10-02,82.62
2020-10-03,
2020-10-04,
2020-10-05,83.21
2020-10-06,82.29
2020-10-07,82.86
2020-10-08,83.12
2020-10-09,82.48
2020-10-10,
2020-10-11,
2020-10-12,83.72
2020-10-13,81.53
2020-10-14,81.07
2020-10-15,81.46
2020-10-16,82.23
2020-10-17,
2020-10-18,
2020-10-19,81.2
2020-10-20,80.9
2020-10-21,80.61
2020-10-22,81.44
2020-10-23,81.05
2020-10-24,
2020-10-25,
2020-10-26,80.66
2020-10-27,79.08
2020-10-28,78.16
2020-10-29,78.68
2020-10-30,78.83
2020-10-31,
2020-11-01,
2020-11-02,80.74
2020-11-03,82.53
2020-11-04,81.75
2020-11-05,80.3
2020-11-06,80.96
2020-11-07,
2020-11-08,
2020-11-09,83.39
2020-11-10,83.88
2020-11-11,83.82
2020-11-12,84.21
2020-11-13,85.9
2020-11-14,
2020-11-15,
2020-11-16,87.1
2020-11-17,88.26
2020-11-18,88.88
2020-11-19,89.15
2020-11-20,88.98
2020-11-21,
2020-11-22,
2020-11-23,89.98
2020-11-24,93.15
2020-11-25,92.33
2020-11-26,
2020-11-27,92.98
2020-11-28,
2020-11-29,
2020-11-30,91.38
2020-12-01,93.11
2020-12-02,92.57
2020-12-03,92.7
2020-12-04,93.17
2020-12-05,
2020-12-06,
2020-12-07,92.33
2020-12-08,94.15
2020-12-09,93.92
2020-12-10,94.12
2020-12-11,93.24
2020-12-12,
2020-12-13,
2020-12-14,93.63
2020-12-15,94.57
2020-12-16,95.01
2020-12-17,95.14
2020-12-18,95.89
2020-12-19,
2020-12-20,
2020-12-21,94.79
2020-12-22,94.81
2020-12-23,94.63
2020-12-24,95.7
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,95.95
2020-12-29,96.0
2020-12-30,96.56
2020-12-31,98.15
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,96.5
2021-01-05,95.74
2021-01-06,98.2
2021-01-07,98.27
2021-01-08,98.17
2021-01-09,
2021-01-10,
2021-01-11,97.45
2021-01-12,98.01
2021-01-13,97.21
2021-01-14,97.37
2021-01-15,96.78
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,98.45
2021-01-20,99.1
2021-01-21,98.85
2021-01-22,98.59
2021-01-23,
2021-01-24,
2021-01-25,99.06
2021-01-26,97.78
2021-01-27,98.67
2021-01-28,97.59
2021-01-29,95.69
2021-01-30,
2021-01-31,
2021-02-01,97.06
2021-02-02,98.92
2021-02-03,97.32
2021-02-04,95.65
2021-02-05,95.46
2021-02-06,
2021-02-07,
2021-02-08,95.87
2021-02-09,96.32
2021-02-10,94.28
2021-02-11,93.28
2021-02-12,93.24
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,92.15
2021-02-17,93.62
2021-02-18,93.82
2021-02-19,92.36
2021-02-20,
2021-02-21,
2021-02-22,94.02
2021-02-23,96.43
2021-02-24,96.75
2021-02-25,97.17
2021-02-26,95.17
2021-02-27,
2021-02-28,
2021-03-01,97.96
2021-03-02,98.65
2021-03-03,100.07
2021-03-04,98.35
2021-03-05,100.39
2021-03-06,
2021-03-07,
2021-03-08,101.89
2021-03-09,100.37
2021-03-10,102.27
2021-03-11,102.32
2021-03-12,104.1
2021-03-13,
2021-03-14,
2021-03-15,105.47
2021-03-16,104.19
2021-03-17,104.19
2021-03-18,104.37
2021-03-19,101.85
2021-03-20,
2021-03-21,
2021-03-22,100.95
2021-03-23,100.61
2021-03-24,101.5
2021-03-25,103.17
2021-03-26,104.36
2021-03-27,
2021-03-28,
2021-03-29,105.05
2021-03-30,105.33
2021-03-31,103.34
2021-04-01,104.36
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,105.67
2021-04-06,105.98
2021-04-07,104.67
2021-04-08,105.28
2021-04-09,105.32
2021-04-10,
2021-04-11,
2021-04-12,107.35
2021-04-13,107.2
2021-04-14,108.31
2021-04-15,109.36
2021-04-16,109.91
2021-04-17,
2021-04-18,
2021-04-19,110.48
2021-04-20,110.51
2021-04-21,111.44
2021-04-22,111.22
2021-04-23,112.47
2021-04-24,
2021-04-25,
2021-04-26,112.7
2021-04-27,113.18
2021-04-28,112.74
2021-04-29,115.01
2021-04-30,114.05
2021-05-01,
2021-05-02,
2021-05-03,115.24
2021-05-04,114.98
2021-05-05,114.63
2021-05-06,119.28
2021-05-07,118.96
2021-05-08,
2021-05-09,
2021-05-10,120.96
2021-05-11,120.64
2021-05-12,119.4
2021-05-13,123.69
2021-05-14,125.25
2021-05-15,
2021-05-16,
2021-05-17,125.04
2021-05-18,123.34
2021-05-19,122.04
2021-05-20,122.4
2021-05-21,123.61
2021-05-22,
2021-05-23,
2021-05-24,123.44
2021-05-25,121.56
2021-05-26,121.93
2021-05-27,122.59
2021-05-28,122.87
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,124.14
2021-06-02,124.25
2021-06-03,123.28
2021-06-04,123.25
2021-06-05,
2021-06-06,
2021-06-07,121.68
2021-06-08,121.76
2021-06-09,120.35
2021-06-10,118.89
2021-06-11,119.18
2021-06-12,
2021-06-13,
2021-06-14,118.5
2021-06-15,119.52
2021-06-16,118.01
2021-06-17,114.49
2021-06-18,112.22
2021-06-19,
2021-06-20,
2021-06-21,115.95
2021-06-22,116.26
2021-06-23,115.64
2021-06-24,116.65
2021-06-25,118.32
2021-06-26,
2021-06-27,
2021-06-28,117.39
2021-06-29,117.22
2021-06-30,118.01
2021-07-01,120.14
2021-07-02,120.54
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,119.15
2021-07-07,120.41
2021-07-08,117.98
2021-07-09,120.75
2021-07-10,
2021-07-11,
2021-07-12,121.75
2021-07-13,119.68
2021-07-14,119.14
2021-07-15,118.06
2021-07-16,118.02
2021-07-17,
2021-07-18,
2021-07-19,115.34
2021-07-20,115.65
2021-07-21,116.52
2021-07-22,116.03
2021-07-23,117.38
2021-07-24,
2021-07-25,
2021-07-26,118.07
2021-07-27,118.93
2021-07-28,117.98
2021-07-29,119.89
2021-07-30,117.66
2021-07-31,
2021-08-01,
2021-08-02,117.4
2021-08-03,118.26
2021-08-04,116.65
2021-08-05,115.74
2021-08-06,118.36
2021-08-07,
2021-08-08,
2021-08-09,120.04
2021-08-10,121.53
2021-08-11,122.69
2021-08-12,122.36
2021-08-13,122.19
2021-08-14,
2021-08-15,
2021-08-16,123.53
2021-08-17,121.89
2021-08-18,121.51
2021-08-19,121.26
2021-08-20,121.74
2021-08-21,
2021-08-22,
2021-08-23,124.25
2021-08-24,123.9
2021-08-25,124.73
2021-08-26,123.24
2021-08-27,124.41
2021-08-28,
2021-08-29,
2021-08-30,122.42
2021-08-31,123.12
2021-09-01,122.2
2021-09-02,121.92
2021-09-03,121.92
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,119.65
2021-09-08,120.88
2021-09-09,120.21
2021-09-10,119.72
2021-09-11,
2021-09-12,
2021-09-13,121.29
2021-09-14,120.25
2021-09-15,119.85
2021-09-16,119.66
2021-09-17,119.25
2021-09-18,
2021-09-19,
2021-09-20,117.94
2021-09-21,117.95
2021-09-22,118.64
2021-09-23,119.05
2021-09-24,118.77
2021-09-25,
2021-09-26,
2021-09-27,118.67
2021-09-28,116.48
2021-09-29,117.7
2021-09-30,115.86
2021-10-01,116.24
2021-10-02,
2021-10-03,
2021-10-04,115.23
2021-10-05,116.61
2021-10-06,116.03
2021-10-07,115.89
2021-10-08,115.47
2021-10-09,
2021-10-10,
2021-10-11,116.45
2021-10-12,115.41
2021-10-13,114.4
2021-10-14,115.41
2021-10-15,115.36
2021-10-16,
2021-10-17,
2021-10-18,114.72
2021-10-19,115.13
2021-10-20,116.8
2021-10-21,115.37
2021-10-22,116.49
2021-10-23,
2021-10-24,
2021-10-25,117.4
2021-10-26,116.78
2021-10-27,113.67
2021-10-28,114.87
2021-10-29,112.55
2021-10-30,
2021-10-31,
2021-11-01,112.4
2021-11-02,113.92
2021-11-03,114.78
2021-11-04,106.57
2021-11-05,106.63
2021-11-06,
2021-11-07,
2021-11-08,106.53
2021-11-09,104.83
2021-11-10,103.85
2021-11-11,104.35
2021-11-12,104.4
2021-11-13,
2021-11-14,
2021-11-15,104.48
2021-11-16,104.98
2021-11-17,103.05
2021-11-18,102.89
2021-11-19,101.87
2021-11-20,
2021-11-21,
2021-11-22,103.34
2021-11-23,104.57
2021-11-24,104.39
2021-11-25,
2021-11-26,104.77
2021-11-27,
2021-11-28,
2021-11-29,103.7
2021-11-30,99.65
2021-12-01,98.19
2021-12-02,100.52
2021-12-03,99.28
2021-12-04,
2021-12-05,
2021-12-06,100.62
2021-12-07,101.04
2021-12-08,99.92
2021-12-09,98.68
2021-12-10,99.0
2021-12-11,
2021-12-12,
2021-12-13,99.17
2021-12-14,101.47
2021-12-15,104.04
2021-12-16,106.15
2021-12-17,104.61
2021-12-18,
2021-12-19,
2021-12-20,102.94
2021-12-21,103.86
2021-12-22,103.95
2021-12-23,104.6
2021-12-24,
2021-12-25,
2021-12-26,
