Date,Close
2024-01-01,
2024-01-02,105.68
2024-01-03,100.71
2024-01-04,99.81
2024-01-05,100.04
2024-01-06,
2024-01-07,
2024-01-08,101.44
2024-01-09,100.23
2024-01-10,100.59
2024-01-11,101.1
2024-01-12,100.2
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,100.45
2024-01-17,98.37
2024-01-18,99.44
2024-01-19,99.04
2024-01-20,
2024-01-21,
2024-01-22,100.08
2024-01-23,99.44
2024-01-24,97.89
2024-01-25,99.63
2024-01-26,102.46
2024-01-27,
2024-01-28,
2024-01-29,104.05
2024-01-30,104.2
2024-01-31,103.0
2024-02-01,106.73
2024-02-02,106.58
2024-02-03,
2024-02-04,
2024-02-05,104.96
2024-02-06,106.18
2024-02-07,104.28
2024-02-08,105.29
2024-02-09,105.77
2024-02-10,
2024-02-11,
2024-02-12,106.68
2024-02-13,103.61
2024-02-14,105.12
2024-02-15,108.3
2024-02-16,107.2
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,105.93
2024-02-21,106.26
2024-02-22,107.01
2024-02-23,108.0
2024-02-24,
2024-02-25,
2024-02-26,108.53
2024-02-27,110.22
2024-02-28,109.93
2024-02-29,111.57
2024-03-01,112.24
2024-03-02,
2024-03-03,
2024-03-04,112.87
2024-03-05,112.5
2024-03-06,113.45
2024-03-07,114.36
2024-03-08,112.61
2024-03-09,
2024-03-10,
2024-03-11,114.82
2024-03-12,116.08
2024-03-13,118.12
2024-03-14,117.41
2024-03-15,116.09
2024-03-16,
2024-03-17,
2024-03-18,115.09
2024-03-19,115.4
2024-03-20,117.35
2024-03-21,117.93
2024-03-22,119.46
2024-03-23,
2024-03-24,
2024-03-25,118.42
2024-03-26,117.09
2024-03-27,118.09
2024-03-28,116.48
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,116.61
2024-04-02,114.32
2024-04-03,114.61
2024-04-04,114.06
2024-04-05,116.11
2024-04-06,
2024-04-07,
2024-04-08,116.34
2024-04-09,116.6
2024-04-10,114.06
2024-04-11,113.97
2024-04-12,111.48
2024-04-13,
2024-04-14,
2024-04-15,112.09
2024-04-16,111.82
2024-04-17,111.89
2024-04-18,110.61
2024-04-19,111.06
2024-04-20,
2024-04-21,
2024-04-22,113.43
2024-04-23,114.12
2024-04-24,114.07
2024-04-25,112.05
2024-04-26,118.28
2024-04-27,
2024-04-28,
2024-04-29,117.26
2024-04-30,115.86
2024-05-01,116.48
2024-05-02,117.8
2024-05-03,117.4
2024-05-04,
2024-05-05,
2024-05-06,119.79
2024-05-07,119.89
2024-05-08,120.36
2024-05-09,120.9
2024-05-10,120.26
2024-05-11,
2024-05-12,
2024-05-13,118.5
2024-05-14,118.03
2024-05-15,121.7
2024-05-16,122.07
2024-05-17,121.07
2024-05-18,
2024-05-19,
2024-05-20,121.17
2024-05-21,122.12
2024-05-22,121.51
2024-05-23,120.96
2024-05-24,122.26
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,125.55
2024-05-29,122.52
2024-05-30,123.21
2024-05-31,124.05
2024-06-01,
2024-06-02,
2024-06-03,123.39
2024-06-04,117.83
2024-06-05,116.82
2024-06-06,116.44
2024-06-07,116.21
2024-06-08,
2024-06-09,
2024-06-10,115.89
2024-06-11,110.39
2024-06-12,110.75
2024-06-13,110.56
2024-06-14,106.33
2024-06-15,
2024-06-16,
2024-06-17,108.99
2024-06-18,105.8
2024-06-19,
2024-06-20,103.7
2024-06-21,105.26
2024-06-22,
2024-06-23,
2024-06-24,107.16
2024-06-25,105.81
2024-06-26,105.55
2024-06-27,103.36
2024-06-28,104.04
2024-06-29,
2024-06-30,
2024-07-01,104.04
2024-07-02,104.38
2024-07-03,105.56
2024-07-04,
2024-07-05,103.77
2024-07-06,
2024-07-07,
2024-07-08,105.0
2024-07-09,103.47
2024-07-10,104.11
2024-07-11,105.95
2024-07-12,106.63
2024-07-13,
2024-07-14,
2024-07-15,105.9
2024-07-16,108.04
2024-07-17,105.51
2024-07-18,105.59
2024-07-19,94.97
2024-07-20,
2024-07-21,
