Date,Close
2020-01-01,
2020-01-02,39.09
2020-01-03,38.76
2020-01-04,
2020-01-05,
2020-01-06,38.8
2020-01-07,38.8
2020-01-08,39.03
2020-01-09,39.38
2020-01-10,39.3
2020-01-11,
2020-01-12,
2020-01-13,39.63
2020-01-14,39.64
2020-01-15,39.64
2020-01-16,39.99
2020-01-17,40.31
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,40.16
2020-01-22,40.15
2020-01-23,40.11
2020-01-24,39.8
2020-01-25,
2020-01-26,
2020-01-27,39.11
2020-01-28,39.52
2020-01-29,39.44
2020-01-30,39.43
2020-01-31,38.59
2020-02-01,
2020-02-02,
2020-02-03,38.92
2020-02-04,39.67
2020-02-05,40.14
2020-02-06,40.31
2020-02-07,39.87
2020-02-08,
2020-02-09,
2020-02-10,40.12
2020-02-11,40.3
2020-02-12,40.66
2020-02-13,40.49
2020-02-14,40.6
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,40.3
2020-02-19,40.61
2020-02-20,40.48
2020-02-21,40.12
2020-02-22,
2020-02-23,
2020-02-24,38.82
2020-02-25,37.94
2020-02-26,37.93
2020-02-27,36.65
2020-02-28,36.45
2020-02-29,
2020-03-01,
2020-03-02,37.95
2020-03-03,37.02
2020-03-04,38.45
2020-03-05,37.52
2020-03-06,37.05
2020-03-07,
2020-03-08,
2020-03-09,34.69
2020-03-10,36.2
2020-03-11,34.63
2020-03-12,31.69
2020-03-13,34.39
2020-03-14,
2020-03-15,
2020-03-16,30.8
2020-03-17,32.58
2020-03-18,31.3
2020-03-19,31.46
2020-03-20,30.19
2020-03-21,
2020-03-22,
2020-03-23,29.83
2020-03-24,32.0
2020-03-25,32.06
2020-03-26,33.88
2020-03-27,32.68
2020-03-28,
2020-03-29,
2020-03-30,33.77
2020-03-31,33.4
2020-04-01,32.18
2020-04-02,32.86
2020-04-03,32.41
2020-04-04,
2020-04-05,
2020-04-06,34.4
2020-04-07,34.23
2020-04-08,35.09
2020-04-09,35.27
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,34.98
2020-04-14,36.21
2020-04-15,35.54
2020-04-16,36.06
2020-04-17,36.78
2020-04-18,
2020-04-19,
2020-04-20,36.33
2020-04-21,35.27
2020-04-22,36.07
2020-04-23,35.96
2020-04-24,36.57
2020-04-25,
2020-04-26,
