Date,Close
2024-01-01,
2024-01-02,370.46
2024-01-03,371.93
2024-01-04,370.47
2024-01-05,373.46
2024-01-06,
2024-01-07,
2024-01-08,375.75
2024-01-09,367.41
2024-01-10,369.44
2024-01-11,369.72
2024-01-12,367.89
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,365.02
2024-01-17,363.65
2024-01-18,366.4
2024-01-19,373.04
2024-01-20,
2024-01-21,
2024-01-22,378.36
2024-01-23,379.03
2024-01-24,380.65
2024-01-25,382.53
2024-01-26,382.55
2024-01-27,
2024-01-28,
2024-01-29,384.22
2024-01-30,384.65
2024-01-31,378.08
2024-02-01,377.29
2024-02-02,381.85
2024-02-03,
2024-02-04,
2024-02-05,381.25
2024-02-06,379.27
2024-02-07,382.51
2024-02-08,387.24
2024-02-09,389.31
2024-02-10,
2024-02-11,
2024-02-12,389.73
2024-02-13,382.39
2024-02-14,383.83
2024-02-15,390.18
2024-02-16,390.15
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,389.15
2024-02-21,387.76
2024-02-22,395.57
2024-02-23,399.29
2024-02-24,
2024-02-25,
2024-02-26,400.08
2024-02-27,400.85
2024-02-28,402.74
2024-02-29,399.53
2024-03-01,402.69
2024-03-02,
2024-03-03,
2024-03-04,404.45
2024-03-05,404.65
2024-03-06,407.48
2024-03-07,404.84
2024-03-08,404.09
2024-03-09,
2024-03-10,
2024-03-11,403.77
2024-03-12,405.05
2024-03-13,408.73
2024-03-14,405.99
2024-03-15,411.42
2024-03-16,
2024-03-17,
2024-03-18,416.2
2024-03-19,420.74
2024-03-20,422.84
2024-03-21,427.35
2024-03-22,421.89
2024-03-23,
2024-03-24,
2024-03-25,423.21
2024-03-26,422.93
2024-03-27,427.59
2024-03-28,430.01
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,426.47
2024-04-02,424.87
2024-04-03,427.83
2024-04-04,420.64
2024-04-05,426.45
2024-04-06,
2024-04-07,
2024-04-08,427.39
2024-04-09,421.33
2024-04-10,417.79
2024-04-11,414.35
2024-04-12,405.74
2024-04-13,
2024-04-14,
2024-04-15,403.27
2024-04-16,402.95
2024-04-17,403.85
2024-04-18,404.69
2024-04-19,408.99
2024-04-20,
2024-04-21,
2024-04-22,413.28
2024-04-23,399.85
2024-04-24,404.92
2024-04-25,403.01
2024-04-26,402.12
2024-04-27,
2024-04-28,
2024-04-29,408.34
2024-04-30,403.87
2024-05-01,405.49
2024-05-02,408.47
2024-05-03,412.36
2024-05-04,
2024-05-05,
2024-05-06,418.27
2024-05-07,418.18
2024-05-08,419.24
2024-05-09,423.26
2024-05-10,426.73
2024-05-11,
2024-05-12,
2024-05-13,425.14
2024-05-14,428.48
2024-05-15,432.48
2024-05-16,429.12
2024-05-17,427.29
2024-05-18,
2024-05-19,
2024-05-20,426.29
2024-05-21,427.25
2024-05-22,431.1
2024-05-23,427.32
2024-05-24,434.03
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,428.13
2024-05-29,421.25
2024-05-30,423.74
2024-05-31,429.74
2024-06-01,
2024-06-02,
2024-06-03,424.26
2024-06-04,417.87
2024-06-05,420.92
2024-06-06,418.81
2024-06-07,419.92
2024-06-08,
2024-06-09,
2024-06-10,421.73
2024-06-11,415.38
2024-06-12,421.57
2024-06-13,420.19
2024-06-14,417.19
2024-06-15,
2024-06-16,
2024-06-17,425.74
2024-06-18,430.19
2024-06-19,
2024-06-20,435.26
2024-06-21,433.94
2024-06-22,
2024-06-23,
2024-06-24,433.42
2024-06-25,431.24
2024-06-26,427.05
2024-06-27,423.57
2024-06-28,420.47
2024-06-29,
2024-06-30,
2024-07-01,419.39
2024-07-02,427.04
2024-07-03,427.17
2024-07-04,
2024-07-05,425.35
2024-07-06,
2024-07-07,
2024-07-08,420.34
2024-07-09,426.47
2024-07-10,433.67
2024-07-11,432.9
2024-07-12,439.25
2024-07-13,
2024-07-14,
2024-07-15,438.79
2024-07-16,422.3
