Date,Close
2024-01-01,
2024-01-02,78.96
2024-01-03,76.31
2024-01-04,76.96
2024-01-05,76.63
2024-01-06,
2024-01-07,
2024-01-08,76.85
2024-01-09,77.4
2024-01-10,78.02
2024-01-11,78.2
2024-01-12,78.64
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,78.51
2024-01-17,77.68
2024-01-18,78.12
2024-01-19,78.73
2024-01-20,
2024-01-21,
2024-01-22,79.61
2024-01-23,79.35
2024-01-24,77.88
2024-01-25,78.79
2024-01-26,78.45
2024-01-27,
2024-01-28,
2024-01-29,79.16
2024-01-30,77.59
2024-01-31,75.54
2024-02-01,77.45
2024-02-02,76.24
2024-02-03,
2024-02-04,
2024-02-05,75.03
2024-02-06,76.13
2024-02-07,77.71
2024-02-08,78.11
2024-02-09,78.39
2024-02-10,
2024-02-11,
2024-02-12,79.11
2024-02-13,77.13
2024-02-14,79.0
2024-02-15,78.84
2024-02-16,77.95
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,77.51
2024-02-21,78.09
2024-02-22,78.46
2024-02-23,79.23
2024-02-24,
2024-02-25,
2024-02-26,79.41
2024-02-27,80.1
2024-02-28,80.68
2024-02-29,80.69
2024-03-01,81.7
2024-03-02,
2024-03-03,
2024-03-04,82.83
2024-03-05,81.46
2024-03-06,82.24
2024-03-07,84.34
2024-03-08,83.53
2024-03-09,
2024-03-10,
2024-03-11,83.03
2024-03-12,83.64
2024-03-13,83.86
2024-03-14,84.31
2024-03-15,84.77
2024-03-16,
2024-03-17,
2024-03-18,83.57
2024-03-19,84.46
2024-03-20,85.3
2024-03-21,87.48
2024-03-22,86.9
2024-03-23,
2024-03-24,
2024-03-25,85.69
2024-03-26,85.53
2024-03-27,86.48
2024-03-28,87.07
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,86.7
2024-04-02,86.19
2024-04-03,86.28
2024-04-04,84.81
2024-04-05,85.2
2024-04-06,
2024-04-07,
2024-04-08,84.65
2024-04-09,84.16
2024-04-10,83.25
2024-04-11,83.85
2024-04-12,84.19
2024-04-13,
2024-04-14,
2024-04-15,82.88
2024-04-16,83.12
2024-04-17,84.15
2024-04-18,84.38
2024-04-19,83.77
2024-04-20,
2024-04-21,
2024-04-22,84.58
2024-04-23,85.57
2024-04-24,84.68
2024-04-25,80.61
2024-04-26,80.99
