Date,Close
2024-01-01,
2024-01-02,43.56
2024-01-03,43.29
2024-01-04,43.44
2024-01-05,43.46
2024-01-06,
2024-01-07,
2024-01-08,43.88
2024-01-09,43.51
2024-01-10,43.67
2024-01-11,43.57
2024-01-12,43.73
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,43.33
2024-01-17,43.0
2024-01-18,43.31
2024-01-19,43.44
2024-01-20,
2024-01-21,
2024-01-22,43.48
2024-01-23,43.31
2024-01-24,43.55
2024-01-25,43.65
2024-01-26,43.87
2024-01-27,
2024-01-28,
2024-01-29,44.12
2024-01-30,44.08
2024-01-31,43.63
2024-02-01,43.94
2024-02-02,43.83
2024-02-03,
2024-02-04,
2024-02-05,43.83
2024-02-06,43.88
2024-02-07,43.77
2024-02-08,43.77
2024-02-09,43.88
2024-02-10,
2024-02-11,
2024-02-12,43.96
2024-02-13,43.43
2024-02-14,43.87
2024-02-15,44.24
2024-02-16,44.23
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,44.41
2024-02-21,44.42
2024-02-22,44.87
2024-02-23,44.81
2024-02-24,
2024-02-25,
2024-02-26,44.79
2024-02-27,44.73
2024-02-28,44.61
2024-02-29,44.59
2024-03-01,44.8
2024-03-02,
2024-03-03,
2024-03-04,44.77
2024-03-05,44.65
2024-03-06,44.94
2024-03-07,45.17
2024-03-08,45.19
2024-03-09,
2024-03-10,
2024-03-11,45.36
2024-03-12,45.72
2024-03-13,45.81
2024-03-14,45.76
2024-03-15,45.54
2024-03-16,
2024-03-17,
2024-03-18,45.3
2024-03-19,45.29
2024-03-20,45.66
2024-03-21,45.64
2024-03-22,45.47
2024-03-23,
2024-03-24,
2024-03-25,45.42
2024-03-26,45.53
2024-03-27,45.69
2024-03-28,45.69
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,45.57
2024-04-02,45.33
2024-04-03,45.52
2024-04-04,45.35
2024-04-05,45.51
2024-04-06,
2024-04-07,
2024-04-08,45.54
2024-04-09,45.43
2024-04-10,44.97
2024-04-11,44.97
2024-04-12,44.27
2024-04-13,
2024-04-14,
2024-04-15,44.08
2024-04-16,43.86
2024-04-17,43.92
2024-04-18,44.22
2024-04-19,44.3
2024-04-20,
2024-04-21,
2024-04-22,44.7
2024-04-23,45.03
2024-04-24,45.0
2024-04-25,45.01
2024-04-26,44.96
2024-04-27,
2024-04-28,
2024-04-29,45.4
2024-04-30,44.99
2024-05-01,45.17
2024-05-02,45.78
2024-05-03,46.09
2024-05-04,
2024-05-05,
2024-05-06,46.36
2024-05-07,46.56
2024-05-08,46.6
2024-05-09,46.8
