Date,Close
2024-01-01,
2024-01-02,491.41
2024-01-03,474.43
2024-01-04,471.54
2024-01-05,476.42
2024-01-06,
2024-01-07,
2024-01-08,486.77
2024-01-09,483.81
2024-01-10,484.15
2024-01-11,493.13
2024-01-12,487.84
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,488.48
2024-01-17,500.97
2024-01-18,535.9
2024-01-19,541.09
2024-01-20,
2024-01-21,
2024-01-22,548.61
2024-01-23,553.14
2024-01-24,566.37
2024-01-25,568.32
2024-01-26,561.1
2024-01-27,
2024-01-28,
2024-01-29,564.99
2024-01-30,554.87
2024-01-31,552.69
2024-02-01,568.6
2024-02-02,560.51
2024-02-03,
2024-02-04,
2024-02-05,562.09
2024-02-06,573.26
2024-02-07,583.07
2024-02-08,590.82
2024-02-09,618.5
2024-02-10,
2024-02-11,
2024-02-12,601.57
2024-02-13,582.81
2024-02-14,595.38
2024-02-15,602.02
2024-02-16,615.7
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,583.23
2024-02-21,576.94
2024-02-22,597.72
2024-02-23,595.16
2024-02-24,
2024-02-25,
2024-02-26,621.28
2024-02-27,575.95
2024-02-28,604.7
2024-02-29,605.27
2024-03-01,615.04
2024-03-02,
2024-03-03,
2024-03-04,625.24
2024-03-05,605.78
2024-03-06,623.39
2024-03-07,650.88
2024-03-08,620.08
2024-03-09,
2024-03-10,
2024-03-11,603.75
2024-03-12,616.28
2024-03-13,614.22
2024-03-14,604.51
2024-03-15,597.53
2024-03-16,
2024-03-17,
2024-03-18,590.24
2024-03-19,592.77
2024-03-20,599.7
2024-03-21,624.7
2024-03-22,613.75
2024-03-23,
2024-03-24,
2024-03-25,621.52
2024-03-26,616.22
2024-03-27,615.82
2024-03-28,605.64
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,616.98
2024-04-02,611.57
2024-04-03,613.37
2024-04-04,603.05
2024-04-05,620.47
2024-04-06,
2024-04-07,
2024-04-08,621.47
2024-04-09,623.57
2024-04-10,620.19
2024-04-11,626.19
2024-04-12,614.26
2024-04-13,
2024-04-14,
2024-04-15,624.39
2024-04-16,637.03
2024-04-17,611.2
2024-04-18,569.02
2024-04-19,547.85
2024-04-20,
2024-04-21,
2024-04-22,546.49
2024-04-23,596.64
2024-04-24,623.11
2024-04-25,625.42
2024-04-26,655.74
2024-04-27,
2024-04-28,
2024-04-29,634.12
2024-04-30,623.16
2024-05-01,619.25
2024-05-02,621.48
2024-05-03,638.09
2024-05-04,
2024-05-05,
2024-05-06,646.51
2024-05-07,662.11
2024-05-08,650.5
2024-05-09,649.9
2024-05-10,661.72
