Date,Close
2024-01-01,
2024-01-02,709.71
2024-01-03,696.3
2024-01-04,693.25
2024-01-05,696.27
2024-01-06,
2024-01-07,
2024-01-08,713.59
2024-01-09,708.75
2024-01-10,710.57
2024-01-11,711.3
2024-01-12,706.05
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,699.39
2024-01-17,705.11
2024-01-18,737.04
2024-01-19,750.21
2024-01-20,
2024-01-21,
2024-01-22,758.97
2024-01-23,770.56
2024-01-24,838.79
2024-01-25,860.34
2024-01-26,859.02
2024-01-27,
2024-01-28,
2024-01-29,873.74
2024-01-30,859.3
2024-01-31,861.07
2024-02-01,881.58
2024-02-02,881.7
2024-02-03,
2024-02-04,
2024-02-05,891.06
2024-02-06,897.36
2024-02-07,914.55
2024-02-08,915.26
2024-02-09,941.7
2024-02-10,
2024-02-11,
2024-02-12,921.47
2024-02-13,895.8
2024-02-14,916.74
2024-02-15,922.1
2024-02-16,921.21
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,902.0
2024-02-21,900.65
2024-02-22,943.93
2024-02-23,925.48
2024-02-24,
2024-02-25,
2024-02-26,939.7
2024-02-27,933.53
2024-02-28,931.68
2024-02-29,943.76
2024-03-01,982.69
2024-03-02,
2024-03-03,
2024-03-04,989.73
2024-03-05,960.78
2024-03-06,995.57
2024-03-07,1038.67
2024-03-08,986.05
2024-03-09,
2024-03-10,
2024-03-11,954.66
2024-03-12,976.1
2024-03-13,960.72
2024-03-14,951.79
2024-03-15,932.38
2024-03-16,
2024-03-17,
2024-03-18,933.5
2024-03-19,943.99
2024-03-20,962.84
2024-03-21,982.54
2024-03-22,971.8
2024-03-23,
2024-03-24,
2024-03-25,970.78
2024-03-26,963.21
2024-03-27,965.9
2024-03-28,962.39
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,984.68
2024-04-02,958.66
2024-04-03,972.11
2024-04-04,945.47
2024-04-05,971.4
2024-04-06,
2024-04-07,
2024-04-08,974.53
2024-04-09,981.59
2024-04-10,966.5
2024-04-11,983.92
2024-04-12,953.83
2024-04-13,
2024-04-14,
2024-04-15,946.87
2024-04-16,968.79
2024-04-17,900.05
2024-04-18,881.63
2024-04-19,852.38
2024-04-20,
2024-04-21,
2024-04-22,864.79
2024-04-23,894.07
2024-04-24,884.89
2024-04-25,895.0
2024-04-26,913.22
2024-04-27,
2024-04-28,
2024-04-29,904.07
2024-04-30,867.01
2024-05-01,847.5
2024-05-02,864.83
2024-05-03,895.98
2024-05-04,
2024-05-05,
2024-05-06,911.18
2024-05-07,902.53
2024-05-08,905.76
2024-05-09,907.82
2024-05-10,924.46
2024-05-11,
2024-05-12,
2024-05-13,911.5
2024-05-14,909.3
2024-05-15,931.55
2024-05-16,913.78
2024-05-17,919.18
2024-05-18,
2024-05-19,
2024-05-20,933.56
2024-05-21,919.48
2024-05-22,916.55
2024-05-23,928.4
2024-05-24,950.23
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,985.64
2024-05-29,951.88
2024-05-30,960.07
2024-05-31,954.34
2024-06-01,
2024-06-02,
2024-06-03,959.43
2024-06-04,944.86
2024-06-05,1034.82
2024-06-06,1046.02
2024-06-07,1021.98
2024-06-08,
2024-06-09,
2024-06-10,1035.19
2024-06-11,1029.52
2024-06-12,1062.17
2024-06-13,1046.12
2024-06-14,1021.46
2024-06-15,
2024-06-16,
2024-06-17,1045.88
2024-06-18,1054.73
2024-06-19,
2024-06-20,1044.16
2024-06-21,1030.11
2024-06-22,
2024-06-23,
2024-06-24,995.74
2024-06-25,1016.93
2024-06-26,1010.23
2024-06-27,1021.57
2024-06-28,1016.33
2024-06-29,
2024-06-30,
2024-07-01,1027.02
2024-07-02,1041.33
2024-07-03,1064.7
2024-07-04,
2024-07-05,1067.75
2024-07-06,
2024-07-07,
2024-07-08,1070.64
2024-07-09,1053.33
2024-07-10,1092.07
2024-07-11,1055.85
2024-07-12,1078.46
2024-07-13,
2024-07-14,
2024-07-15,1056.97
2024-07-16,1061.5
2024-07-17,926.22
2024-07-18,918.36
2024-07-19,889.76
2024-07-20,
2024-07-21,
2024-07-22,935.37
2024-07-23,926.97
2024-07-24,867.28
2024-07-25,857.23
