Date,Close
2024-01-01,
2024-01-02,4.85
2024-01-03,4.93
2024-01-04,4.82
2024-01-05,5.01
2024-01-06,
2024-01-07,
2024-01-08,4.94
2024-01-09,4.89
2024-01-10,4.95
2024-01-11,4.27
2024-01-12,4.16
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,4.13
2024-01-17,4.28
2024-01-18,4.16
2024-01-19,3.09
2024-01-20,
2024-01-21,
2024-01-22,3.1
2024-01-23,3.12
2024-01-24,3.08
2024-01-25,2.95
2024-01-26,2.79
2024-01-27,
2024-01-28,
2024-01-29,3.07
2024-01-30,2.92
2024-01-31,2.87
2024-02-01,2.9
2024-02-02,2.84
2024-02-03,
2024-02-04,
2024-02-05,2.77
2024-02-06,2.88
2024-02-07,2.61
2024-02-08,3.18
2024-02-09,3.43
2024-02-10,
2024-02-11,
2024-02-12,3.52
2024-02-13,3.17
2024-02-14,3.32
2024-02-15,3.41
2024-02-16,3.43
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,3.32
2024-02-21,3.16
2024-02-22,3.09
2024-02-23,2.95
2024-02-24,
2024-02-25,
2024-02-26,3.2
2024-02-27,3.38
2024-02-28,3.19
2024-02-29,3.17
2024-03-01,3.21
2024-03-02,
2024-03-03,
2024-03-04,3.12
2024-03-05,3.01
2024-03-06,3.1
2024-03-07,2.95
2024-03-08,3.01
2024-03-09,
2024-03-10,
2024-03-11,3.05
2024-03-12,2.98
2024-03-13,3.1
2024-03-14,3.04
2024-03-15,3.14
2024-03-16,
2024-03-17,
2024-03-18,2.97
2024-03-19,2.86
2024-03-20,2.95
2024-03-21,2.78
2024-03-22,2.76
2024-03-23,
2024-03-24,
2024-03-25,2.84
2024-03-26,2.81
2024-03-27,2.86
2024-03-28,2.9
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,2.63
2024-04-02,2.01
2024-04-03,2.32
2024-04-04,2.25
2024-04-05,2.2
2024-04-06,
2024-04-07,
2024-04-08,2.27
2024-04-09,2.31
2024-04-10,2.14
2024-04-11,2.11
2024-04-12,2.13
2024-04-13,
2024-04-14,
2024-04-15,2.08
2024-04-16,2.02
2024-04-17,2.05
2024-04-18,2.14
2024-04-19,2.09
2024-04-20,
2024-04-21,
2024-04-22,2.16
2024-04-23,2.15
2024-04-24,2.14
2024-04-25,2.19
2024-04-26,2.23
2024-04-27,
2024-04-28,
2024-04-29,2.33
2024-04-30,2.21
2024-05-01,2.26
2024-05-02,2.3
2024-05-03,2.45
2024-05-04,
2024-05-05,
2024-05-06,2.48
2024-05-07,2.32
2024-05-08,2.3
2024-05-09,2.36
2024-05-10,2.26
2024-05-11,
2024-05-12,
2024-05-13,2.24
2024-05-14,2.51
2024-05-15,2.39
2024-05-16,4.03
2024-05-17,4.54
2024-05-18,
2024-05-19,
2024-05-20,5.28
2024-05-21,4.71
2024-05-22,4.66
2024-05-23,4.14
2024-05-24,4.74
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,5.33
2024-05-29,9.02
2024-05-30,8.41
2024-05-31,8.27
2024-06-01,
2024-06-02,
2024-06-03,8.38
2024-06-04,8.67
2024-06-05,8.79
2024-06-06,9.32
2024-06-07,8.62
2024-06-08,
2024-06-09,
2024-06-10,8.48
2024-06-11,9.87
2024-06-12,9.76
2024-06-13,9.98
2024-06-14,10.22
2024-06-15,
2024-06-16,
2024-06-17,11.75
2024-06-18,11.39
2024-06-19,
2024-06-20,11.22
2024-06-21,10.08
2024-06-22,
2024-06-23,
2024-06-24,10.33
2024-06-25,10.98
2024-06-26,11.23
2024-06-27,11.45
2024-06-28,11.61
2024-06-29,
2024-06-30,
2024-07-01,10.84
2024-07-02,10.72
2024-07-03,11.37
2024-07-04,
2024-07-05,12.4
2024-07-06,
2024-07-07,
2024-07-08,12.1
2024-07-09,12.14
2024-07-10,11.88
2024-07-11,11.9
2024-07-12,13.01
2024-07-13,
2024-07-14,
2024-07-15,13.48
2024-07-16,13.71
2024-07-17,13.4
2024-07-18,12.38
2024-07-19,12.84
2024-07-20,
2024-07-21,
2024-07-22,12.8
2024-07-23,13.84
2024-07-24,13.36
2024-07-25,16.64
2024-07-26,18.84
2024-07-27,
2024-07-28,
2024-07-29,18.87
2024-07-30,17.52
2024-07-31,20.68
2024-08-01,20.44
2024-08-02,18.51
2024-08-03,
2024-08-04,
2024-08-05,18.59
2024-08-06,19.53
2024-08-07,19.64
2024-08-08,22.32
2024-08-09,21.21
2024-08-10,
2024-08-11,
2024-08-12,19.73
2024-08-13,20.96
2024-08-14,20.81
2024-08-15,31.36
2024-08-16,31.03
2024-08-17,
2024-08-18,
2024-08-19,38.6
2024-08-20,34.32
2024-08-21,36.44
2024-08-22,34.14
2024-08-23,32.86
2024-08-24,
2024-08-25,
2024-08-26,33.78
2024-08-27,31.11
2024-08-28,27.87
2024-08-29,29.25
2024-08-30,29.04
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,29.41
2024-09-04,33.08
2024-09-05,28.45
2024-09-06,26.11
2024-09-07,
2024-09-08,
2024-09-09,25.94
2024-09-10,26.11
2024-09-11,27.9
2024-09-12,26.79
2024-09-13,29.83
2024-09-14,
2024-09-15,
2024-09-16,29.84
2024-09-17,28.0
2024-09-18,28.3
2024-09-19,28.61
2024-09-20,26.5
2024-09-21,
2024-09-22,
2024-09-23,26.61
2024-09-24,25.85
2024-09-25,24.39
2024-09-26,23.83
2024-09-27,25.32
2024-09-28,
2024-09-29,
2024-09-30,26.15
2024-10-01,24.1
2024-10-02,23.84
2024-10-03,23.22
2024-10-04,26.11
2024-10-05,
2024-10-06,
2024-10-07,24.91
2024-10-08,24.2
2024-10-09,22.61
2024-10-10,23.07
2024-10-11,24.18
2024-10-12,
2024-10-13,
2024-10-14,25.12
2024-10-15,24.25
2024-10-16,28.22
2024-10-17,28.49
2024-10-18,28.14
2024-10-19,
2024-10-20,
2024-10-21,27.64
2024-10-22,27.89
2024-10-23,26.26
2024-10-24,25.07
2024-10-25,25.62
2024-10-26,
2024-10-27,
2024-10-28,26.73
2024-10-29,26.98
2024-10-30,25.13
2024-10-31,23.81
2024-11-01,23.85
2024-11-02,
2024-11-03,
2024-11-04,23.94
2024-11-05,24.13
2024-11-06,22.52
2024-11-07,21.45
2024-11-08,21.99
2024-11-09,
2024-11-10,
2024-11-11,24.76
2024-11-12,24.26
2024-11-13,27.89
2024-11-14,26.8
2024-11-15,24.23
2024-11-16,
2024-11-17,
2024-11-18,25.8
2024-11-19,26.14
2024-11-20,23.58
2024-11-21,24.14
2024-11-22,24.1
2024-11-23,
2024-11-24,
2024-11-25,24.21
2024-11-26,23.39
2024-11-27,23.29
2024-11-28,
2024-11-29,23.81
2024-11-30,
2024-12-01,
2024-12-02,23.22
2024-12-03,22.91
2024-12-04,22.64
2024-12-05,22.51
2024-12-06,25.32
2024-12-07,
2024-12-08,
2024-12-09,25.99
2024-12-10,24.36
2024-12-11,23.56
2024-12-12,23.33
2024-12-13,23.48
2024-12-14,
2024-12-15,
2024-12-16,24.3
2024-12-17,24.78
2024-12-18,23.36
2024-12-19,23.0
2024-12-20,22.88
2024-12-21,
2024-12-22,
2024-12-23,23.25
2024-12-24,23.49
2024-12-25,
2024-12-26,24.68
2024-12-27,22.92
2024-12-28,
2024-12-29,
2024-12-30,21.81
2024-12-31,21.1
2025-01-01,
2025-01-02,21.64
2025-01-03,23.97
2025-01-04,
2025-01-05,
2025-01-06,24.14
2025-01-07,23.0
2025-01-08,22.51
2025-01-09,
2025-01-10,22.37
2025-01-11,
2025-01-12,
2025-01-13,21.07
2025-01-14,20.48
2025-01-15,21.54
2025-01-16,21.0
2025-01-17,20.78
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,23.1
2025-01-22,22.49
2025-01-23,19.8
2025-01-24,20.35
2025-01-25,
2025-01-26,
2025-01-27,19.16
2025-01-28,20.14
2025-01-29,17.72
2025-01-30,18.21
2025-01-31,20.24
2025-02-01,
2025-02-02,
2025-02-03,21.47
2025-02-04,23.09
2025-02-05,24.71
2025-02-06,27.12
2025-02-07,26.51
2025-02-08,
2025-02-09,
2025-02-10,31.14
2025-02-11,28.4
2025-02-12,27.61
2025-02-13,30.05
2025-02-14,32.1
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,30.9
2025-02-19,31.17
2025-02-20,31.63
2025-02-21,28.64
2025-02-22,
2025-02-23,
2025-02-24,28.57
2025-02-25,26.17
2025-02-26,27.24
2025-02-27,26.08
2025-02-28,27.11
2025-03-01,
2025-03-02,
2025-03-03,25.62
2025-03-04,28.61
2025-03-05,33.8
2025-03-06,32.18
2025-03-07,33.4
2025-03-08,
2025-03-09,
2025-03-10,29.14
2025-03-11,28.66
2025-03-12,27.56
2025-03-13,26.12
2025-03-14,28.15
2025-03-15,
2025-03-16,
2025-03-17,28.02
2025-03-18,26.25
2025-03-19,25.65
2025-03-20,24.69
2025-03-21,25.71
2025-03-22,
2025-03-23,
2025-03-24,29.3
2025-03-25,28.55
2025-03-26,27.29
2025-03-27,25.8
2025-03-28,24.06
2025-03-29,
2025-03-30,
2025-03-31,22.74
2025-04-01,21.85
2025-04-02,22.41
2025-04-03,21.58
2025-04-04,20.07
2025-04-05,
2025-04-06,
2025-04-07,21.33
2025-04-08,20.3
2025-04-09,24.14
2025-04-10,23.14
2025-04-11,23.28
2025-04-12,
2025-04-13,
2025-04-14,22.91
2025-04-15,22.92
2025-04-16,22.39
2025-04-17,23.39
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,20.76
2025-04-22,21.3
2025-04-23,22.42
2025-04-24,24.07
2025-04-25,23.76
2025-04-26,
2025-04-27,
2025-04-28,24.25
2025-04-29,23.9
2025-04-30,23.21
2025-05-01,23.02
2025-05-02,26.42
2025-05-03,
2025-05-04,
2025-05-05,24.75
2025-05-06,25.08
2025-05-07,25.32
2025-05-08,25.25
2025-05-09,25.76
2025-05-10,
2025-05-11,
2025-05-12,27.16
2025-05-13,26.55
2025-05-14,26.25
2025-05-15,26.24
2025-05-16,26.66
2025-05-17,
2025-05-18,
2025-05-19,24.61
2025-05-20,25.03
2025-05-21,23.83
2025-05-22,24.41
2025-05-23,24.09
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,24.84
2025-05-28,24.78
2025-05-29,23.57
2025-05-30,23.07
2025-05-31,
2025-06-01,
2025-06-02,24.15
2025-06-03,25.18
2025-06-04,28.69
2025-06-05,30.85
2025-06-06,31.19
2025-06-07,
2025-06-08,
2025-06-09,34.82
2025-06-10,35.71
2025-06-11,36.47
2025-06-12,36.92
2025-06-13,38.37
2025-06-14,
2025-06-15,
2025-06-16,41.91
2025-06-17,40.1
2025-06-18,44.35
2025-06-19,
2025-06-20,45.94
2025-06-21,
2025-06-22,
2025-06-23,50.2
2025-06-24,53.22
2025-06-25,49.97
2025-06-26,50.62
2025-06-27,49.36
2025-06-28,
2025-06-29,
2025-06-30,46.73
2025-07-01,45.11
2025-07-02,45.71
2025-07-03,45.6
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,45.69
2025-07-08,45.46
2025-07-09,42.5
2025-07-10,43.97
2025-07-11,45.58
2025-07-12,
2025-07-13,
2025-07-14,47.86
2025-07-15,51.12
2025-07-16,52.63
2025-07-17,57.45
2025-07-18,57.98
2025-07-19,
2025-07-20,
2025-07-21,56.67
2025-07-22,57.09
2025-07-23,58.92
