Date,Close
2024-01-01,
2024-01-02,4.33
2024-01-03,4.23
2024-01-04,4.13
2024-01-05,4.21
2024-01-06,
2024-01-07,
2024-01-08,4.15
2024-01-09,4.11
2024-01-10,3.96
2024-01-11,3.99
2024-01-12,4.03
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,4.1
2024-01-17,4.11
2024-01-18,4.23
2024-01-19,4.21
2024-01-20,
2024-01-21,
2024-01-22,4.29
2024-01-23,4.47
2024-01-24,4.33
2024-01-25,4.36
2024-01-26,4.4
2024-01-27,
2024-01-28,
2024-01-29,4.23
2024-01-30,4.02
2024-01-31,4.08
2024-02-01,4.02
2024-02-02,4.04
2024-02-03,
2024-02-04,
2024-02-05,3.98
2024-02-06,4.0
2024-02-07,4.0
2024-02-08,4.06
2024-02-09,3.44
2024-02-10,
2024-02-11,
2024-02-12,4.32
2024-02-13,4.24
2024-02-14,4.57
2024-02-15,4.75
2024-02-16,4.61
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,4.44
2024-02-21,4.66
2024-02-22,4.79
2024-02-23,4.76
2024-02-24,
2024-02-25,
2024-02-26,4.99
2024-02-27,4.83
2024-02-28,4.8
2024-02-29,4.81
2024-03-01,4.83
2024-03-02,
2024-03-03,
2024-03-04,4.87
2024-03-05,4.82
2024-03-06,4.82
2024-03-07,4.76
2024-03-08,4.87
2024-03-09,
2024-03-10,
2024-03-11,4.7
2024-03-12,4.74
2024-03-13,4.72
2024-03-14,4.73
2024-03-15,4.73
2024-03-16,
2024-03-17,
2024-03-18,4.74
2024-03-19,4.73
2024-03-20,4.95
2024-03-21,5.26
2024-03-22,5.14
2024-03-23,
2024-03-24,
2024-03-25,5.31
2024-03-26,5.29
2024-03-27,5.33
2024-03-28,5.41
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,5.43
2024-04-02,5.49
2024-04-03,5.37
2024-04-04,5.2
2024-04-05,5.22
2024-04-06,
2024-04-07,
2024-04-08,4.91
2024-04-09,5.0
2024-04-10,4.97
2024-04-11,4.96
2024-04-12,4.75
2024-04-13,
2024-04-14,
2024-04-15,4.8
2024-04-16,4.84
2024-04-17,4.75
2024-04-18,4.88
2024-04-19,4.75
2024-04-20,
2024-04-21,
2024-04-22,4.65
2024-04-23,4.76
2024-04-24,4.87
2024-04-25,4.83
2024-04-26,4.92
2024-04-27,
2024-04-28,
2024-04-29,4.87
2024-04-30,4.82
2024-05-01,4.88
2024-05-02,4.75
2024-05-03,4.86
2024-05-04,
2024-05-05,
2024-05-06,4.99
2024-05-07,4.75
2024-05-08,4.96
2024-05-09,5.24
2024-05-10,5.17
2024-05-11,
2024-05-12,
2024-05-13,5.32
2024-05-14,5.34
2024-05-15,5.35
2024-05-16,5.27
2024-05-17,5.31
2024-05-18,
2024-05-19,
2024-05-20,5.28
2024-05-21,5.16
2024-05-22,5.35
2024-05-23,5.35
2024-05-24,5.35
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,5.75
2024-05-29,5.52
2024-05-30,6.03
2024-05-31,6.42
2024-06-01,
2024-06-02,
2024-06-03,6.11
2024-06-04,6.1
2024-06-05,6.3
2024-06-06,6.28
2024-06-07,6.02
2024-06-08,
2024-06-09,
2024-06-10,5.97
2024-06-11,5.83
2024-06-12,5.99
2024-06-13,5.92
2024-06-14,5.67
2024-06-15,
2024-06-16,
2024-06-17,5.94
2024-06-18,5.81
