Date,Close
2024-01-01,
2024-01-02,133.62
2024-01-03,131.58
2024-01-04,131.25
2024-01-05,131.09
2024-01-06,
2024-01-07,
2024-01-08,133.0
2024-01-09,132.49
2024-01-10,133.33
2024-01-11,133.46
2024-01-12,133.63
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,132.62
2024-01-17,131.58
2024-01-18,132.88
2024-01-19,134.12
2024-01-20,
2024-01-21,
2024-01-22,134.79
2024-01-23,134.85
2024-01-24,134.78
2024-01-25,135.23
2024-01-26,135.06
2024-01-27,
2024-01-28,
2024-01-29,136.2
2024-01-30,136.11
2024-01-31,134.32
2024-02-01,136.3
2024-02-02,135.94
2024-02-03,
2024-02-04,
2024-02-05,135.59
2024-02-06,136.04
2024-02-07,137.07
2024-02-08,137.7
2024-02-09,138.87
2024-02-10,
2024-02-11,
2024-02-12,139.01
2024-02-13,136.78
2024-02-14,138.93
2024-02-15,139.57
2024-02-16,139.13
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,138.32
2024-02-21,137.4
2024-02-22,140.08
2024-02-23,140.46
2024-02-24,
2024-02-25,
2024-02-26,140.61
2024-02-27,140.94
2024-02-28,140.34
2024-02-29,140.58
2024-03-01,141.8
2024-03-02,
2024-03-03,
2024-03-04,142.09
2024-03-05,140.96
2024-03-06,142.15
2024-03-07,144.03
2024-03-08,142.93
2024-03-09,
2024-03-10,
2024-03-11,142.33
2024-03-12,143.9
2024-03-13,143.4
2024-03-14,142.13
2024-03-15,140.51
2024-03-16,
2024-03-17,
2024-03-18,140.82
2024-03-19,141.46
2024-03-20,142.38
2024-03-21,143.1
2024-03-22,142.58
2024-03-23,
2024-03-24,
2024-03-25,141.98
2024-03-26,141.65
2024-03-27,142.55
2024-03-28,142.59
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,141.85
2024-04-02,140.31
2024-04-03,140.18
2024-04-04,138.82
2024-04-05,140.19
2024-04-06,
2024-04-07,
2024-04-08,140.12
2024-04-09,140.93
2024-04-10,138.67
2024-04-11,139.27
2024-04-12,136.64
2024-04-13,
2024-04-14,
2024-04-15,135.39
2024-04-16,134.95
2024-04-17,134.33
2024-04-18,133.53
2024-04-19,132.43
2024-04-20,
2024-04-21,
2024-04-22,133.85
2024-04-23,135.56
2024-04-24,135.71
2024-04-25,135.52
2024-04-26,136.24
2024-04-27,
2024-04-28,
2024-04-29,136.73
2024-04-30,134.63
2024-05-01,134.3
2024-05-02,135.97
2024-05-03,137.63
2024-05-04,
2024-05-05,
2024-05-06,139.47
2024-05-07,139.89
2024-05-08,139.89
2024-05-09,140.67
2024-05-10,141.47
2024-05-11,
2024-05-12,
2024-05-13,140.75
2024-05-14,141.92
2024-05-15,144.22
2024-05-16,143.43
2024-05-17,143.67
2024-05-18,
2024-05-19,
2024-05-20,144.07
2024-05-21,143.13
2024-05-22,143.37
2024-05-23,142.69
