Date,Close
2024-01-01,
2024-01-02,76.09
2024-01-03,75.37
2024-01-04,74.96
2024-01-05,74.97
2024-01-06,
2024-01-07,
2024-01-08,76.51
2024-01-09,76.82
2024-01-10,77.55
2024-01-11,77.82
2024-01-12,77.81
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,77.66
2024-01-17,77.34
2024-01-18,78.39
2024-01-19,79.48
2024-01-20,
2024-01-21,
2024-01-22,79.84
2024-01-23,80.01
2024-01-24,80.36
2024-01-25,80.33
2024-01-26,80.06
2024-01-27,
2024-01-28,
2024-01-29,81.09
2024-01-30,80.64
2024-01-31,79.05
2024-02-01,80.25
2024-02-02,81.39
2024-02-03,
2024-02-04,
2024-02-05,81.46
2024-02-06,81.54
2024-02-07,82.55
2024-02-08,82.71
2024-02-09,83.61
2024-02-10,
2024-02-11,
2024-02-12,83.09
2024-02-13,82.02
2024-02-14,83.06
2024-02-15,83.12
2024-02-16,82.72
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,81.66
2024-02-21,81.43
2024-02-22,84.19
2024-02-23,84.14
2024-02-24,
2024-02-25,
2024-02-26,84.06
2024-02-27,84.09
2024-02-28,83.72
2024-02-29,84.47
2024-03-01,85.32
2024-03-02,
2024-03-03,
2024-03-04,84.9
2024-03-05,83.6
2024-03-06,84.16
2024-03-07,85.36
2024-03-08,84.42
2024-03-09,
2024-03-10,
2024-03-11,83.97
2024-03-12,85.52
2024-03-13,85.1
2024-03-14,85.02
2024-03-15,84.37
2024-03-16,
2024-03-17,
2024-03-18,85.15
2024-03-19,85.7
2024-03-20,86.58
2024-03-21,86.56
2024-03-22,86.48
2024-03-23,
2024-03-24,
2024-03-25,86.2
2024-03-26,85.97
2024-03-27,86.11
2024-03-28,85.95
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,85.94
2024-04-02,85.19
2024-04-03,85.42
2024-04-04,84.01
2024-04-05,85.28
2024-04-06,
2024-04-07,
2024-04-08,85.36
2024-04-09,85.43
2024-04-10,84.99
2024-04-11,86.25
2024-04-12,85.05
2024-04-13,
2024-04-14,
2024-04-15,83.48
2024-04-16,83.65
2024-04-17,82.69
2024-04-18,82.35
2024-04-19,80.44
2024-04-20,
2024-04-21,
2024-04-22,81.24
2024-04-23,82.46
2024-04-24,82.51
2024-04-25,82.4
2024-04-26,84.06
2024-04-27,
2024-04-28,
2024-04-29,84.33
2024-04-30,82.8
2024-05-01,82.44
2024-05-02,83.61
2024-05-03,85.11
2024-05-04,
2024-05-05,
