Date,Close
2020-01-01,
2020-01-02,107.99
2020-01-03,108.69
2020-01-04,
2020-01-05,
2020-01-06,108.48
2020-01-07,107.81
2020-01-08,108.25
2020-01-09,109.72
2020-01-10,110.11
2020-01-11,
2020-01-12,
2020-01-13,111.17
2020-01-14,111.91
2020-01-15,113.99
2020-01-16,115.51
2020-01-17,117.19
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,119.68
2020-01-22,120.43
2020-01-23,121.54
2020-01-24,121.98
2020-01-25,
2020-01-26,
2020-01-27,121.51
2020-01-28,122.0
2020-01-29,122.22
2020-01-30,122.87
2020-01-31,122.36
2020-02-01,
2020-02-02,
2020-02-03,122.65
2020-02-04,121.14
2020-02-05,121.35
2020-02-06,121.73
2020-02-07,121.24
2020-02-08,
2020-02-09,
2020-02-10,121.92
2020-02-11,122.04
2020-02-12,122.36
2020-02-13,123.49
2020-02-14,125.63
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,125.57
2020-02-19,125.07
2020-02-20,123.81
2020-02-21,124.23
2020-02-22,
2020-02-23,
2020-02-24,123.11
2020-02-25,120.01
2020-02-26,119.97
2020-02-27,115.22
2020-02-28,111.51
2020-02-29,
2020-03-01,
2020-03-02,117.98
2020-03-03,118.5
2020-03-04,126.52
2020-03-05,125.66
2020-03-06,127.14
2020-03-07,
2020-03-08,
2020-03-09,123.71
2020-03-10,124.18
2020-03-11,116.93
2020-03-12,106.38
2020-03-13,115.68
2020-03-14,
2020-03-15,
2020-03-16,107.13
2020-03-17,124.89
2020-03-18,117.3
2020-03-19,103.81
2020-03-20,90.79
2020-03-21,
2020-03-22,
2020-03-23,87.53
2020-03-24,93.73
2020-03-25,99.6
2020-03-26,107.59
2020-03-27,108.9
2020-03-28,
2020-03-29,
2020-03-30,114.27
2020-03-31,107.81
2020-04-01,101.71
2020-04-02,106.08
2020-04-03,102.18
2020-04-04,
2020-04-05,
2020-04-06,109.58
2020-04-07,106.65
2020-04-08,113.03
2020-04-09,118.8
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,114.74
2020-04-14,120.48
2020-04-15,116.51
2020-04-16,118.34
2020-04-17,118.81
2020-04-18,
2020-04-19,
2020-04-20,114.03
2020-04-21,113.1
2020-04-22,115.32
2020-04-23,112.43
2020-04-24,112.72
2020-04-25,
2020-04-26,
2020-04-27,113.39
2020-04-28,114.09
2020-04-29,113.37
2020-04-30,109.73
2020-05-01,107.49
2020-05-02,
2020-05-03,
2020-05-04,109.52
2020-05-05,111.3
2020-05-06,106.21
2020-05-07,107.38
2020-05-08,106.43
2020-05-09,
2020-05-10,
2020-05-11,108.25
2020-05-12,106.06
2020-05-13,105.55
2020-05-14,105.33
2020-05-15,106.68
2020-05-16,
2020-05-17,
2020-05-18,110.99
2020-05-19,108.87
2020-05-20,109.26
2020-05-21,109.28
2020-05-22,109.36
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,109.38
2020-05-27,109.2
2020-05-28,112.08
2020-05-29,115.06
2020-05-30,
2020-05-31,
2020-06-01,115.75
2020-06-02,117.85
2020-06-03,119.9
2020-06-04,118.41
2020-06-05,119.19
2020-06-06,
