Date,Close
2020-01-01,
2020-01-02,67.72
2020-01-03,67.61
2020-01-04,
2020-01-05,
2020-01-06,67.8
2020-01-07,67.75
2020-01-08,68.15
2020-01-09,69.0
2020-01-10,68.98
2020-01-11,
2020-01-12,
2020-01-13,69.49
2020-01-14,69.31
2020-01-15,69.55
2020-01-16,70.17
2020-01-17,70.17
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,70.25
2020-01-22,70.43
2020-01-23,70.41
2020-01-24,69.85
2020-01-25,
2020-01-26,
2020-01-27,69.11
2020-01-28,69.72
2020-01-29,69.76
2020-01-30,69.82
2020-01-31,68.56
2020-02-01,
2020-02-02,
2020-02-03,69.33
2020-02-04,70.34
2020-02-05,70.05
2020-02-06,70.05
2020-02-07,69.62
2020-02-08,
2020-02-09,
2020-02-10,70.17
2020-02-11,70.55
2020-02-12,71.01
2020-02-13,71.42
2020-02-14,72.01
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,71.94
2020-02-19,72.42
2020-02-20,72.15
2020-02-21,71.43
2020-02-22,
2020-02-23,
2020-02-24,69.48
2020-02-25,67.22
2020-02-26,66.89
2020-02-27,64.51
2020-02-28,63.95
2020-02-29,
2020-03-01,
2020-03-02,66.39
2020-03-03,64.71
2020-03-04,67.17
2020-03-05,64.77
2020-03-06,63.44
2020-03-07,
2020-03-08,
2020-03-09,58.95
2020-03-10,61.46
2020-03-11,58.4
2020-03-12,54.14
2020-03-13,57.88
2020-03-14,
2020-03-15,
2020-03-16,51.17
2020-03-17,53.9
2020-03-18,50.66
2020-03-19,51.69
2020-03-20,49.26
2020-03-21,
2020-03-22,
2020-03-23,47.72
2020-03-24,52.04
2020-03-25,52.88
2020-03-26,56.24
2020-03-27,55.19
2020-03-28,
2020-03-29,
2020-03-30,57.21
2020-03-31,55.83
2020-04-01,53.35
2020-04-02,54.32
2020-04-03,53.41
2020-04-04,
2020-04-05,
2020-04-06,57.41
2020-04-07,57.21
2020-04-08,59.26
2020-04-09,60.1
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,58.89
2020-04-14,60.77
2020-04-15,59.77
2020-04-16,60.18
2020-04-17,62.08
2020-04-18,
2020-04-19,
2020-04-20,61.31
2020-04-21,59.16
2020-04-22,60.88
2020-04-23,60.84
2020-04-24,61.23
2020-04-25,
2020-04-26,
2020-04-27,62.8
2020-04-28,62.23
2020-04-29,64.12
2020-04-30,63.41
2020-05-01,61.99
2020-05-02,
2020-05-03,
2020-05-04,62.54
2020-05-05,63.75
2020-05-06,63.93
2020-05-07,65.17
2020-05-08,65.71
2020-05-09,
2020-05-10,
2020-05-11,66.26
2020-05-12,64.5
2020-05-13,63.25
2020-05-14,63.96
2020-05-15,64.64
2020-05-16,
2020-05-17,
2020-05-18,66.33
2020-05-19,65.71
2020-05-20,66.83
2020-05-21,66.19
2020-05-22,66.81
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,67.32
2020-05-27,68.22
2020-05-28,68.68
2020-05-29,69.73
2020-05-30,
2020-05-31,
2020-06-01,70.17
2020-06-02,70.75
2020-06-03,71.72
2020-06-04,70.84
2020-06-05,72.12
2020-06-06,
2020-06-07,
2020-06-08,72.77
2020-06-09,71.81
2020-06-10,72.03
2020-06-11,67.95
2020-06-12,68.82
2020-06-13,
2020-06-14,
2020-06-15,69.93
2020-06-16,70.63
2020-06-17,70.76
2020-06-18,70.91
2020-06-19,70.81
2020-06-20,
2020-06-21,
2020-06-22,71.64
2020-06-23,71.79
2020-06-24,69.7
2020-06-25,71.01
2020-06-26,69.89
2020-06-27,
2020-06-28,
2020-06-29,70.16
2020-06-30,71.49
2020-07-01,72.18
2020-07-02,72.42
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,73.11
2020-07-07,72.62
2020-07-08,73.27
2020-07-09,73.32
2020-07-10,73.0
2020-07-11,
2020-07-12,
2020-07-13,71.3
2020-07-14,72.07
2020-07-15,73.43
2020-07-16,73.07
2020-07-17,73.96
2020-07-18,
2020-07-19,
2020-07-20,74.99
2020-07-21,74.89
2020-07-22,75.3
2020-07-23,74.74
2020-07-24,74.14
2020-07-25,
2020-07-26,
2020-07-27,75.1
2020-07-28,74.43
2020-07-29,76.37
2020-07-30,76.24
2020-07-31,76.81
2020-08-01,
2020-08-02,
2020-08-03,77.35
2020-08-04,77.35
2020-08-05,77.95
2020-08-06,77.63
2020-08-07,77.25
2020-08-08,
2020-08-09,
2020-08-10,76.36
2020-08-11,75.77
2020-08-12,76.77
2020-08-13,77.54
2020-08-14,76.93
2020-08-15,
2020-08-16,
2020-08-17,77.41
2020-08-18,77.49
2020-08-19,77.1
2020-08-20,77.29
2020-08-21,76.97
2020-08-22,
2020-08-23,
2020-08-24,77.12
2020-08-25,77.55
2020-08-26,77.95
2020-08-27,78.06
2020-08-28,78.53
2020-08-29,
2020-08-30,
2020-08-31,78.64
2020-09-01,79.6
2020-09-02,80.86
2020-09-03,77.48
2020-09-04,76.21
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,74.66
2020-09-09,76.28
2020-09-10,75.28
2020-09-11,74.89
2020-09-12,
2020-09-13,
