Date,Close
2024-01-01,
2024-01-02,3.0053
2024-01-03,3.0088
2024-01-04,2.9736
2024-01-05,3.0528
2024-01-06,
2024-01-07,
2024-01-08,3.044
2024-01-09,2.912
2024-01-10,2.8856
2024-01-11,2.8768
2024-01-12,2.868
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,2.8152
2024-01-17,2.8152
2024-01-18,2.8064
2024-01-19,2.7976
2024-01-20,
2024-01-21,
2024-01-22,2.7273
2024-01-23,2.7361
2024-01-24,2.7273
2024-01-25,2.7537
2024-01-26,2.7801
2024-01-27,
2024-01-28,
2024-01-29,2.7449
2024-01-30,2.7273
2024-01-31,2.7273
2024-02-01,2.7537
2024-02-02,2.7396
2024-02-03,
2024-02-04,
2024-02-05,2.7572
2024-02-06,2.951
2024-02-07,2.4929
2024-02-08,2.4048
2024-02-09,2.4048
2024-02-10,
2024-02-11,
2024-02-12,2.4224
2024-02-13,2.3784
2024-02-14,2.3608
2024-02-15,2.396
2024-02-16,2.4048
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,2.5017
2024-02-21,2.4841
2024-02-22,2.4929
2024-02-23,2.4489
2024-02-24,
2024-02-25,
2024-02-26,2.4489
2024-02-27,2.5017
2024-02-28,2.4841
2024-02-29,2.4489
2024-03-01,2.4577
2024-03-02,
2024-03-03,
2024-03-04,2.4347
2024-03-05,2.4612
2024-03-06,2.4877
2024-03-07,2.4789
2024-03-08,2.4612
2024-03-09,
2024-03-10,
2024-03-11,2.4789
2024-03-12,2.5141
2024-03-13,2.5406
2024-03-14,2.5406
2024-03-15,2.4965
2024-03-16,
2024-03-17,
2024-03-18,2.4965
2024-03-19,2.4877
2024-03-20,2.5318
2024-03-21,2.4965
2024-03-22,2.4612
2024-03-23,
2024-03-24,
2024-03-25,2.47
2024-03-26,2.523
2024-03-27,2.5671
2024-03-28,2.523
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,2.4789
2024-04-02,2.4912
2024-04-03,2.5531
2024-04-04,2.5619
2024-04-05,2.5266
2024-04-06,
2024-04-07,
2024-04-08,2.5796
2024-04-09,2.5884
2024-04-10,2.5089
2024-04-11,2.5089
2024-04-12,2.4471
2024-04-13,
2024-04-14,
2024-04-15,2.3852
2024-04-16,2.3499
2024-04-17,2.341
2024-04-18,2.3234
2024-04-19,2.3322
2024-04-20,
2024-04-21,
2024-04-22,2.3322
2024-04-23,2.3499
2024-04-24,2.3499
2024-04-25,2.341
2024-04-26,2.4029
2024-04-27,
2024-04-28,
2024-04-29,2.4294
2024-04-30,2.3852
2024-05-01,2.4029
2024-05-02,2.4029
2024-05-03,2.4064
2024-05-04,
2024-05-05,
2024-05-06,2.4064
2024-05-07,2.4064
2024-05-08,2.3976
2024-05-09,2.3003
2024-05-10,2.2826
2024-05-11,
2024-05-12,
2024-05-13,2.3091
2024-05-14,2.3091
2024-05-15,2.2914
2024-05-16,2.3179
2024-05-17,2.3356
2024-05-18,
2024-05-19,
2024-05-20,2.3268
2024-05-21,2.3268
2024-05-22,2.2472
2024-05-23,2.2206
2024-05-24,2.2206
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,2.2206
2024-05-29,2.1852
2024-05-30,2.2118
2024-05-31,2.1764
2024-06-01,
2024-06-02,
2024-06-03,2.1675
2024-06-04,2.1587
2024-06-05,2.1499
2024-06-06,2.2118
2024-06-07,2.1675
2024-06-08,
2024-06-09,
2024-06-10,2.141
2024-06-11,2.141
2024-06-12,2.0968
2024-06-13,2.1145
2024-06-14,2.1145
2024-06-15,
2024-06-16,
2024-06-17,2.1322
2024-06-18,2.0879
2024-06-19,
2024-06-20,2.0925
2024-06-21,2.0925
2024-06-22,
2024-06-23,
2024-06-24,2.1108
2024-06-25,2.0651
2024-06-26,2.0468
2024-06-27,2.0651
2024-06-28,2.0468
2024-06-29,
2024-06-30,
2024-07-01,2.0103
2024-07-02,1.992
2024-07-03,2.0468
2024-07-04,
2024-07-05,2.1016
2024-07-06,
2024-07-07,
2024-07-08,2.0925
2024-07-09,2.1199
2024-07-10,2.1656
2024-07-11,2.1382
2024-07-12,2.1382
2024-07-13,
2024-07-14,
2024-07-15,2.1199
2024-07-16,2.1565
2024-07-17,2.1382
2024-07-18,2.0559
2024-07-19,2.0468
2024-07-20,
2024-07-21,
2024-07-22,2.0742
2024-07-23,2.0559
2024-07-24,2.0285
2024-07-25,2.0194
2024-07-26,2.0285
2024-07-27,
2024-07-28,
2024-07-29,2.0468
2024-07-30,2.0285
2024-07-31,2.0285
2024-08-01,2.0194
2024-08-02,2.0194
2024-08-03,
2024-08-04,
2024-08-05,2.1868
2024-08-06,2.2875
2024-08-07,2.3058
2024-08-08,2.3515
2024-08-09,2.4522
2024-08-10,
2024-08-11,
2024-08-12,2.4522
2024-08-13,2.5162
2024-08-14,2.5254
2024-08-15,2.5528
2024-08-16,2.5162
2024-08-17,
2024-08-18,
2024-08-19,2.6718
2024-08-20,2.6443
2024-08-21,2.6352
2024-08-22,2.562
2024-08-23,2.6352
2024-08-24,
2024-08-25,
2024-08-26,2.6077
2024-08-27,2.5711
2024-08-28,2.6077
2024-08-29,2.5528
2024-08-30,2.5437
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,2.5711
2024-09-04,2.5922
2024-09-05,2.6197
2024-09-06,2.5739
2024-09-07,
2024-09-08,
2024-09-09,2.6014
2024-09-10,2.5556
2024-09-11,2.5372
2024-09-12,2.5464
2024-09-13,2.5647
2024-09-14,
2024-09-15,
2024-09-16,2.5556
2024-09-17,2.5647
2024-09-18,2.5372
2024-09-19,2.5189
2024-09-20,2.409
2024-09-21,
2024-09-22,
2024-09-23,2.354
2024-09-24,2.3632
2024-09-25,2.3815
2024-09-26,2.4456
2024-09-27,2.4823
2024-09-28,
2024-09-29,
2024-09-30,2.4365
2024-10-01,2.4731
2024-10-02,2.5715
2024-10-03,2.5278
2024-10-04,2.5371
2024-10-05,
2024-10-06,
2024-10-07,2.5371
2024-10-08,2.5464
2024-10-09,2.4628
2024-10-10,2.4628
2024-10-11,2.4256
2024-10-12,
2024-10-13,
2024-10-14,2.4814
2024-10-15,2.4535
2024-10-16,2.4535
2024-10-17,2.4814
2024-10-18,2.4721
2024-10-19,
2024-10-20,
2024-10-21,2.4721
2024-10-22,2.4535
2024-10-23,2.4349
2024-10-24,2.4535
2024-10-25,2.3977
2024-10-26,
2024-10-27,
2024-10-28,2.4535
2024-10-29,2.3884
2024-10-30,2.3884
2024-10-31,2.2955
2024-11-01,2.2305
2024-11-02,
2024-11-03,
2024-11-04,2.249
2024-11-05,2.2332
2024-11-06,2.2425
2024-11-07,2.2146
2024-11-08,2.1774
2024-11-09,
2024-11-10,
2024-11-11,2.1495
2024-11-12,2.1495
2024-11-13,2.1588
2024-11-14,2.1867
2024-11-15,2.2146
2024-11-16,
2024-11-17,
2024-11-18,2.2239
2024-11-19,2.2425
2024-11-20,2.2425
2024-11-21,2.2239
2024-11-22,2.2146
2024-11-23,
2024-11-24,
2024-11-25,2.1774
2024-11-26,2.2053
2024-11-27,2.103
2024-11-28,
2024-11-29,1.982
2024-11-30,
2024-12-01,
2024-12-02,1.9355
2024-12-03,1.8982
2024-12-04,1.929
2024-12-05,1.9756
2024-12-06,1.9104
2024-12-07,
2024-12-08,
2024-12-09,1.8731
2024-12-10,1.9476
2024-12-11,2.0129
2024-12-12,1.9197
2024-12-13,1.8824
2024-12-14,
2024-12-15,
2024-12-16,1.8451
2024-12-17,1.8638
2024-12-18,1.7426
2024-12-19,1.7519
2024-12-20,1.7985
2024-12-21,
2024-12-22,
2024-12-23,1.7706
2024-12-24,1.7985
2024-12-25,
2024-12-26,1.7892
2024-12-27,1.7706
2024-12-28,
2024-12-29,
2024-12-30,1.7706
2024-12-31,1.7799
2025-01-01,
2025-01-02,1.8265
2025-01-03,1.7673
2025-01-04,
2025-01-05,
2025-01-06,1.8084
2025-01-07,1.8658
2025-01-08,1.8275
2025-01-09,
2025-01-10,1.7988
2025-01-11,
2025-01-12,
2025-01-13,1.8084
2025-01-14,1.8467
2025-01-15,1.9232
2025-01-16,1.8945
2025-01-17,1.8754
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,1.8754
2025-01-22,1.8754
2025-01-23,1.8562
2025-01-24,1.8467
2025-01-25,
2025-01-26,
2025-01-27,1.9137
2025-01-28,1.9328
2025-01-29,1.9137
2025-01-30,2.0189
2025-01-31,2.0189
2025-02-01,
2025-02-02,
2025-02-03,2.0285
2025-02-04,2.038
2025-02-05,2.0888
2025-02-06,2.1367
2025-02-07,2.0313
2025-02-08,
2025-02-09,
2025-02-10,2.0217
2025-02-11,2.0792
2025-02-12,1.993
2025-02-13,2.0026
2025-02-14,2.0792
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,2.0792
2025-02-19,2.0409
2025-02-20,2.0409
2025-02-21,2.0026
2025-02-22,
2025-02-23,
2025-02-24,1.9547
2025-02-25,1.9834
2025-02-26,1.9259
2025-02-27,1.9068
2025-02-28,1.8684
2025-03-01,
2025-03-02,
2025-03-03,1.8972
2025-03-04,1.8876
2025-03-05,1.9547
2025-03-06,1.9738
2025-03-07,1.9863
2025-03-08,
2025-03-09,
2025-03-10,1.9191
2025-03-11,1.9191
2025-03-12,1.9191
2025-03-13,1.9575
2025-03-14,2.0631
2025-03-15,
2025-03-16,
2025-03-17,2.1207
2025-03-18,2.1207
2025-03-19,2.1494
2025-03-20,2.1207
2025-03-21,2.1398
2025-03-22,
