Date,Close
2024-01-01,
2024-01-02,9.474
2024-01-03,9.2529
2024-01-04,8.9637
2024-01-05,8.7341
2024-01-06,
2024-01-07,
2024-01-08,8.9552
2024-01-09,9.0998
2024-01-10,9.0062
2024-01-11,8.7001
2024-01-12,8.564
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,8.3769
2024-01-17,8.3004
2024-01-18,8.3344
2024-01-19,8.4024
2024-01-20,
2024-01-21,
2024-01-22,8.6831
2024-01-23,8.6746
2024-01-24,8.462
2024-01-25,8.8361
2024-01-26,8.7766
2024-01-27,
2024-01-28,
2024-01-29,8.8702
2024-01-30,8.7936
2024-01-31,8.5555
2024-02-01,8.8787
2024-02-02,8.7596
2024-02-03,
2024-02-04,
2024-02-05,8.4279
2024-02-06,8.7256
2024-02-07,8.2408
2024-02-08,8.3344
2024-02-09,8.2578
2024-02-10,
2024-02-11,
2024-02-12,8.6576
2024-02-13,8.1558
2024-02-14,8.2919
2024-02-15,8.5555
2024-02-16,8.3769
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,8.2578
2024-02-21,8.2068
2024-02-22,7.9432
2024-02-23,8.0197
2024-02-24,
2024-02-25,
2024-02-26,7.9687
2024-02-27,7.9942
2024-02-28,9.6951
2024-02-29,9.8227
2024-03-01,10.1288
2024-03-02,
2024-03-03,
2024-03-04,9.6356
2024-03-05,9.4825
2024-03-06,9.457
2024-03-07,9.4059
2024-03-08,9.5165
2024-03-09,
2024-03-10,
2024-03-11,9.7121
2024-03-12,9.4315
2024-03-13,9.4485
2024-03-14,9.457
2024-03-15,9.1423
2024-03-16,
2024-03-17,
2024-03-18,8.9807
2024-03-19,9.0573
2024-03-20,9.3719
2024-03-21,9.5675
2024-03-22,9.4485
2024-03-23,
2024-03-24,
2024-03-25,9.6611
2024-03-26,9.6101
2024-03-27,9.9042
2024-03-28,9.8955
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,9.7658
2024-04-02,9.5928
2024-04-03,9.5841
2024-04-04,9.6274
2024-04-05,9.5322
2024-04-06,
2024-04-07,
2024-04-08,9.4976
2024-04-09,9.662
2024-04-10,9.3419
2024-04-11,9.4717
2024-04-12,9.2208
2024-04-13,
2024-04-14,
2024-04-15,9.2295
2024-04-16,9.2035
2024-04-17,9.1862
2024-04-18,9.1516
2024-04-19,9.2814
2024-04-20,
2024-04-21,
2024-04-22,9.3073
2024-04-23,9.5755
2024-04-24,9.5582
2024-04-25,9.4544
2024-04-26,9.5668
2024-04-27,
2024-04-28,
2024-04-29,9.7225
2024-04-30,9.6014
2024-05-01,9.5841
2024-05-02,9.8609
2024-05-03,9.8523
2024-05-04,
2024-05-05,
2024-05-06,9.636
2024-05-07,9.809
2024-05-08,9.9907
2024-05-09,7.1621
2024-05-10,6.9286
2024-05-11,
2024-05-12,
2024-05-13,7.413
2024-05-14,7.387
2024-05-15,7.8282
2024-05-16,8.2607
2024-05-17,8.1309
2024-05-18,
2024-05-19,
2024-05-20,8.4077
2024-05-21,8.2953
2024-05-22,8.2607
2024-05-23,8.1223
2024-05-24,8.1915
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,8.2001
2024-05-29,7.9406
2024-05-30,7.9579
2024-05-31,8.252
2024-06-01,
2024-06-02,
2024-06-03,8.2953
2024-06-04,8.278
2024-06-05,8.2088
2024-06-06,8.1915
2024-06-07,8.0877
2024-06-08,
2024-06-09,
2024-06-10,8.0358
2024-06-11,8.1828
2024-06-12,8.0617
2024-06-13,7.6552
2024-06-14,7.2573
2024-06-15,
2024-06-16,
2024-06-17,7.214
2024-06-18,7.2486
2024-06-19,
2024-06-20,7.041
2024-06-21,7.214
2024-06-22,
2024-06-23,
2024-06-24,7.2573
2024-06-25,6.9459
2024-06-26,6.9113
