Date,Close
2020-01-01,
2020-01-02,7.2781
2020-01-03,7.2617
2020-01-04,
2020-01-05,
2020-01-06,7.2863
2020-01-07,7.2535
2020-01-08,7.4258
2020-01-09,7.4094
2020-01-10,7.2289
2020-01-11,
2020-01-12,
2020-01-13,7.1222
2020-01-14,7.0648
2020-01-15,7.2289
2020-01-16,7.2453
2020-01-17,7.3191
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,7.3027
2020-01-22,7.2043
2020-01-23,7.0976
2020-01-24,6.7201
2020-01-25,
2020-01-26,
2020-01-27,6.4822
2020-01-28,6.6463
2020-01-29,6.6053
2020-01-30,6.6217
2020-01-31,6.5478
2020-02-01,
2020-02-02,
2020-02-03,6.5971
2020-02-04,6.556
2020-02-05,6.7694
2020-02-06,6.7366
2020-02-07,6.5724
2020-02-08,
2020-02-09,
2020-02-10,6.6053
2020-02-11,6.7037
2020-02-12,6.8186
2020-02-13,6.753
2020-02-14,6.6955
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,6.753
2020-02-19,6.6381
2020-02-20,6.835
2020-02-21,6.8514
2020-02-22,
2020-02-23,
2020-02-24,6.6873
2020-02-25,6.4001
2020-02-26,5.9653
2020-02-27,6.2442
2020-02-28,6.0391
2020-02-29,
2020-03-01,
2020-03-02,6.0965
2020-03-03,5.8504
2020-03-04,5.8012
2020-03-05,5.3581
2020-03-06,5.1365
2020-03-07,
2020-03-08,
2020-03-09,4.5129
2020-03-10,4.5129
2020-03-11,3.5857
2020-03-12,2.3057
2020-03-13,2.4534
2020-03-14,
2020-03-15,
2020-03-16,1.7723
2020-03-17,1.9447
2020-03-18,0.9436
2020-03-19,1.3949
2020-03-20,1.4277
2020-03-21,
2020-03-22,
2020-03-23,1.518
2020-03-24,1.2226
2020-03-25,1.3949
2020-03-26,1.8216
2020-03-27,1.559
2020-03-28,
2020-03-29,
2020-03-30,1.3949
2020-03-31,1.3949
2020-04-01,1.0831
2020-04-02,1.0175
2020-04-03,1.0175
2020-04-04,
2020-04-05,
2020-04-06,1.4605
2020-04-07,1.5426
2020-04-08,1.4852
2020-04-09,1.9611
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,2.3795
2020-04-14,2.3877
2020-04-15,1.9611
2020-04-16,1.8216
2020-04-17,2.0677
2020-04-18,
2020-04-19,
2020-04-20,2.0103
2020-04-21,2.0431
2020-04-22,1.9693
2020-04-23,1.9775
2020-04-24,1.9611
2020-04-25,
2020-04-26,
2020-04-27,2.0595
2020-04-28,2.3385
2020-04-29,2.8062
2020-04-30,2.5683
2020-05-01,2.3631
2020-05-02,
2020-05-03,
2020-05-04,2.1744
2020-05-05,2.1826
2020-05-06,1.9529
2020-05-07,1.9693
2020-05-08,2.2729
2020-05-09,
2020-05-10,
2020-05-11,2.158
2020-05-12,1.9775
2020-05-13,1.8298
2020-05-14,1.8872
2020-05-15,1.797
2020-05-16,
2020-05-17,
2020-05-18,2.0431
2020-05-19,1.9857
2020-05-20,2.1908
2020-05-21,1.9857
2020-05-22,2.1662
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,2.4944
2020-05-27,2.6749
2020-05-28,2.9949
2020-05-29,2.7898
2020-05-30,
2020-05-31,
2020-06-01,2.6257
2020-06-02,2.9047
2020-06-03,3.5447
2020-06-04,3.7088
2020-06-05,3.9221
2020-06-06,
2020-06-07,
2020-06-08,4.5211
2020-06-09,4.1273
2020-06-10,3.5529
2020-06-11,3.1098
2020-06-12,3.2985
2020-06-13,
2020-06-14,
2020-06-15,3.1755
2020-06-16,3.1672
2020-06-17,2.8965
2020-06-18,2.7734
2020-06-19,2.716
2020-06-20,
2020-06-21,
2020-06-22,2.4452
2020-06-23,2.2729
2020-06-24,2.2072
2020-06-25,2.2154
2020-06-26,2.1334
2020-06-27,
2020-06-28,
2020-06-29,2.5108
2020-06-30,2.3467
2020-07-01,2.4206
2020-07-02,2.2893
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,2.2893
2020-07-07,2.0677
2020-07-08,2.0267
2020-07-09,1.9118
2020-07-10,1.9857
2020-07-11,
2020-07-12,
2020-07-13,2.199
2020-07-14,2.0924
2020-07-15,2.3713
2020-07-16,2.1826
2020-07-17,2.1826
2020-07-18,
2020-07-19,
2020-07-20,1.9857
2020-07-21,2.0185
2020-07-22,1.9775
2020-07-23,2.0185
2020-07-24,1.9447
2020-07-25,
2020-07-26,
2020-07-27,1.879
2020-07-28,2.0103
2020-07-29,2.0924
2020-07-30,2.0595
2020-07-31,2.0021
2020-08-01,
2020-08-02,
2020-08-03,2.0431
2020-08-04,2.0267
2020-08-05,2.0924
2020-08-06,2.2975
2020-08-07,2.3467
2020-08-08,
2020-08-09,
2020-08-10,2.3959
2020-08-11,2.5108
2020-08-12,2.2975
2020-08-13,2.1498
2020-08-14,2.158
2020-08-15,
2020-08-16,
2020-08-17,2.0267
2020-08-18,1.9365
2020-08-19,1.9611
2020-08-20,1.9939
2020-08-21,1.8462
2020-08-22,
2020-08-23,
2020-08-24,1.9693
2020-08-25,1.9529
2020-08-26,1.8708
2020-08-27,1.9857
2020-08-28,2.0677
2020-08-29,
2020-08-30,
2020-08-31,1.9611
2020-09-01,1.9775
2020-09-02,1.9693
2020-09-03,1.9365
2020-09-04,2.0513
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,2.0513
2020-09-09,2.0513
2020-09-10,2.0513
2020-09-11,2.0841
2020-09-12,
2020-09-13,
2020-09-14,2.1252
2020-09-15,2.1744
2020-09-16,2.199
2020-09-17,2.2154
2020-09-18,2.2072
2020-09-19,
2020-09-20,
2020-09-21,2.0349
2020-09-22,2.0185
2020-09-23,1.8544
2020-09-24,1.9529
2020-09-25,2.0185
2020-09-26,
2020-09-27,
2020-09-28,2.0759
2020-09-29,2.0677
2020-09-30,2.0513
2020-10-01,2.0595
2020-10-02,2.0924
2020-10-03,
2020-10-04,
2020-10-05,2.0759
2020-10-06,2.0924
2020-10-07,2.0595
2020-10-08,2.0924
2020-10-09,2.0677
2020-10-10,
2020-10-11,
2020-10-12,2.0924
2020-10-13,2.0349
2020-10-14,1.9775
2020-10-15,2.0021
2020-10-16,1.9447
2020-10-17,
2020-10-18,
2020-10-19,1.9447
2020-10-20,1.9447
2020-10-21,1.9693
2020-10-22,1.9939
2020-10-23,1.9611
2020-10-24,
2020-10-25,
2020-10-26,1.9365
2020-10-27,1.92
2020-10-28,1.8462
2020-10-29,1.9365
2020-10-30,1.9857
2020-10-31,
2020-11-01,
2020-11-02,1.9857
2020-11-03,2.0677
2020-11-04,2.0267
2020-11-05,2.0759
2020-11-06,2.0267
2020-11-07,
2020-11-08,
2020-11-09,2.9949
2020-11-10,2.8883
2020-11-11,2.8226
2020-11-12,2.4288
2020-11-13,2.7406
2020-11-14,
2020-11-15,
2020-11-16,3.0442
2020-11-17,3.1508
2020-11-18,3.2247
2020-11-19,3.2739
2020-11-20,3.1672
2020-11-21,
2020-11-22,
2020-11-23,3.4873
2020-11-24,3.676
2020-11-25,3.5939
2020-11-26,
2020-11-27,3.7909
2020-11-28,
2020-11-29,
2020-11-30,3.356
2020-12-01,3.4216
2020-12-02,3.4708
2020-12-03,3.5939
2020-12-04,3.7498
2020-12-05,
2020-12-06,
2020-12-07,3.8155
2020-12-08,3.8155
2020-12-09,3.7744
2020-12-10,4.0452
2020-12-11,3.9057
2020-12-12,
2020-12-13,
2020-12-14,3.9385
2020-12-15,3.9221
2020-12-16,3.9632
2020-12-17,3.8893
2020-12-18,3.5447
2020-12-19,
2020-12-20,
2020-12-21,3.6185
2020-12-22,3.4873
2020-12-23,3.5283
2020-12-24,3.397
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,3.7909
2020-12-29,3.7909
2020-12-30,3.8319
2020-12-31,3.7826
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,3.7088
2021-01-05,3.8401
2021-01-06,4.0452
2021-01-07,4.0042
2021-01-08,3.9468
2021-01-09,
2021-01-10,
2021-01-11,3.7744
2021-01-12,3.8975
2021-01-13,3.9221
2021-01-14,4.2093
2021-01-15,4.0862
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,3.9878
2021-01-20,3.9385
2021-01-21,3.8565
2021-01-22,3.9385
2021-01-23,
2021-01-24,
2021-01-25,3.8975
2021-01-26,4.1519
2021-01-27,4.1027
2021-01-28,4.2175
2021-01-29,4.1027
2021-01-30,
2021-01-31,
2021-02-01,4.2011
2021-02-02,4.3406
2021-02-03,4.3898
2021-02-04,4.4309
2021-02-05,4.3898
2021-02-06,
2021-02-07,
2021-02-08,4.4145
2021-02-09,4.3242
2021-02-10,4.4309
2021-02-11,4.6442
2021-02-12,4.595
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,4.8904
2021-02-17,4.9396
2021-02-18,4.9888
2021-02-19,5.2924
2021-02-20,
2021-02-21,
2021-02-22,5.596
2021-02-23,5.7519
2021-02-24,5.9735
2021-02-25,5.6617
2021-02-26,5.7273
2021-02-27,
2021-02-28,
2021-03-01,5.5878
2021-03-02,5.3334
2021-03-03,5.637
2021-03-04,5.3827
2021-03-05,5.555
2021-03-06,
2021-03-07,
2021-03-08,5.7355
2021-03-09,5.7027
2021-03-10,5.7355
2021-03-11,5.6945
2021-03-12,5.7191
2021-03-13,
2021-03-14,
2021-03-15,5.7601
2021-03-16,5.6535
2021-03-17,5.7355
2021-03-18,5.514
2021-03-19,5.5304
2021-03-20,
2021-03-21,
2021-03-22,5.3334
2021-03-23,5.3006
2021-03-24,4.8411
