Date,Close
2020-01-01,
2020-01-02,5.61
2020-01-03,5.61
2020-01-04,
2020-01-05,
2020-01-06,5.61
2020-01-07,5.61
2020-01-08,5.61
2020-01-09,5.61
2020-01-10,5.61
2020-01-11,
2020-01-12,
2020-01-13,5.61
2020-01-14,5.61
2020-01-15,5.61
2020-01-16,5.62
2020-01-17,5.62
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,5.61
2020-01-22,5.61
2020-01-23,5.6
2020-01-24,5.59
2020-01-25,
2020-01-26,
2020-01-27,5.55
2020-01-28,5.57
2020-01-29,5.58
2020-01-30,5.57
2020-01-31,5.59
2020-02-01,
2020-02-02,
2020-02-03,5.59
2020-02-04,5.6
2020-02-05,5.62
2020-02-06,5.62
2020-02-07,5.62
2020-02-08,
2020-02-09,
2020-02-10,5.62
2020-02-11,5.64
2020-02-12,5.64
2020-02-13,5.64
2020-02-14,5.64
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,5.64
2020-02-19,5.64
2020-02-20,5.64
2020-02-21,5.64
2020-02-22,
2020-02-23,
2020-02-24,5.59
2020-02-25,5.58
2020-02-26,5.57
2020-02-27,5.51
2020-02-28,5.54
2020-02-29,
2020-03-01,
2020-03-02,5.53
2020-03-03,5.56
2020-03-04,5.59
2020-03-05,5.54
2020-03-06,5.46
2020-03-07,
2020-03-08,
2020-03-09,5.46
2020-03-10,5.28
2020-03-11,5.2
2020-03-12,5.01
2020-03-13,5.04
2020-03-14,
2020-03-15,
2020-03-16,4.83
2020-03-17,4.79
2020-03-18,4.6
2020-03-19,4.48
2020-03-20,4.45
2020-03-21,
2020-03-22,
2020-03-23,4.34
2020-03-24,4.42
2020-03-25,4.53
2020-03-26,4.7
2020-03-27,4.75
2020-03-28,
2020-03-29,
2020-03-30,4.78
2020-03-31,4.84
2020-04-01,4.76
2020-04-02,4.75
2020-04-03,4.71
2020-04-04,
2020-04-05,
2020-04-06,4.74
2020-04-07,4.81
2020-04-08,4.85
2020-04-09,5.03
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,5.06
2020-04-14,5.11
2020-04-15,5.07
2020-04-16,5.07
2020-04-17,5.11
2020-04-18,
2020-04-19,
2020-04-20,5.08
2020-04-21,5.0
2020-04-22,5.01
2020-04-23,5.01
2020-04-24,4.99
2020-04-25,
2020-04-26,
2020-04-27,5.0
2020-04-28,5.0
2020-04-29,5.03
2020-04-30,5.07
2020-05-01,5.04
2020-05-02,
2020-05-03,
2020-05-04,5.03
2020-05-05,5.06
2020-05-06,5.05
2020-05-07,5.07
2020-05-08,5.07
2020-05-09,
2020-05-10,
2020-05-11,5.07
2020-05-12,5.09
2020-05-13,5.06
2020-05-14,5.03
2020-05-15,5.03
2020-05-16,
2020-05-17,
2020-05-18,5.09
2020-05-19,5.11
2020-05-20,5.15
2020-05-21,5.16
2020-05-22,5.17
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,5.22
2020-05-27,5.24
2020-05-28,5.26
2020-05-29,5.28
2020-05-30,
2020-05-31,
2020-06-01,5.29
2020-06-02,5.33
2020-06-03,5.38
2020-06-04,5.39
2020-06-05,5.45
2020-06-06,
2020-06-07,
2020-06-08,5.46
2020-06-09,5.42
2020-06-10,5.4
2020-06-11,5.32
2020-06-12,5.33
2020-06-13,
2020-06-14,
2020-06-15,5.33
2020-06-16,5.4
2020-06-17,5.4
2020-06-18,5.38
2020-06-19,5.37
2020-06-20,
2020-06-21,
2020-06-22,5.36
2020-06-23,5.37
2020-06-24,5.33
2020-06-25,5.31
2020-06-26,5.29
2020-06-27,
2020-06-28,
2020-06-29,5.27
2020-06-30,5.3
2020-07-01,5.32
2020-07-02,5.35
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,5.38
2020-07-07,5.37
2020-07-08,5.37
2020-07-09,5.36
2020-07-10,5.36
2020-07-11,
2020-07-12,
2020-07-13,5.37
2020-07-14,5.37
