Date,Close
2024-01-01,
2024-01-02,26.09
2024-01-03,25.2
2024-01-04,25.76
2024-01-05,25.65
2024-01-06,
2024-01-07,
2024-01-08,27.44
2024-01-09,27.52
2024-01-10,27.04
2024-01-11,26.11
2024-01-12,26.09
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,25.49
2024-01-17,25.2
2024-01-18,24.63
2024-01-19,24.65
2024-01-20,
2024-01-21,
2024-01-22,25.44
2024-01-23,25.56
2024-01-24,24.88
2024-01-25,25.2
2024-01-26,25.05
2024-01-27,
2024-01-28,
2024-01-29,26.18
2024-01-30,25.29
2024-01-31,24.74
2024-02-01,25.37
2024-02-02,24.93
2024-02-03,
2024-02-04,
2024-02-05,25.13
2024-02-06,25.67
2024-02-07,24.94
2024-02-08,25.44
2024-02-09,26.21
2024-02-10,
2024-02-11,
2024-02-12,27.11
2024-02-13,25.15
2024-02-14,26.27
2024-02-15,27.13
2024-02-16,27.08
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,26.69
2024-02-21,26.73
2024-02-22,27.48
2024-02-23,27.72
2024-02-24,
2024-02-25,
2024-02-26,28.83
2024-02-27,31.33
2024-02-28,30.63
2024-02-29,29.26
2024-03-01,30.72
2024-03-02,
2024-03-03,
2024-03-04,30.28
2024-03-05,29.72
2024-03-06,30.04
2024-03-07,29.42
2024-03-08,29.48
2024-03-09,
2024-03-10,
2024-03-11,28.49
2024-03-12,28.22
2024-03-13,28.62
2024-03-14,27.18
2024-03-15,27.54
2024-03-16,
2024-03-17,
2024-03-18,26.72
2024-03-19,27.19
2024-03-20,27.77
2024-03-21,27.72
2024-03-22,27.0
2024-03-23,
2024-03-24,
2024-03-25,26.67
2024-03-26,26.64
2024-03-27,27.58
2024-03-28,27.63
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,27.08
2024-04-02,25.71
2024-04-03,25.9
2024-04-04,25.2
2024-04-05,25.51
2024-04-06,
2024-04-07,
2024-04-08,25.58
2024-04-09,26.13
2024-04-10,25.35
2024-04-11,25.96
2024-04-12,24.59
2024-04-13,
2024-04-14,
2024-04-15,23.83
2024-04-16,23.51
2024-04-17,23.1
2024-04-18,22.6
2024-04-19,22.35
2024-04-20,
2024-04-21,
2024-04-22,22.74
2024-04-23,23.13
2024-04-24,22.8
2024-04-25,22.08
2024-04-26,22.64
2024-04-27,
2024-04-28,
2024-04-29,23.47
2024-04-30,23.01
2024-05-01,24.24
2024-05-02,24.62
2024-05-03,25.32
2024-05-04,
2024-05-05,
2024-05-06,25.49
2024-05-07,25.44
2024-05-08,24.85
2024-05-09,24.82
2024-05-10,24.43
2024-05-11,
2024-05-12,
2024-05-13,25.2
2024-05-14,25.55
2024-05-15,26.34
2024-05-16,26.3
2024-05-17,25.66
2024-05-18,
2024-05-19,
2024-05-20,26.15
2024-05-21,25.84
2024-05-22,26.09
2024-05-23,24.84
2024-05-24,24.66
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,24.82
2024-05-29,24.05
2024-05-30,24.74
2024-05-31,24.74
2024-06-01,
2024-06-02,
2024-06-03,25.73
2024-06-04,25.55
2024-06-05,26.88
2024-06-06,26.21
2024-06-07,25.6
2024-06-08,
2024-06-09,
2024-06-10,25.88
2024-06-11,26.06
2024-06-12,26.63
2024-06-13,26.62
2024-06-14,25.72
2024-06-15,
2024-06-16,
2024-06-17,25.22
2024-06-18,24.85
2024-06-19,
2024-06-20,24.95
2024-06-21,26.03
2024-06-22,
2024-06-23,
2024-06-24,26.6
2024-06-25,26.3
2024-06-26,25.9
2024-06-27,26.16
2024-06-28,26.12
2024-06-29,
2024-06-30,
2024-07-01,26.24
2024-07-02,25.49
2024-07-03,25.28
2024-07-04,
2024-07-05,25.69
2024-07-06,
2024-07-07,
2024-07-08,26.31
2024-07-09,26.81
2024-07-10,27.25
2024-07-11,28.31
2024-07-12,28.71
2024-07-13,
2024-07-14,
