Date,Close
2024-01-01,
2024-01-02,33.27
2024-01-03,32.98
2024-01-04,33.03
2024-01-05,32.96
2024-01-06,
2024-01-07,
2024-01-08,33.27
2024-01-09,33.01
2024-01-10,33.24
2024-01-11,33.22
2024-01-12,33.41
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,32.96
2024-01-17,32.62
2024-01-18,32.91
2024-01-19,33.03
2024-01-20,
2024-01-21,
2024-01-22,32.98
2024-01-23,32.91
2024-01-24,32.99
2024-01-25,33.14
2024-01-26,33.14
2024-01-27,
2024-01-28,
2024-01-29,33.49
2024-01-30,33.45
2024-01-31,33.22
2024-02-01,33.57
2024-02-02,33.34
2024-02-03,
2024-02-04,
2024-02-05,33.27
2024-02-06,33.51
2024-02-07,33.57
2024-02-08,33.44
2024-02-09,33.54
2024-02-10,
2024-02-11,
2024-02-12,33.59
2024-02-13,33.08
2024-02-14,33.37
2024-02-15,33.73
2024-02-16,33.84
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,34.07
2024-02-21,34.11
2024-02-22,34.38
2024-02-23,34.42
2024-02-24,
2024-02-25,
2024-02-26,34.37
2024-02-27,34.29
2024-02-28,34.05
2024-02-29,33.99
2024-03-01,34.31
2024-03-02,
2024-03-03,
2024-03-04,34.38
2024-03-05,34.27
2024-03-06,34.65
2024-03-07,35.21
2024-03-08,35.13
2024-03-09,
2024-03-10,
2024-03-11,35.02
2024-03-12,35.3
2024-03-13,35.36
2024-03-14,35.17
2024-03-15,35.04
2024-03-16,
2024-03-17,
2024-03-18,34.96
2024-03-19,35.01
2024-03-20,35.33
2024-03-21,35.33
2024-03-22,35.14
2024-03-23,
2024-03-24,
2024-03-25,35.11
2024-03-26,35.09
2024-03-27,35.24
2024-03-28,35.1
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,34.98
2024-04-02,34.83
2024-04-03,35.0
2024-04-04,34.69
2024-04-05,34.83
2024-04-06,
2024-04-07,
2024-04-08,34.93
2024-04-09,35.03
2024-04-10,34.67
2024-04-11,34.75
2024-04-12,34.75
2024-04-13,
2024-04-14,
2024-04-15,34.1
2024-04-16,33.89
2024-04-17,33.88
2024-04-18,33.77
2024-04-19,33.72
2024-04-20,
2024-04-21,
2024-04-22,34.06
2024-04-23,34.49
2024-04-24,34.38
2024-04-25,34.44
2024-04-26,34.68
2024-04-27,
2024-04-28,
2024-04-29,34.77
2024-04-30,34.3
2024-05-01,34.24
2024-05-02,34.45
2024-05-03,34.85
2024-05-04,
2024-05-05,
2024-05-06,35.06
2024-05-07,35.16
2024-05-08,35.22
2024-05-09,35.54
2024-05-10,35.62
2024-05-11,
2024-05-12,
2024-05-13,35.7
2024-05-14,35.9
2024-05-15,36.24
2024-05-16,36.11
2024-05-17,36.2
2024-05-18,
2024-05-19,
2024-05-20,36.2
2024-05-21,36.11
2024-05-22,35.97
2024-05-23,35.91
2024-05-24,36.14
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,35.86
2024-05-29,35.35
2024-05-30,35.62
2024-05-31,35.98
2024-06-01,
2024-06-02,
2024-06-03,36.02
2024-06-04,35.94
2024-06-05,36.41
2024-06-06,36.61
2024-06-07,36.26
2024-06-08,
2024-06-09,
2024-06-10,36.29
2024-06-11,35.96
2024-06-12,36.33
2024-06-13,35.94
2024-06-14,35.55
2024-06-15,
2024-06-16,
2024-06-17,35.74
2024-06-18,35.79
2024-06-19,
2024-06-20,35.82
2024-06-21,35.7
2024-06-22,
2024-06-23,
2024-06-24,35.9
2024-06-25,36.03
2024-06-26,35.79
2024-06-27,35.79
2024-06-28,35.76
2024-06-29,
2024-06-30,
2024-07-01,35.84
2024-07-02,35.97
2024-07-03,36.31
2024-07-04,
2024-07-05,36.52
2024-07-06,
2024-07-07,
2024-07-08,36.52
2024-07-09,36.37
2024-07-10,36.85
2024-07-11,36.95
2024-07-12,37.35
2024-07-13,
2024-07-14,
2024-07-15,37.11
2024-07-16,37.33
2024-07-17,36.86
2024-07-18,36.48
2024-07-19,36.27
2024-07-20,
2024-07-21,
2024-07-22,36.61
2024-07-23,36.42
2024-07-24,35.88
2024-07-25,35.75
2024-07-26,36.16
2024-07-27,
2024-07-28,
2024-07-29,36.04
2024-07-30,36.03
2024-07-31,36.46
2024-08-01,35.77
2024-08-02,35.28
2024-08-03,
2024-08-04,
2024-08-05,34.58
2024-08-06,34.85
2024-08-07,34.77
2024-08-08,35.35
2024-08-09,35.56
2024-08-10,
2024-08-11,
2024-08-12,35.49
2024-08-13,36.02
2024-08-14,36.17
2024-08-15,36.54
2024-08-16,36.62
2024-08-17,
2024-08-18,
2024-08-19,36.96
2024-08-20,36.88
2024-08-21,37.18
2024-08-22,36.89
2024-08-23,37.46
2024-08-24,
2024-08-25,
2024-08-26,37.36
2024-08-27,37.47
2024-08-28,37.36
2024-08-29,37.6
2024-08-30,37.66
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,37.01
2024-09-04,36.89
2024-09-05,36.68
2024-09-06,36.15
2024-09-07,
2024-09-08,
2024-09-09,36.49
2024-09-10,36.36
2024-09-11,36.63
2024-09-12,36.9
2024-09-13,37.05
2024-09-14,
2024-09-15,
2024-09-16,37.27
2024-09-17,37.14
2024-09-18,36.97
2024-09-19,37.86
2024-09-20,37.38
2024-09-21,
2024-09-22,
2024-09-23,37.53
2024-09-24,37.79
2024-09-25,37.6
2024-09-26,38.21
2024-09-27,37.99
2024-09-28,
2024-09-29,
2024-09-30,37.74
2024-10-01,37.49
2024-10-02,37.48
2024-10-03,37.14
2024-10-04,37.24
2024-10-05,
2024-10-06,
2024-10-07,37.07
2024-10-08,37.01
2024-10-09,37.11
2024-10-10,37.02
2024-10-11,37.27
2024-10-12,
2024-10-13,
2024-10-14,37.46
2024-10-15,36.7
2024-10-16,36.77
2024-10-17,36.88
2024-10-18,37.08
2024-10-19,
2024-10-20,
2024-10-21,36.81
2024-10-22,36.44
2024-10-23,36.25
2024-10-24,36.28
2024-10-25,36.24
2024-10-26,
2024-10-27,
2024-10-28,36.33
2024-10-29,36.22
2024-10-30,35.92
2024-10-31,35.52
2024-11-01,35.66
2024-11-02,
2024-11-03,
2024-11-04,35.63
2024-11-05,35.95
2024-11-06,35.48
2024-11-07,36.03
2024-11-08,35.83
2024-11-09,
2024-11-10,
2024-11-11,35.8
2024-11-12,35.07
2024-11-13,34.82
2024-11-14,34.89
2024-11-15,34.59
2024-11-16,
2024-11-17,
2024-11-18,34.59
2024-11-19,34.59
2024-11-20,34.59
2024-11-21,34.59
2024-11-22,34.59
2024-11-23,
2024-11-24,
2024-11-25,34.59
2024-11-26,34.59
2024-11-27,34.59
2024-11-28,
2024-11-29,34.59
2024-11-30,
2024-12-01,
2024-12-02,34.59
2024-12-03,34.59
2024-12-04,34.59
2024-12-05,34.59
2024-12-06,34.59
2024-12-07,
2024-12-08,
2024-12-09,34.59
2024-12-10,34.59
2024-12-11,34.59
2024-12-12,34.59
2024-12-13,34.59
2024-12-14,
2024-12-15,
2024-12-16,34.59
2024-12-17,34.59
2024-12-18,34.59
2024-12-19,34.59
2024-12-20,34.59
2024-12-21,
2024-12-22,
2024-12-23,34.59
2024-12-24,34.59
2024-12-25,
2024-12-26,34.59
2024-12-27,34.59
2024-12-28,
2024-12-29,
2024-12-30,34.59
2024-12-31,34.59
2025-01-01,
2025-01-02,34.59
2025-01-03,34.59
2025-01-04,
2025-01-05,
