Date,Close
2020-01-01,
2020-01-02,351.64
2020-01-03,349.19
2020-01-04,
2020-01-05,
2020-01-06,350.43
2020-01-07,349.48
2020-01-08,351.21
2020-01-09,353.64
2020-01-10,352.63
2020-01-11,
2020-01-12,
2020-01-13,355.09
2020-01-14,354.59
2020-01-15,355.25
2020-01-16,358.23
2020-01-17,359.62
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,358.67
2020-01-22,358.79
2020-01-23,359.22
2020-01-24,355.98
2020-01-25,
2020-01-26,
2020-01-27,350.38
2020-01-28,353.91
2020-01-29,353.61
2020-01-30,354.78
2020-01-31,348.53
2020-02-01,
2020-02-02,
2020-02-03,351.05
2020-02-04,356.32
2020-02-05,360.33
2020-02-06,361.59
2020-02-07,359.7
2020-02-08,
2020-02-09,
2020-02-10,362.39
2020-02-11,363.02
2020-02-12,365.37
2020-02-13,364.89
2020-02-14,365.62
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,364.58
2020-02-19,366.35
2020-02-20,364.97
2020-02-21,361.15
2020-02-22,
2020-02-23,
2020-02-24,349.08
2020-02-25,338.53
2020-02-26,337.24
2020-02-27,322.39
2020-02-28,319.8
2020-02-29,
2020-03-01,
2020-03-02,334.49
2020-03-03,325.14
2020-03-04,338.85
2020-03-05,327.44
2020-03-06,321.87
2020-03-07,
2020-03-08,
2020-03-09,297.48
2020-03-10,312.14
2020-03-11,297.07
2020-03-12,268.86
2020-03-13,293.92
2020-03-14,
2020-03-15,
2020-03-16,258.89
2020-03-17,274.2
2020-03-18,260.12
2020-03-19,261.3
2020-03-20,250.01
2020-03-21,
2020-03-22,
2020-03-23,242.72
2020-03-24,265.56
2020-03-25,268.62
2020-03-26,285.35
2020-03-27,275.77
2020-03-28,
2020-03-29,
2020-03-30,285.03
2020-03-31,280.49
2020-04-01,268.1
2020-04-02,274.27
2020-04-03,270.18
2020-04-04,
2020-04-05,
2020-04-06,289.14
2020-04-07,288.68
2020-04-08,298.59
2020-04-09,302.96
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,299.93
2020-04-14,309.14
2020-04-15,302.33
2020-04-16,304.08
2020-04-17,312.26
2020-04-18,
2020-04-19,
2020-04-20,306.64
2020-04-21,297.27
2020-04-22,304.07
2020-04-23,303.91
2020-04-24,308.19
2020-04-25,
2020-04-26,
2020-04-27,312.7
2020-04-28,311.1
2020-04-29,319.37
2020-04-30,316.41
2020-05-01,307.56
2020-05-02,
2020-05-03,
2020-05-04,308.85
2020-05-05,311.67
2020-05-06,309.51
2020-05-07,313.21
2020-05-08,318.54
2020-05-09,
2020-05-10,
2020-05-11,318.59
2020-05-12,312.07
2020-05-13,306.67
2020-05-14,310.28
2020-05-15,311.49
2020-05-16,
2020-05-17,
2020-05-18,321.36
2020-05-19,318.02
2020-05-20,323.37
2020-05-21,320.86
2020-05-22,321.69
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,325.65
2020-05-27,330.48
2020-05-28,329.84
2020-05-29,331.47
2020-05-30,
2020-05-31,
2020-06-01,332.71
2020-06-02,335.44
2020-06-03,340.05
2020-06-04,338.97
2020-06-05,347.85
2020-06-06,
2020-06-07,
2020-06-08,352.04
2020-06-09,349.33
2020-06-10,347.49
2020-06-11,327.05
2020-06-12,331.4
2020-06-13,
2020-06-14,
2020-06-15,334.18
2020-06-16,340.52
2020-06-17,339.29
2020-06-18,339.5
2020-06-19,337.62
2020-06-20,
2020-06-21,
2020-06-22,339.84
2020-06-23,341.3
2020-06-24,332.49
2020-06-25,336.14
2020-06-26,327.96
2020-06-27,
2020-06-28,
2020-06-29,332.82
2020-06-30,338.0
2020-07-01,339.71
2020-07-02,341.34
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,346.75
2020-07-07,343.0
2020-07-08,345.7
2020-07-09,343.84
2020-07-10,347.44
2020-07-11,
2020-07-12,
2020-07-13,344.19
2020-07-14,348.85
2020-07-15,352.02
2020-07-16,350.82
2020-07-17,351.84
2020-07-18,
2020-07-19,
2020-07-20,354.8
2020-07-21,355.4
2020-07-22,357.45
2020-07-23,353.07
2020-07-24,350.89
2020-07-25,
2020-07-26,
2020-07-27,353.49
2020-07-28,351.21
2020-07-29,355.56
2020-07-30,354.31
2020-07-31,357.05
2020-08-01,
2020-08-02,
2020-08-03,359.62
2020-08-04,360.91
2020-08-05,363.23
2020-08-06,365.6
2020-08-07,365.91
2020-08-08,
2020-08-09,
2020-08-10,366.91
2020-08-11,363.99
2020-08-12,369.14
2020-08-13,368.48
2020-08-14,368.43
2020-08-15,
2020-08-16,
2020-08-17,369.45
2020-08-18,370.35
2020-08-19,368.78
2020-08-20,369.96
2020-08-21,371.26
2020-08-22,
2020-08-23,
2020-08-24,375.02
2020-08-25,376.37
2020-08-26,380.22
2020-08-27,380.88
2020-08-28,383.47
2020-08-29,
2020-08-30,
2020-08-31,382.67
2020-09-01,385.56
2020-09-02,391.52
2020-09-03,377.84
2020-09-04,374.76
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,364.37
2020-09-09,371.73
2020-09-10,365.22
2020-09-11,365.42
2020-09-12,
2020-09-13,
2020-09-14,370.2
2020-09-15,372.13
2020-09-16,370.43
2020-09-17,367.32
2020-09-18,363.22
2020-09-19,
2020-09-20,
2020-09-21,359.02
2020-09-22,362.79
2020-09-23,354.21
2020-09-24,355.29
2020-09-25,360.97
2020-09-26,
2020-09-27,
2020-09-28,366.78
2020-09-29,365.07
2020-09-30,368.1
2020-10-01,370.09
2020-10-02,366.54
2020-10-03,
2020-10-04,
2020-10-05,373.18
2020-10-06,367.96
2020-10-07,374.36
2020-10-08,377.48
2020-10-09,380.8
2020-10-10,
2020-10-11,
2020-10-12,387.05
2020-10-13,384.61
2020-10-14,382.1
2020-10-15,381.52
2020-10-16,381.57
2020-10-17,
2020-10-18,
2020-10-19,375.34
2020-10-20,377.12
2020-10-21,376.29
2020-10-22,378.29
2020-10-23,379.59
2020-10-24,
2020-10-25,
2020-10-26,372.55
2020-10-27,371.43
2020-10-28,358.32
2020-10-29,362.62
2020-10-30,358.25
2020-10-31,
2020-11-01,
2020-11-02,362.67
2020-11-03,369.12
2020-11-04,377.27
2020-11-05,384.66
2020-11-06,384.6
2020-11-07,
2020-11-08,
2020-11-09,389.12
2020-11-10,388.64
2020-11-11,391.62
2020-11-12,387.79
2020-11-13,393.1
2020-11-14,
2020-11-15,
2020-11-16,397.68
2020-11-17,395.83
2020-11-18,391.34
2020-11-19,392.9
2020-11-20,390.23
2020-11-21,
2020-11-22,
2020-11-23,392.47
2020-11-24,398.82
2020-11-25,398.2
2020-11-26,
2020-11-27,399.19
2020-11-28,
2020-11-29,
2020-11-30,397.43
2020-12-01,401.91
2020-12-02,402.66
2020-12-03,402.49
2020-12-04,406.06
2020-12-05,
2020-12-06,
2020-12-07,405.27
2020-12-08,406.41
2020-12-09,403.2
2020-12-10,402.71
2020-12-11,402.21
2020-12-12,
2020-12-13,
2020-12-14,400.53
2020-12-15,405.7
2020-12-16,406.43
2020-12-17,408.78
2020-12-18,407.38
2020-12-19,
2020-12-20,
2020-12-21,405.8
2020-12-22,404.99
2020-12-23,405.29
2020-12-24,406.76
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,410.31
2020-12-29,409.39
2020-12-30,409.98
2020-12-31,412.66
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,406.56
2021-01-05,409.49
2021-01-06,411.84
2021-01-07,418.05
2021-01-08,420.4
2021-01-09,
2021-01-10,
2021-01-11,417.64
2021-01-12,417.81
2021-01-13,418.76
2021-01-14,417.24
2021-01-15,414.25
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,417.62
2021-01-20,423.44
2021-01-21,423.61
2021-01-22,422.34
2021-01-23,
2021-01-24,
2021-01-25,423.85
2021-01-26,423.23
