Date,Close
2024-01-01,
2024-01-02,23.99
2024-01-03,23.81
2024-01-04,23.75
2024-01-05,23.82
2024-01-06,
2024-01-07,
2024-01-08,24.02
2024-01-09,23.92
2024-01-10,23.95
2024-01-11,23.92
2024-01-12,23.93
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,23.77
2024-01-17,23.64
2024-01-18,23.8
2024-01-19,23.98
2024-01-20,
2024-01-21,
2024-01-22,24.02
2024-01-23,24.1
2024-01-24,24.1
2024-01-25,24.27
2024-01-26,24.32
2024-01-27,
2024-01-28,
2024-01-29,24.46
2024-01-30,24.48
2024-01-31,24.11
2024-02-01,24.37
2024-02-02,24.43
2024-02-03,
2024-02-04,
2024-02-05,24.25
2024-02-06,24.4
2024-02-07,24.47
2024-02-08,24.56
2024-02-09,24.62
2024-02-10,
2024-02-11,
2024-02-12,24.71
2024-02-13,24.36
2024-02-14,24.6
2024-02-15,24.83
2024-02-16,24.75
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,24.66
2024-02-21,24.85
2024-02-22,25.12
2024-02-23,25.15
2024-02-24,
2024-02-25,
2024-02-26,25.05
2024-02-27,25.11
2024-02-28,25.07
2024-02-29,25.17
2024-03-01,25.3
2024-03-02,
2024-03-03,
2024-03-04,25.28
2024-03-05,25.22
2024-03-06,25.3
2024-03-07,25.48
2024-03-08,25.34
2024-03-09,
2024-03-10,
2024-03-11,25.4
2024-03-12,25.43
2024-03-13,25.48
2024-03-14,25.34
2024-03-15,25.31
2024-03-16,
2024-03-17,
2024-03-18,25.37
2024-03-19,25.49
2024-03-20,25.65
2024-03-21,25.83
2024-03-22,25.75
2024-03-23,
2024-03-24,
2024-03-25,25.72
2024-03-26,25.73
2024-03-27,26.14
2024-03-28,26.2
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,26.11
2024-04-02,25.98
2024-04-03,25.96
2024-04-04,25.71
2024-04-05,25.88
2024-04-06,
2024-04-07,
2024-04-08,25.93
2024-04-09,25.98
2024-04-10,25.7
2024-04-11,25.68
2024-04-12,25.27
2024-04-13,
2024-04-14,
2024-04-15,25.15
2024-04-16,25.04
2024-04-17,25.01
2024-04-18,24.99
2024-04-19,25.12
2024-04-20,
2024-04-21,
2024-04-22,25.38
2024-04-23,25.57
2024-04-24,25.53
2024-04-25,25.47
2024-04-26,25.63
2024-04-27,
2024-04-28,
2024-04-29,25.7
2024-04-30,25.27
2024-05-01,25.23
2024-05-02,25.44
2024-05-03,25.6
2024-05-04,
2024-05-05,
2024-05-06,25.77
2024-05-07,25.88
2024-05-08,25.93
2024-05-09,26.18
2024-05-10,26.24
2024-05-11,
2024-05-12,
2024-05-13,26.2
2024-05-14,26.27
2024-05-15,26.43
2024-05-16,26.45
2024-05-17,26.53
2024-05-18,
2024-05-19,
2024-05-20,26.4
2024-05-21,26.39
2024-05-22,26.29
2024-05-23,25.94
2024-05-24,26.06
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,25.92
2024-05-29,25.61
2024-05-30,25.64
2024-05-31,25.85
2024-06-01,
2024-06-02,
2024-06-03,25.7
2024-06-04,25.63
2024-06-05,25.73
2024-06-06,25.74
2024-06-07,25.67
2024-06-08,
2024-06-09,
2024-06-10,25.7
2024-06-11,25.61
2024-06-12,25.66
2024-06-13,25.52
2024-06-14,25.43
2024-06-15,
2024-06-16,
2024-06-17,25.57
2024-06-18,25.65
2024-06-19,
2024-06-20,25.75
2024-06-21,25.74
2024-06-22,
2024-06-23,
2024-06-24,25.79
2024-06-25,25.69
2024-06-26,25.59
2024-06-27,25.58
2024-06-28,25.6
2024-06-29,
2024-06-30,
2024-07-01,25.53
2024-07-02,25.7
2024-07-03,25.72
2024-07-04,
2024-07-05,25.72
2024-07-06,
2024-07-07,
2024-07-08,25.71
2024-07-09,25.67
2024-07-10,25.87
2024-07-11,26.0
2024-07-12,26.03
2024-07-13,
2024-07-14,
2024-07-15,26.09
2024-07-16,26.49
2024-07-17,26.51
2024-07-18,26.27
2024-07-19,26.01
2024-07-20,
2024-07-21,
2024-07-22,26.15
2024-07-23,25.94
2024-07-24,25.78
2024-07-25,25.9
2024-07-26,26.32
2024-07-27,
2024-07-28,
2024-07-29,26.28
2024-07-30,26.45
2024-07-31,26.62
2024-08-01,26.3
2024-08-02,25.86
2024-08-03,
2024-08-04,
2024-08-05,25.26
2024-08-06,25.44
2024-08-07,25.33
2024-08-08,25.81
2024-08-09,25.87
2024-08-10,
2024-08-11,
2024-08-12,25.83
2024-08-13,26.09
2024-08-14,26.12
2024-08-15,26.54
2024-08-16,26.62
2024-08-17,
2024-08-18,
2024-08-19,26.77
2024-08-20,26.65
2024-08-21,26.82
2024-08-22,26.74
2024-08-23,27.05
2024-08-24,
2024-08-25,
2024-08-26,27.03
2024-08-27,27.0
2024-08-28,26.98
2024-08-29,27.11
2024-08-30,27.33
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,26.99
2024-09-04,26.87
2024-09-05,26.77
2024-09-06,26.4
2024-09-07,
2024-09-08,
2024-09-09,26.68
2024-09-10,26.53
2024-09-11,26.57
2024-09-12,26.63
2024-09-13,26.84
2024-09-14,
2024-09-15,
2024-09-16,26.97
2024-09-17,27.07
2024-09-18,26.97
2024-09-19,27.25
2024-09-20,27.13
2024-09-21,
2024-09-22,
2024-09-23,27.28
2024-09-24,27.33
2024-09-25,27.15
2024-09-26,27.41
2024-09-27,27.48
2024-09-28,
2024-09-29,
2024-09-30,27.53
2024-10-01,27.41
2024-10-02,27.34
2024-10-03,27.15
2024-10-04,27.4
2024-10-05,
2024-10-06,
2024-10-07,27.15
2024-10-08,27.16
2024-10-09,27.3
2024-10-10,27.24
2024-10-11,27.63
2024-10-12,
2024-10-13,
2024-10-14,27.87
2024-10-15,27.73
2024-10-16,27.94
2024-10-17,27.87
2024-10-18,27.93
2024-10-19,
2024-10-20,
2024-10-21,27.64
2024-10-22,27.69
2024-10-23,27.65
2024-10-24,27.71
2024-10-25,27.57
2024-10-26,
2024-10-27,
2024-10-28,27.71
2024-10-29,27.69
2024-10-30,27.76
2024-10-31,27.28
2024-11-01,27.47
2024-11-02,
2024-11-03,
2024-11-04,27.39
2024-11-05,27.6
2024-11-06,28.3
2024-11-07,28.22
2024-11-08,28.2
2024-11-09,
2024-11-10,
2024-11-11,28.42
2024-11-12,28.23
2024-11-13,28.21
