Date,Close
2024-01-01,
2024-01-02,66.37
2024-01-03,65.94
2024-01-04,67.51
2024-01-05,66.83
2024-01-06,
2024-01-07,
2024-01-08,67.64
2024-01-09,70.71
2024-01-10,68.59
2024-01-11,70.7
2024-01-12,69.81
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,72.83
2024-01-17,72.22
2024-01-18,75.12
2024-01-19,77.44
2024-01-20,
2024-01-21,
2024-01-22,77.54
2024-01-23,77.1
2024-01-24,77.58
2024-01-25,79.49
2024-01-26,77.82
2024-01-27,
2024-01-28,
2024-01-29,78.99
2024-01-30,78.5
2024-01-31,76.58
2024-02-01,78.35
2024-02-02,79.25
2024-02-03,
2024-02-04,
2024-02-05,80.03
2024-02-06,76.62
2024-02-07,76.71
2024-02-08,77.91
2024-02-09,80.2
2024-02-10,
2024-02-11,
2024-02-12,79.08
2024-02-13,77.19
2024-02-14,81.99
2024-02-15,83.37
2024-02-16,86.35
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,80.74
2024-02-21,75.6
2024-02-22,81.68
2024-02-23,76.53
2024-02-24,
2024-02-25,
2024-02-26,79.08
2024-02-27,79.21
2024-02-28,79.29
2024-02-29,78.3
2024-03-01,80.42
2024-03-02,
2024-03-03,
2024-03-04,82.84
2024-03-05,78.26
2024-03-06,79.64
2024-03-07,82.95
2024-03-08,76.09
2024-03-09,
2024-03-10,
2024-03-11,73.98
2024-03-12,74.27
2024-03-13,74.85
2024-03-14,74.86
2024-03-15,74.91
2024-03-16,
2024-03-17,
2024-03-18,77.58
2024-03-19,76.61
2024-03-20,79.89
2024-03-21,81.92
2024-03-22,83.72
2024-03-23,
2024-03-24,
2024-03-25,86.1
2024-03-26,87.82
2024-03-27,85.64
2024-03-28,82.42
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,82.56
2024-04-02,80.9
2024-04-03,81.92
2024-04-04,77.75
2024-04-05,78.39
2024-04-06,
2024-04-07,
2024-04-08,79.95
2024-04-09,80.08
2024-04-10,80.14
2024-04-11,80.99
2024-04-12,78.53
2024-04-13,
2024-04-14,
2024-04-15,78.46
2024-04-16,83.51
2024-04-17,80.36
2024-04-18,79.17
2024-04-19,74.68
2024-04-20,
2024-04-21,
2024-04-22,75.87
2024-04-23,76.67
2024-04-24,77.46
2024-04-25,78.86
2024-04-26,82.16
2024-04-27,
2024-04-28,
2024-04-29,82.7
2024-04-30,80.97
2024-05-01,78.88
2024-05-02,80.02
2024-05-03,83.28
2024-05-04,
2024-05-05,
2024-05-06,84.47
2024-05-07,84.42
2024-05-08,84.37
2024-05-09,91.62
2024-05-10,90.46
2024-05-11,
2024-05-12,
2024-05-13,92.87
2024-05-14,94.11
2024-05-15,100.39
2024-05-16,97.64
2024-05-17,97.1
2024-05-18,
2024-05-19,
2024-05-20,99.85
2024-05-21,100.85
2024-05-22,102.88
2024-05-23,104.21
2024-05-24,105.85
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,107.92
2024-05-29,108.55
2024-05-30,105.36
2024-05-31,102.41
2024-06-01,
2024-06-02,
2024-06-03,101.76
2024-06-04,101.85
2024-06-05,108.57
2024-06-06,106.64
2024-06-07,109.42
2024-06-08,
2024-06-09,
2024-06-10,111.55
2024-06-11,112.15
2024-06-12,115.5
2024-06-13,117.01
2024-06-14,113.6
2024-06-15,
2024-06-16,
2024-06-17,121.06
2024-06-18,119.27
2024-06-19,
2024-06-20,115.85
2024-06-21,114.39
2024-06-22,
2024-06-23,
2024-06-24,111.22
2024-06-25,115.7
2024-06-26,117.76
2024-06-27,123.5
2024-06-28,125.24
2024-06-29,
2024-06-30,
2024-07-01,127.8
2024-07-02,127.33
2024-07-03,129.98
2024-07-04,
2024-07-05,132.25
2024-07-06,
2024-07-07,
2024-07-08,137.24
2024-07-09,136.78
2024-07-10,136.2
2024-07-11,129.32
2024-07-12,129.56
2024-07-13,
2024-07-14,
2024-07-15,131.38
2024-07-16,128.48
2024-07-17,113.47
2024-07-18,112.06
2024-07-19,108.48
2024-07-20,
2024-07-21,
2024-07-22,112.64
2024-07-23,116.4
2024-07-24,108.87
2024-07-25,100.91
2024-07-26,100.97
2024-07-27,
2024-07-28,
2024-07-29,102.51
2024-07-30,94.06
2024-07-31,105.0
2024-08-01,92.02
2024-08-02,84.09
2024-08-03,
2024-08-04,
2024-08-05,86.52
2024-08-06,85.98
2024-08-07,85.47
2024-08-08,90.11
2024-08-09,92.95
2024-08-10,
2024-08-11,
2024-08-12,91.55
2024-08-13,93.58
2024-08-14,93.48
2024-08-15,101.03
2024-08-16,99.93
2024-08-17,
2024-08-18,
2024-08-19,98.45
2024-08-20,97.55
2024-08-21,98.54
2024-08-22,96.44
2024-08-23,97.97
2024-08-24,
2024-08-25,
2024-08-26,91.99
2024-08-27,94.51
2024-08-28,92.19
2024-08-29,93.11
2024-08-30,91.02
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,82.16
2024-09-04,83.56
2024-09-05,82.91
2024-09-06,77.88
2024-09-07,
2024-09-08,
2024-09-09,75.97
2024-09-10,77.72
2024-09-11,79.33
2024-09-12,79.16
2024-09-13,81.13
2024-09-14,
2024-09-15,
2024-09-16,77.51
2024-09-17,74.89
2024-09-18,71.51
2024-09-19,76.13
2024-09-20,74.34
2024-09-21,
2024-09-22,
2024-09-23,74.35
2024-09-24,75.59
2024-09-25,76.66
2024-09-26,85.9
2024-09-27,82.67
2024-09-28,
2024-09-29,
2024-09-30,79.85
2024-10-01,76.67
2024-10-02,78.01
2024-10-03,79.34
2024-10-04,80.29
2024-10-05,
2024-10-06,
2024-10-07,81.93
2024-10-08,81.34
2024-10-09,80.35
2024-10-10,79.23
2024-10-11,84.16
2024-10-12,
2024-10-13,
2024-10-14,87.61
2024-10-15,82.69
2024-10-16,81.62
2024-10-17,82.37
2024-10-18,82.82
2024-10-19,
2024-10-20,
2024-10-21,82.1
2024-10-22,80.6
2024-10-23,78.94
2024-10-24,77.59
2024-10-25,77.66
2024-10-26,
2024-10-27,
2024-10-28,79.16
2024-10-29,83.63
2024-10-30,82.1
2024-10-31,79.56
2024-11-01,74.21
2024-11-02,
2024-11-03,
2024-11-04,74.32
2024-11-05,74.45
2024-11-06,78.95
2024-11-07,82.51
2024-11-08,80.53
2024-11-09,
2024-11-10,
2024-11-11,78.7
2024-11-12,84.76
2024-11-13,79.91
2024-11-14,78.72
2024-11-15,74.07
2024-11-16,
2024-11-17,
2024-11-18,75.67
2024-11-19,74.84
2024-11-20,75.17
2024-11-21,75.51
2024-11-22,74.94
2024-11-23,
2024-11-24,
2024-11-25,71.67
2024-11-26,71.12
2024-11-27,71.89
2024-11-28,
2024-11-29,74.5
2024-11-30,
2024-12-01,
2024-12-02,75.46
2024-12-03,75.96
2024-12-04,75.67
2024-12-05,71.59
2024-12-06,72.72
