Date,Close
2024-01-01,
2024-01-02,222.9
2024-01-03,221.98
2024-01-04,222.85
2024-01-05,223.24
2024-01-06,
2024-01-07,
2024-01-08,221.77
2024-01-09,220.9
2024-01-10,220.84
2024-01-11,223.25
2024-01-12,223.1
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,223.27
2024-01-17,223.78
2024-01-18,225.53
2024-01-19,232.68
2024-01-20,
2024-01-21,
2024-01-22,234.32
2024-01-23,235.65
2024-01-24,236.85
2024-01-25,236.49
2024-01-26,236.52
2024-01-27,
2024-01-28,
2024-01-29,238.02
2024-01-30,238.41
2024-01-31,240.21
2024-02-01,240.16
2024-02-02,241.86
2024-02-03,
2024-02-04,
2024-02-05,244.37
2024-02-06,242.82
2024-02-07,242.06
2024-02-08,239.56
2024-02-09,242.37
2024-02-10,
2024-02-11,
2024-02-12,243.16
2024-02-13,241.99
2024-02-14,243.27
2024-02-15,246.15
2024-02-16,245.99
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,245.61
2024-02-21,247.03
2024-02-22,250.44
2024-02-23,251.0
2024-02-24,
2024-02-25,
2024-02-26,249.85
2024-02-27,249.88
2024-02-28,248.62
2024-02-29,246.75
2024-03-01,245.72
2024-03-02,
2024-03-03,
2024-03-04,243.4
2024-03-05,244.48
2024-03-06,245.65
2024-03-07,243.95
2024-03-08,243.94
2024-03-09,
2024-03-10,
2024-03-11,250.01
2024-03-12,252.71
2024-03-13,255.12
2024-03-14,253.43
2024-03-15,252.11
2024-03-16,
2024-03-17,
2024-03-18,253.44
2024-03-19,254.26
2024-03-20,254.29
2024-03-21,252.13
2024-03-22,251.34
2024-03-23,
2024-03-24,
2024-03-25,251.44
2024-03-26,251.9
2024-03-27,254.28
2024-03-28,254.9
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,253.2
2024-04-02,252.16
2024-04-03,250.63
2024-04-04,248.11
2024-04-05,248.77
2024-04-06,
2024-04-07,
2024-04-08,249.03
2024-04-09,243.98
2024-04-10,243.95
2024-04-11,240.54
2024-04-12,241.8
2024-04-13,
2024-04-14,
2024-04-15,240.45
2024-04-16,241.21
2024-04-17,239.56
2024-04-18,241.39
2024-04-19,246.13
2024-04-20,
2024-04-21,
2024-04-22,247.4
2024-04-23,245.8
2024-04-24,239.05
2024-04-25,241.95
2024-04-26,241.45
2024-04-27,
2024-04-28,
2024-04-29,245.15
2024-04-30,244.58
2024-05-01,245.85
2024-05-02,246.17
2024-05-03,244.49
2024-05-04,
2024-05-05,
2024-05-06,247.94
2024-05-07,247.84
2024-05-08,247.52
2024-05-09,249.9
2024-05-10,250.68
2024-05-11,
2024-05-12,
2024-05-13,250.39
2024-05-14,249.03
2024-05-15,248.84
2024-05-16,260.56
2024-05-17,269.81
2024-05-18,
2024-05-19,
2024-05-20,259.83
2024-05-21,260.68
2024-05-22,263.08
2024-05-23,258.79
2024-05-24,260.44
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,258.36
2024-05-29,257.26
2024-05-30,260.82
2024-05-31,266.4
2024-06-01,
2024-06-02,
2024-06-03,262.29
2024-06-04,260.49
2024-06-05,259.83
2024-06-06,259.45
2024-06-07,262.86
2024-06-08,
2024-06-09,
2024-06-10,263.32
2024-06-11,259.61
2024-06-12,258.75
2024-06-13,258.92
2024-06-14,256.11
2024-06-15,
2024-06-16,
2024-06-17,257.36
2024-06-18,259.64
2024-06-19,
2024-06-20,263.04
2024-06-21,261.19
2024-06-22,
2024-06-23,
2024-06-24,262.69
2024-06-25,259.89
2024-06-26,256.66
2024-06-27,258.65
2024-06-28,251.79
2024-06-29,
2024-06-30,
2024-07-01,251.53
2024-07-02,252.27
2024-07-03,250.8
2024-07-04,
2024-07-05,249.25
2024-07-06,
2024-07-07,
2024-07-08,249.73
2024-07-09,250.07
2024-07-10,253.01
2024-07-11,254.66
2024-07-12,255.01
2024-07-13,
2024-07-14,
2024-07-15,256.84
2024-07-16,258.27
2024-07-17,264.02
2024-07-18,264.22
2024-07-19,256.53
2024-07-20,
2024-07-21,
2024-07-22,258.63
2024-07-23,259.85
2024-07-24,256.68
2024-07-25,258.23
2024-07-26,266.58
2024-07-27,
2024-07-28,
2024-07-29,268.19
2024-07-30,273.09
2024-07-31,272.1
2024-08-01,268.44
2024-08-02,267.82
2024-08-03,
2024-08-04,
2024-08-05,265.85
2024-08-06,261.76
2024-08-07,262.28
2024-08-08,265.75
2024-08-09,266.77
2024-08-10,
2024-08-11,
2024-08-12,264.54
2024-08-13,264.36
2024-08-14,268.86
2024-08-15,269.12
2024-08-16,269.88
2024-08-17,
2024-08-18,
2024-08-19,270.49
2024-08-20,268.52
2024-08-21,268.56
2024-08-22,269.33
2024-08-23,272.54
2024-08-24,
2024-08-25,
2024-08-26,272.07
2024-08-27,273.63
2024-08-28,275.11
2024-08-29,278.34
2024-08-30,280.51
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,283.0
2024-09-04,287.19
2024-09-05,283.62
2024-09-06,283.79
2024-09-07,
2024-09-08,
2024-09-09,288.43
2024-09-10,287.28
2024-09-11,280.67
2024-09-12,284.84
2024-09-13,286.05
2024-09-14,
2024-09-15,
2024-09-16,288.47
2024-09-17,287.94
2024-09-18,286.35
2024-09-19,287.74
2024-09-20,287.82
2024-09-21,
2024-09-22,
2024-09-23,289.25
2024-09-24,286.93
2024-09-25,287.49
2024-09-26,287.01
2024-09-27,286.74
2024-09-28,
2024-09-29,
2024-09-30,285.57
2024-10-01,289.26
2024-10-02,288.48
2024-10-03,285.72
2024-10-04,287.75
2024-10-05,
2024-10-06,
2024-10-07,274.47
2024-10-08,277.22
2024-10-09,280.06
2024-10-10,281.92
2024-10-11,284.02
2024-10-12,
2024-10-13,
2024-10-14,285.89
2024-10-15,284.59
2024-10-16,290.23
2024-10-17,298.94
2024-10-18,298.71
2024-10-19,
2024-10-20,
2024-10-21,294.94
2024-10-22,294.2
2024-10-23,292.12
2024-10-24,291.09
2024-10-25,285.17
2024-10-26,
2024-10-27,
2024-10-28,287.18
2024-10-29,284.39
2024-10-30,280.87
2024-10-31,279.68
2024-11-01,274.7
2024-11-02,
2024-11-03,
2024-11-04,273.38
2024-11-05,274.58
2024-11-06,277.27
2024-11-07,275.27
2024-11-08,278.61
2024-11-09,
2024-11-10,
2024-11-11,277.95
2024-11-12,280.12
2024-11-13,280.61
2024-11-14,284.12
2024-11-15,285.18
2024-11-16,
2024-11-17,
2024-11-18,285.91
2024-11-19,281.09
2024-11-20,280.07
2024-11-21,282.32
2024-11-22,282.42
2024-11-23,
2024-11-24,
2024-11-25,283.62
2024-11-26,285.66
2024-11-27,287.5
2024-11-28,
2024-11-29,285.91
2024-11-30,
2024-12-01,
2024-12-02,287.07
2024-12-03,283.45
2024-12-04,281.82
2024-12-05,283.82
2024-12-06,280.55
2024-12-07,
2024-12-08,
2024-12-09,274.61
2024-12-10,271.91
2024-12-11,273.52
2024-12-12,272.69
2024-12-13,274.3
2024-12-14,
2024-12-15,
2024-12-16,273.93
2024-12-17,274.89
2024-12-18,269.81
2024-12-19,271.39
2024-12-20,271.43
2024-12-21,
2024-12-22,
2024-12-23,273.59
2024-12-24,274.74
2024-12-25,
2024-12-26,276.46
2024-12-27,275.88
2024-12-28,
2024-12-29,
2024-12-30,273.62
2024-12-31,274.51
2025-01-01,
2025-01-02,270.75
2025-01-03,269.96
2025-01-04,
2025-01-05,
2025-01-06,265.57
2025-01-07,267.01
2025-01-08,264.92
2025-01-09,
2025-01-10,256.04
2025-01-11,
2025-01-12,
2025-01-13,260.06
2025-01-14,263.79
2025-01-15,266.67
2025-01-16,271.75
2025-01-17,267.73
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,267.11
2025-01-22,266.58
2025-01-23,264.77
2025-01-24,264.97
2025-01-25,
2025-01-26,
2025-01-27,274.69
2025-01-28,270.5
2025-01-29,274.04
2025-01-30,272.99
2025-01-31,270.11
2025-02-01,
2025-02-02,
2025-02-03,272.15
2025-02-04,270.46
2025-02-05,271.03
2025-02-06,271.11
2025-02-07,268.4
2025-02-08,
2025-02-09,
2025-02-10,264.85
2025-02-11,266.22
2025-02-12,263.35
2025-02-13,266.0
2025-02-14,262.8
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,264.88
2025-02-19,264.71
2025-02-20,265.75
2025-02-21,265.51
2025-02-22,
2025-02-23,
2025-02-24,271.66
2025-02-25,275.65
2025-02-26,271.88
2025-02-27,279.86
2025-02-28,283.63
2025-03-01,
2025-03-02,
2025-03-03,287.81
2025-03-04,282.3
2025-03-05,285.15
2025-03-06,284.43
2025-03-07,284.73
2025-03-08,
2025-03-09,
2025-03-10,291.06
2025-03-11,288.81
2025-03-12,282.14
2025-03-13,286.68
2025-03-14,292.97
2025-03-15,
2025-03-16,
2025-03-17,296.4
2025-03-18,294.67
2025-03-19,295.26
2025-03-20,293.13
2025-03-21,290.45
2025-03-22,
2025-03-23,
2025-03-24,290.46
2025-03-25,290.42
2025-03-26,294.33
2025-03-27,297.36
2025-03-28,295.45
2025-03-29,
2025-03-30,
2025-03-31,300.98
2025-04-01,300.39
2025-04-02,300.53
2025-04-03,301.45
2025-04-04,279.74
2025-04-05,
2025-04-06,
2025-04-07,273.4
2025-04-08,274.07
2025-04-09,283.67
2025-04-10,281.39
2025-04-11,282.42
2025-04-12,
2025-04-13,
2025-04-14,287.37
2025-04-15,283.85
2025-04-16,284.11
2025-04-17,284.63
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,278.84
2025-04-22,289.45
2025-04-23,283.54
2025-04-24,281.05
2025-04-25,278.17
2025-04-26,
2025-04-27,
2025-04-28,281.23
2025-04-29,283.99
2025-04-30,285.12
2025-05-01,282.34
2025-05-02,286.35
2025-05-03,
2025-05-04,
2025-05-05,286.86
2025-05-06,288.03
2025-05-07,289.46
2025-05-08,288.0
2025-05-09,288.91
2025-05-10,
2025-05-11,
2025-05-12,288.68
2025-05-13,284.37
2025-05-14,280.44
2025-05-15,291.07
2025-05-16,293.34
2025-05-17,
2025-05-18,
2025-05-19,293.59
2025-05-20,290.98
2025-05-21,289.45
2025-05-22,286.13
2025-05-23,285.14
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,288.76
2025-05-28,288.03
2025-05-29,293.16
2025-05-30,296.2
2025-05-31,
2025-06-01,
2025-06-02,298.92
2025-06-03,295.42
2025-06-04,290.8
2025-06-05,290.54
2025-06-06,292.83
2025-06-07,
2025-06-08,
2025-06-09,288.83
2025-06-10,285.29
2025-06-11,284.65
2025-06-12,288.32
2025-06-13,286.79
2025-06-14,
2025-06-15,
2025-06-16,286.43
2025-06-17,283.8
2025-06-18,282.15
2025-06-19,
2025-06-20,283.82
2025-06-21,
2025-06-22,
2025-06-23,288.19
2025-06-24,286.78
2025-06-25,282.82
2025-06-26,283.57
2025-06-27,285.12
2025-06-28,
