Date,Close
2020-01-01,
2020-01-02,40.29
2020-01-03,40.01
2020-01-04,
2020-01-05,
2020-01-06,39.94
2020-01-07,39.58
2020-01-08,39.76
2020-01-09,39.57
2020-01-10,38.87
2020-01-11,
2020-01-12,
2020-01-13,39.37
2020-01-14,39.44
2020-01-15,39.64
2020-01-16,39.85
2020-01-17,40.06
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,38.42
2020-01-22,37.09
2020-01-23,36.9
2020-01-24,35.54
2020-01-25,
2020-01-26,
2020-01-27,34.23
2020-01-28,34.69
2020-01-29,34.97
2020-01-30,35.32
2020-01-31,34.98
2020-02-01,
2020-02-02,
2020-02-03,34.52
2020-02-04,35.66
2020-02-05,37.09
2020-02-06,36.69
2020-02-07,36.62
2020-02-08,
2020-02-09,
2020-02-10,36.18
2020-02-11,36.62
2020-02-12,36.13
2020-02-13,34.41
2020-02-14,33.5
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,33.38
2020-02-19,34.44
2020-02-20,34.53
2020-02-21,34.42
2020-02-22,
2020-02-23,
2020-02-24,33.96
2020-02-25,32.92
2020-02-26,32.41
2020-02-27,31.6
2020-02-28,32.24
2020-02-29,
2020-03-01,
2020-03-02,33.43
2020-03-03,33.36
2020-03-04,33.89
2020-03-05,33.23
2020-03-06,32.22
2020-03-07,
2020-03-08,
2020-03-09,27.26
2020-03-10,26.88
2020-03-11,24.79
2020-03-12,21.36
2020-03-13,24.21
2020-03-14,
2020-03-15,
2020-03-16,20.99
2020-03-17,21.12
2020-03-18,18.49
2020-03-19,20.1
2020-03-20,19.46
2020-03-21,
2020-03-22,
2020-03-23,19.28
2020-03-24,22.41
2020-03-25,23.63
2020-03-26,24.71
2020-03-27,22.35
2020-03-28,
2020-03-29,
2020-03-30,23.28
2020-03-31,23.79
2020-04-01,22.61
2020-04-02,22.48
2020-04-03,22.54
2020-04-04,
2020-04-05,
2020-04-06,24.05
2020-04-07,25.33
2020-04-08,26.1
2020-04-09,27.12
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,26.16
2020-04-14,26.28
2020-04-15,24.59
2020-04-16,23.54
2020-04-17,24.74
2020-04-18,
2020-04-19,
2020-04-20,24.1
2020-04-21,23.49
2020-04-22,23.89
2020-04-23,24.36
2020-04-24,24.49
2020-04-25,
2020-04-26,
2020-04-27,24.81
2020-04-28,24.52
2020-04-29,25.37
2020-04-30,24.05
2020-05-01,23.27
2020-05-02,
2020-05-03,
2020-05-04,22.98
2020-05-05,23.89
2020-05-06,22.98
2020-05-07,24.09
2020-05-08,25.39
2020-05-09,
2020-05-10,
2020-05-11,24.02
2020-05-12,22.82
2020-05-13,21.51
2020-05-14,21.81
2020-05-15,21.98
2020-05-16,
2020-05-17,
2020-05-18,23.37
2020-05-19,24.07
2020-05-20,24.36
2020-05-21,24.53
2020-05-22,24.43
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,25.82
2020-05-27,26.54
2020-05-28,25.89
2020-05-29,26.0
2020-05-30,
2020-05-31,
2020-06-01,26.2
2020-06-02,27.37
2020-06-03,28.25
2020-06-04,28.11
2020-06-05,28.97
2020-06-06,
2020-06-07,
2020-06-08,29.2
2020-06-09,28.27
2020-06-10,27.34
2020-06-11,24.92
2020-06-12,26.03
2020-06-13,
2020-06-14,
2020-06-15,26.06
2020-06-16,27.28
2020-06-17,26.77
2020-06-18,26.55
2020-06-19,26.46
2020-06-20,
2020-06-21,
2020-06-22,26.7
2020-06-23,26.39
2020-06-24,24.65
2020-06-25,24.38
2020-06-26,24.3
2020-06-27,
2020-06-28,
2020-06-29,24.39
2020-06-30,24.92
2020-07-01,25.27
2020-07-02,26.01
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,26.35
2020-07-07,25.87
2020-07-08,24.56
2020-07-09,23.82
2020-07-10,24.9
2020-07-11,
2020-07-12,
2020-07-13,26.34
2020-07-14,26.24
2020-07-15,27.13
2020-07-16,26.53
2020-07-17,26.88
2020-07-18,
2020-07-19,
2020-07-20,25.82
2020-07-21,26.39
2020-07-22,26.77
2020-07-23,26.9
2020-07-24,27.08
2020-07-25,
2020-07-26,
2020-07-27,27.77
2020-07-28,26.76
2020-07-29,27.77
2020-07-30,27.28
2020-07-31,27.74
2020-08-01,
2020-08-02,
2020-08-03,27.85
2020-08-04,28.67
2020-08-05,29.15
2020-08-06,29.56
2020-08-07,29.33
2020-08-08,
2020-08-09,
2020-08-10,30.88
2020-08-11,31.42
2020-08-12,30.88
2020-08-13,30.95
2020-08-14,31.35
2020-08-15,
2020-08-16,
2020-08-17,30.7
2020-08-18,30.8
2020-08-19,29.99
2020-08-20,29.56
2020-08-21,28.91
2020-08-22,
2020-08-23,
2020-08-24,29.98
2020-08-25,29.86
2020-08-26,29.91
2020-08-27,29.69
2020-08-28,29.66
2020-08-29,
2020-08-30,
2020-08-31,29.14
2020-09-01,29.84
2020-09-02,30.34
2020-09-03,29.66
2020-09-04,29.63
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,28.6
2020-09-09,28.87
2020-09-10,28.8
2020-09-11,29.8
2020-09-12,
2020-09-13,
2020-09-14,30.09
2020-09-15,29.44
2020-09-16,29.78
2020-09-17,30.94
2020-09-18,30.37
2020-09-19,
2020-09-20,
2020-09-21,28.23
2020-09-22,27.91
2020-09-23,27.61
2020-09-24,27.41
2020-09-25,27.17
2020-09-26,
2020-09-27,
2020-09-28,27.64
2020-09-29,26.67
2020-09-30,27.43
2020-10-01,26.69
2020-10-02,27.3
2020-10-03,
2020-10-04,
2020-10-05,28.16
2020-10-06,27.94
2020-10-07,27.64
2020-10-08,28.45
2020-10-09,27.98
2020-10-10,
2020-10-11,
2020-10-12,26.36
2020-10-13,26.3
2020-10-14,26.62
2020-10-15,26.49
2020-10-16,26.15
2020-10-17,
2020-10-18,
2020-10-19,25.79
2020-10-20,25.06
2020-10-21,24.34
2020-10-22,24.93
2020-10-23,24.63
2020-10-24,
2020-10-25,
2020-10-26,23.96
2020-10-27,23.36
2020-10-28,22.96
2020-10-29,23.92
2020-10-30,24.66
2020-10-31,
2020-11-01,
2020-11-02,25.07
2020-11-03,24.13
2020-11-04,23.81
2020-11-05,24.42
2020-11-06,24.41
2020-11-07,
2020-11-08,
2020-11-09,25.86
2020-11-10,26.89
2020-11-11,27.28
2020-11-12,26.92
2020-11-13,27.86
2020-11-14,
2020-11-15,
2020-11-16,29.23
2020-11-17,29.06
2020-11-18,29.27
2020-11-19,29.0
2020-11-20,30.22
2020-11-21,
2020-11-22,
2020-11-23,32.31
2020-11-24,34.86
2020-11-25,34.43
2020-11-26,
2020-11-27,34.97
2020-11-28,
2020-11-29,
2020-11-30,33.65
2020-12-01,33.83
2020-12-02,34.14
2020-12-03,34.4
2020-12-04,35.69
2020-12-05,
2020-12-06,
2020-12-07,34.52
2020-12-08,34.75
2020-12-09,35.23
2020-12-10,35.28
2020-12-11,35.51
2020-12-12,
2020-12-13,
2020-12-14,35.02
2020-12-15,34.59
2020-12-16,34.08
2020-12-17,33.86
2020-12-18,33.95
2020-12-19,
2020-12-20,
2020-12-21,33.86
2020-12-22,32.67
2020-12-23,33.17
2020-12-24,33.2
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,33.56
2020-12-29,33.33
2020-12-30,34.25
2020-12-31,34.92
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,34.76
2021-01-05,36.15
2021-01-06,38.52
2021-01-07,38.58
2021-01-08,38.93
2021-01-09,
2021-01-10,
2021-01-11,38.89
2021-01-12,41.26
2021-01-13,40.85
2021-01-14,40.86
2021-01-15,41.1
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,40.58
2021-01-20,39.81
2021-01-21,39.2
2021-01-22,39.15
2021-01-23,
2021-01-24,
