Date,Close
2020-01-01,
2020-01-02,6.75
2020-01-03,6.82
2020-01-04,
2020-01-05,
2020-01-06,6.76
2020-01-07,6.78
2020-01-08,6.75
2020-01-09,6.78
2020-01-10,6.83
2020-01-11,
2020-01-12,
2020-01-13,6.8
2020-01-14,6.84
2020-01-15,6.86
2020-01-16,6.95
2020-01-17,7.0
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,6.99
2020-01-22,7.06
2020-01-23,7.11
2020-01-24,7.04
2020-01-25,
2020-01-26,
2020-01-27,7.03
2020-01-28,6.97
2020-01-29,6.92
2020-01-30,6.97
2020-01-31,6.91
2020-02-01,
2020-02-02,
2020-02-03,6.9
2020-02-04,6.92
2020-02-05,7.03
2020-02-06,7.09
2020-02-07,6.98
2020-02-08,
2020-02-09,
2020-02-10,6.96
2020-02-11,6.8
2020-02-12,6.84
2020-02-13,6.83
2020-02-14,6.85
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,6.78
2020-02-19,6.8
2020-02-20,6.88
2020-02-21,6.82
2020-02-22,
2020-02-23,
2020-02-24,6.64
2020-02-25,6.4
2020-02-26,6.44
2020-02-27,6.23
2020-02-28,6.05
2020-02-29,
2020-03-01,
2020-03-02,6.23
2020-03-03,6.2
2020-03-04,6.34
2020-03-05,6.38
2020-03-06,6.22
2020-03-07,
2020-03-08,
2020-03-09,5.74
2020-03-10,5.86
2020-03-11,5.64
2020-03-12,4.87
2020-03-13,4.66
2020-03-14,
2020-03-15,
2020-03-16,3.79
2020-03-17,3.26
2020-03-18,2.37
2020-03-19,3.45
2020-03-20,2.85
2020-03-21,
2020-03-22,
2020-03-23,2.3
2020-03-24,2.62
2020-03-25,2.74
2020-03-26,3.09
2020-03-27,3.05
2020-03-28,
2020-03-29,
2020-03-30,2.85
2020-03-31,2.77
2020-04-01,2.63
2020-04-02,2.57
2020-04-03,2.38
2020-04-04,
2020-04-05,
2020-04-06,2.33
2020-04-07,2.79
2020-04-08,2.96
2020-04-09,3.28
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,3.33
2020-04-14,3.32
2020-04-15,3.0
2020-04-16,3.08
2020-04-17,3.33
2020-04-18,
2020-04-19,
2020-04-20,3.17
2020-04-21,3.15
2020-04-22,3.06
2020-04-23,2.97
2020-04-24,3.73
2020-04-25,
2020-04-26,
2020-04-27,3.91
2020-04-28,3.72
2020-04-29,4.07
2020-04-30,4.19
2020-05-01,4.06
2020-05-02,
2020-05-03,
2020-05-04,3.86
2020-05-05,3.94
2020-05-06,4.36
2020-05-07,4.31
2020-05-08,4.32
2020-05-09,
2020-05-10,
2020-05-11,4.24
2020-05-12,4.32
2020-05-13,4.08
2020-05-14,4.19
2020-05-15,4.2
2020-05-16,
2020-05-17,
2020-05-18,4.33
2020-05-19,4.28
2020-05-20,4.37
2020-05-21,4.44
2020-05-22,4.51
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,4.74
2020-05-27,4.86
2020-05-28,4.71
2020-05-29,4.73
2020-05-30,
2020-05-31,
2020-06-01,4.8
2020-06-02,4.85
2020-06-03,4.97
2020-06-04,5.0
2020-06-05,5.1
2020-06-06,
2020-06-07,
2020-06-08,5.36
2020-06-09,5.17
2020-06-10,5.01
2020-06-11,4.61
2020-06-12,4.88
2020-06-13,
2020-06-14,
2020-06-15,4.89
2020-06-16,4.98
2020-06-17,4.88
2020-06-18,4.83
2020-06-19,4.88
2020-06-20,
2020-06-21,
2020-06-22,4.74
2020-06-23,4.78
2020-06-24,4.77
2020-06-25,4.77
2020-06-26,4.73
2020-06-27,
2020-06-28,
2020-06-29,4.73
2020-06-30,4.75
2020-07-01,4.65
2020-07-02,4.64
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,4.62
2020-07-07,4.53
2020-07-08,4.51
2020-07-09,4.39
2020-07-10,4.4
2020-07-11,
2020-07-12,
2020-07-13,4.43
2020-07-14,4.36
2020-07-15,4.52
2020-07-16,4.46
2020-07-17,4.51
2020-07-18,
2020-07-19,
2020-07-20,4.52
2020-07-21,4.65
2020-07-22,4.82
2020-07-23,4.77
2020-07-24,4.65
2020-07-25,
2020-07-26,
2020-07-27,4.57
2020-07-28,4.57
2020-07-29,4.57
2020-07-30,4.53
2020-07-31,4.51
2020-08-01,
2020-08-02,
2020-08-03,4.56
2020-08-04,4.63
2020-08-05,5.0
2020-08-06,5.01
2020-08-07,5.06
2020-08-08,
2020-08-09,
2020-08-10,5.17
2020-08-11,5.11
2020-08-12,5.1
2020-08-13,5.1
2020-08-14,5.03
2020-08-15,
2020-08-16,
2020-08-17,4.96
2020-08-18,4.89
2020-08-19,4.8
2020-08-20,4.8
2020-08-21,4.79
2020-08-22,
2020-08-23,
2020-08-24,4.91
2020-08-25,4.89
2020-08-26,4.79
2020-08-27,4.82
2020-08-28,4.96
2020-08-29,
2020-08-30,
2020-08-31,4.88
2020-09-01,5.23
2020-09-02,5.13
2020-09-03,4.99
2020-09-04,5.01
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,5.07
2020-09-09,5.16
2020-09-10,5.07
2020-09-11,5.09
2020-09-12,
2020-09-13,
2020-09-14,5.21
2020-09-15,5.17
2020-09-16,5.13
2020-09-17,5.1
2020-09-18,5.12
2020-09-19,
2020-09-20,
2020-09-21,5.25
2020-09-22,5.13
2020-09-23,5.02
2020-09-24,5.01
2020-09-25,5.19
2020-09-26,
2020-09-27,
2020-09-28,5.28
2020-09-29,5.25
2020-09-30,5.13
2020-10-01,5.13
2020-10-02,5.24
2020-10-03,
2020-10-04,
2020-10-05,5.2
2020-10-06,5.16
2020-10-07,5.16
2020-10-08,5.21
2020-10-09,5.17
2020-10-10,
2020-10-11,
2020-10-12,5.04
2020-10-13,5.01
2020-10-14,5.06
2020-10-15,5.09
2020-10-16,5.06
2020-10-17,
2020-10-18,
2020-10-19,4.96
2020-10-20,4.93
2020-10-21,5.06
2020-10-22,4.96
2020-10-23,5.02
2020-10-24,
2020-10-25,
2020-10-26,4.93
2020-10-27,4.81
2020-10-28,4.65
