Date,Close
2024-01-01,
2024-01-02,83.71
2024-01-03,83.92
2024-01-04,84.75
2024-01-05,85.12
2024-01-06,
2024-01-07,
2024-01-08,84.16
2024-01-09,83.22
2024-01-10,83.77
2024-01-11,83.59
2024-01-12,83.46
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,82.45
2024-01-17,81.61
2024-01-18,82.21
2024-01-19,82.87
2024-01-20,
2024-01-21,
2024-01-22,83.71
2024-01-23,83.88
2024-01-24,82.21
2024-01-25,83.51
2024-01-26,83.96
2024-01-27,
2024-01-28,
2024-01-29,82.47
2024-01-30,82.54
2024-01-31,80.79
2024-02-01,70.62
2024-02-02,71.22
2024-02-03,
2024-02-04,
2024-02-05,71.14
2024-02-06,71.6
2024-02-07,70.77
2024-02-08,71.73
2024-02-09,71.74
2024-02-10,
2024-02-11,
2024-02-12,72.79
2024-02-13,71.19
2024-02-14,70.94
2024-02-15,70.81
2024-02-16,69.42
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,68.83
2024-02-21,69.66
2024-02-22,70.76
2024-02-23,70.47
2024-02-24,
2024-02-25,
2024-02-26,70.55
2024-02-27,71.31
2024-02-28,71.47
2024-02-29,71.76
2024-03-01,71.57
2024-03-02,
2024-03-03,
2024-03-04,68.25
2024-03-05,67.47
2024-03-06,69.71
2024-03-07,70.34
2024-03-08,70.18
2024-03-09,
2024-03-10,
2024-03-11,72.66
2024-03-12,73.31
2024-03-13,72.96
2024-03-14,72.56
2024-03-15,71.63
2024-03-16,
2024-03-17,
2024-03-18,71.09
2024-03-19,71.74
2024-03-20,71.64
2024-03-21,72.03
2024-03-22,72.14
2024-03-23,
2024-03-24,
2024-03-25,72.48
2024-03-26,70.55
2024-03-27,72.0
2024-03-28,73.76
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,71.05
2024-04-02,69.96
2024-04-03,69.53
2024-04-04,69.44
2024-04-05,68.95
2024-04-06,
2024-04-07,
2024-04-08,69.81
2024-04-09,70.65
2024-04-10,69.76
2024-04-11,69.89
2024-04-12,68.28
2024-04-13,
2024-04-14,
2024-04-15,66.85
2024-04-16,65.77
2024-04-17,66.66
2024-04-18,67.69
2024-04-19,68.99
2024-04-20,
2024-04-21,
2024-04-22,68.55
2024-04-23,68.15
2024-04-24,68.72
2024-04-25,68.06
2024-04-26,68.02
2024-04-27,
2024-04-28,
2024-04-29,69.46
2024-04-30,68.78
2024-05-01,69.84
2024-05-02,78.4
2024-05-03,78.66
2024-05-04,
2024-05-05,
2024-05-06,76.29
2024-05-07,77.04
2024-05-08,78.44
2024-05-09,78.72
2024-05-10,80.13
2024-05-11,
2024-05-12,
2024-05-13,81.83
2024-05-14,81.25
2024-05-15,80.74
2024-05-16,80.55
2024-05-17,81.48
2024-05-18,
2024-05-19,
2024-05-20,81.89
2024-05-21,80.02
2024-05-22,81.7
2024-05-23,81.95
2024-05-24,84.01
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,83.34
2024-05-29,81.36
2024-05-30,82.24
2024-05-31,83.67
2024-06-01,
2024-06-02,
2024-06-03,84.39
2024-06-04,83.3
2024-06-05,84.9
2024-06-06,85.08
2024-06-07,84.85
2024-06-08,
2024-06-09,
2024-06-10,83.49
2024-06-11,82.38
2024-06-12,82.71
2024-06-13,82.45
2024-06-14,81.55
2024-06-15,
2024-06-16,
2024-06-17,83.7
2024-06-18,83.57
2024-06-19,
2024-06-20,85.35
2024-06-21,84.66
2024-06-22,
2024-06-23,
2024-06-24,86.32
2024-06-25,87.31
2024-06-26,87.07
2024-06-27,85.58
2024-06-28,85.96
2024-06-29,
2024-06-30,
2024-07-01,84.68
2024-07-02,84.04
2024-07-03,85.37
2024-07-04,
2024-07-05,84.37
2024-07-06,
2024-07-07,
2024-07-08,84.5
2024-07-09,84.43
2024-07-10,83.35
2024-07-11,84.25
2024-07-12,84.64
2024-07-13,
2024-07-14,
2024-07-15,84.9
2024-07-16,85.59
2024-07-17,86.79
2024-07-18,85.26
2024-07-19,86.68
2024-07-20,
2024-07-21,
2024-07-22,87.98
2024-07-23,88.41
2024-07-24,88.0
2024-07-25,87.22
2024-07-26,87.28
2024-07-27,
2024-07-28,
2024-07-29,87.06
2024-07-30,87.15
2024-07-31,86.87
2024-08-01,99.71
2024-08-02,96.21
2024-08-03,
2024-08-04,
2024-08-05,96.31
2024-08-06,96.75
2024-08-07,95.38
2024-08-08,96.16
2024-08-09,96.1
2024-08-10,
2024-08-11,
2024-08-12,96.28
2024-08-13,95.85
2024-08-14,95.4
2024-08-15,95.44
2024-08-16,96.79
2024-08-17,
2024-08-18,
2024-08-19,98.58
2024-08-20,96.75
2024-08-21,98.2
2024-08-22,98.85
2024-08-23,99.3
2024-08-24,
2024-08-25,
2024-08-26,99.8
2024-08-27,101.06
2024-08-28,101.41
2024-08-29,100.49
2024-08-30,100.98
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,101.07
2024-09-04,101.58
2024-09-05,99.68
2024-09-06,98.93
2024-09-07,
2024-09-08,
2024-09-09,99.2
2024-09-10,99.2
2024-09-11,98.22
2024-09-12,97.62
2024-09-13,98.22
2024-09-14,
2024-09-15,
2024-09-16,98.45
2024-09-17,98.4
2024-09-18,100.15
2024-09-19,101.72
2024-09-20,102.27
2024-09-21,
2024-09-22,
2024-09-23,104.48
2024-09-24,106.85
2024-09-25,106.02
2024-09-26,105.55
2024-09-27,106.33
2024-09-28,
2024-09-29,
2024-09-30,108.32
2024-10-01,107.76
2024-10-02,106.39
2024-10-03,103.54
2024-10-04,104.75
2024-10-05,
2024-10-06,
2024-10-07,104.74
2024-10-08,105.93
2024-10-09,106.25
2024-10-10,106.04
2024-10-11,108.13
2024-10-12,
2024-10-13,
2024-10-14,108.12
2024-10-15,107.08
2024-10-16,108.59
2024-10-17,108.83
2024-10-18,108.09
2024-10-19,
2024-10-20,
2024-10-21,106.86
2024-10-22,106.09
2024-10-23,105.86
2024-10-24,104.75
2024-10-25,106.12
2024-10-26,
2024-10-27,
2024-10-28,106.92
2024-10-29,106.0
2024-10-30,107.61
2024-10-31,101.13
2024-11-01,99.93
2024-11-02,
2024-11-03,
2024-11-04,100.75
2024-11-05,102.99
2024-11-06,104.45
2024-11-07,105.91
2024-11-08,106.55
2024-11-09,
2024-11-10,
2024-11-11,107.01
2024-11-12,107.07
2024-11-13,109.61
2024-11-14,109.41
2024-11-15,108.15
2024-11-16,
2024-11-17,
2024-11-18,107.95
2024-11-19,107.06
2024-11-20,107.01
2024-11-21,106.53
2024-11-22,105.62
2024-11-23,
2024-11-24,
2024-11-25,105.55
2024-11-26,104.39
2024-11-27,103.3
2024-11-28,
2024-11-29,103.62
2024-11-30,
2024-12-01,
2024-12-02,104.21
2024-12-03,105.61
2024-12-04,105.63
2024-12-05,104.2
2024-12-06,104.08
2024-12-07,
2024-12-08,
2024-12-09,106.76
2024-12-10,107.82
2024-12-11,107.74
2024-12-12,112.6
2024-12-13,109.96
2024-12-14,
2024-12-15,
2024-12-16,108.7
2024-12-17,107.49
2024-12-18,105.09
2024-12-19,103.66
2024-12-20,103.01
2024-12-21,
2024-12-22,
2024-12-23,102.68
2024-12-24,102.95
2024-12-25,
2024-12-26,102.99
2024-12-27,102.56
2024-12-28,
2024-12-29,
2024-12-30,102.16
2024-12-31,102.0
2025-01-01,
2025-01-02,101.47
2025-01-03,103.11
2025-01-04,
2025-01-05,
2025-01-06,102.2
2025-01-07,102.72
2025-01-08,102.29
2025-01-09,
2025-01-10,100.46
2025-01-11,
2025-01-12,
2025-01-13,102.25
2025-01-14,101.53
2025-01-15,101.71
2025-01-16,101.38
2025-01-17,102.26
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,104.04
2025-01-22,103.91
2025-01-23,105.63
2025-01-24,106.78
2025-01-25,
2025-01-26,
2025-01-27,107.66
2025-01-28,108.42
2025-01-29,106.55
2025-01-30,99.16
2025-01-31,98.22
2025-02-01,
2025-02-02,
2025-02-03,96.85
2025-02-04,97.57
2025-02-05,96.01
2025-02-06,95.41
2025-02-07,95.36
2025-02-08,
2025-02-09,
2025-02-10,98.07
2025-02-11,98.47
2025-02-12,96.3
