Date,Close
2024-01-01,
2024-01-02,28.27
2024-01-03,28.17
2024-01-04,27.92
2024-01-05,27.91
2024-01-06,
2024-01-07,
2024-01-08,28.83
2024-01-09,28.75
2024-01-10,29.52
2024-01-11,28.71
2024-01-12,28.73
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,28.51
2024-01-17,27.59
2024-01-18,28.59
2024-01-19,30.9
2024-01-20,
2024-01-21,
2024-01-22,31.64
2024-01-23,30.58
2024-01-24,30.66
2024-01-25,31.72
2024-01-26,31.99
2024-01-27,
2024-01-28,
2024-01-29,32.55
2024-01-30,33.09
2024-01-31,34.36
2024-02-01,36.12
2024-02-02,36.07
2024-02-03,
2024-02-04,
2024-02-05,36.93
2024-02-06,36.26
2024-02-07,36.36
2024-02-08,37.54
2024-02-09,38.66
2024-02-10,
2024-02-11,
2024-02-12,38.24
2024-02-13,37.5
2024-02-14,39.12
2024-02-15,39.87
2024-02-16,39.53
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,37.46
2024-02-21,37.2
2024-02-22,41.77
2024-02-23,40.43
2024-02-24,
2024-02-25,
2024-02-26,41.76
2024-02-27,41.76
2024-02-28,41.15
2024-02-29,42.53
2024-03-01,45.3
2024-03-02,
2024-03-03,
2024-03-04,47.15
2024-03-05,45.78
2024-03-06,47.2
2024-03-07,47.37
2024-03-08,46.1
2024-03-09,
2024-03-10,
2024-03-11,43.66
2024-03-12,45.2
2024-03-13,45.03
2024-03-14,44.42
2024-03-15,43.97
2024-03-16,
2024-03-17,
2024-03-18,44.69
2024-03-19,43.02
2024-03-20,44.05
2024-03-21,47.05
2024-03-22,47.03
2024-03-23,
2024-03-24,
2024-03-25,46.34
2024-03-26,46.37
2024-03-27,45.56
2024-03-28,44.94
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,45.9
2024-04-02,46.9
2024-04-03,49.26
2024-04-04,48.07
2024-04-05,49.39
2024-04-06,
2024-04-07,
2024-04-08,49.43
2024-04-09,47.05
2024-04-10,46.06
2024-04-11,46.02
2024-04-12,44.74
2024-04-13,
2024-04-14,
2024-04-15,44.35
2024-04-16,45.71
2024-04-17,44.62
2024-04-18,43.81
2024-04-19,40.73
2024-04-20,
2024-04-21,
2024-04-22,42.98
2024-04-23,43.76
2024-04-24,44.1
2024-04-25,43.25
2024-04-26,43.46
2024-04-27,
2024-04-28,
2024-04-29,44.02
2024-04-30,43.33
2024-05-01,43.43
2024-05-02,44.0
2024-05-03,44.86
2024-05-04,
2024-05-05,
2024-05-06,46.9
2024-05-07,47.87
2024-05-08,49.33
2024-05-09,48.28
2024-05-10,48.51
2024-05-11,
2024-05-12,
2024-05-13,46.78
2024-05-14,48.0
2024-05-15,52.06
2024-05-16,52.42
2024-05-17,51.58
2024-05-18,
2024-05-19,
2024-05-20,52.67
2024-05-21,52.64
2024-05-22,53.88
2024-05-23,55.37
2024-05-24,58.8
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,59.41
2024-05-29,59.23
2024-05-30,57.4
2024-05-31,55.92
2024-06-01,
2024-06-02,
2024-06-03,55.57
2024-06-04,52.71
2024-06-05,56.37
2024-06-06,52.49
2024-06-07,52.25
2024-06-08,
2024-06-09,
2024-06-10,54.54
2024-06-11,53.23
2024-06-12,54.89
2024-06-13,56.77
2024-06-14,55.71
2024-06-15,
2024-06-16,
2024-06-17,57.02
2024-06-18,59.09
2024-06-19,
2024-06-20,55.8
2024-06-21,55.91
2024-06-22,
2024-06-23,
2024-06-24,53.38
2024-06-25,55.81
2024-06-26,55.3
2024-06-27,57.2
2024-06-28,57.33
2024-06-29,
2024-06-30,
2024-07-01,57.79
2024-07-02,58.67
2024-07-03,58.53
2024-07-04,
2024-07-05,57.62
2024-07-06,
2024-07-07,
2024-07-08,59.17
2024-07-09,59.26
2024-07-10,61.47
2024-07-11,59.48
2024-07-12,59.4
2024-07-13,
2024-07-14,
2024-07-15,61.23
2024-07-16,63.27
2024-07-17,56.84
2024-07-18,56.32
2024-07-19,56.5
2024-07-20,
2024-07-21,
2024-07-22,56.9
2024-07-23,57.88
2024-07-24,53.39
2024-07-25,51.07
2024-07-26,52.67
2024-07-27,
2024-07-28,
2024-07-29,50.0
2024-07-30,48.88
2024-07-31,52.44
2024-08-01,50.39
2024-08-02,46.29
2024-08-03,
2024-08-04,
2024-08-05,46.88
2024-08-06,47.08
2024-08-07,44.48
2024-08-08,46.24
2024-08-09,47.78
2024-08-10,
2024-08-11,
2024-08-12,49.18
2024-08-13,51.19
2024-08-14,52.27
2024-08-15,56.0
2024-08-16,54.78
2024-08-17,
2024-08-18,
2024-08-19,54.16
2024-08-20,54.03
2024-08-21,53.67
2024-08-22,52.65
2024-08-23,53.14
2024-08-24,
2024-08-25,
2024-08-26,51.0
2024-08-27,50.33
2024-08-28,50.0
2024-08-29,50.57
2024-08-30,50.92
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,46.45
2024-09-04,46.65
2024-09-05,45.9
2024-09-06,41.03
2024-09-07,
2024-09-08,
2024-09-09,42.57
2024-09-10,43.49
2024-09-11,45.32
2024-09-12,45.55
2024-09-13,45.87
2024-09-14,
2024-09-15,
2024-09-16,46.14
2024-09-17,46.99
2024-09-18,46.83
2024-09-19,49.71
2024-09-20,48.73
2024-09-21,
2024-09-22,
2024-09-23,49.63
2024-09-24,49.99
2024-09-25,50.72
2024-09-26,52.09
2024-09-27,51.08
2024-09-28,
2024-09-29,
2024-09-30,51.12
2024-10-01,49.63
2024-10-02,50.35
2024-10-03,51.47
2024-10-04,53.83
2024-10-05,
2024-10-06,
2024-10-07,54.33
2024-10-08,55.71
2024-10-09,58.1
2024-10-10,61.25
2024-10-11,63.06
2024-10-12,
2024-10-13,
2024-10-14,63.16
2024-10-15,61.11
2024-10-16,58.42
2024-10-17,58.18
2024-10-18,57.82
2024-10-19,
2024-10-20,
2024-10-21,56.68
2024-10-22,56.0
2024-10-23,57.47
2024-10-24,67.94
2024-10-25,69.38
2024-10-26,
2024-10-27,
2024-10-28,70.3
2024-10-29,69.96
2024-10-30,69.78
2024-10-31,68.4
2024-11-01,70.22
2024-11-02,
2024-11-03,
2024-11-04,72.32
2024-11-05,75.63
2024-11-06,81.0
2024-11-07,85.33
2024-11-08,85.85
2024-11-09,
2024-11-10,
2024-11-11,84.63
2024-11-12,84.06
2024-11-13,82.05
2024-11-14,80.48
2024-11-15,82.18
2024-11-16,
2024-11-17,
2024-11-18,83.97
2024-11-19,86.82
2024-11-20,86.98
2024-11-21,91.44
2024-11-22,89.16
2024-11-23,
2024-11-24,
2024-11-25,85.6
2024-11-26,86.67
2024-11-27,83.16
2024-11-28,
2024-11-29,85.24
2024-11-30,
2024-12-01,
2024-12-02,84.96
2024-12-03,89.42
2024-12-04,89.53
2024-12-05,92.08
2024-12-06,94.86
2024-12-07,
2024-12-08,
2024-12-09,90.42
2024-12-10,88.0
2024-12-11,89.97
2024-12-12,91.01
2024-12-13,99.2
2024-12-14,
2024-12-15,
2024-12-16,99.01
2024-12-17,97.81
2024-12-18,92.11
2024-12-19,93.05
2024-12-20,95.45
2024-12-21,
2024-12-22,
2024-12-23,97.52
2024-12-24,97.53
2024-12-25,
2024-12-26,98.25
2024-12-27,95.1
2024-12-28,
2024-12-29,
2024-12-30,93.82
2024-12-31,92.3
2025-01-01,
2025-01-02,93.07
2025-01-03,96.92
2025-01-04,
2025-01-05,
2025-01-06,98.76
2025-01-07,98.27
2025-01-08,102.47
2025-01-09,
2025-01-10,103.64
2025-01-11,
2025-01-12,
2025-01-13,100.44
2025-01-14,103.11
2025-01-15,107.5
2025-01-16,110.72
2025-01-17,113.28
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,118.1
2025-01-22,123.27
2025-01-23,122.92
2025-01-24,121.69
2025-01-25,
2025-01-26,
2025-01-27,87.36
2025-01-28,94.48
2025-01-29,100.49
2025-01-30,114.15
2025-01-31,123.47
2025-02-01,
2025-02-02,
2025-02-03,120.88
2025-02-04,131.98
2025-02-05,143.67
2025-02-06,133.22
2025-02-07,129.7
2025-02-08,
2025-02-09,
2025-02-10,130.23
2025-02-11,126.58
2025-02-12,129.32
2025-02-13,129.78
2025-02-14,132.06
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,132.29
2025-02-19,131.58
2025-02-20,125.02
2025-02-21,119.25
2025-02-22,
2025-02-23,
2025-02-24,110.88
2025-02-25,106.11
2025-02-26,111.68
2025-02-27,107.87
2025-02-28,107.05
2025-03-01,
2025-03-02,
2025-03-03,92.8
2025-03-04,90.22
2025-03-05,90.95
2025-03-06,81.62
2025-03-07,87.53
2025-03-08,
2025-03-09,
2025-03-10,81.15
2025-03-11,86.59
2025-03-12,89.58
2025-03-13,86.41
2025-03-14,91.58
2025-03-15,
2025-03-16,
2025-03-17,91.78
2025-03-18,87.47
2025-03-19,91.92
2025-03-20,95.65
2025-03-21,95.95
2025-03-22,
2025-03-23,
2025-03-24,99.98
2025-03-25,97.37
2025-03-26,87.66
2025-03-27,84.39
2025-03-28,82.69
2025-03-29,
2025-03-30,
2025-03-31,78.81
2025-04-01,79.06
2025-04-02,82.35
2025-04-03,69.19
2025-04-04,66.15
2025-04-05,
2025-04-06,
2025-04-07,70.39
2025-04-08,68.85
2025-04-09,82.06
2025-04-10,76.48
2025-04-11,79.13
2025-04-12,
2025-04-13,
2025-04-14,80.88
2025-04-15,82.57
2025-04-16,80.56
2025-04-17,84.04
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,80.59
2025-04-22,82.77
2025-04-23,88.19
2025-04-24,92.14
2025-04-25,89.05
2025-04-26,
2025-04-27,
2025-04-28,87.76
2025-04-29,87.05
2025-04-30,85.35
2025-05-01,89.21
2025-05-02,94.07
2025-05-03,
2025-05-04,
2025-05-05,92.36
2025-05-06,95.19
2025-05-07,96.55
2025-05-08,96.33
2025-05-09,93.05
2025-05-10,
2025-05-11,
2025-05-12,100.32
2025-05-13,109.87
2025-05-14,113.45
2025-05-15,111.49
2025-05-16,113.25
2025-05-17,
2025-05-18,
2025-05-19,111.6
2025-05-20,112.66
2025-05-21,114.03
2025-05-22,118.32
2025-05-23,119.47
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,118.88
2025-05-28,118.12
2025-05-29,116.37
2025-05-30,115.38
2025-05-31,
2025-06-01,
2025-06-02,116.64
2025-06-03,121.26
2025-06-04,119.9
2025-06-05,119.31
2025-06-06,120.73
2025-06-07,
2025-06-08,
2025-06-09,122.65
2025-06-10,121.51
2025-06-11,127.69
2025-06-12,130.73
2025-06-13,125.33
2025-06-14,
2025-06-15,
2025-06-16,128.24
2025-06-17,132.18
2025-06-18,136.25
2025-06-19,
2025-06-20,135.23
2025-06-21,
2025-06-22,
2025-06-23,136.34
2025-06-24,143.84
2025-06-25,149.04
2025-06-26,150.15
2025-06-27,152.67
2025-06-28,
2025-06-29,
2025-06-30,156.11
2025-07-01,148.91
2025-07-02,154.9
2025-07-03,159.26
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,154.0
2025-07-08,155.7
2025-07-09,160.9
2025-07-10,158.83
2025-07-11,161.03
2025-07-12,
2025-07-13,
2025-07-14,162.24
2025-07-15,160.49
2025-07-16,160.1
2025-07-17,162.89
2025-07-18,160.12
2025-07-19,
2025-07-20,
2025-07-21,163.02
2025-07-22,156.91
2025-07-23,168.79
2025-07-24,163.98
2025-07-25,170.22
2025-07-26,
2025-07-27,
2025-07-28,173.37
2025-07-29,202.0
2025-07-30,202.41
2025-07-31,199.86
2025-08-01,194.74
2025-08-02,
2025-08-03,
