Date,Close
2024-01-01,
2024-01-02,43.49
2024-01-03,43.14
2024-01-04,43.0
2024-01-05,43.07
2024-01-06,
2024-01-07,
2024-01-08,43.68
2024-01-09,43.63
2024-01-10,43.87
2024-01-11,43.84
2024-01-12,43.87
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,43.72
2024-01-17,43.47
2024-01-18,43.86
2024-01-19,44.39
2024-01-20,
2024-01-21,
2024-01-22,44.49
2024-01-23,44.63
2024-01-24,44.66
2024-01-25,44.9
2024-01-26,44.87
2024-01-27,
2024-01-28,
2024-01-29,45.21
2024-01-30,45.19
2024-01-31,44.46
2024-02-01,45.01
2024-02-02,45.5
2024-02-03,
2024-02-04,
2024-02-05,45.35
2024-02-06,45.46
2024-02-07,45.83
2024-02-08,45.87
2024-02-09,46.13
2024-02-10,
2024-02-11,
2024-02-12,46.09
2024-02-13,45.46
2024-02-14,45.91
2024-02-15,46.19
2024-02-16,45.97
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,45.69
2024-02-21,45.76
2024-02-22,46.73
2024-02-23,46.74
2024-02-24,
2024-02-25,
2024-02-26,46.56
2024-02-27,46.64
2024-02-28,46.57
2024-02-29,46.83
2024-03-01,47.21
2024-03-02,
2024-03-03,
2024-03-04,47.15
2024-03-05,46.67
2024-03-06,46.91
2024-03-07,47.4
2024-03-08,47.09
2024-03-09,
2024-03-10,
2024-03-11,47.04
2024-03-12,47.57
2024-03-13,47.48
2024-03-14,47.36
2024-03-15,47.05
2024-03-16,
2024-03-17,
2024-03-18,47.35
2024-03-19,47.61
2024-03-20,48.04
2024-03-21,48.2
2024-03-22,48.13
2024-03-23,
2024-03-24,
2024-03-25,47.98
2024-03-26,47.85
2024-03-27,48.27
2024-03-28,48.32
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,48.22
2024-04-02,47.88
2024-04-03,47.93
2024-04-04,47.35
2024-04-05,47.87
2024-04-06,
2024-04-07,
2024-04-08,47.85
2024-04-09,47.93
2024-04-10,47.48
2024-04-11,47.83
2024-04-12,47.14
2024-04-13,
2024-04-14,
2024-04-15,46.57
2024-04-16,46.48
2024-04-17,46.21
2024-04-18,46.11
2024-04-19,45.71
2024-04-20,
2024-04-21,
2024-04-22,46.11
2024-04-23,46.66
2024-04-24,46.67
2024-04-25,46.45
2024-04-26,46.93
2024-04-27,
2024-04-28,
2024-04-29,47.08
2024-04-30,46.34
2024-05-01,46.18
2024-05-02,46.6
2024-05-03,47.19
2024-05-04,
2024-05-05,
2024-05-06,47.68
2024-05-07,47.74
2024-05-08,47.74
2024-05-09,48.0
2024-05-10,48.08
2024-05-11,
2024-05-12,
2024-05-13,48.07
2024-05-14,48.31
2024-05-15,48.88
2024-05-16,48.79
2024-05-17,48.85
2024-05-18,
2024-05-19,
2024-05-20,48.9
2024-05-21,49.03
2024-05-22,48.89
2024-05-23,48.53
2024-05-24,48.88
2024-05-25,
2024-05-26,
2024-05-27,
