Date,Close
2020-01-01,
2020-01-02,163.24
2020-01-03,165.42
2020-01-04,
2020-01-05,
2020-01-06,166.1
2020-01-07,165.78
2020-01-08,166.68
2020-01-09,168.59
2020-01-10,165.86
2020-01-11,
2020-01-12,
2020-01-13,165.09
2020-01-14,164.62
2020-01-15,165.8
2020-01-16,167.53
2020-01-17,167.29
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,167.29
2020-01-22,167.85
2020-01-23,168.41
2020-01-24,169.22
2020-01-25,
2020-01-26,
2020-01-27,172.25
2020-01-28,172.43
2020-01-29,172.73
2020-01-30,176.93
2020-01-31,175.58
2020-02-01,
2020-02-02,
2020-02-03,173.53
2020-02-04,174.31
2020-02-05,172.61
2020-02-06,171.96
2020-02-07,172.42
2020-02-08,
2020-02-09,
2020-02-10,172.56
2020-02-11,171.17
2020-02-12,167.92
2020-02-13,168.47
2020-02-14,172.36
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,172.56
2020-02-19,167.81
2020-02-20,169.02
2020-02-21,168.89
2020-02-22,
2020-02-23,
2020-02-24,169.27
2020-02-25,168.47
2020-02-26,178.06
2020-02-27,170.15
2020-02-28,160.79
2020-02-29,
2020-03-01,
2020-03-02,169.35
2020-03-03,174.74
2020-03-04,180.86
2020-03-05,179.39
2020-03-06,174.89
2020-03-07,
2020-03-08,
2020-03-09,166.37
2020-03-10,168.07
2020-03-11,158.06
2020-03-12,139.9
2020-03-13,147.78
2020-03-14,
2020-03-15,
2020-03-16,120.6
2020-03-17,134.79
2020-03-18,116.08
2020-03-19,126.03
2020-03-20,128.62
2020-03-21,
2020-03-22,
2020-03-23,113.29
2020-03-24,123.62
2020-03-25,126.93
2020-03-26,141.96
2020-03-27,139.11
2020-03-28,
2020-03-29,
2020-03-30,141.27
2020-03-31,140.39
2020-04-01,134.94
2020-04-02,136.86
2020-04-03,141.06
2020-04-04,
2020-04-05,
2020-04-06,148.13
2020-04-07,143.55
2020-04-08,146.93
2020-04-09,154.39
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,148.32
2020-04-14,152.7
2020-04-15,150.19
2020-04-16,152.1
2020-04-17,155.58
2020-04-18,
2020-04-19,
2020-04-20,149.9
2020-04-21,144.54
2020-04-22,145.65
2020-04-23,144.91
2020-04-24,148.35
