Date,Close
2020-01-01,
2020-01-02,267.24
2020-01-03,267.46
2020-01-04,
2020-01-05,
2020-01-06,267.54
2020-01-07,267.12
2020-01-08,270.18
2020-01-09,274.51
2020-01-10,272.52
2020-01-11,
2020-01-12,
2020-01-13,274.93
2020-01-14,274.82
2020-01-15,275.8
2020-01-16,277.82
2020-01-17,279.34
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,287.2
2020-01-22,285.95
2020-01-23,286.86
2020-01-24,284.68
2020-01-25,
2020-01-26,
2020-01-27,283.71
2020-01-28,284.99
2020-01-29,283.83
2020-01-30,283.73
2020-01-31,280.11
2020-02-01,
2020-02-02,
2020-02-03,276.88
2020-02-04,279.54
2020-02-05,283.25
2020-02-06,285.37
2020-02-07,288.15
2020-02-08,
2020-02-09,
2020-02-10,288.3
2020-02-11,285.44
2020-02-12,289.52
2020-02-13,292.35
2020-02-14,292.45
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,295.88
2020-02-19,296.78
2020-02-20,297.75
2020-02-21,295.79
2020-02-22,
2020-02-23,
2020-02-24,288.14
2020-02-25,280.1
2020-02-26,280.85
2020-02-27,269.31
2020-02-28,258.3
2020-02-29,
2020-03-01,
2020-03-02,284.02
2020-03-03,278.13
2020-03-04,294.68
2020-03-05,290.11
2020-03-06,286.04
2020-03-07,
2020-03-08,
2020-03-09,277.45
2020-03-10,284.26
2020-03-11,273.27
2020-03-12,257.11
2020-03-13,277.71
2020-03-14,
2020-03-15,
2020-03-16,260.17
2020-03-17,282.05
2020-03-18,282.52
2020-03-19,280.42
2020-03-20,266.82
2020-03-21,
2020-03-22,
2020-03-23,262.33
2020-03-24,261.79
2020-03-25,258.04
2020-03-26,268.55
2020-03-27,261.23
2020-03-28,
2020-03-29,
2020-03-30,267.47
2020-03-31,261.96
2020-04-01,263.48
2020-04-02,267.8
2020-04-03,265.2
2020-04-04,
2020-04-05,
2020-04-06,280.33
2020-04-07,278.96
2020-04-08,281.11
2020-04-09,275.64
