Date,Close
2024-01-01,
2024-01-02,47.98
2024-01-03,48.35
2024-01-04,47.94
2024-01-05,47.95
2024-01-06,
2024-01-07,
2024-01-08,48.3
2024-01-09,47.77
2024-01-10,48.09
2024-01-11,48.28
2024-01-12,48.19
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,48.43
2024-01-17,48.15
2024-01-18,48.58
2024-01-19,49.08
2024-01-20,
2024-01-21,
2024-01-22,49.36
2024-01-23,49.55
2024-01-24,49.11
2024-01-25,50.09
2024-01-26,49.91
2024-01-27,
2024-01-28,
2024-01-29,50.05
2024-01-30,50.01
2024-01-31,48.03
2024-02-01,48.03
2024-02-02,48.03
2024-02-03,
2024-02-04,
2024-02-05,47.39
2024-02-06,47.84
2024-02-07,47.64
2024-02-08,47.81
2024-02-09,47.99
2024-02-10,
2024-02-11,
2024-02-12,47.85
2024-02-13,47.52
2024-02-14,48.13
2024-02-15,46.96
2024-02-16,46.37
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,46.21
2024-02-21,46.41
2024-02-22,46.49
2024-02-23,46.77
2024-02-24,
2024-02-25,
2024-02-26,46.33
2024-02-27,46.24
2024-02-28,46.0
2024-02-29,46.3
2024-03-01,46.33
2024-03-02,
2024-03-03,
2024-03-04,47.03
2024-03-05,46.86
2024-03-06,47.07
2024-03-07,46.81
2024-03-08,47.38
2024-03-09,
2024-03-10,
2024-03-11,48.07
2024-03-12,47.93
2024-03-13,47.97
2024-03-14,47.66
2024-03-15,46.84
2024-03-16,
2024-03-17,
2024-03-18,47.16
2024-03-19,47.04
2024-03-20,47.43
2024-03-21,47.75
2024-03-22,47.65
2024-03-23,
2024-03-24,
2024-03-25,47.55
2024-03-26,47.43
2024-03-27,47.64
2024-03-28,47.77
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,47.9
2024-04-02,47.25
2024-04-03,47.04
2024-04-04,46.43
2024-04-05,46.85
2024-04-06,
2024-04-07,
2024-04-08,46.55
2024-04-09,48.26
2024-04-10,47.49
2024-04-11,47.8
2024-04-12,46.79
2024-04-13,
2024-04-14,
2024-04-15,46.55
2024-04-16,46.24
2024-04-17,46.12
2024-04-18,46.43
2024-04-19,46.63
2024-04-20,
2024-04-21,
2024-04-22,46.46
2024-04-23,46.63
2024-04-24,46.66
2024-04-25,46.42
2024-04-26,46.19
2024-04-27,
2024-04-28,
2024-04-29,46.11
2024-04-30,45.34
2024-05-01,45.2
2024-05-02,45.15
2024-05-03,45.47
2024-05-04,
2024-05-05,
2024-05-06,45.46
2024-05-07,45.63
2024-05-08,46.32
2024-05-09,46.12
2024-05-10,46.38
2024-05-11,
2024-05-12,
2024-05-13,46.98
2024-05-14,47.24
2024-05-15,47.93
2024-05-16,46.65
2024-05-17,46.49
2024-05-18,
2024-05-19,
2024-05-20,45.48
2024-05-21,45.3
2024-05-22,45.77
2024-05-23,44.97
2024-05-24,44.8
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,44.66
2024-05-29,44.47
2024-05-30,44.51
2024-05-31,44.87
2024-06-01,
2024-06-02,
2024-06-03,45.02
2024-06-04,45.76
2024-06-05,44.41
2024-06-06,44.61
2024-06-07,44.24
2024-06-08,
2024-06-09,
2024-06-10,44.25
2024-06-11,44.17
2024-06-12,44.03
2024-06-13,43.93
2024-06-14,44.08
2024-06-15,
2024-06-16,
2024-06-17,44.09
2024-06-18,44.36
2024-06-19,
2024-06-20,45.09
2024-06-21,45.64
2024-06-22,
2024-06-23,
2024-06-24,45.63
2024-06-25,45.72
2024-06-26,45.22
2024-06-27,45.79
2024-06-28,45.85
2024-06-29,
2024-06-30,
2024-07-01,45.86
2024-07-02,45.63
2024-07-03,45.44
2024-07-04,
2024-07-05,45.4
2024-07-06,
2024-07-07,
2024-07-08,44.83
2024-07-09,44.58
2024-07-10,45.03
2024-07-11,45.51
2024-07-12,46.12
2024-07-13,
2024-07-14,
2024-07-15,46.13
2024-07-16,46.15
2024-07-17,47.22
2024-07-18,46.76
2024-07-19,46.06
2024-07-20,
2024-07-21,
2024-07-22,45.57
2024-07-23,45.12
2024-07-24,45.6
2024-07-25,45.98
2024-07-26,46.6
2024-07-27,
2024-07-28,
2024-07-29,46.71
2024-07-30,46.86
2024-07-31,47.16
2024-08-01,46.13
2024-08-02,45.41
2024-08-03,
2024-08-04,
2024-08-05,43.55
2024-08-06,43.95
2024-08-07,43.92
2024-08-08,44.61
2024-08-09,44.26
2024-08-10,
2024-08-11,
2024-08-12,43.66
2024-08-13,44.16
2024-08-14,44.23
2024-08-15,47.23
2024-08-16,48.14
2024-08-17,
2024-08-18,
2024-08-19,48.65
2024-08-20,48.9
2024-08-21,49.1
2024-08-22,48.88
2024-08-23,49.39
2024-08-24,
2024-08-25,
2024-08-26,49.43
2024-08-27,49.36
2024-08-28,48.52
2024-08-29,49.05
2024-08-30,49.19
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,48.72
2024-09-04,48.37
2024-09-05,47.82
2024-09-06,47.21
2024-09-07,
2024-09-08,
2024-09-09,47.4
2024-09-10,47.49
2024-09-11,47.8
2024-09-12,48.29
