Date,Close
2024-01-01,
2024-01-02,54.83
2024-01-03,54.17
2024-01-04,53.86
2024-01-05,53.97
2024-01-06,
2024-01-07,
2024-01-08,55.41
2024-01-09,55.59
2024-01-10,56.1
2024-01-11,56.35
2024-01-12,56.38
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,56.53
2024-01-17,56.23
2024-01-18,57.3
2024-01-19,58.67
2024-01-20,
2024-01-21,
2024-01-22,58.94
2024-01-23,59.2
2024-01-24,59.79
2024-01-25,59.94
2024-01-26,59.49
2024-01-27,
2024-01-28,
2024-01-29,60.24
2024-01-30,59.88
2024-01-31,58.61
2024-02-01,59.37
2024-02-02,60.43
2024-02-03,
2024-02-04,
2024-02-05,60.65
2024-02-06,60.34
2024-02-07,61.28
2024-02-08,61.64
2024-02-09,62.55
2024-02-10,
2024-02-11,
2024-02-12,62.06
2024-02-13,60.99
2024-02-14,61.96
2024-02-15,61.85
2024-02-16,61.38
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,60.49
2024-02-21,60.05
2024-02-22,62.53
2024-02-23,62.36
2024-02-24,
2024-02-25,
2024-02-26,62.47
2024-02-27,62.49
2024-02-28,62.13
2024-02-29,62.82
2024-03-01,64.13
2024-03-02,
2024-03-03,
2024-03-04,64.14
2024-03-05,62.83
2024-03-06,63.55
2024-03-07,64.74
2024-03-08,63.44
2024-03-09,
2024-03-10,
2024-03-11,62.92
2024-03-12,64.25
2024-03-13,63.63
2024-03-14,63.39
2024-03-15,62.51
2024-03-16,
2024-03-17,
2024-03-18,63.0
2024-03-19,63.32
2024-03-20,64.18
2024-03-21,64.7
2024-03-22,64.8
2024-03-23,
2024-03-24,
2024-03-25,64.53
2024-03-26,64.21
2024-03-27,64.17
2024-03-28,64.13
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,64.41
2024-04-02,63.88
2024-04-03,64.12
2024-04-04,62.93
2024-04-05,63.93
2024-04-06,
2024-04-07,
2024-04-08,63.85
2024-04-09,63.94
2024-04-10,63.44
2024-04-11,64.63
