Date,Close
2020-01-01,
2020-01-02,57.04
2020-01-03,56.53
2020-01-04,
2020-01-05,
2020-01-06,55.96
2020-01-07,55.57
2020-01-08,55.95
2020-01-09,56.3
2020-01-10,55.86
2020-01-11,
2020-01-12,
2020-01-13,56.34
2020-01-14,56.54
2020-01-15,56.98
2020-01-16,57.53
2020-01-17,57.83
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,57.38
2020-01-22,57.29
2020-01-23,57.62
2020-01-24,57.5
2020-01-25,
2020-01-26,
2020-01-27,56.9
2020-01-28,57.67
2020-01-29,57.96
2020-01-30,57.55
2020-01-31,56.54
2020-02-01,
2020-02-02,
2020-02-03,57.68
2020-02-04,58.43
2020-02-05,59.85
2020-02-06,65.79
2020-02-07,64.11
2020-02-08,
2020-02-09,
2020-02-10,63.91
2020-02-11,63.75
2020-02-12,63.96
2020-02-13,64.13
2020-02-14,63.23
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,63.61
2020-02-19,63.65
2020-02-20,64.28
2020-02-21,64.77
2020-02-22,
2020-02-23,
2020-02-24,62.31
2020-02-25,59.59
2020-02-26,58.48
2020-02-27,57.59
2020-02-28,56.31
2020-02-29,
2020-03-01,
2020-03-02,56.68
2020-03-03,55.09
2020-03-04,57.45
2020-03-05,55.38
2020-03-06,53.82
2020-03-07,
2020-03-08,
2020-03-09,49.87
2020-03-10,51.55
2020-03-11,49.11
2020-03-12,45.26
2020-03-13,48.63
2020-03-14,
2020-03-15,
2020-03-16,40.27
2020-03-17,46.3
2020-03-18,43.87
2020-03-19,42.96
2020-03-20,40.75
2020-03-21,
2020-03-22,
2020-03-23,38.45
2020-03-24,42.89
2020-03-25,44.07
2020-03-26,46.04
2020-03-27,43.12
2020-03-28,
2020-03-29,
2020-03-30,43.79
2020-03-31,42.94
2020-04-01,39.29
2020-04-02,40.93
2020-04-03,40.11
2020-04-04,
2020-04-05,
2020-04-06,44.77
2020-04-07,44.17
2020-04-08,47.49
2020-04-09,50.16
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,48.7
2020-04-14,49.97
2020-04-15,48.0
2020-04-16,47.57
2020-04-17,49.73
2020-04-18,
2020-04-19,
2020-04-20,48.55
2020-04-21,47.12
2020-04-22,48.3
2020-04-23,48.66
2020-04-24,49.73
2020-04-25,
2020-04-26,
2020-04-27,51.79
2020-04-28,52.24
2020-04-29,54.74
2020-04-30,53.62
2020-05-01,52.21
2020-05-02,
2020-05-03,
2020-05-04,52.11
2020-05-05,52.81
2020-05-06,53.22
2020-05-07,54.3
2020-05-08,52.82
2020-05-09,
2020-05-10,
2020-05-11,51.34
2020-05-12,49.17
2020-05-13,45.73
2020-05-14,46.89
2020-05-15,46.37
2020-05-16,
2020-05-17,
2020-05-18,49.11
2020-05-19,47.77
2020-05-20,48.77
2020-05-21,48.01
2020-05-22,47.74
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,49.42
2020-05-27,51.36
2020-05-28,49.83
2020-05-29,49.18
2020-05-30,
2020-05-31,
2020-06-01,49.04
2020-06-02,49.46
2020-06-03,51.36
2020-06-04,51.6
2020-06-05,53.66
2020-06-06,
2020-06-07,
2020-06-08,54.36
2020-06-09,53.07
2020-06-10,53.39
2020-06-11,49.8
2020-06-12,50.85
2020-06-13,
2020-06-14,
2020-06-15,50.73
2020-06-16,51.38
2020-06-17,51.49
2020-06-18,50.94
2020-06-19,50.26
2020-06-20,
2020-06-21,
2020-06-22,49.97
2020-06-23,51.22
2020-06-24,49.93
2020-06-25,51.59
2020-06-26,51.23
2020-06-27,
2020-06-28,
2020-06-29,52.42
2020-06-30,52.73
2020-07-01,52.36
2020-07-02,52.04
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,52.21
2020-07-07,51.83
2020-07-08,51.69
2020-07-09,51.3
2020-07-10,51.76
2020-07-11,
2020-07-12,
2020-07-13,52.39
2020-07-14,52.4
2020-07-15,55.37
2020-07-16,56.65
2020-07-17,57.01
2020-07-18,
2020-07-19,
2020-07-20,57.27
2020-07-21,57.18
2020-07-22,57.5
2020-07-23,57.61
2020-07-24,57.35
2020-07-25,
2020-07-26,
2020-07-27,58.86
2020-07-28,58.13
2020-07-29,60.12
2020-07-30,64.2
2020-07-31,63.4
2020-08-01,
2020-08-02,
2020-08-03,63.14
2020-08-04,63.03
2020-08-05,62.57
2020-08-06,62.71
2020-08-07,62.62
2020-08-08,
2020-08-09,
2020-08-10,62.28
2020-08-11,61.74
2020-08-12,62.16
2020-08-13,62.08
2020-08-14,62.11
2020-08-15,
2020-08-16,
2020-08-17,62.68
2020-08-18,62.38
2020-08-19,62.07
2020-08-20,61.73
2020-08-21,61.19
2020-08-22,
2020-08-23,
2020-08-24,62.96
2020-08-25,62.32
2020-08-26,63.08
2020-08-27,62.76
2020-08-28,63.02
2020-08-29,
2020-08-30,
2020-08-31,62.25
2020-09-01,62.35
2020-09-02,64.07
2020-09-03,62.49
2020-09-04,62.2
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,61.08
2020-09-09,61.83
2020-09-10,61.04
2020-09-11,63.48
2020-09-12,
2020-09-13,
2020-09-14,64.51
2020-09-15,65.29
2020-09-16,65.84
2020-09-17,65.29
2020-09-18,64.11
2020-09-19,
2020-09-20,
2020-09-21,62.74
2020-09-22,63.54
2020-09-23,62.46
2020-09-24,62.29
2020-09-25,63.39
2020-09-26,
2020-09-27,
2020-09-28,64.54
2020-09-29,64.24
2020-09-30,64.63
2020-10-01,64.55
2020-10-02,64.11
2020-10-03,
2020-10-04,
2020-10-05,66.04
2020-10-06,65.02
2020-10-07,67.26
2020-10-08,67.88
2020-10-09,68.04
2020-10-10,
2020-10-11,
2020-10-12,69.48
2020-10-13,68.17
2020-10-14,68.86
2020-10-15,68.64
2020-10-16,68.3
2020-10-17,
2020-10-18,
2020-10-19,67.22
2020-10-20,68.29
2020-10-21,67.86
2020-10-22,68.32
2020-10-23,69.01
2020-10-24,
2020-10-25,
2020-10-26,67.7
2020-10-27,68.33
2020-10-28,66.2
2020-10-29,66.12
2020-10-30,66.5
2020-10-31,
2020-11-01,
2020-11-02,65.92
2020-11-03,66.98
2020-11-04,67.99
2020-11-05,69.12
2020-11-06,69.1
2020-11-07,
2020-11-08,
2020-11-09,68.79
2020-11-10,69.92
2020-11-11,71.47
2020-11-12,70.96
2020-11-13,71.87
2020-11-14,
2020-11-15,
2020-11-16,72.44
2020-11-17,71.69
2020-11-18,69.75
2020-11-19,71.15
2020-11-20,70.87
2020-11-21,
2020-11-22,
2020-11-23,72.08
2020-11-24,73.53
2020-11-25,73.34
2020-11-26,
2020-11-27,73.21
2020-11-28,
2020-11-29,
2020-11-30,72.95
2020-12-01,73.45
2020-12-02,72.94
2020-12-03,73.54
2020-12-04,75.69
2020-12-05,
2020-12-06,
2020-12-07,75.19
2020-12-08,74.58
2020-12-09,73.77
2020-12-10,73.18
2020-12-11,73.31
2020-12-12,
2020-12-13,
2020-12-14,73.94
2020-12-15,75.19
2020-12-16,74.06
2020-12-17,76.31
2020-12-18,75.65
2020-12-19,
2020-12-20,
2020-12-21,75.14
2020-12-22,75.65
2020-12-23,75.62
2020-12-24,75.7
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,75.98
2020-12-29,75.16
2020-12-30,75.7
2020-12-31,76.52
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,74.16
2021-01-05,74.37
2021-01-06,74.84
2021-01-07,75.58
2021-01-08,76.52
2021-01-09,
2021-01-10,
2021-01-11,74.83
2021-01-12,74.36
2021-01-13,74.33
2021-01-14,74.74
2021-01-15,74.92
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,74.47
2021-01-20,76.48
2021-01-21,75.52
2021-01-22,75.22
2021-01-23,
2021-01-24,
2021-01-25,74.73
2021-01-26,74.28
2021-01-27,71.1
2021-01-28,73.67
2021-01-29,72.78
2021-01-30,
2021-01-31,
2021-02-01,73.61
2021-02-02,74.74
2021-02-03,74.08
2021-02-04,69.74
2021-02-05,69.56
2021-02-06,
2021-02-07,
2021-02-08,70.82
2021-02-09,71.11
2021-02-10,71.0
2021-02-11,71.87
2021-02-12,71.86
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,71.07
2021-02-17,71.59
2021-02-18,70.08
