Date,Close
2020-01-01,
2020-01-02,19.12
2020-01-03,18.94
2020-01-04,
2020-01-05,
2020-01-06,18.96
2020-01-07,18.96
2020-01-08,18.99
2020-01-09,19.09
2020-01-10,19.09
2020-01-11,
2020-01-12,
2020-01-13,19.22
2020-01-14,19.22
2020-01-15,19.24
2020-01-16,19.31
2020-01-17,19.34
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,19.29
2020-01-22,19.38
2020-01-23,19.34
2020-01-24,19.32
2020-01-25,
2020-01-26,
2020-01-27,18.89
2020-01-28,19.04
2020-01-29,19.07
2020-01-30,19.05
2020-01-31,18.73
2020-02-01,
2020-02-02,
2020-02-03,18.8
2020-02-04,19.14
2020-02-05,19.34
2020-02-06,19.42
2020-02-07,19.23
2020-02-08,
2020-02-09,
2020-02-10,19.3
2020-02-11,19.45
2020-02-12,19.49
2020-02-13,19.37
2020-02-14,19.36
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,19.29
2020-02-19,19.44
2020-02-20,19.31
2020-02-21,19.28
2020-02-22,
2020-02-23,
2020-02-24,18.54
2020-02-25,18.24
2020-02-26,18.3
2020-02-27,17.78
2020-02-28,17.75
2020-02-29,
2020-03-01,
2020-03-02,18.08
2020-03-03,17.94
2020-03-04,18.44
2020-03-05,18.04
2020-03-06,17.76
2020-03-07,
2020-03-08,
2020-03-09,16.64
2020-03-10,17.08
2020-03-11,16.38
2020-03-12,14.71
2020-03-13,15.55
2020-03-14,
2020-03-15,
2020-03-16,13.99
2020-03-17,14.61
2020-03-18,13.97
2020-03-19,14.02
2020-03-20,13.87
2020-03-21,
2020-03-22,
2020-03-23,13.61
2020-03-24,14.68
2020-03-25,15.1
2020-03-26,15.91
2020-03-27,15.46
2020-03-28,
2020-03-29,
2020-03-30,15.71
2020-03-31,15.53
2020-04-01,15.0
2020-04-02,15.08
2020-04-03,14.88
2020-04-04,
2020-04-05,
2020-04-06,15.58
2020-04-07,15.66
2020-04-08,15.96
2020-04-09,16.09
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,15.95
2020-04-14,16.37
2020-04-15,15.83
2020-04-16,15.89
2020-04-17,16.4
2020-04-18,
2020-04-19,
2020-04-20,16.22
2020-04-21,15.87
2020-04-22,16.11
2020-04-23,16.01
2020-04-24,16.12
2020-04-25,
2020-04-26,
2020-04-27,16.32
2020-04-28,16.37
2020-04-29,16.73
2020-04-30,16.46
2020-05-01,16.24
2020-05-02,
2020-05-03,
2020-05-04,16.14
2020-05-05,16.2
2020-05-06,16.16
2020-05-07,16.36
2020-05-08,16.6
2020-05-09,
2020-05-10,
2020-05-11,16.52
2020-05-12,16.38
2020-05-13,16.28
2020-05-14,16.15
2020-05-15,16.13
2020-05-16,
2020-05-17,
2020-05-18,16.69
2020-05-19,16.61
2020-05-20,17.03
2020-05-21,16.85
2020-05-22,16.79
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,17.25
2020-05-27,17.42
2020-05-28,17.62
2020-05-29,17.59
2020-05-30,
2020-05-31,
2020-06-01,17.8
2020-06-02,18.05
2020-06-03,18.42
2020-06-04,18.39
2020-06-05,18.71
2020-06-06,
2020-06-07,
2020-06-08,18.73
2020-06-09,18.59
2020-06-10,18.67
2020-06-11,17.69
2020-06-12,17.94
2020-06-13,
2020-06-14,
2020-06-15,17.99
2020-06-16,18.22
2020-06-17,18.34
2020-06-18,18.28
2020-06-19,18.25
2020-06-20,
2020-06-21,
2020-06-22,18.4
2020-06-23,18.58
2020-06-24,18.13
2020-06-25,18.37
2020-06-26,18.16
2020-06-27,
2020-06-28,
2020-06-29,18.29
2020-06-30,18.29
2020-07-01,18.36
2020-07-02,18.56
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,18.86
2020-07-07,18.61
2020-07-08,18.76
2020-07-09,18.61
2020-07-10,18.73
2020-07-11,
2020-07-12,
2020-07-13,18.66
2020-07-14,18.83
2020-07-15,19.15
2020-07-16,18.93
2020-07-17,19.05
2020-07-18,
2020-07-19,
2020-07-20,19.27
2020-07-21,19.35
2020-07-22,19.29
2020-07-23,19.17
2020-07-24,19.08
2020-07-25,
2020-07-26,
2020-07-27,19.35
2020-07-28,19.17
2020-07-29,19.3
2020-07-30,19.0
2020-07-31,18.7
2020-08-01,
2020-08-02,
2020-08-03,18.94
2020-08-04,19.01
2020-08-05,19.12
2020-08-06,19.19
2020-08-07,19.08
2020-08-08,
2020-08-09,
2020-08-10,19.08
2020-08-11,19.18
2020-08-12,19.58
2020-08-13,19.53
2020-08-14,19.36
2020-08-15,
2020-08-16,
2020-08-17,19.54
2020-08-18,19.57
2020-08-19,19.49
2020-08-20,19.42
2020-08-21,19.33
2020-08-22,
2020-08-23,
2020-08-24,19.54
2020-08-25,19.59
2020-08-26,19.73
2020-08-27,19.6
2020-08-28,19.74
2020-08-29,
2020-08-30,
2020-08-31,19.63
2020-09-01,19.66
2020-09-02,19.9
2020-09-03,19.47
2020-09-04,19.4
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,19.2
2020-09-09,19.59
2020-09-10,19.38
2020-09-11,19.63
2020-09-12,
2020-09-13,
2020-09-14,19.78
2020-09-15,19.89
2020-09-16,19.87
2020-09-17,19.87
2020-09-18,19.78
2020-09-19,
2020-09-20,
2020-09-21,19.29
2020-09-22,19.21
2020-09-23,19.07
2020-09-24,19.05
2020-09-25,19.14
2020-09-26,
2020-09-27,
2020-09-28,19.41
2020-09-29,19.46
2020-09-30,19.39
2020-10-01,19.55
2020-10-02,19.43
2020-10-03,
2020-10-04,
2020-10-05,19.72
2020-10-06,19.51
2020-10-07,19.66
2020-10-08,19.84
2020-10-09,20.04
2020-10-10,
2020-10-11,
2020-10-12,20.19
2020-10-13,20.02
2020-10-14,19.99
2020-10-15,19.69
2020-10-16,19.81
2020-10-17,
2020-10-18,
2020-10-19,19.74
2020-10-20,19.88
2020-10-21,19.75
2020-10-22,19.74
2020-10-23,19.82
2020-10-24,
2020-10-25,
2020-10-26,19.46
2020-10-27,19.35
2020-10-28,18.75
2020-10-29,18.79
2020-10-30,18.62
2020-10-31,
2020-11-01,
2020-11-02,18.89
2020-11-03,19.39
2020-11-04,19.73
2020-11-05,20.2
2020-11-06,20.3
2020-11-07,
2020-11-08,
2020-11-09,20.8
2020-11-10,20.97
2020-11-11,21.23
2020-11-12,20.96
2020-11-13,21.14
2020-11-14,
2020-11-15,
2020-11-16,21.34
2020-11-17,21.25
2020-11-18,21.14
2020-11-19,21.26
2020-11-20,21.23
2020-11-21,
2020-11-22,
2020-11-23,21.15
2020-11-24,21.41
2020-11-25,21.4
2020-11-26,
2020-11-27,21.58
2020-11-28,
2020-11-29,
2020-11-30,21.29
2020-12-01,21.62
2020-12-02,21.66
2020-12-03,21.65
2020-12-04,21.83
2020-12-05,
2020-12-06,
2020-12-07,21.69
2020-12-08,21.75
2020-12-09,21.73
2020-12-10,21.72
2020-12-11,21.61
2020-12-12,
2020-12-13,
2020-12-14,21.63
2020-12-15,21.81
2020-12-16,21.84
2020-12-17,22.05
2020-12-18,22.04
2020-12-19,
2020-12-20,
2020-12-21,21.76
2020-12-22,21.78
2020-12-23,21.94
2020-12-24,21.98
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,22.2
2020-12-29,22.42
2020-12-30,22.47
2020-12-31,22.35
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,22.42
2021-01-05,22.47
2021-01-06,22.53
2021-01-07,22.68
2021-01-08,22.96
2021-01-09,
2021-01-10,
2021-01-11,22.68
2021-01-12,22.83
2021-01-13,22.76
2021-01-14,22.95
2021-01-15,22.64
