Date,Close
2024-01-01,
2024-01-02,54.73
2024-01-03,53.07
2024-01-04,52.47
2024-01-05,52.65
2024-01-06,
2024-01-07,
2024-01-08,53.93
2024-01-09,53.64
2024-01-10,54.27
2024-01-11,54.15
2024-01-12,53.19
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,53.06
2024-01-17,52.33
2024-01-18,52.76
2024-01-19,53.52
2024-01-20,
2024-01-21,
2024-01-22,53.13
2024-01-23,52.95
2024-01-24,52.67
2024-01-25,51.66
2024-01-26,52.04
2024-01-27,
2024-01-28,
2024-01-29,53.13
2024-01-30,53.08
2024-01-31,51.64
2024-02-01,53.09
2024-02-02,54.5
2024-02-03,
2024-02-04,
2024-02-05,53.37
2024-02-06,53.82
2024-02-07,54.74
2024-02-08,55.07
2024-02-09,55.67
2024-02-10,
2024-02-11,
2024-02-12,55.56
2024-02-13,53.94
2024-02-14,54.74
2024-02-15,55.67
2024-02-16,55.23
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,54.4
2024-02-21,54.98
2024-02-22,56.6
2024-02-23,56.2
2024-02-24,
2024-02-25,
2024-02-26,56.41
2024-02-27,56.68
2024-02-28,57.01
2024-02-29,57.65
2024-03-01,57.9
2024-03-02,
2024-03-03,
2024-03-04,56.67
2024-03-05,55.62
2024-03-06,55.32
2024-03-07,55.95
2024-03-08,55.6
2024-03-09,
2024-03-10,
2024-03-11,55.37
2024-03-12,56.06
2024-03-13,55.89
2024-03-14,55.31
2024-03-15,55.31
2024-03-16,
2024-03-17,
2024-03-18,55.1
2024-03-19,55.81
2024-03-20,57.07
2024-03-21,57.55
2024-03-22,56.81
2024-03-23,
2024-03-24,
2024-03-25,56.49
2024-03-26,56.58
2024-03-27,57.55
2024-03-28,57.35
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,56.63
2024-04-02,55.34
2024-04-03,55.39
2024-04-04,54.45
2024-04-05,54.91
2024-04-06,
2024-04-07,
2024-04-08,55.63
2024-04-09,56.04
2024-04-10,54.78
2024-04-11,55.42
2024-04-12,54.05
2024-04-13,
2024-04-14,
2024-04-15,52.66
2024-04-16,52.18
2024-04-17,51.81
2024-04-18,51.32
2024-04-19,50.62
2024-04-20,
2024-04-21,
2024-04-22,50.96
2024-04-23,51.86
2024-04-24,52.61
2024-04-25,52.69
2024-04-26,53.38
2024-04-27,
2024-04-28,
2024-04-29,55.21
2024-04-30,53.1
2024-05-01,52.67
2024-05-02,53.66
2024-05-03,54.23
2024-05-04,
2024-05-05,
2024-05-06,55.04
2024-05-07,54.48
2024-05-08,54.14
2024-05-09,54.68
2024-05-10,54.24
2024-05-11,
2024-05-12,
2024-05-13,54.1
2024-05-14,54.48
2024-05-15,54.58
2024-05-16,54.06
2024-05-17,54.44
2024-05-18,
2024-05-19,
2024-05-20,53.82
2024-05-21,54.34
2024-05-22,53.49
2024-05-23,52.22
2024-05-24,52.98
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,52.74
2024-05-29,52.21
2024-05-30,52.68
2024-05-31,52.68
2024-06-01,
2024-06-02,
2024-06-03,53.06
2024-06-04,53.11
2024-06-05,53.58
2024-06-06,54.17
2024-06-07,53.84
2024-06-08,
2024-06-09,
2024-06-10,54.07
2024-06-11,53.83
2024-06-12,54.7
2024-06-13,54.78
2024-06-14,54.12
2024-06-15,
2024-06-16,
2024-06-17,55.5
2024-06-18,55.19
2024-06-19,
2024-06-20,55.31
2024-06-21,56.03
2024-06-22,
2024-06-23,
2024-06-24,55.62
2024-06-25,55.24
2024-06-26,56.49
2024-06-27,56.97
2024-06-28,56.01
2024-06-29,
2024-06-30,
2024-07-01,56.33
2024-07-02,57.93
2024-07-03,58.52
2024-07-04,
2024-07-05,59.17
2024-07-06,
2024-07-07,
2024-07-08,59.23
2024-07-09,59.5
2024-07-10,60.16
2024-07-11,59.02
2024-07-12,60.14
2024-07-13,
2024-07-14,
2024-07-15,59.97
2024-07-16,61.6
2024-07-17,60.1
2024-07-18,59.14
2024-07-19,58.33
2024-07-20,
2024-07-21,
2024-07-22,59.31
2024-07-23,58.9
2024-07-24,55.27
2024-07-25,54.93
2024-07-26,55.84
2024-07-27,
2024-07-28,
2024-07-29,57.2
2024-07-30,56.77
2024-07-31,58.07
2024-08-01,55.94
2024-08-02,55.94
2024-08-03,
2024-08-04,
2024-08-05,50.58
2024-08-06,51.45
2024-08-07,49.99
2024-08-08,51.65
2024-08-09,51.65
2024-08-10,
2024-08-11,
2024-08-12,51.56
2024-08-13,53.5
2024-08-14,53.11
2024-08-15,55.63
2024-08-16,55.83
2024-08-17,
2024-08-18,
2024-08-19,56.84
2024-08-20,56.74
2024-08-21,57.86
2024-08-22,56.29
2024-08-23,57.96
2024-08-24,
2024-08-25,
2024-08-26,57.26
2024-08-27,57.02
2024-08-28,56.17
2024-08-29,56.28
2024-08-30,57.57
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,56.35
2024-09-04,56.59
2024-09-05,57.55
2024-09-06,55.3
2024-09-07,
2024-09-08,
2024-09-09,56.5
2024-09-10,57.49
2024-09-11,58.36
2024-09-12,59.32
2024-09-13,59.32
2024-09-14,
2024-09-15,
2024-09-16,59.71
2024-09-17,60.18
2024-09-18,60.01
2024-09-19,62.06
2024-09-20,62.06
2024-09-21,
2024-09-22,
2024-09-23,62.91
2024-09-24,63.73
2024-09-25,63.39
2024-09-26,63.78
2024-09-27,63.96
2024-09-28,
2024-09-29,
2024-09-30,63.72
2024-10-01,63.27
2024-10-02,62.46
2024-10-03,61.36
2024-10-04,62.61
2024-10-05,
2024-10-06,
2024-10-07,61.08
2024-10-08,61.99
2024-10-09,62.62
2024-10-10,62.18
2024-10-11,61.76
2024-10-12,
2024-10-13,
2024-10-14,62.13
2024-10-15,62.33
2024-10-16,62.79
2024-10-17,62.72
2024-10-18,63.09
2024-10-19,
2024-10-20,
2024-10-21,62.33
2024-10-22,61.94
2024-10-23,60.48
2024-10-24,63.32
2024-10-25,63.64
2024-10-26,
2024-10-27,
2024-10-28,63.78
2024-10-29,63.31
2024-10-30,63.14
2024-10-31,61.75
2024-11-01,63.27
2024-11-02,
2024-11-03,
2024-11-04,62.85
2024-11-05,64.49
2024-11-06,67.64
2024-11-07,68.91
2024-11-08,70.34
2024-11-09,
2024-11-10,
2024-11-11,72.44
2024-11-12,71.01
2024-11-13,71.88
2024-11-14,70.38
2024-11-15,69.45
2024-11-16,
2024-11-17,
2024-11-18,70.39
2024-11-19,70.48
2024-11-20,70.0
2024-11-21,70.17
2024-11-22,71.7
2024-11-23,
2024-11-24,
2024-11-25,72.71
2024-11-26,73.14
2024-11-27,72.57
2024-11-28,
2024-11-29,72.57
2024-11-30,
2024-12-01,
2024-12-02,74.65
2024-12-03,74.54
2024-12-04,75.58
2024-12-05,76.46
2024-12-06,78.89
2024-12-07,
2024-12-08,
2024-12-09,78.44
2024-12-10,78.63
2024-12-11,80.73
2024-12-12,79.69
2024-12-13,80.2
2024-12-14,
2024-12-15,
2024-12-16,81.77
2024-12-17,82.17
2024-12-18,76.56
2024-12-19,76.43
2024-12-20,76.43
2024-12-21,
2024-12-22,
2024-12-23,77.0
2024-12-24,79.75
2024-12-25,
2024-12-26,79.23
2024-12-27,77.21
2024-12-28,
2024-12-29,
2024-12-30,75.36
2024-12-31,74.49
2025-01-01,
2025-01-02,73.01
2025-01-03,75.29
2025-01-04,
2025-01-05,
2025-01-06,75.7
2025-01-07,73.48
2025-01-08,73.83
2025-01-09,
2025-01-10,72.72
2025-01-11,
2025-01-12,
2025-01-13,73.28
2025-01-14,73.06
2025-01-15,75.83
2025-01-16,75.21
2025-01-17,76.76
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,77.63
2025-01-22,77.16
2025-01-23,77.84
2025-01-24,77.15
2025-01-25,
2025-01-26,
2025-01-27,77.73
2025-01-28,77.88
2025-01-29,77.57
2025-01-30,78.68
2025-01-31,78.16
2025-02-01,
2025-02-02,
2025-02-03,76.53
2025-02-04,77.89
2025-02-05,76.55
2025-02-06,76.97
2025-02-07,74.73
2025-02-08,
2025-02-09,
2025-02-10,75.09
2025-02-11,73.78
2025-02-12,73.8
2025-02-13,75.51
2025-02-14,75.41
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,75.03
2025-02-19,74.97
2025-02-20,73.97
2025-02-21,71.1
2025-02-22,
2025-02-23,
2025-02-24,70.61
2025-02-25,70.07
2025-02-26,69.65
2025-02-27,68.09
2025-02-28,69.79
2025-03-01,
2025-03-02,
2025-03-03,67.83
2025-03-04,66.01
2025-03-05,67.52
2025-03-06,64.95
2025-03-07,64.81
2025-03-08,
2025-03-09,
2025-03-10,61.31
2025-03-11,60.43
2025-03-12,60.91
2025-03-13,58.67
2025-03-14,60.48
2025-03-15,
2025-03-16,
2025-03-17,60.58
2025-03-18,58.95
2025-03-19,60.62
2025-03-20,60.41
2025-03-21,60.69
2025-03-22,
2025-03-23,
2025-03-24,64.15
2025-03-25,64.92
2025-03-26,63.59
2025-03-27,63.65
2025-03-28,60.76
2025-03-29,
2025-03-30,
2025-03-31,60.85
2025-04-01,61.83
2025-04-02,63.59
2025-04-03,57.86
2025-04-04,54.11
2025-04-05,
2025-04-06,
2025-04-07,53.12
2025-04-08,51.18
2025-04-09,59.5
2025-04-10,56.11
2025-04-11,56.88
2025-04-12,
2025-04-13,
2025-04-14,57.06
2025-04-15,56.44
2025-04-16,54.29
2025-04-17,54.84
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,52.6
2025-04-22,55.04
2025-04-23,56.96
2025-04-24,58.63
2025-04-25,60.18
2025-04-26,
2025-04-27,
2025-04-28,60.21
2025-04-29,60.85
2025-04-30,60.02
2025-05-01,60.54
2025-05-02,61.91
2025-05-03,
2025-05-04,
2025-05-05,60.83
2025-05-06,60.05
2025-05-07,60.05
2025-05-08,61.83
2025-05-09,62.24
2025-05-10,
2025-05-11,
2025-05-12,66.94
2025-05-13,68.24
2025-05-14,68.65
2025-05-15,68.42
2025-05-16,69.4
2025-05-17,
2025-05-18,
2025-05-19,69.07
2025-05-20,68.5
2025-05-21,66.43
2025-05-22,66.84
2025-05-23,65.91
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,68.83
2025-05-28,67.81
2025-05-29,67.93
2025-05-30,67.44
2025-05-31,
2025-06-01,
2025-06-02,67.53
2025-06-03,68.04
2025-06-04,67.75
2025-06-05,65.22
2025-06-06,66.48
2025-06-07,
2025-06-08,
2025-06-09,67.22
2025-06-10,68.45
2025-06-11,67.64
2025-06-12,67.17
2025-06-13,66.2
2025-06-14,
2025-06-15,
2025-06-16,67.26
2025-06-17,65.54
2025-06-18,65.54
2025-06-19,
2025-06-20,65.53
2025-06-21,
2025-06-22,
2025-06-23,67.57
2025-06-24,68.1
2025-06-25,66.87
2025-06-26,67.83
2025-06-27,69.52
2025-06-28,
2025-06-29,
2025-06-30,68.92
2025-07-01,69.31
2025-07-02,70.2
2025-07-03,70.82
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,69.4
2025-07-08,68.97
2025-07-09,69.59
2025-07-10,70.72
2025-07-11,70.74
2025-07-12,
2025-07-13,
2025-07-14,71.1
2025-07-15,69.58
2025-07-16,69.78
2025-07-17,70.16
2025-07-18,71.07
2025-07-19,
2025-07-20,
2025-07-21,71.49
2025-07-22,72.61
2025-07-23,73.09
2025-07-24,71.26
2025-07-25,72.28
2025-07-26,
2025-07-27,
2025-07-28,72.89
2025-07-29,72.1
2025-07-30,71.42
2025-07-31,70.56
2025-08-01,68.01
2025-08-02,
2025-08-03,
2025-08-04,69.2
2025-08-05,69.32
2025-08-06,71.45
2025-08-07,71.44
2025-08-08,71.62
2025-08-09,
2025-08-10,
2025-08-11,71.82
2025-08-12,73.01
2025-08-13,74.47
2025-08-14,74.36
2025-08-15,74.06
2025-08-16,
2025-08-17,
